map_0763#182	家を守ってくれて本当にありがとう!
map_0763#183	お願い、開いて、開いて、開いて!
map_0763#184	街を守るために来てくれたの?
map_0763#185	どんな助けでもありがたいわ!
map_0763#186	ここはあたしたちで何とかするけど、他にも助けが必要なところがあるはずよ。
map_0763#187	戦いに使って。役に立つかもしれないから。
map_0763#188	ナットレイはバトルに集中している!
map_0763#189	ああ、逃げてる間に、お気に入りの番組を何話も見逃しちゃった……
map_0763#190	最悪なのは、脚がつっちゃって家で座って見ることすらできないことよ!
map_0763#191	鍵がかかっている。
map_0763#192	フン。どうせ私の命令は、しばらくお前を足止めすることだけだ。
map_0763#193	負けたとしても、その任務は達成される。
map_0763#194	セラ: たまには楽な勝ちっていうのもいいものね。
map_0763#195	心配しないで、あたしが片付けとくから。
map_0763#196	ティタニア: さっさと下がってなさい!
map_0763#197	そこにいたら巻き込まれるかもしれないから、他のところを手伝いに行きなさいよ!
map_0763#198	ヘラクロスはバトルに集中している!
map_0763#199	フロリニア: 敵、包囲完了。
map_0763#200	制圧、進行中。
map_0763#201	脅威は検出されていない。
map_0763#202	ユレイドルはバトルに集中している!
map_0763#203	はぁ、ようやく地元の街を歩けるようになって、本当にいい気分。
map_0763#204	あのサーカス、どうせ臭かったし!
map_0763#205	ノクタスはバトルに集中している!
map_0763#206	これが主の望まれる運命ならば、それが主の運命となるでしょう。
map_0763#207	だ、大丈夫……ですよね?
map_0763#208	何が起きてるのか分からないけど、さっき緑髪の女の人が、そのまま水の中に歩いていくのを見たの……
map_0763#209	これって、その、不気味なゾンビの話とかじゃないよね?
map_0763#210	このセリフ、実はコピペなんだけど、どうせ連絡もつかないし!
map_0763#211	大丈夫、みんな街のために戦ってるから。
map_0763#212	泣かないで、大丈夫だから……
map_0763#213	セレビィが期待するような目でこちらを見ている。
map_0763#214	元気にしてあげたことで、セレビィは一緒に来たがっているようだ!
map_0763#215	セレビィを連れていきますか?
map_0763#216	セレビィは少しがっかりしたようだが、ここで待っていてくれるようだ。
map_0763#217	もはや神性ですら、お前を救いはしない!
map_0763#218	どうしてこんなことに!?
map_0763#219	いったいいつ終わるんだ?
map_0763#220	一度くらい、あたしたちを放っといてくれない!?
map_0763#221	あんたたち、いったいどこまでやれば気が済むのよ。
map_0763#222	さっさとどっか行って、こいつの手当てをさせて。
map_0763#223	相手に手荒なことをするのは、何も組織犯罪者だけとは限らないわよ。
map_0763#224	「アゲートシティジム」
map_0763#225	シェリー: 最初はカインで、今度はこれ……
map_0763#226	わ、わたし、体が固まっちゃって……
map_0763#227	どうして何もできなかったんだろう?
map_0763#228	わたしのせいで――
map_0763#229	リンが立ち去ろうとしているのを見て、サムソンとシエルに止めるのを手伝ってって頼んで……
map_0763#230	リンが立ち去ろうとしているのを見て、どうしようって悩んでいたら、シエルが近づいてきて……
map_0763#231	わたし一人でやるべきだった?
map_0763#232	それとも、そのまま行かせるべきだった?
map_0763#233	わからな――
map_0763#234	ハーディ: そんなわけねえだろ。そうしてたら、代わりにお前がやられてただけだ。
map_0763#235	ハーディ: 誰かが誰かより価値があるとか、そういう話じゃねえ、
map_0763#236	だが少なくとも、自分を責め続けるのは、害にしかならねえぜ。
map_0763#237	手に負えねえことに手を出さなかったからって、誰もお前を責めやしねえよ。
map_0763#238	だから元気出せよ、シェルベル。
map_0763#239	いなくなったやつを一番弔う方法は、その喪失に足を止めさせず、やるべきことをやり続けることだ。
map_0763#240	他のやつらがメテオの手下どもを大勢捕まえて、街に連れてって閉じ込めてるところだ。
map_0763#241	ポケモンにも手伝わせてるけど、人手だってあって困ることはねえだろ。
map_0763#242	お前も一緒に行ってみたらどうだ?
map_0763#243	シェリー: は、はい……
map_0763#244	ハーディ: オレの妹もそこにいる。
map_0763#245	普段は口の悪さくらいしか取り柄がねえけどよ、
map_0763#246	さっき、根性のことでシェルベルを助けてやってたみてえで、二人はうまくやってるみたいだったぜ。
map_0763#247	ハーディ: あの鳥のセラもそこにいる。
map_0763#248	さっき、お互いの喪失に向き合ってるとこで、二人はうまくやってるみたいだったぜ。
map_0763#249	あいつなら、シェリーにとっていいと思うぜ。
map_0763#250	ハーディ: ま、なんだかんだで、ここらのメテオはこれで片付いたな。
map_0763#251	やっぱり地元はいいもんだぜ。
map_0763#252	街の連中のところに行って、もう安全だって伝えてくるぜ。
map_0763#253	それが終わったら……
map_0763#254	へっ、オレが何を聞きたいか、もう分かってんだろ?
map_0763#255	お前がアヤと戦うのを見てからずっと、お前とのバトルを楽しみにしてたんだ。
map_0763#256	オレのジムをまた使えるなんて、最高の気分だぜ!
map_0763#257	それが終わったら、カルセノンに戻ってアヤを救う方法を見つけよう。
map_0763#258	それでいいか?
map_0763#259	待ってるぜ、相棒!
map_0763#260	シエル: あらあら! ショーがきちんと終わるまでは、帰らせませんわよ!
map_0763#261	サムソン: ついでに、そのでっかい石とやらも渡してもらおうか。
map_0763#262	リン: 頬を地に伏せた者が、要求などできましょうか?
map_0763#263	この世のすべての魂が、慈悲を求めるもの。
map_0763#264	けれど、慈悲などありはしません。
map_0763#265	それと、恐れながら、あなた方の……
map_0763#266	それが何であれ、置いていっていただきますわ……
map_0763#267	フロントデスクにて。
map_0763#268	リン: この世という舞台は、あなただけのものではありませんわ。
map_0763#269	自分のことしか考えない登場人物で満ちておりますの。
map_0763#270	このような世界は、他のあり方では存在し得ませんわ。
map_0763#271	シエル: そこまでのことをしておいて、道徳的優位に立とうなどとは思っていないでしょうね。
map_0763#272	リン: 道徳とは、己を慰めるために信じることを選んだ嘘にすぎませんわ。
map_0763#273	そのような虚構は、この世界には何の意味も持ちません。
map_0763#274	大切なのは、支配することだけ。
map_0763#275	誰が相手をひざまずかせられるか。
map_0763#276	誰が相手を屈服させられるか。
map_0763#277	誰が相手を消し去れるか。
map_0763#278	そして、誰がその者を連れ戻せるか。
map_0763#279	サーナイト: ……
map_0763#280	リン: 失われたものは、また見出されましょう。
map_0763#281	見出されたものは、奪い取られましょう。
map_0763#282	奪われたものは、忘れ去られましょう。
map_0763#283	忘れ去られる、それがあなたの居場所ですわ。
map_0763#284	サムソン: 危ねえ!
map_0763#285	シエル: いけません、何を――
map_0763#286	シエル: ……
map_0763#287	何が……起きたの?
map_0763#288	彼はどこへ……?
map_0763#289	サムソンをどうしたの!?
map_0763#290	リン: 星が消えたところで、太陽が気にかける理由がありましょうか?
map_0763#291	太陽は今もなお、己の世界の中心であり、
map_0763#292	己の輝きの向こうを見ることはできません。
map_0763#293	目を守るか、それとも焼き尽くされるか。
map_0763#294	どちらでも構いはしませんわ。
map_0763#295	サムソン: シエル――
map_0763#296	サムソン: だめだ――間に合わねえ――
map_0763#297	あいつに何をしやがった!?
map_0763#298	今すぐ元に戻しやがれ!
map_0763#299	リン: 誰が相手をひざまずかせられるか。
map_0763#300	頬を地に伏せた者が、要求などできましょうか?
map_0763#301	あなたにできるのは、土に口づけることだけ。
map_0763#302	それが、あなたの持てるすべて。
map_0763#303	シェリー: え……?
map_0763#304	また……?
map_0763#305	シエル: もちろん、気にかけていますわ……
map_0763#306	ずっと、気にかけてきました……
map_0763#307	シェリー: また、ブラックホール……?
map_0763#308	あのサーナイト……カインの時と同じ……
map_0763#309	シエル: たとえ彼の望んだ形ではなかったとしても――
map_0763#310	たとえ言葉にできなかったとしても――
map_0763#311	あの女に、いったい何がわかるというの!?
map_0763#312	シェリー: どうして、あの人の言うことを聞いたの?
map_0763#313	どうしてまた、わたしたちは何もできなかったの?
map_0763#314	あの人を止めるのを手伝ってって頼んだこと、間違ってたのかな?
map_0763#315	シエル: いいえ……
map_0763#316	わたくしたちにできることは何もなかった、けれどあなたが頼んだことは間違いではありませんでしたわ……
map_0763#317	シエル: いつものように、わたくしはただ、力不足だっただけ……
map_0763#318	ずっと、足りていなかった――
map_0763#319	これは……無様ですわね。
map_0763#320	行かなくては。
map_0763#321	サムソン: クソが!
map_0763#322	また、ブラックホールか?
map_0763#323	サムソン: あのアマ……
map_0763#324	シエル――
map_0763#325	ここにいてやれなくて、悪かったな。
map_0763#326	あいつの頭をかち割ってやる……
map_0763#327	あいつを見つけて、身体ごと叩き潰して――
map_0763#328	くそっ。
map_0763#329	リンを止めるのを手伝ってもらったこと、間違ってたのか……?
map_0763#330	オレがもっと強かったら――
map_0763#331	サムソン: 黙れ。
map_0763#332	シェリー: え……?
map_0763#333	サムソン: オレがあいつのそばにいてやるべきだった。
map_0763#334	オレが……
map_0763#335	サムソン: ……
map_0763#336	もういい。
map_0763#337	よそで自分を憐れんでくるとするか。
map_0763#338	サムソン: どけ。
map_0763#339	シェリー: どうして、こんなことばかり続くの……?
map_0763#340	\PN……
map_0763#341	はい
map_0763#342	いいえ
map_0764#0	ただのぬいぐるみだ……
map_0764#1	下に付いているタグには「justvulpix」と書かれている。
map_0764#2	鍵がかかっている。
map_0764#3	隠しスイッチだ!
map_0764#4	押しますか?
map_0764#5	押さない理由がある?
map_0764#6	やめておいたほうが……
map_0764#7	記録簿には、歴代のリボーンリーグリーダーの名前が記されている。
map_0764#8	ほとんどの名前は見覚えがあるが、一つだけ赤丸が付けられている:
map_0764#9	「ユーフィ」
map_0764#10	アドリエンヌ: ああ、\PN。
map_0764#11	相変わらず、君を見ると救われる気がするよ。
map_0764#12	君がチャンピオンへの道をどう歩んでいるか、ゆっくり話を聞きたいのはやまやまなのだが、
map_0764#13	あいにく、このメールの山にすっかり埋もれてしまっていてね。
map_0764#14	一度にこれほど多くの案件を抱え込んだのは、わたし自身のせいだと認めるが……
map_0764#15	この街のみんなのためになるなら、それだけの価値は必ずあると信じているよ。
map_0764#16	アドリエンヌ: あの子は、わたしのことを気に入ったようだ……
map_0764#17	そこに飛び乗ってから、ずっと離れないんだ。
map_0764#18	とはいえ、この成り行きは、なかなか悪くないと思っているよ。
map_0764#19	アドリエンヌ: あの部屋の修理は、また新たな頭痛の種になりそうだ……
map_0764#20	だが、認めなければなるまい……
map_0764#21	修理が長引けば、しばらく大使に来ないよう頼む理由にもなると思うと、少しばかり心が浮き立つのだ。
map_0764#22	それに、その過程で契約書類がいくつか失われた可能性があるのも事実だが……
map_0764#23	あの女にそれを認めるつもりは、わたしにはない。
map_0764#24	ああ、絶対にね。
map_0764#25	ああ、絶対にね。
map_0764#26	あり得ない。
map_0764#27	心根は悪くないのだが、わたしがけしかけずとも、あの人は十分に厄介なのでね。
map_0764#28	疲れたよ。
map_0764#29	アドリエンヌ: ありがとう、シェイリー。
map_0764#30	君はいつも分かってくれる。
map_0764#31	ヴィクトリア: あら、\PN、中に入れてもらえたんですね?
map_0764#32	問題があるわけじゃないですけど!
map_0764#33	正直、話し相手が欲しかったところです……
map_0764#34	このデスクワーク、頭が痺れてきそうで……
map_0764#35	外で体を動かすほうが性に合ってるんです!
map_0764#36	パソコン作業なんて面倒で――一日中座っていられる人の気が知れません!
map_0764#37	でも、うぅぅ……書類仕事が終わらないんです……
map_0764#38	ヴィクトリア: ジュリアに電話して、一番強いのを分けてもらおうかしら……
map_0764#39	ヴィクトリア: よほど疲れがたまっているようですね……
map_0764#40	普通の人はメリープを数えて眠るけど、わたしはロコンを数えることになりそう……
map_0764#41	それで、計画中の鉄道網は、各ワードに一駅ずつ、計8駅を設ける予定なんですよね?
map_0764#42	でも、水の配置や大ホールの地下構造を考えると、オパールワードに駅を置くのは非効率です。
