map_0764#189	さっさと外に出て、新しいタマゴを持ってきなさいよ!
map_0764#190	あら、それ? ワニノコのタマゴ?
map_0764#191	あんた、本当にミズゴロウが好きなのね。
map_0764#192	だって、これはもうもらったのよ、このバカ。
map_0764#193	新しいタマゴを持ってきて。
map_0764#194	それと、あたしはミズゴロウが好きなわけじゃないから。別に聞いてもないのに悪いわね。
map_0764#195	あら、ミズゴロウが好きみたいね。
map_0764#196	まあ、いいわ。これで十分。
map_0764#197	それ、ポッチャマのタマゴ?
map_0764#198	そうなら、そのドアから出て新しいのを持ってきたほうがいいわよ、じゃないとアカネにあんたを襲わせるから。
map_0764#199	ちなみに、アカネって誰かって聞く前に言っとくと、あたしのウインディよ。
map_0764#200	だから、さっさと動きなさい。あの子、追いかけっこが大好きだから。
map_0764#201	それ、ポッチャマのタマゴみたいね。
map_0764#202	ホウエンにいる友達に、ポッチャマが大好きなやつがいるのよ。
map_0764#203	あら、それってまた ミジュマル のタマゴ?
map_0764#204	もうもらってるのが残念ね。
map_0764#205	このタマゴでサッカーでもしようかしら。
map_0764#206	それが嫌なら、持って帰って新しいのを持ってきて。
map_0764#207	ミジュマルのタマゴね。うわぁ。
map_0764#208	みずタイプは嫌いなんだけど、まあいいわ……
map_0764#209	あら、また ケロマツ のタマゴ持ってきたのね。
map_0764#210	今回は見逃してあげる、ケロマツは数少ない、あたしが我慢できるみずタイプだから。
map_0764#211	でも、次は違うのを持ってきて。
map_0764#212	それ、ケロマツのタマゴ? いいわね。
map_0764#213	ケロマツは、あたしが本当に好きな数少ないみずタイプの一つよ。
map_0764#214	ああ、アルセウスに誓って……
map_0764#215	まさか、また アシマリ のタマゴ持ってきたの?
map_0764#216	わざとあたしを困らせようとしてるんでしょ……
map_0764#217	それ持ってさっさと出てって、本気で怒る前に違うのを持ってきなさい。
map_0764#218	マジ勘弁……それ、アシマリのタマゴ?
map_0764#219	こいつ、本当に嫌いなのよ……
map_0764#220	アメがこいつらを好きだったからよかったものの、じゃなきゃ根絶やしにしてたわ。
map_0764#221	ほのおタイプ? いいじゃない。
map_0764#222	あら、また ヒトカゲ 持ってきたの?
map_0764#223	引き取ってあげたいのはやまやまだけど、無理なの。
map_0764#224	その子には、ちゃんと家を見つけてあげてね。
map_0764#225	それと、違うタマゴを持ってきて。
map_0764#226	すごい、それヒトカゲのタマゴ?
map_0764#227	いいわね。この子はすぐに引き取り手が見つかるはずよ。
map_0764#228	火を吐くトカゲを嫌いな人なんている?
map_0764#229	また ヒノアラシ のタマゴ持ってきたのね。
map_0764#230	かわいいのは分かるけど、もう一つは受け取れないわ。
map_0764#231	その子は自分で飼うか、いい家を探してあげて。
map_0764#232	それ、ヒノアラシのタマゴ?
map_0764#233	ヒノアラシって、かわいい子よね。
map_0764#234	この仕事さえなければ、自分で飼いたいくらい。
map_0764#235	あら! それ、また アチャモ のタマゴ!?
map_0764#236	ああ、飼えたらどんなにいいか……いっそ飼っちゃおうかしら……
map_0764#237	で、でも……アメに顔をしかめられそうだし……
map_0764#238	お願い、お願いだから……あのかわいい子に、いい家を見つけてあげて……
map_0764#239	じゃないと、あんたを焼き尽くすわよ。
map_0764#240	分かった?
map_0764#241	よろしい。
map_0764#242	あら! あらあらあら! それ、アチャモのタマゴ!
map_0764#243	アチャモって最高よね!
map_0764#244	ヴァルキリーをここに出せたらいいのに。あの子、アチャモのタマゴの世話が大好きなの。
map_0764#245	いいバシャーモなのよ。
map_0764#246	あら、それってまた ヒコザル のタマゴ?
map_0764#247	受け取れないわ。もう一つもらってるもの。
map_0764#248	違うタマゴを持ってきて。
map_0764#249	ヒコザルのタマゴ? まあ、悪くないんじゃない。
map_0764#250	また ポカブ のタマゴ持ってきたのね。
map_0764#251	ポカブのタマゴなら、もうもらってるから受け取れないわ。
map_0764#252	外に出て、違うのを持ってきて。
map_0764#253	それは……ポカブのタマゴ? よね?
map_0764#254	まあ、悪くないんじゃない。ブタってあまり好きじゃないけど。
map_0764#255	また フォッコ のタマゴを持ってきたの?
map_0764#256	できるなら飼いたいけど、無理なのよ。
map_0764#257	外に出て、違うのを持ってきて。
map_0764#258	それと、あのキツネにも家を見つけてあげてね?
map_0764#259	かわいいタマゴね。フォッコでしょ?
map_0764#260	いいわね、これは必要だったやつよ。
map_0764#261	あら、また ニャビー のタマゴ?
map_0764#262	かわいくて面白い子だけど、飼うわけにはいかないの。
