map_0766#50	-ユーザー名とパスワードが必要です-
map_0766#51	はい
map_0766#52	いいえ
map_0767#2	バイバイ！
map_0767#3	はい
map_0767#4	いいえ
map_0768#0	ハーディ: おい、相棒、アヤ見なかったか？!
map_0768#1	メテオはばっちり撃退したけど、彼女もヤツらもどこにも見当たらねえ。
map_0768#2	この先に閉じ込められてんのか何なのか、わかんねえけど、
map_0768#3	けど、そもそもどこ行ったんだよ？
map_0768#4	オレはまだ探し続けるぜ！
map_0768#5	ルミ: 何か見つかった？
map_0768#6	イヴ: いいえ、あっちには何もなかったわ。
map_0768#7	ルミ: こんなにばかでかい建物なのに扉が一つもないなんてありえる！？
map_0768#8	シェリー: 本当に一つもないんですか？
map_0768#9	ここって大きな試合場みたいなものじゃなかったんですか？
map_0768#10	トーナメントとかを開くための専用施設として作られたって読んだことがあります……
map_0768#11	さすがにこれだけってことはないですよね？
map_0768#12	イヴ: 今のところ、そういうものは見つかっていないわ。
map_0768#13	ルミ: そんなことまで知ってるなんてびっくり！
map_0768#14	私たちはそこまで教えてもらってなかったのに！
map_0768#15	ルミ: それにリンの前でもすごく勇敢だったよね！
map_0768#16	一体どこまでかっこいいの？
map_0768#17	シェリー: え、あの――
map_0768#18	そ、そんなに恥ずかしがらせないでください……！
map_0768#19	正直に言うと、全然勇敢なんかじゃないんです。
map_0768#20	本当は怖くて、特にリンのことは……
map_0768#21	アゲートであんなことがあったあとは特に……でも――
map_0768#22	でも、だからこそなんです！
map_0768#23	だから強く振る舞わなくちゃいけないんです！
map_0768#24	みんなが私のことを心配してたら足を引っ張ってしまうから、相手の前では弱さもためらいも見せないって決めたんです！
map_0768#25	イヴ: それで勇敢じゃないって言うの？
map_0768#26	ルミ: それこそ勇敢ってことじゃない？
map_0768#27	シェリー: 私――
map_0768#28	えっと……そうなのかな？
map_0768#29	イヴ: とにかく、先に進む方法をまだ見つけないと。
map_0768#30	シェリー: 本当にこの場所について何も教えてもらってないんですか？
map_0768#31	ゼロ: オレたちは市街の前線に留まるよう命じられてたんだ。
map_0768#32	リンとシリウスは少なくともここを調べてたはずだけど……
map_0768#33	オレは何も聞いてない。
map_0768#34	シェリー: じゃあ知ってるのはあの二人だけなんですね？
map_0768#35	サファイラ: \PN。
map_0768#36	キャル: 来るぞ――
map_0768#37	サファイラ: シグムンドはどこ。
map_0768#38	キャル: 目が覚めてからずっと同じことを聞いてるんだ。
map_0768#39	お前が追いかけたって伝えたんだけど――
map_0768#40	サファイラ: 見つけたの、見つけてないの。
map_0768#41	居場所を言って。
map_0768#42	今すぐ。
map_0768#44	……
map_0768#45	………
map_0768#46	キャル: あー――
map_0768#47	サファイラ: あいつはあたしのものになるはずだった。
map_0768#48	キャル: え？
map_0768#49	サファイラ: あいつはあたしのものになるはずだったのよ！
map_0768#50	サファイラ: あのクソ野郎の薄汚い首に手をかけるまでどれだけ待ったか、わかる？
map_0768#51	その目的一つだけでどれだけ長く前に進んできたか、わかってるの！？
map_0768#52	それなのに――今さら何のために！？
map_0768#53	キャル: 聞けよ、オレが言えた義理じゃないかもしれないけど、誰かを打ち負かすことに人生の目的を置くのは健全とは言えないぜ。
map_0768#54	サファイラ: やめて――
map_0768#55	健全がどうとか、あたしに言わないで。
map_0768#56	普通がどうとか、教えようとしないで。
map_0768#57	あたしにとって何がいいかなんて、絶対に言わないで。
map_0768#58	そんなクズみたいな話は、生まれてからずっと喉に押し込まれてきたのよ――特にあいつにね。
map_0768#59	それに、あんたはあたしよりそのことをよく知ってるわけじゃない。
map_0768#60	サファイラ: 普通がどうとか語る連中は、自分の生き方が正しいって自分をだましてるだけ。
map_0768#61	他のどんな詭弁家とも変わらず、自分の胸糞悪い価値観を売りつけてるだけよ。
map_0768#62	サファイラ: 誰かが決めた型通りの基準に合わせて歩かされるくらいなら、世界で一番イカれた女でいい。
map_0768#63	もし何かが不健全だとしたら、それは心の成長って旗を掲げて練り歩く独善よ。
map_0768#64	サファイラ: 悪意より下劣なものがあるとしたら、それは道徳ね。
map_0768#65	たわごとはもうたくさん。
map_0768#66	あいつを見つける。
map_0768#67	サファイラ: ねえ。
map_0768#68	あら。
map_0768#69	扉は……どこ？
map_0768#70	???: あら、あの古臭いやつ？
map_0768#71	消しといたわよ。
map_0768#72	シェリー: 誰……今の声？
map_0768#73	イヴ: 建物のインターホンから聞こえたようだけど……
map_0768#74	???: ガアアアアアッ!!!!!
map_0768#75	よぉ、レディースとジェントルホーミーズ、
map_0768#76	唯一無二のアタシの登場だよ――
map_0768#77	毎晩眠りに落ちるたびに恋い焦がれてた、あの子――
map_0768#78	姿は見えなくても、マーガリンなんかじゃないって信じられる女――
map_0768#79	デジタルの姿をしたカオスそのもの――
map_0768#80	テラ: ガアアアアアアアッ!!!\tts[TERRRAAWWWWRRRRRRRRRR!!!]
map_0768#81	そのとおり。
map_0768#82	キャル: この拍手の音、どこから聞こえてくるんだ？
map_0768#83	キャル: やめろ、誰も拍手なんてしてない。
map_0768#84	キャル: いいから、やめ――
map_0768#85	テラ: やらせてみなさいよ、あんたって最高のゲス野郎ね。\tts[TERRA: MAKE ME, my goodly BitchTit.]
map_0768#86	でもむりでしょ\tts[OhButYouCan't]
map_0768#87	おおおおお
map_0768#88	おおおおおおおお
map_0768#89	おおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおお
map_0768#90	キャル: この施設の管制室はどこだ？
map_0768#91	そこにいるはずだ。
map_0768#92	テラ: はっは、考え直しな、ペプシくん。\tts[TERRA: haHA Think again, BEPSI.]
map_0768#93	つーか管制室にいるって言えなくもないけど、どっちかっつーと
map_0768#94	管制室そのものって感じ ;)
map_0768#95	回路とかもろアタシの領分ってわけ
map_0768#96	トランジスタをすべり落ちる感じであああああ
map_0768#97	マザボもデカ尻ビッチだから
map_0768#98	アタシみたいにね、わかるっしょダチ？\tts[jus like me, ya feel me dawg?]
map_0768#99	キャル: ここには子供もいるんだぞ……
map_0768#100	テラ: わかるっしょダチ公？\tts[TERRA: ya feel me dogski?]
map_0768#101	アタシのこと感じてるっしょダチスキー？
map_0768#102	アタシはこの建物のどこにもいない
map_0768#103	だってアタシがこの建物そのものだから
map_0768#104	あんたらは全員アタシの中にいるってわけ
map_0768#105	:wink: :wonk: :weary:
map_0768#106	セラ: 出たいわ。
map_0768#107	テラ: で、また入る？また出る？\tts[TERRA: an' back in? an' back out?]
map_0768#108	セラ: 助けて。
map_0768#109	サファイラ: 扉を開けて。
map_0768#110	テラ: おお、こわーい\tts[TERRA: o so spoopy]
map_0768#111	アタシもこわーい\tts[im spooped]
map_0768#112	あんたもこわーい？？\tts[u spooped??]
map_0768#113	サファイラ: さもないと、この場所の電子機器を全部叩き壊すわよ。
map_0768#114	テラ: じめんタイプのトレーナーにでんきわざってどうやって当てんの？？？？？？\tts[TERRA: how to hit ground type trainer with electrixx ??????]
map_0768#115	こいつ、ただぶっ壊したいだけじゃん
map_0768#116	ベッキー、アタシのソファに座ってきなよ
map_0768#117	テラ: ああ――ああ――そう、その調子でガンガン来て――！！\tts[TERRA: Oh-- Oh-- that's right, pound me real good--!!]
map_0768#118	テラ: ガアッライト!!\tts[TERRA: RAWRRRIGHT!!]
map_0768#119	この糞施設からの出方が知りたいわけ？
map_0768#120	その出方、教えてやるよ
map_0768#121	まず一つ目
map_0768#122	国際テラー教会に毎月20ドル以上の献金をすること
map_0768#123	二つ目
map_0768#124	あんたのおっぱい????
map_0768#125	自分のパックンフラワーの中に入る
map_0768#126	三つ目\tts[THIRD]
map_0768#127	あんたらは全員ペアになって対決すること
map_0768#128	四角形についてあんたらが何を知ってるか知らないけど
map_0768#129	教えといてやるよ、四角形ってのはさ
map_0768#130	ロクなもんじゃないってこと
map_0768#131	ルミ: 何を言ってるのか全然わからない……
map_0768#132	イヴ: 簡単に言うと、先に進むにはお互い戦えってことよ。
map_0768#133	ヴィクトリア: ……また？
map_0768#134	いや、いや、いや――
map_0768#135	ヴィクトリア: だめ、これは罠です！
map_0768#136	デヴォニクスビルの時とまったく同じ！
map_0768#137	負けた人は罰として本気で傷つけられるんです！
map_0768#138	テラ: あら、あんたも教養ある人ってわけね。\tts[TERRA: ah, I see you are a woah man of culture too.]
map_0768#139	マジな話、それってあのミストレスが昔やってたゲームとそんなに変わんないんだよね――\tts[too la true, this isn't too too dissimilar from the game that the Mistress played back there--]
