map_0772#24	で、知ってる?
map_0772#25	あんたにまた会いたいなんて、これっぽっちも思ってないから!
map_0772#26	そうよ!
map_0772#27	あんたのポケモンが幸せで健康に暮らして、バトルの後に瀕死でここに担ぎ込まれることなんて二度とないよう願ってるわ!
map_0772#28	せいぜいクソ楽しい一日を!
map_0772#29	もう二度と来ないでほしいものね。
map_0772#30	はいはい、それであんた、何しに来たわけ?
map_0772#31	うわ、盛大にやらかしたわね?
map_0772#32	……ちょっと待って、最初に会った相手にあっさり気絶させられたの?
map_0772#33	うわぁ、実力不足ってやつね。
map_0772#34	そういうの、もうやめといたら?
map_0772#35	まあ、思っただけだけど。
map_0772#36	……何よ、そんな目で見ないでよ。
map_0772#37	ほら、直してあげる。
map_0772#38	はい、これで万全よ。
map_0772#39	何をしようとしてたのか知らないけど、今度はもうちょっとマシにやりなさいよ。
map_0772#40	正直、うちの連中がもっとここを使ってもよさそうなもんだけど……
map_0772#41	負けるたびにぶっ倒れるのに忙しいんでしょうね。
map_0772#42	まったく、このチームがよくここまで来られたもんだわ。
map_0772#43	おいしいみず - $200
map_0772#44	サイコソーダ - $300
map_0772#45	ミックスオレ - $350
map_0772#46	キャンセル
map_0773#0	お願いだから、傷つけないで。
map_0774#0	メテオ: この状況で邪魔が入るかもとは思ってたが、まさかお前が来るとはな。
map_0774#1	メテオ: なあ、そのPULSEがどれだけオレたちを強化できるか試すには、ちょうどいい機会じゃないか?
map_0774#2	ヴィクトリア: どきなさい。
map_0774#3	これはやります。
map_0774#4	エイブリル: 冗談でしょ。それでも足りないっていうの?
map_0774#5	スティーブン: ま……これでよかったのかもな。
map_0774#6	メテオ: はぁ、どうやら気合が入ってないみたいだな。
map_0774#7	ヴィクトリア: それ、自分の失敗に対する安っぽい言い訳ですね。
map_0774#8	メテオ: まあ、そうかもな……だが俺たちは、身内の一人をここに留めておく見張り役なんでね。
map_0774#9	個人的には、そいつが逃げ出しても大した損失だとは思わんが。
map_0774#10	ヴィクトリア: 誰の話をしているんですか?
map_0774#11	メテオ: 自分の目で見てみろ。
map_0774#12	ヴィクトリア: いいでしょう。
map_0774#13	ヴィクトリア: ……あなた。
map_0774#14	ヴィクトリア: ……あ、あの……
map_0774#15	\PN?
map_0774#16	ちょっと……こっちに来た方が……
map_0774#17	メテオ: 見た目のいいもんじゃないぞ。
map_0774#18	忠告はしたからな。
