map_0779#92	戦うのをやめた、その瞬間のこと。
map_0779#93	だったら、あなたが一番大切だと言っているものが、そもそも存在するのかさえ分からないじゃない。
map_0779#94	それでもあなたはそこに立って、そう言った。
map_0779#95	それを本当にするために、戦っているだけなの？
map_0779#96	つまり本当に大切なのは、彼らがあなたに何をしてくれるかってこと。
map_0779#97	ただ利用してるだけじゃないの？
map_0779#98	ここで「大切だ」と言ったくらいで、それが帳消しになるなんて思わないでほしい。
map_0779#99	互いに思いやっていたとしても、あなたにとっての利用価値が消えるわけじゃない。どれだけ見て見ぬふりをしても。
map_0779#100	本当に大切に思ってるなら、行動でそれを分からせてあげなさい。
map_0779#101	彼らがあなたのために戦うのと同じくらい、あなたも彼らのために戦わなきゃいけない。
map_0779#102	サファイラ: 決められないの？
map_0779#103	でも、それは問題じゃない。
map_0779#104	それで、どっちなの？
map_0779#105	サファイラ: 血のつながりと同じくらい思いやりも分かち合える身内に恵まれるなんて、誰もがそんな幸運を持てるわけじゃない。
map_0779#106	それとも、わたしが聞きたがってると思って、ただそれを選んだだけ？
map_0779#107	サファイラ: 新しい真実は、古い嘘を消し去ったりしない。
map_0779#108	あなたは自分の価値観より、わたしを優先することを選んだ。
map_0779#109	それはわたしだけ？それとも誰にでもそうしてるの？
map_0779#110	サファイラ: それでも、そう言うことでどんな軽蔑を生むか、あなたは分かっているはずよ。
map_0779#111	教訓を学んだのか、それともただあきらめただけなのか。
map_0779#112	違いなんてないのかもしれない。
map_0779#113	結局、あなたもみんなと同じように戦わなきゃいけなくなる。
map_0779#114	それなら、あなたが誰であるかは、向き合う相手によって変わるということ。
map_0779#115	それじゃあ、あなたと鏡と、何が違うの？
map_0779#116	壊れる前に、戦う機会はまだある。
map_0779#117	サファイラ: もし血のつながりが一切なかったとしても、それでも彼らはあなたにとって一番大切な存在？
map_0779#118	サファイラ: たぶん、そうなんでしょうね。
map_0779#119	それなら、友達と何も変わらないでしょう？
map_0779#120	彼らは、あなたが自分の意志で戦うと決められる相手ということ。
map_0779#121	誰もがその自由を持っているわけじゃない。
map_0779#122	サファイラ: あなたと彼らは、他の誰にもない特別な何かでできているから。
map_0779#123	あなたは「誰であるか」ではなく、「何であるか」を守るために戦っている。
map_0779#124	サファイラ: 自由は空気。生きるために必要なもの。
map_0779#125	でも、空気を何よりも大切にするわけじゃない。
map_0779#126	それを当たり前だと思うのは、あり余るほどあるものをいちいち大切にしていたら、別の意味で寿命を縮めることになるから。
map_0779#127	自由は違うの？
map_0779#128	サファイラ: それなら、わたしと同じように、あなたもその空気がない状態を知っているはずね。
map_0779#129	それをそんなにきつく握りしめずに済む時が、いつか来るのかしら。
map_0779#130	サファイラ: でも、そのために戦わなければ、その時は来ない。
map_0779#131	サファイラ: それなら、生き残る準備ができているのはわたしたちだけ。
map_0779#132	その意味で、このトーナメントがこれ以外の結末を迎えることはあり得なかった。
map_0779#133	サファイラ: それなら、大切にする必要なんてないはずね。
map_0779#134	自由そのものが有り余っているのに、それを優先するのは優柔不断の表れ。
map_0779#135	その扉を永遠に開けたままにしておくのは、特権なの、それとも弱さなの？
map_0779#136	それは、ごく一部の者しか持ち得ない特権だけど、誰も持つべきではないもの。
map_0779#137	その種の自由は、停滞そのものでしかない。
map_0779#138	生きるということは、生き残るために戦うということ。
map_0779#139	停滞という特権を守ろうとする者は、いつだってそれに失敗する。
map_0779#140	サファイラ: それでも、あなたはそれを放っておく。
map_0779#141	もう自分に見切りをつけたの、それとも人生を始めるのにもっといい時を待っているだけ？
map_0779#142	でも、誰もあなたの答えを待ってはくれない。
map_0779#143	今この瞬間より良い時なんてない。
map_0779#144	だって、今この瞬間しかないんだから。
map_0779#145	どれだけ弱くても、誰も免れることはできない。
map_0779#146	サファイラ: 何かを変えても忘れられるのと、何も変えなくても永遠に覚えていてもらえるのと、どちらがいい？
