map_0781#0	鍵がかかっている。
map_0781#1	返事がない…
map_0781#2	みんなは先に行った。
map_0781#3	もう邪魔はしない――まあ、そもそも邪魔になんてなれなかっただろうけど。
map_0781#4	みんなが捕らえられていく中、司令官が私を助けてくれた。でも、もうこれ以上続ける気力がない。
map_0781#5	アルセウスが味方についていたら、本当にここまで追い詰められていただろうか?
map_0781#6	今の私にできるのは、ここに留まって仲間たちの無事を祈ることだけ。
map_0781#7	ニンフィア: ピ、ピク…?
map_0781#8	ニンフィアはあなたを怖がっているようだ。
map_0781#9	ニンフィアをなでる?
map_0781#10	ニンフィア: ピクピク ピク???
map_0781#11	ピク…
map_0781#12	ニンフィアは少し落ち着いたようだ。
map_0781#13	ニンフィア: ピク…
map_0781#14	ニンフィアはびくっとして目をそらした。
map_0781#15	ニンフィア: ピク ピク?
map_0781#16	ニンフィアはリボンを伸ばした。
map_0781#17	ニンフィア: ピク?
map_0781#18	ピクピクピクピクピクピクピクピクピクピクピクピクピクピクピクピクピクピクピクピクピクピクピクピクピクピクピクピクピクピク!
map_0781#19	ニンフィア: ピクピク?
map_0781#20	ニンフィアは何か悪いことをしたのか気にしているようだ。
map_0781#21	ニンフィア: ピク…ピク…
map_0781#22	ニンフィアはソラリスを懸命に癒そうとしている。
map_0781#23	ニンフィア: ピク…?
map_0781#24	…ピク、ピク!!!
map_0781#25	ニンフィアはもっと頑張ろうと決意したようだ!
map_0781#26	ニンフィアはさらに集中している。
map_0781#27	ニンフィアはまだ全力で集中し続けている。
map_0781#28	ニンフィア: ピクピク!
map_0781#29	ニンフィアの中でエネルギーが湧き上がる!
map_0781#30	ニンフィアは集中を続けている。
map_0781#31	司令官、お願い……
map_0781#32	しっかりして――絶対に助けるから!
map_0781#33	見つけた時にはもうこんな状態で…
map_0781#34	ニンフィアが必死に彼を癒そうとしている…
map_0781#35	きっとうまくいく。うまくいかなきゃ困る。
map_0781#36	前は私が助けてもらった…
map_0781#37	今度は私の番。
map_0781#38	だから、お願い…
map_0781#39	ソラリス: 下がれ、
map_0781#40	そう言ったはずだ。
map_0781#41	「もう終わりだ」
map_0781#42	ソラリス: 「いや」
map_0781#43	他の者たちはそう言った。
map_0781#44	裏切り者どもは尻尾を巻いて、あの聖なる鉱山へと逃げ込んだ。
map_0781#45	ソラリス: 我々の目的は汚された。
map_0781#46	奴らは新世界などという冒涜的な妄想から、自分が何を得られるかしか語らない。
map_0781#47	我らが家族はどこへ行った?
map_0781#48	貴様に対処するために仲間に背を向けたというのに、
map_0781#49	気づけば、その背中にナイフが突き立っていた。
map_0781#50	ソラリス: だからこそ、私はこれをやらねばならない。
map_0781#51	ガブリアス、始末しろ!
map_0781#52	チームメテオに逆らう者は、皆黙らせねばならない。
map_0781#53	ソラリス: …たとえ「チーム」の内部の者であっても。
map_0781#54	リン: 遅すぎる、それに足りない。
map_0781#55	ソラリス: 歯も爪も通じぬ災いよ、貴様は一体何の悪魔だというのだ?
map_0781#56	リン: 私は必然。
map_0781#57	邪魔は誰にも許さない。
map_0781#58	ソラリス: 生は許可を待ったりはしない、小娘。
map_0781#59	死もまた同じだ。
map_0781#60	貴様の裏切りは見逃されてはいない。報いを免れることもない。
map_0781#61	リン: 違う。
map_0781#62	ソラリス: 好きなだけ抗議するがいい、
map_0781#63	貴様がいかに何もわかっていないか、思い知らせてやろう。
map_0781#64	はい
map_0781#65	いいえ
map_0782#0	自動販売機だ。\nどの飲み物にする? \G
map_0782#1	\Gおいしいみずが出てきた!
map_0782#2	\Gボーナス! もう1本おいしいみずが出てきた。
map_0782#3	\Gバッグに空きがない。
map_0782#4	\Gお金が足りない。
map_0782#5	\Gサイコソーダが出てきた!
map_0782#6	\Gボーナス! もう1本サイコソーダが出てきた。
map_0782#7	\Gミックスオレが出てきた!
map_0782#8	\Gボーナス! もう1本ミックスオレが出てきた。
map_0782#9	???: ふむ、最近はここらであまり人を見かけんな。
map_0782#10	話す時間すら惜しむような連中の一団は別としてな。
map_0782#11	チャンピオンロードに向かうのか?
map_0782#12	名はアゼル。その気があるなら、仕事を頼みたいんだが。
map_0782#13	アゼル: いい若者だ。
map_0782#14	アゼル: いい娘だ。
map_0782#15	アゼル: いい奴だ。
map_0782#16	実はな、チャンピオンロードって呼ばれてるあの洞窟を掃除する仕事を請け負っててな。
map_0782#17	けど、瓦礫とか? ゴミとか?
map_0782#18	いや、違う。
map_0782#19	俺の仕事は霊狩りだ。
map_0782#20	あそこにはそれなりに幽霊がいるんだよ。
map_0782#21	まあ、普通の意味での幽霊とはちょっと違うんだが…
map_0782#22	残像みたいなもんだな。
map_0782#23	かつてあの通路を歩いていた歴代チャンピオンたちの残滓さ。何十年も前の奴もいれば、道ですれ違ってもおかしくないくらい最近の奴もいる。
map_0782#24	なんでそうなるのかは知らんが、中の結晶がやつらの存在と力を、光みたいに反射してるとかなんとか。
map_0782#25	世界中探してもそう多くはない場所だが、俺はほとんど全部回ったと思うぜ。
map_0782#26	だが、こいつは厄介な部類でな。
map_0782#27	行き交う旅人を反射する変な洞窟には慣れてるんだが…
map_0782#28	チャンピオンロード? しかも歴代チャンピオンだと?
map_0782#29	洒落のつもりはないが、俺の手には負えん。
map_0782#30	野生ポケモンだけでも十分手強いのに、全体としちゃ俺じゃ太刀打ちできないレベルだ。
map_0782#31	だから、お前さんの力を借りたいのさ。
map_0782#32	その自信満々な様子であそこに乗り込むつもりなら、あいつらの相手ができるに賭けてもいい。
map_0782#33	霊の存在を安定させる作業はもう済ませてある…
map_0782#34	あとはお前さんが見つけて、抑えて――たいていはバトルになるが――そして解放してやるだけだ。
map_0782#35	できるだろ?
map_0782#36	アゼル: 上出来だ。
map_0782#37	一目見た時から、いい予感がしてたんだ。
map_0782#38	なら、これを受け取れ。
map_0782#39	この機械はあたり一帯の余剰な霊的残滓を集めて、中の結晶に貯めておく。
map_0782#40	同じ部屋に霊がいれば、ちょっとした反応を返してくれる。
map_0782#41	何体の霊を解放したかも、これで確認できるぞ。
map_0782#42	アゼル: 俺の計算じゃ、チャンピオンロード全体でだいたい25体はいるはずだ。
map_0782#43	それと、周りの環境を歪める霊もいるから気をつけろ。
map_0782#44	あの結晶のエネルギーはどんな場所の力でも真似できる。心の準備はしとけよ。
map_0782#45	簡単な仕事じゃないだろ?
map_0782#46	だが終わらせたら、たっぷり礼はさせてもらうぜ。
map_0782#47	さあ、行ってこい、坊主!
map_0782#48	俺の仕事だろうがなんだろうが、やるべきことがあるんだからな!
map_0782#49	アゼル: あ?
map_0782#50	実に残念だ。
map_0782#51	ようやく手伝ってくれる奴を見つけたと思ったんだがな。
map_0782#52	アゼル: お前さんも自分のことで手一杯ってわけか。
map_0782#53	だが世の中みんなそうだ、坊主。
map_0782#54	それでどうやって何かが良くなるってんだ?
map_0782#55	アゼル: ん?
map_0782#56	結局、このジジイの話を聞く気になったってわけか?
map_0782#57	かつてあの通路を歩いていた歴代チャンピオンたちの残滓さ。何十年も前の奴もいれば、道ですれ違ってもおかしくないくらい最近の奴もいる。
map_0782#58	霊の存在を安定させる作業はもう済ませてある…
map_0782#59	アゼル: なら、何してるんだ?
map_0782#60	アゼル: 何してるんだ?
map_0782#61	気が変わったのか?
map_0782#62	そう難しい話じゃない。
map_0782#63	チャンピオンロードで霊を見つけて、抑えて――たいていはバトルになるが――そして解放するだけだ。
map_0782#64	アゼル: たまに顔を出せ、これまでの成果に応じて何かくれてやる。
map_0782#65	全部で25体だ、5体倒すごとに払うってのはどうだ?
map_0782#66	さあ、成果を見せてもらおうか。
map_0782#67	アゼル: 何を持ってきた?
map_0782#68	今の数からすると…
map_0782#69	ふむ。
map_0782#71	アゼル: これで終わりってわけだな。
map_0782#72	いやはや、たいしたもんだ。
map_0782#73	やっぱり、仕事を頼む相手は間違ってなかった。
map_0782#74	本当に助かったよ、坊主。もうこれ以上は引き止めない。
map_0782#75	お前さんみたいなのは、他にもやりたいことが山ほどあるだろうしな。
map_0782#76	俺はのんびり、次の仕事が来るまで気ままにやるさ。
map_0782#77	お前さんもこれから頑張れよ。
map_0782#78	アゼル: もう俺にしてやれることはあんまりないな。
map_0782#80	覚えとけ、部屋に入った時にちょっとした反応があったら、誰かがそこにいるってことだ。
map_0782#81	アゼル: 俺はのんびり、次の仕事が来るまで気ままにやるさ。
map_0782#82	おお、やっとお客さんか、ちくしょう!
map_0782#83	強いトレーナーが通るこの場所に店を構えるなんて、我ながら賢いと思ってたのに!
map_0782#84	全然賢くなかった!
map_0782#85	同情するなら何か買ってってよ!
map_0782#86	おいしいみず - $200
map_0782#87	サイコソーダ - $300
map_0782#88	ミックスオレ - $350
map_0782#89	やめる
map_0782#90	はい
map_0782#91	いいえ
map_0784#0	???: \PN、危ない!
map_0784#1	ファーン: いいミスだね。
map_0784#2	ブレイク: どうも、お前を見て学んだからな。
map_0784#3	シリウス、そのガキの口を閉じさせておいてくれないか。
map_0784#4	シリウス: 自分の仕事に集中することを考えたらどうだ。
map_0784#5	ブレイク: フン。
map_0784#6	おい、口の堅い奴、
map_0784#7	ここまで来て自分をクールだとでも思ってるんだろうけど、残念なお知らせだ――
map_0784#8	お前がこれまで相手にしてきたのは、チームのクズどもだけだ。
map_0784#9	ゼロはとっくにクビになってたし、テラの奴なんて最初から冗談みたいなもんだったし、ドクターなんてほとんどのアーボより根性がなかった。
map_0784#10	ファーン: クズを倒すことすらまぐれだろ。
map_0784#11	\PNは自分の実力だけじゃ、濡れた紙袋からも抜け出せないだろうよ。
map_0784#12	\PNは自分の実力だけじゃ、濡れた紙袋からも抜け出せないだろうよ。
map_0784#13	\PNは自分の実力だけじゃ、濡れた紙袋からも抜け出せないだろうよ。
map_0784#14	それが気に食わないなら、ここまで登ってきて違うって証明してみろよ。
map_0784#15	ブレイク: ああ、待てよ。
map_0784#16	できないか。
map_0784#17	ここまでの道がないもんな。
map_0784#18	リンが俺たちをこの巣に配置したのは、お前をこれ以上先に進ませないためだ。
map_0784#19	存在しない道を探すのに幸運を祈るよ。
map_0784#21	サンドパン、つららおとし!
map_0784#22	サファイラ: 私が見てる限り、そうはさせない。
map_0784#23	ブレイク: おや、見ろよ。
map_0784#24	『友情マシーナ』のご一行様が、いつも通りどこからともなくお出ましだ。
map_0784#25	ファーン: \PNが生き延びる唯一の方法だからね。
map_0784#26	ブレイク: おい、デジおっぱいは片方しか通さないようにするはずだったんじゃないのか?
map_0784#27	シリウス: そのはずだったが、結果は見ての通りだ。
map_0784#28	何とかする方法を見つけろ。
map_0784#29	俺はこの娘を連れて先に行く。
map_0784#30	アヤ: 痛っ――もうやめてよ! うぐ――
map_0784#31	ファーン: 行く場所なんてどこにもないけど。
map_0784#32	ブレイク: まあ、それは今の俺たちの問題じゃない。
map_0784#33	手伝うのか、どうなんだ?
map_0784#34	ファーン: \PNなんかに労力使う価値ないし。
map_0784#35	ブレイク: 都合のいい言い訳だな。
map_0784#36	ファーン: 今なんて言った?
map_0784#37	ブレイク: 自分のプライドがうるさすぎて聞こえなかったか?
map_0784#38	ファーン: \PNの惨めさがうるさすぎて聞こえなかったんだけど。
map_0784#39	ほんと、耳が痛くなるくらいね。
map_0784#40	あんたひとりで何とかしなよ。あたしも抜けるから。
map_0784#41	じゃあね、負け犬たち。
map_0784#42	ブレイク: よりによって俺が一番働いてるとか、情けない話だぜ。
map_0784#43	まったく、俺はただ楽をしたくて入っただけなのに。
map_0784#44	それが今じゃこのザマだ。
map_0784#45	まあいいや。
map_0784#46	\PN、それと…あんたは誰だか知らないけど、
map_0784#47	好きなだけ逃げ回ればいい、けどこの嵐は止まらないぞ。
map_0784#48	サファイラ: \PN、あなたは回り道を見つけて対処して。
