map_0791#24	ハーディ: 見つけるのが問題じゃねえ、そこに辿り着くのが問題なんだ。
map_0791#25	ティタニア: ずいぶんとヒーロー気取りね。
map_0791#26	ハーディ: だまってろよ、姉貴。
map_0791#27	まだできてないからって、これからもできないとは限らねえだろ!
map_0791#28	ティタニア: できるとも限らないけどね。
map_0791#29	ハーディ: どういう意味だよ、それ?
map_0791#30	ティタニア: 何かを救いたいと思うだけで実現できるなら、あたしたちは誰もここにいないはずよ。
map_0791#31	アドレナリンのせいか何か知らないけど、あなたは興奮しすぎて現実が見えていない。
map_0791#32	ハーディ: それだけじゃねえ!
map_0791#33	彼女を救うんだ、彼女が俺を必要としてるからだ!
map_0791#34	ティタニア: あなたはさんざん彼女を救うって語るだけで、何一つ考えを詰めてないから、結局何も変えられない。
map_0791#35	ハーディ: じゃあ何か、お前に何か作戦があるってのか?
map_0791#36	ティタニア: ええ、あるわ。
map_0791#37	リンを見つけて、仕留める。
map_0791#38	頭を切り落とせば、残りは死ぬ。
map_0791#39	ハーディ: それ、お前のジムでもさぞうまくいったんだろうな。
map_0791#40	ティタニア: …
map_0791#41	人間なら、あたしが与えたあの傷に耐えられるはずがない。
map_0791#42	何かがおかしい、
map_0791#43	でも、それは関係ない。
map_0791#44	ただ殺すだけで足りないなら、頭を切り落とす。
map_0791#45	それでも足りないなら、全部細切れにする。
map_0791#46	それでもまだ生きてる兆候があるなら、その破片を鉄に封じて世界中にばらまく。
map_0791#47	戦い方を知るには、あいつが何者かを知る必要がある。
map_0791#48	そのすべては、まず殺してみて、何が起こるか見ることから始まる。
map_0791#49	作戦っていうのはそうやって立てるものよ。知らないことを把握して、それを知る方法を学ぶ。
map_0791#50	ハーディ: じゃあアヤはどうなんだよ?
map_0791#51	ティタニア: アヤがどうしたの?
map_0791#52	ハーディ: お前がリンにばっかりこだわってる間も、あいつらはずっとアヤを捕まえたままなんだぞ!
map_0791#53	ティタニア: 症状じゃなくて原因を治すのよ。
map_0791#54	ハーディ: アヤは苦しんでるんだ!
map_0791#55	それでも放っておくつもりかよ?!
map_0791#56	ティタニア: ずっと苦しんできたんでしょ。もう少し長引いたところで死にはしない。
map_0791#57	ハーディ: そんなのわかんねえだろ!
map_0791#58	あいつらがどんな奴らかわかってるだろ――勝つためなら何でもする奴らだぞ!
map_0791#59	ティタニア: だからあたしたちもそうしなきゃ。
map_0791#60	つまり、優先順位を賢く選ぶってこと。
map_0791#61	アヤはチームメテオを倒す上で重要な駒じゃない。
map_0791#62	アヤが重要なのは、あなたが必要とされてる気分になれるってことだけ。
map_0791#63	あなたは本当に大事なことより、自分のプライドを優先してる。
map_0791#64	ハーディ: お前はあいつの命を投げ捨ててるんだよ!
map_0791#65	ティタニア: それで、あなたはどうするつもり?
map_0791#66	ハーディ: 俺が救う!
map_0791#67	別の道を見つけて、あいつがただの犠牲者になる必要なんてないって証明してやる!
map_0791#68	ティタニア: つまり、最初からやるつもりだったことと同じね。
map_0791#69	この会話が何か意味を持ったみたいで良かったわ。
map_0791#70	他に何を期待してたのかもよくわからないけど。
