map_0813#24	ファーン: ああもう、笑いが止まらない!
map_0813#25	いや、あたしが仕掛けたんだけど、こんな簡単に引っかかると思ってなかった!
map_0813#26	でも見てよ、\PNってば本当に自分から罠にはまっちゃった!
map_0813#27	でも見てよ、\PNってば本当に自分から罠にはまっちゃった!
map_0813#28	でも見てよ、\PNってば本当に自分から罠にはまっちゃった!
map_0813#29	ファーン: どこまで馬鹿なわけ?!
map_0813#30	まあ、どうでもいいけど。
map_0813#31	どうせすぐ終わるし。
map_0813#32	もう逃げ場はないんだから、あたしのために踊る覚悟はできてるよね!
map_0813#33	???: \PN、危ない!
map_0813#34	???: \PN、任せて!
map_0813#35	ティタニア: 大丈夫?
map_0813#36	ヴィクトリア: 平気?
map_0813#37	ティタニア: 期待してたほどスムーズな乗り心地じゃなかったけど…
map_0813#38	無事にあそこから連れ出せたわ。
map_0813#39	他の何人かに比べれば、それだけでも上出来ね。
map_0813#40	ティタニア: 進む道は前しかなさそうね。
map_0813#41	傷を舐めるのはそこそこにして、動きましょう。
map_0813#42	ここにいれば見つからないだろうけど、それじゃ何も成し遂げられない。
map_0813#43	揺れる乗り物でごめんね――わたし…
map_0813#44	パニックになってた?
map_0813#45	とにかく、ここからじゃ見つからないと思うけど…
map_0813#46	ヴィクトリア: 上に行く道もなさそうね。
map_0813#47	もっと下に行くしかないのかな?
map_0813#48	これ以上逃げる時間を与えたくないけど…仕方ないか。
map_0813#49	行こう。
map_0813#50	えっと…わたしが勝った?
map_0813#51	ああ…
map_0813#52	まさかここまで来られるとは思わなかった…
map_0813#53	俺も、そこまで役立たずじゃなかったってことか。
map_0813#54	よく聞け! 一番大事なのは力じゃない、勇気でもない、友達がいることですらない! 大事なのはただ一つ、俺を頼れるってことだけだ。
map_0813#55	古いエリアマップが貼られている…
map_0813#56	…でも、もう正確ではないようだ。
map_0814#0	鍵がかかっている。
map_0814#1	タカ: 準備ができたら、セレビィにその水をあげるといい。
map_0814#2	でも、念のためアイテムとか補充しとくのを忘れずに。
map_0814#3	タカ: \PN? また会えるとは思ってなかった。てっきり去っていくものだと…
map_0814#4	つまり、山の頂上に立ちに行くのかなって?
map_0814#5	普通、チャンピオンってそうするものじゃないの?
map_0814#6	でも…また会えてよかった。あれから…ほら、色々あって、あまり誰とも話してなくて。
map_0814#7	ここでちょっと…考え事をしてたんだ。
map_0814#8	リーグが建てられる前、ここにはアルセウスを祀る神殿があったって知ってた?
map_0814#9	父さんが何度か話してたんだ。
map_0814#10	父さんのお父さんがそこを取り仕切ってたから、子供の頃はここでたくさん時間を過ごしてたって…
map_0814#11	でも、俺が生まれた時にはもうなくなってたんだ。
map_0814#12	しかも、父さんはほんの数回しかその話をしなかった。
map_0814#13	自分の両親のことを話すのは好きじゃなかったみたいで…
map_0814#14	きっと厳しい人たちだったんだろうな。
map_0814#15	たぶん、会わずに済んで良かったんだと思う。
map_0814#16	たぶん父さ――
map_0814#17	…ソラリスだって、俺がこんな風になったのを、あの人たちに見せたくはなかっただろうな。
map_0814#18	タカ: 待って、あそこにいるポケモン、こっちをじっと見てる…
map_0814#19	あれはセレビィ、伝説のポケモンだ!
map_0814#20	でも、かなり弱ってるみたいだ。病気なのか?
map_0814#21	助けなきゃ、このままじゃ…
map_0814#22	この山では、もう十分すぎるほど悪いことが起きてきた。
map_0814#23	でも、なんでここに来たんだろう?
map_0814#24	伝説のポケモンについては少し知ってるけど、父さんの本で読んだだけで…
map_0814#25	おじいさんが医学と伝説のポケモンの専門家だったらしくて、その本を何冊か残してあるんだ。
map_0814#26	タカ: …待てよ。
map_0814#27	セレビィって時を渡れるんだよな?
map_0814#28	場所は合ってる、数十年遅れてるだけで…
map_0814#29	あの、これあげてみたら?
map_0814#30	これで、行くべき場所に戻るだけのエネルギーが足りるかもしれない…
map_0814#31	あ、でも、念のためアイテムとか補充しといた方がいいかも?
map_0814#32	たぶん過去に行くのを急いでるだろうから、水をあげた後は待ってくれないと思う…
map_0814#33	でも、あなたの運を考えたら、たぶん大丈夫だよ!
map_0814#34	何のトラブルもなくさっと過去に行って、その途中で伝説のポケモンと友達になる。
map_0814#35	俺の運じゃ、たぶんガチゴラスか何かに食われて終わりだろうけど。
map_0814#36	イライアス: 水はセレビィを一時的に活力づけるはずです。
map_0814#37	むしろ活力づけすぎるかもしれません――水をあげたらすぐに出発できるよう、備えておいてください。
map_0814#38	イライアス: プロスペリタス、パクス・パチス、オブセクィウム。
map_0814#39	輝く新世界への門が私の前に現れ、そこから我が主が歩み出る。
map_0814#40	この目に映る奇跡だけでも十分でしたが、あなたはさらなる恵みを私に与えてくださる、
map_0814#41	この目の前で、また新たな奇跡を起こしてくださって。
map_0814#42	きっとご存知だったのでしょうが、あなたは私が物思いに耽っているところに来られました。
map_0814#43	今日の私は、四天王の一員としてではなく、一人の巡礼者としてここにおります。
map_0814#44	ここにポケモンリーグができる前は、神殿がありました。
map_0814#45	若い頃、そこで多くの時間を過ごしたのです。
map_0814#46	神殿がなくなった今でも、この場所は…大切なもののように感じられます。
map_0814#47	神聖ですらあります。
map_0814#48	イライアス: エラーレ・フマヌム・エスト。
map_0814#49	誠に申し訳ございません、我が主よ。
map_0814#50	回想にすっかり心を奪われ、あなたがここに来られた理由に気づきませんでした。
map_0814#51	時渡りポケモン、セレビィ――
map_0814#52	多くの文献を読んできました。
map_0814#53	とはいえ、図に描かれているほどの輝きはないようですが。
map_0814#54	イライアス: ああ、なるほど、そういうことですか。
map_0814#55	これは私の知識を試すものなのですね。
map_0814#56	直ちにこのポケモンを診てまいりましょう。
map_0814#57	イライアス: 哀れな生き物よ…
map_0814#58	ここまでたどり着くだけでも、さぞ過酷だったに違いありません。
map_0814#59	イライアス: 申し訳ございません。これは私の治癒の力を超えています。
map_0814#60	遺跡の石であれば、この件に確実に役立つはずですが、最後に聞いた話では、それを探すために新世界へ向かわれたのでは?
map_0814#61	ですが、あなたはセレビィとともにここにおられ、遺跡の石はどこにも見当たりません。
map_0814#62	イライアス: 承知いたしました、我が主。その力なしに、この問題を解決せよということですね。
map_0814#63	少々、選択肢を考えさせてください。
map_0814#64	この遅れ、深くお詫び申し上げます。
map_0814#65	イライアス: なるほど、これは我が主が私のために考案された、実に見事な試練ですね!
map_0814#66	私が古い神殿について物思いに耽っていた時、助けを必要とするポケモンを連れて、あなたはここに到着された。
map_0814#67	しかも、空間ではなく時間を渡れるポケモンを。
map_0814#68	遺跡の石なしにセレビィを癒す知識は私にはありませんが、神殿の守り手であったタウベ神父なら…
map_0814#69	彼ほど伝説のポケモンに詳しい者はいませんでした。
map_0814#70	我が主よ、どうかこの捧げ物をお受け取りください。
map_0814#71	イライアス: アクア・プーラ。
map_0814#72	伝説とはいえ、セレビィはくさタイプに変わりありません。
map_0814#73	水を与えれば、時を渡るのに十分なエネルギーが得られるはずです。
map_0814#74	すでにご承知とは思いますが――水を与える前に、備えをなさってください。
map_0814#75	傷ついたポケモンが、癒される場所へ急ぐのに時間を無駄にするとは思えません。
map_0814#76	この弱ったポケモンは、近くにある何かをあなたに見せたがっているようだ。
map_0814#77	セレビィにもっと水をあげる?
map_0814#78	\PNは弱ったポケモンに、2本目の水をそっとかけた。
map_0814#79	セレビィはまだ弱っているが、目に光が宿った。
map_0814#80	周囲の景色が薄れていく…
map_0814#81	セレビィは、水をあげる準備ができるまで待ってくれそうだ。
map_0814#82	5秒前に元テロリストが、まさにこの状況で使えそうな水を渡してくれていればよかったのに、悲しいことに水がない。
map_0814#83	タカ: なあ、\PN?
map_0814#84	今、一瞬ぼーっとしてたね。
map_0814#85	まあ、わかるよ。俺も今、変なデジャヴを感じたばっかりで…
map_0814#86	とにかく、準備ができたらセレビィにその水をあげて。
map_0814#87	イライアス: 我が主よ、何かございましたか?
map_0814#88	あなたも何かをお感じになったのでは?
map_0814#89	なぜか、この出来事に妙な既視感を覚えまして…
map_0814#90	ああ、いえ、時を司るポケモンの存在に影響を受けるようなお方ではないでしょうが。
map_0814#91	私が落ち着くのを待ってくださっていたのですね。
map_0814#92	相変わらず、あなたの思いやり深さには頭が下がります。
map_0814#93	水をあげれば、セレビィもすぐに準備が整うでしょう。
map_0814#94	\PNはフィールド効果解析35を手に入れた!
map_0814#95	新世界に関する情報が閲覧可能になった!
map_0814#96	ハーディ: ちょうどいいタイミングだな、相棒。
map_0814#97	こいつにあっさりやられちまってな、バカみたいに。
map_0814#98	でも、だいぶ弱ってるし、じっとしてるのは苦手みたいだ。
map_0814#99	話は後だ、まずはバトルだ! わかったな?
map_0814#100	レックウザ: ラザァァ!!
map_0814#101	クアァァァ!!!
map_0814#102	レックウザ: ライィィイ――
map_0814#103	ハーディ: また飛んでいっちまうぞ!
map_0814#104	待てとまれもどってこないでくれ――
map_0814#105	ハーディ: ちくしょう…
map_0814#106	ハーディ: あいつがどこに行くかなんて、まったくわかんねえな。
map_0814#107	でも、少なくともアノマリーは取り除けたな。
map_0814#108	ここまで来れば、他の徘徊ポケモンと同じように追いかけられる。
map_0814#109	姉貴に何があったか聞いた。
map_0814#110	っていうか、今も起きてることか。
map_0814#111	俺たちの間でたまには友好の証を見せようと思って、あいつを追いかけて姉貴を叩き出してやろうとしたんだ。
map_0814#112	だめだったけどな。
map_0814#113	初めて見つけた時、あいつの声が聞こえた。
map_0814#114	若い女の子の声…
map_0814#115	絶対どこかで聞いたことあるんだけど、思い出せねえ。
map_0814#116	独善的で生意気な感じだった。
map_0814#117	姉貴に似てるっちゃ似てるけど、もっと明るい感じでな。
map_0814#118	伝説のポケモンをこっちにけしかけといて、揺るぎない楽観主義から来てる感じっつうか…
map_0814#119	リン。
map_0814#120	何か…違う感じがした。
map_0814#121	メテオとずっと戦ってきて、まさか小さい女の子が旗印だったなんて、思いもしなかった。
map_0814#122	マジで狂ってるよな、なあ?
map_0814#123	俺たちがやってたことが本当に正しかったのか、疑問に思うくらいだ。
map_0814#124	でも、正しかったはずだよな?
map_0814#125	じゃなきゃ、寄せ集めの伝説ポケモンとか開かれた世界とか、そんなもんじゃ済まねえ問題を抱えてることになる。
map_0814#126	…とにかく、要は、こういうポケモンの追い方を色々学んだってことだ。
map_0814#127	説明が欲しけりゃ言ってくれ。
map_0814#128	ハーディ: 徘徊ポケモンのコツ、聞きたいか、相棒?
