map_0817#99	エレナ: たわ言なんかじゃないわね!
map_0817#100	ねえ、トレーナーカード見せて!
map_0817#101	エレナは反応する間もなく、あなたのトレーナーカードをひったくった。
map_0817#102	エレナ: あら。この日付…
map_0817#103	しかも、バッジ18個って、ほとんど見覚えないんだけど。
map_0817#104	本当に未来のチャンピオンなの? かなりぶっ飛んでるわね。
map_0817#105	トレーナーカード返すわ、悪かったわね。
map_0817#106	タカ: じゃあ、もう信じてくれた…?
map_0817#107	エレナ: まあ、もっと変なもの見たことあるし。
map_0817#108	この四天王の部屋、どういう地理で成り立ってるか10秒くらい考えてみなさいよ。
map_0817#109	タカ: えっと…たぶん…磁石?
map_0817#110	エレナ: ハッ!
map_0817#111	気に入ったわ、坊や。
map_0817#112	それでね、こういうことよ。玉ねぎが力を取り戻すまでのんびりさせてあげてもいいんだけど。
map_0817#113	でも、よくわかってると思うけど、
map_0817#114	あたしはおばあちゃんになるまで引退するつもりないの。
map_0817#115	未来であんたがチャンピオンだっていうなら、前に一度あたしをバトルで倒したってことよね。
map_0817#116	だから、未来のあたしが甘くなってないか確かめる責任があるわ。
map_0817#117	負ける覚悟ができたら話しかけて、チャンピオン!
map_0817#118	タカ: すごい…迫力だな。
map_0817#119	教えられないのはわかってるけど…
map_0817#120	ただ悲しいな。
map_0817#121	イライアス: おや、これは私の部屋ではありませんね。しかしなぜ…
map_0817#122	イライアス: ああ。
map_0817#123	我々の時代に近づいてはいますが、まだ過去にいるようです。
map_0817#124	この部屋、あなたには見覚えがあるでしょう――ヘザーの部屋とそっくりですから。
map_0817#125	ですが、これは第1の間ではなく、第3の間だということにお気づきでしょう。
map_0817#126	この間は彼女の母君のもの、私が何年も前に四天王として共にいた方の…その方が…
map_0817#127	イライアス: まあ。留守であることを祈りましょう。
map_0817#128	あの方は…その、かなり強烈なので。
map_0817#129	???: ちょ、くそ、今日挑戦者が来るなんて誰も教えてくれなかったんだけど!
map_0817#130	イライアス: 下がっておいた方がよさそうですね。
map_0817#131	???: …あら、まさか本当に飛び移れるとはね。
map_0817#132	エレナ: …イライアス、あんただけだって言ってくれれば良かったのに。
map_0817#133	せっかく登場演出までしたのに!
map_0817#134	イライアス: 確かに。そして相変わらず、その登場は見事であると同時に無謀でしたね。
map_0817#135	エレナ: ちょっと、イライアス、一体何があったのよ?!
map_0817#136	ひどい顔よ!
map_0817#137	昨日から20歳くらい老けたんじゃない?
map_0817#138	イライアス: いえ…15年程度のはずですが。
map_0817#139	エレナ: まあ、あたしは気を遣ってあげただけよ。
map_0817#140	見た目じゃ25年って感じ。
map_0817#141	イライアス: なるほど…
map_0817#142	相変わらず、あなた独特の気遣いは、実に…爽やかですね。
map_0817#143	エレナ: 悪いわね、おじいちゃん。あたしの優しさがどんなに好きでも、あたしには相手がいるの。
map_0817#144	まあいいわ。冗談は置いといて、なんでそんなに老けて見えるの?
map_0817#145	それで、その見知らぬ子とポケモンは誰?
map_0817#146	イライアス: これは時を渡る伝説のポケモンです。
map_0817#147	私たちは…そうですね、10年から15年ほど未来から来ています。
map_0817#148	エレナ: ふーん。
map_0817#149	まあ、あんたよりはあたしの方がババアになってもましに見えることを願うわ。
map_0817#150	とはいえ、そこはタイプ的に有利かもね。ゴーストってかっこいいおばあちゃんをほぼ独占してるし。
map_0817#151	イライアス: エレナ、あなたは…
map_0817#152	まあ、15年と言ったのであって、50年とは言っていません。まだ十分お若いですよ。
map_0817#153	エレナ: あら、まあ。
map_0817#154	この卑しいエレナが、偉大なるイライアス様ご本人から褒め言葉をいただいたわけ?
map_0817#155	年取って丸くなったんじゃない!
map_0817#156	身に余る光栄でございます、偉大なるお方!
map_0817#157	アシヌス・アシヌム・フリカト。
map_0817#158	イライアス: どこでその古語を学んで――
map_0817#159	エレナ: あんたの本を一冊くすねたのよ。
map_0817#160	それで、その見知らぬ子は誰?
map_0817#161	未来の新しい四天王メンバー?
map_0817#162	二人目の友達ができたの?
map_0817#163	本当に誇らしいわ!
map_0817#164	毎週末あんたを夫との夕食に誘うのも、正直疲れてきてたのよね。
map_0817#165	でも、そうしないとあんたが一人ぼっちになるんじゃないかって、心配で仕方なかったの。
map_0817#166	イライアス: エレナ。
map_0817#167	あなたと私は仕事上の知り合いです。
map_0817#168	断言しますが、私の社交生活は問題ありません。
map_0817#169	だからこそ、あなたの誘いをずっと断り続けているのです。
map_0817#170	とにかく、いいえ。ここにいる\PNは四天王ではありません。
map_0817#171	彼はチャンピオンです。
map_0817#172	彼女はチャンピオンです。
map_0817#173	この方はチャンピオンです。
map_0817#174	エレナ: チャンピオン、ですって?
map_0817#175	エレナ: ねえ。チャンピオン。
map_0817#176	バトルする?
map_0817#177	イライアス: エレナ、それは――
map_0817#178	エレナ: はいはい、わかってる。彼にはもう一回負けてるんでしょ。
map_0817#179	エレナ: はいはい、わかってる。彼女にはもう一回負けてるんでしょ。
map_0817#180	エレナ: はいはい、わかってる。この人にはもう一回負けてるんでしょ。
map_0817#181	でも強いトレーナーを目の前に出されたら、うずうずしちゃうのよね!
map_0817#182	それとも何、あんたが代わりに挑んでみる?
map_0817#183	数年経てば、あたしのレベルに追いつけると思う?
map_0817#184	イライアス: 私は…
map_0817#185	イライアス: この分野ではとても。
map_0817#186	エレナ: だと思った。
map_0817#187	別に個人的な話じゃないけど、未来のあたしが甘くなってないか確かめなきゃいけないから。
map_0817#188	負ける覚悟ができたら話しかけて、チャンピオン!
map_0817#189	イライアス: 彼女には、いつも腹が立たされてきました。
map_0817#190	ですが…恋しく思います。
map_0817#191	シリウスがメテオに何をしていたか、私は見ていました。しかし私は…
map_0817#192	いえ、私は彼を止めませんでした。
map_0817#193	シリウスは毒でした。急進的な行動こそが教団の目標達成に役立つと主張していた。
map_0817#194	それが正しい行動だったのかもしれません。
map_0817#195	しかし、それは失敗する運命にあった。
map_0817#196	なぜなら、シリウスは教団の目標など何とも思っていなかったからです。
map_0817#197	彼はただ、歴史に名を刻みたかっただけだった。
map_0817#198	もし私が彼を止めていたら…
map_0817#199	彼の身勝手な動機を、他の者たちに説得しようとしていたら…
map_0817#200	リンがあれほどの影響力を得ることは、決してなかったかもしれません。
map_0817#201	そうすれば、エレナも今頃まだ…
map_0817#202	そうすれば、フェニックスも今頃まだ…
map_0817#203	イライアス: …バトルではお気をつけて、我が主。
map_0817#204	彼女は、私が知る中でも最も手強いトレーナーの一人でした。
map_0817#205	ヘザー: また二人一組?
map_0817#206	まったく、\PN、チャンピオンルームまで戻って寂しいかもって思ってたけど、まさか観光地にするとは思わなかったよ!
map_0817#207	シェリー: いや、それ違うから。
map_0817#208	彼と一緒に来たんじゃないの。
map_0817#209	彼があたしについてきたの!
map_0817#210	彼女と一緒に来たんじゃないの。
map_0817#211	彼女があたしについてきたの!
map_0817#212	この人と一緒に来たんじゃないの。
map_0817#213	この人があたしについてきたの!
map_0817#214	\PNに、前よりどれだけ成長したか見せたかったの!
map_0817#215	それで、一番いい方法は自分一人で他のリーダー全員に挑むことだって決めたの!
map_0817#216	もちろん、まだ正式に勝ち上がってきたわけじゃないから、これは練習試合なんだけど…
map_0817#217	でも、あんたも\PNも友達だから、これくらいいいよね?
map_0817#218	ヘザー: 別にいいけど、
map_0817#219	そんなに負けたいなら、いつでも喜んで付き合ってあげる!
map_0817#220	シェリー: ねえヘザー、そういうところ好きよ。
map_0817#221	いつも自信満々で元気いっぱいで、
map_0817#222	世界がひっくり返る直前だっていうのに!
map_0817#223	ヘザー: あら???
map_0817#224	本気であたしに挑発してるつもり?
map_0817#225	ちっちゃいシェルベルもついに生意気になってきたわけ!?
map_0817#226	シェリー: え、いや――違うの、そんなつもりじゃ――
map_0817#227	失礼なことしようとか、そういうんじゃなくて…
map_0817#229	自分から始めといて、今さら縮こまらないでよ!
map_0817#230	怒ってるなんて一言も言ってないし!
map_0817#231	むしろ、有言実行するあんたを見るのが待ちきれない!
map_0817#232	どうせ全力でやるつもりなら、それでいいじゃない?!
map_0817#233	その方が絶対楽しいでしょ?!
map_0817#234	シェリー: わかった、いいわ――自分で望んだんだからね!
map_0817#235	本気でそう思ってるなら、あんたを新世界まで蹴飛ばしてやるしかないわね!
map_0817#236	ヘザー: それでこそ!
map_0817#237	かかってきなさい――あんたのタイプみたいに叩き潰してやる!
map_0817#238	シェリー: 行くわよ、ヘザー! とっしんの時間!
map_0817#239	ヘザー: はぁ、メガヤンマってとっしん覚えないから!
map_0817#240	シェリー: 誰がメガヤンマに言ったなんて言った?
map_0817#241	忘れないで、あんたが話してるのは、いつか世界一のトレーナーになる女の子なんだから!
map_0817#242	ヘザー: また戻ってきたんだ?
map_0817#243	まあ、いつも通りだよね!
map_0817#244	そう簡単には負けないから!
map_0817#245	あたしのレベルまで上がってこられると思う?!
map_0817#246	完全なコントロール! 完全な自由!
map_0817#247	誰にも打ちのめされたりしない!
map_0817#248	ボーマンダ、離陸の時間!
map_0817#249	ヘザー: ちょっと!
map_0817#250	いつ来るんだろうって思ってたよ、もう!
map_0817#251	ここでどれだけ待ってたと思ってるの?
map_0817#252	ヒントあげる――永遠に近いくらい。
map_0817#253	アンナに『もうすぐ』何かのためにここにいなきゃって言われたのに、結局すごく時間かかったし!
map_0817#254	…とにかく、
map_0817#255	えっと…
map_0817#256	正直に言うと、ずっとあなたに言いたかったことがあるの。
map_0817#257	自分がその、ちょっとわがままだったのはわかってる。
map_0817#258	それでもあなたはアメトリンで助けに来てくれたし、
map_0817#259	あの時何が起きてるのかよくわかってなかったけど、あの医者のところにもあなたはいてくれた…
map_0817#260	あなたとシェリーはいつも精一杯やってくれた、わたしにそんな価値なんてなかったのに。
map_0817#261	人に優しくされるのに、あんまり慣れてないんだ。
map_0817#262	だって、うちの父親がどんな感じだったか見たでしょ。
map_0817#263	それで、父の古い日記を見つけたの。
map_0817#264	自分なりの、変で回りくどいやり方だったけど、あの人はただわたしを気にかけようとしてたんだと思う。
map_0817#265	受け止めるのは大変だけど、わかった気がする。
map_0817#266	どう向き合えばいいのか、まだよくわかんないけど?
map_0817#267	えっと…うわ、今のわたし、シェリーみたいだ。
map_0817#268	とにかく言いたいのは、いい…?!
map_0817#269	ありがとう!
map_0817#270	その…わたしがあんな態度だったのに、助けようとしてくれて…
map_0817#271	あー、もう、いいや!!!
map_0817#272	そんなの気にしてないよね!?
map_0817#273	そんなこと関係ない、戦いに来たんでしょ!
map_0817#274	でも今のわたしを甘く見てると、吹き飛ばされるからね!
map_0817#275	何が起きてるのかよくわかってなかったけど、あなたが前にわたしを助けてくれてたのは知ってる。
map_0817#276	その、あの医者絡みで。
map_0817#277	たぶんあの頃、わたしにはそれが必要だったんだと思う。
map_0817#278	それに、アメトリンでも。
map_0817#280	ちゃんと言ったことなかった気がするから…
map_0817#282	でも!
map_0817#283	ここ、元々はママの立場だったの、知ってる?
map_0817#284	こっそりママのポケモンを鍛えてて、他にも馴染みのポケモンを何匹か手に入れたの…
map_0817#285	でも最後は、自分自身の力でこの座を勝ち取った!
map_0817#286	わかった?!
map_0817#287	わたしはここまで来た!
map_0817#288	もう助けてもらう必要なんてない!
map_0817#289	こんなに強いポケモンがいるんだから!
map_0817#290	いい?!
map_0817#291	でも今のわたしを甘く見てると、吹き飛ばされるからね!
map_0817#292	だから、もう一分も無駄にしないで。
map_0817#294	ヘザー: ぐぬぬ…
map_0817#295	まあ、あなたなら当然か。
map_0817#296	とにかく、もう勝ったなんて思わないで!
map_0817#297	わたしはただの一番手。みんな全員倒さなきゃいけないんだから!
map_0817#298	また今度!
map_0817#299	ボーマンダ、ゆっくり休もうね!
map_0817#300	あ…それと、そうだ…
map_0817#301	ヘザー: これ、もうすぐ必要になるかもしれないから。
map_0817#302	貸してあげる、いい?
map_0817#303	ヘザー: でも、ちゃんと返してよね!
map_0817#304	なくしたら、本気でぶちのめすからね!
map_0817#305	わかった!?
map_0817#306	よし!
map_0817#307	ヘザー: やあ、\PN!
map_0817#308	この変な見た目の子、誰が入れたのかと思ってた。
map_0817#309	なんでそんなことしたの?
map_0817#310	フローラ: は?
map_0817#311	誰か喋ってる? 誰も見えないんだけど。
map_0817#312	ヘザー: ここにいるし、ちゃんと見えてるくせに!
map_0817#313	フローラ: あら、ごめんなさいね! あんまり小さくて気づかなかったの!
map_0817#314	ボーマンダが態度悪いだけかと思ってたわ!
map_0817#315	ヘザー: 気をつけないと、その態度の悪さをあんたに全部ぶつけるよ!
map_0817#316	フローラ: …誰がこの小さくて生意気なガキを四天王に入れたわけ?
map_0817#317	お昼寝の時間じゃないの?
map_0817#318	ヘザー: そんなわけないでしょ!
map_0817#319	1対2で戦うんだよね?!
map_0817#320	かかってきなさいよ!
map_0817#321	フローラ: ちょ、ちょっと待って…
map_0817#322	今わたし――
map_0817#323	『離陸の時間』?
map_0817#324	マジで?
map_0817#325	頼むから、それが本当にあんたの決め台詞じゃないって言って。
map_0817#326	ヘザー: …それの何が悪いのよ、ああ?!
map_0817#327	あたしは風の乙女なの! 決め台詞なんて好きに決めていいでしょ!
map_0817#328	フローラ: ハハハハハハハハ!
map_0817#329	あはは、ハハハ! もう無理――!
map_0817#330	サイテー!
map_0817#331	しかも『風の乙女』ですって???
map_0817#332	5歳児が考えたみたい――あ、そっか。
map_0817#333	ヘザー: ぐぬぬ、後悔させてやる!
map_0817#334	全力でぶつかっていくから――覚悟しといてよね!
map_0817#335	フローラ: …\PN。
map_0817#336	ここまで来といて、フルパーティすら連れてきてないってどういうこと?
map_0817#337	あたしに負けてほしいわけ?
map_0817#338	(マジで、この馬鹿がどうやってチャンピオンになったわけ…)
map_0817#339	戻ってちゃんとポケモン連れてきなさいよ、あたしの我慢が切れる前にね!
map_0817#340	フローラ: ねえ、\PN?
map_0817#341	何やってるの?
map_0817#342	もしかして、ポケモンを選ぶ必要があるのを忘れちゃったとか?!
map_0817#344	フローラ: うわ、タイプ2つも有利だったのに、それでも負けるんだ。
map_0817#345	ヘザー: \PNに助けてもらっただけでしょ!
map_0817#346	フローラ: 情けない。
map_0817#347	\PNみたいなのがチャンピオンでいられる理由、わかってきたわ。あんたがこの地方最高のトレーナーの一人だっていうならね。
map_0817#348	四天王って全員保育園から連れてきたの?
map_0817#349	ヘザー: もういい、帰る!
map_0817#350	\PN、この子の金切り声聞き続けて、鼓膜がまだ無事だといいけどね!
map_0817#351	またね!
map_0817#352	フローラ: …チッ。
map_0817#353	まあまあのバトルだったかな。
map_0817#354	先に行くから。
map_0817#355	崖から落ちたりしないようにね。
map_0817#356	ヘザー: やっほー! \PN!
map_0817#357	やっと来た! また来るの待ってたんだから!
map_0817#358	最近、何か面白いことないかなってうずうずしてたの!
map_0817#359	チャンピオンだからって、あたしに手加減しないでよね!
map_0817#360	しっかり掴まってないと、吹き飛ばされるよ!
map_0817#362	ヘザー: もう!
map_0817#363	楽しみにしてたのに、また負けちゃった!
map_0817#364	調子に乗りすぎないように気をつけなさいよね!
map_0817#365	次はあんたの周りをぐるぐる飛び回ってやるから!
map_0818#0	ベネット: また、ここで会いましたね。
map_0818#1	ローラ: すべての種が完璧な花に咲くとは限りません。
map_0818#2	ベネット: だからといって、一つ一つを同じように大切にしない理由にはなりません。
map_0818#3	一度の失敗が、常に失敗を意味するわけではありません。
map_0818#4	ローラ: 勝利の種はすでに植えられています。
map_0818#5	あとは、実を結ぶまで育てるだけです!
map_0818#6	自然に対して、私たちの運命を試しましょう!
map_0818#7	ローラ: ようこそ、\PN、私の庭へ。
map_0818#8	この出会いは、長らく待ち望んでいたものだと思います。
map_0818#9	ともに過ごしたわずかな時間、あなたと共に働けたことを嬉しく思っています。
map_0818#10	あなたの功績については、多くを耳にしています。
map_0818#11	そして、私がスリーパーの術にかかっていた時、目を覚まさせる原動力となったのがあなただったと理解しています。
map_0818#12	このことをはじめ、私の姉妹たちにしてくださったすべてに、永遠の感謝を捧げます。
map_0818#13	ですが、恐れながら一つ厄介な事情がございまして、あなたもご存知かもしれませんが……
map_0818#14	ベネット: よく来たね、\PN。
map_0818#15	ローラ: これが私たちの至った妥協案です。
map_0818#16	ベネット: リボーンの四天王はどのみち2タイプ制だと、もう知ってると思うけど。
map_0818#17	グランドホールの人たちと話し合った結果、その2タイプを二人で分けても問題ないと判断されたんだ。
map_0818#18	6匹制限さえ守れば、実質的には通常の試合と変わらない。
map_0818#19	ローラ: ベネットには少々複雑な過去があると承知していますが、私たちを一つのものとして扱っていただければと思います。
map_0818#20	過去の状況が、現在の扱いを決定づけるべきだとは思いません。
map_0818#21	もしそうだとしたら、私もこうして恵まれた立場にはいられなかったでしょうから……
map_0818#22	そして、花にどんな傷がついても、毎年春に新しい花が咲けば、それは消えていくものです。
map_0818#23	ベネット: 状況に適応する能力は、あらゆる生物に必要な特性だよ。
map_0818#24	ローラ: そして自然が美しいのは、まさに絶えず変化し続けているからです。
map_0818#25	ベネット: 変わらない者は、必ず世界に取り残されていく。
map_0818#26	僕は取り残されるつもりはないし、\PN、君もそうでないことを願うよ。
map_0818#27	ローラと僕は、パートナーとしてお互いのバトルスタイルに適応するよう努めるつもりだ。
map_0818#28	\PN、君がどう自分の状況に適応してきたか、見せてくれ!
map_0818#29	ベネット: 見事だ。後で研究のためにメモしておこう。
map_0818#30	ベネット: \PN、『アポリシス』って何か知ってる?
map_0818#31	ベネット: 見事だ!
map_0818#32	なら、自分がどれだけ成長してるか、もうわかってるのかもしれないね。
