map_0818#90	ローラ: あなたの勝利があなたの誇りになるのなら、私にはそれで十分です。
map_0818#91	フローラ: …別に。
map_0818#92	まあまあの戦いはしてくれたわね。
map_0818#93	（草タイプ使いが偉い立場にいるのを見るのは、悪くないわね……）
map_0818#94	（もしかしたら、ここの全員がクズってわけでもないのかも）
map_0818#95	でもあんた、マジで自分のためにならないくらいお人好しすぎるわね。
map_0818#96	ローラ: …………それは、時々言われますね。
map_0818#97	もしかして、私の妹に会ったことはありませんか?
map_0818#98	あなたたち二人はとても気が合うと思うのですが。
map_0818#99	もしかしたら、危険なくらいに……
map_0818#100	………おそらく、会わない方がよいのかもしれません。
map_0818#101	フローラ: バケットリストに入れとくわ。
map_0818#102	先に行くわね。
map_0818#103	ローラ: 彼女は私の姉妹たちとよく似たタイプの女性のようですね。
map_0818#104	彼女たちも皆、目標をひとまず置いて、花々の中で静けさのひとときを楽しむことを学べば、きっとためになると思うのですが。
map_0818#105	彼女のことをよく知りませんが、もしかして、そのことを知っているからこそ、彼女自身も草タイプを使うのではないかと望むのは、あまりに単純すぎるでしょうか。
map_0818#106	またここに戻って来てくださって、本当に嬉しいです。
map_0818#107	最近、私の庭の花々がとてもよく育っているのに、お気づきになりましたか?
map_0818#108	こういう瞬間には、その美しさを一緒に見てくれる人がいることに感謝します。
map_0818#109	一緒に、少し眺める時間を楽しみましょうか?
map_0818#111	ローラ: あなたと過ごすどんな瞬間も、大切にすべきものです。
map_0818#112	今日の残りの時間も、同じくらい美しいものであることを願っています。
map_0818#113	私の庭には、いつでもお好きな時にお越しください。
map_0818#114	ローラ: 今日の残りの時間も、同じくらい美しいものであることを願っています。
map_0818#115	はい
map_0818#116	いいえ
map_0819#0	イライアス: 主、汝らとともにあらんことを。
map_0819#1	あなたは戻られたのですね。
map_0819#2	Repetita iuvant、しかしそれ以上に、あなたの信念が強くあることを願います。
map_0819#3	無駄にする時間はありません、
map_0819#4	すぐに彼らを試してみましょう。
map_0819#5	彼が汝に授けた精神を、私にお見せください!
