map_0824#135	この現実でノストラに残されたわずかな力じゃ、できることもそんなに多くない……
map_0824#136	でもみんな、あたしに信じてくれてる……
map_0824#137	それに、みんな\PNのことも信じてくれてる!
map_0824#138	聞いて!
map_0824#139	ジュリア: みんな知ってるよ、\PNが最強だって～
map_0824#140	チームメテオなんて、あいつがきっちり終わらせてくれるよ～!
map_0824#141	チームメテオなんて、あの子がきっちり終わらせてくれるよ～!
map_0824#142	チームメテオなんて、あの人たちがきっちり終わらせてくれるよ～!
map_0824#143	ヴィクトリア: みんなが望んでいるのは、誰にも成し遂げる力のない結末です。
map_0824#144	でも、それでも私たちは力になれますよね?
map_0824#145	たとえ弱く、不完全で、無力だとしても、
map_0824#146	それでも私たちは、変化を生み出せます。
map_0824#147	フロリニア: このスピーカーは――
map_0824#148	いや、そうではなく……私自身、人間の心にある感情の全域を、本当の意味で理解し向き合う方法を、まだ学んでいない。
map_0824#149	しかし、それらが分かちがたく存在していることは受け入れている。
map_0824#150	少なくともこれは、次のものだと特定できる……
map_0824#151	希望だ。
map_0824#152	アマリア: すべてのものは、いつかは終わるものよね?
map_0824#153	あたしみたいな人間には、それがお似合いなのかもしれないけど、
map_0824#154	でも世界が燃え尽きちゃったら、あたしは幸せになる方法を学ぶことすらできなくなる。
map_0824#155	\PN、終わらせるべきものがチームメテオになるように、あんたを信じてる。
map_0824#156	サファイラ: この長い戦いも、終わりに近づいています。
map_0824#157	喉元を狙って。
map_0824#158	それで足りなければ、心臓を。
map_0824#159	シェリー: いつか、あたしは世界中で一番のむし使いになるんだから!
map_0824#160	そう、この世界で! あたしたち全員で一緒に戦い取った、この世界で!
map_0824#161	キャル: すべてのものには、変わる力がある。
map_0824#162	今こそ、それに賭けよう。
map_0824#163	ノエル: わからないことが多すぎる、
map_0824#164	愛とか、家族とか、人とか。
map_0824#165	でも、いつかわかるはず。
map_0824#166	その可能性は、まだ残ってる。
map_0824#167	シャルロット: はいはい、\PNがここまで来て、今さらつまずくわけないっしょ。
map_0824#168	もう仕事の99%は終わってるようなもんだって。
map_0824#169	仕上げなさいよ、解体屋さん!
map_0824#170	アヤ: \PNがいなかったら、あたしたち、とっくにここにいなかったと思う。
map_0824#171	ハーディ: でも、俺たちはここにいるし、それは絶対変わらねえ!
map_0824#172	\PNが、きっちり片をつけてくれるよな、な?!
map_0824#173	セラ: 今はすべてが粉々になっていたとしても、そこから何も良いものが生まれないというわけではないわ。
map_0824#174	必要なのは、それでも前へ進む強さだけよ。
map_0824#175	ルナ: わたしたちを忘れないで、\PN。
map_0824#176	わたしは今、これまでになくあなたの近くにいる。
map_0824#177	わたしも、これがこんな形で終わることを許さない。
map_0824#178	これは、わたしたちが大切にすべき闇ではない。
map_0824#179	ティタニア: フン。
map_0824#180	あんた、\PNがそんなもんに屈するとでも本気で思ってんの?
map_0824#181	あいつが「諦める」なんて言葉の意味、知ってるとは思えないんだけど。
map_0824#182	あの子が「諦める」なんて言葉の意味、知ってるとは思えないんだけど。
map_0824#183	あの人たちが「諦める」なんて言葉の意味、知ってるとは思えないんだけど。
map_0824#184	アドリエンヌ: チャンピオン!
map_0824#185	もし君がそこにいるのなら、間違えるな!
map_0824#186	今こそ、君が輝くべき瞬間だ!
map_0824#187	未来が君に用意しているものすべてを、今、この手でつかみ取れ!
map_0824#188	シエル: あの愚か者、本当にどこかに行ってしまったのですね。
map_0824#189	それでも、あの人と、あの頑固な性根が、無事でいると信じておりますわ。
map_0824#190	あなたも、まだ、わたくしたちを裏切って話をひっくり返したりしませんでしょうね!
map_0824#191	この舞台は、まだ終わっておりません!
map_0824#192	アスター: あのグループ、そこまで行ったんスか?
map_0824#193	この調子なら、エクリプスにも望みがあるかもっスね……
map_0824#194	ブレイク: おいおい、うまくいってないなんて言うなよ。
map_0824#195	お前がここで負けたら、俺が勝ち組の側にいられるわけねえだろ?
map_0824#196	まあ、俺が調子に乗ったら、どのみちキャルにこの崖からぶん殴られるんだろうけどな……
map_0824#197	アークライト: よお、聞いてる全員に一言な!
map_0824#198	大した速報でもないから知らねえと思うが、これは個人的な話でもあるんだ。
map_0824#199	今この瞬間も、この世界に秩序を取り戻すために、一人の人間が最後まで戦い抜こうとしてる。
map_0824#200	さあ、\PNに大きな拍手を送ってくれ!
map_0824#201	ヘザー: これって全部、あたしのパパのせいじゃないよね?
map_0824#202	あの悪党どものせいで、パパは巻き込まれただけだから。
map_0824#203	あたしの両親が経験したようなこと、もう二度と誰にも起きないようにしてよ!
map_0824#204	ローラ: 自然の中のすべては、人生と同じく、儚いものです。
map_0824#205	どんなに厳しい冬も、いずれは過ぎ去らねばなりません………
map_0824#206	そして、それが過ぎ去るとき、実り豊かな春がやって来ます。
map_0824#207	ベネット: これは、世界の変態の最終段階なんだろうね?
map_0824#208	でも、心配する必要はないよ。
map_0824#209	僕は\PNのことをよく知ってる、だから確信を持って言えるよ、あの子ならきっとやり遂げる!
map_0824#210	ファーン: チッ、あのザコ、まだそんなとこでもがいてんのかよ?
map_0824#211	さっさとしっかりしろよな。
map_0824#212	俺様をあんな風にぶちのめすようなやつなら、あんな女の一人くらい、楽に片付けられるはずだろ。
map_0824#213	てめえもわかってんだろ、いけるって、だからそんな顔すんなよ!
map_0824#214	イライアス: 我が主は、あの女にあまりにも長く汚されてきました。
map_0824#215	\PN、正義を打ち立てるのは、あなた、あなただけのものです。
map_0824#216	ゼロ: 俺みたいな奴が言うことじゃねえけど、残された選択肢は勝つことだけだろ?
map_0824#217	イヴ: これで最後よ、消し去るべきわたしの過ちは――
map_0824#218	アーク・PULSE、結局リンが完成させてしまったもの……
map_0824#219	それでも、PULSEアルセウスと\PNのどちらに賭けるかと言われたら、わたしは迷わず\PNに賭けるわ。
map_0824#220	ルミ: できるよ!
map_0824#221	あたしたち全員――世界中が――あなたに賭けてるんだから!
map_0824#222	今こそ、あなたが輝くときだよ!
map_0824#223	アンナ: これが、みんなの願いの力だよ!
map_0824#224	アンナ: これまでずっと築いてきた、みんなとの強い絆で……
map_0824#225	あなたを、まだ燃え尽きさせたりしない!
map_0824#226	アンナ: 世界を変える力を持ってるのは、リンだけじゃない……
map_0824#227	ノストラの力だけじゃ足りないなら、あたしがみんなの希望の器になる!
map_0824#228	アンナ: たとえ現実があたしのことまで拒絶するくらいのエネルギーが必要になっても……
map_0824#229	アンナ: あたしたちは、リンをついに倒せるように世界を作り変える……
map_0824#230	アンナ: ……そして、\PNがみんなの勝利のために生き続けられるように!
map_0824#231	アンナ: 今がその瞬間だよ!
map_0824#232	今度こそ、やって!
map_0824#233	リン: はぁぁぁぁぁ???
map_0824#234	うわマジかよ、友情パワーで不可能を乗り越えようっての?
map_0824#235	どんだけベタなの、それ???
map_0824#236	そりゃそうだよね、アンナならそういうバカなことしそう。
map_0824#237	最初から言ってたじゃん、「友達は助けにならない」って?!
map_0824#238	あ、でも彼女、もうあたしの声聞こえないんだっけ?
map_0824#239	いなくなっちゃったんでしょ?
map_0824#240	あちゃー～
map_0824#241	でもそれ、あたしのせいみたいな顔で見ないでよね!
map_0824#242	現実を捻じ曲げるのに、そんなに力使うって選んだのは彼女なんだから!
map_0824#243	想像してみてよ???
map_0824#244	頑張らなきゃいけないなんて????
map_0824#245	あはははは!!??
map_0824#246	てかさ、ああいうこと、現実を書き換えるみたいなの……
map_0824#247	今のあたしにはもう、普通にできちゃうんだよね!!
map_0824#248	初めて子犬アルセウスを見つけたときは、あいつの力だってまだ全然発達してなかったのに。
map_0824#249	でも今は、あたしの望むこと何でもできるようになったよ!
map_0824#250	そうだよね、わんちゃん?
map_0824#251	リン: ほらね????
map_0824#252	綺麗でしょ???
map_0824#253	あの人形にアーク・PULSEを完成させて、あんたが来るよりずっと前に、ケーシィでここまでテレポートさせてきたんだ。
map_0824#254	赤ちゃんポケモンを一瞬で大人に成長させるPULSE……
map_0824#255	そんなの、超つまんなくない?????
map_0824#256	アルセウスを成熟させるためにアーク・PULSEを作ったわけじゃないの………
map_0824#257	ただ、あの子に……違う存在になってほしかっただけ。
map_0824#258	なんでだかわかる???
map_0824#259	だって、あの子はあたしのものだから。
map_0824#260	そして、最高の子犬になるんだから。
map_0824#261	どっちにしても、こっちの方が良いってあんたもわかってるでしょ。
map_0824#262	どのポケモンだって、育てば結局みんな同じようなものになる。
map_0824#263	それに、わんちゃんはただの虚無の中には終わらなかった。
map_0824#264	だいたい、なんであの子が他のみんなと同じになりたがるって思うわけ?
map_0824#265	てか、あんたに、あたしたちの何がわかるっていうの?!
map_0824#266	あたしたちは、こんなバカな世界に生まれたいなんて頼んでない!
map_0824#267	大人はいつだって、ろくでもないことしてても逃げ切れるでしょ?
map_0824#268	浮気する恋人、嘘つく医者、子供に何やってもいい親……
map_0824#269	そういうものでしょ、そうでしょ???
map_0824#270	そうあるべきじゃないのに、それが現実に起きてる、そうでしょ?
map_0824#271	だから教えてよ、ねえ?
map_0824#272	どうして他のみんなはあらゆる汚いことをやっても許されるのに、これだけは一線を越えたことになるわけ?!
map_0824#273	リン: 教えてよ、理由を!
map_0824#274	なんであたしだけが、みんなに傷つけられる側になるの?!
map_0824#275	あたしも今までさんざん悪いことしてきたけど、誰も、あたしがそれをするまで待ってから、あたしを傷つけたわけじゃない。
map_0824#276	リン: 何、まだあたしのこと可哀想だと思わないの????
map_0824#277	これがただ、世界の仕組みってだけでしょ。
map_0824#278	他のみんなは、悪にならずにそれと折り合いをつけてる、でしょ?
map_0824#279	それって、あんたが恵まれてるから言えることなんじゃないの???
map_0824#280	他のみんなには、こんな力が突きつけられてなかっただけ。
map_0824#281	他のみんなには、あたしが持ってなかったものがあった。
map_0824#282	絶対的な権力がどうこうとか、うんぬんかんぬん。
