map_0825#118	相手のポケモンを考えれば、そう時間はかからないはずよ。
map_0825#119	準備ができたら、もう一度挑戦する?
map_0825#120	ダニエール: 始める前に、説明しておくことがあるわ。
map_0825#121	この石板には、氷のこの区画をさまざまな方向に滑って渡るよう指示が書かれているの。
map_0825#122	だから、たとえば「左に滑って」と言ったら、その方向に氷の区画を渡るだけでいいのよ。
map_0825#123	注意点が二つ。
map_0825#124	一つ、氷の中央部分でなければならないわ。端は数えないの。
map_0825#125	二つ、氷が所々ひび割れているのがわかるでしょう。
map_0825#126	氷が割れて、何もない地面の区画に取り残されたら、この儀式は失敗になるわ。
map_0825#127	わかった?
map_0825#128	ダニエール: よろしい。
map_0825#129	それじゃ、準備はいい?
map_0825#130	ダニエール: よろしい、もう一度やるわ。
map_0825#131	ダニエール: さあ、やりましょう。
map_0825#132	氷の近くに立って。今回は正確な位置は関係ないわ。
map_0825#133	ダニエール: やるべきことをやって。
map_0825#134	ダニエール: サイモン・セズ、左に滑って。\wtnp[35]
map_0825#135	ダニエール: サイモン・セズ、右に滑って。\wtnp[35]
map_0825#136	ダニエール: 今度は下に滑って。\wtnp[35]
map_0825#137	ダニエール: サイモン・セズ、もう一度左に滑って。\wtnp[35]
map_0825#138	ダニエール: もう一度右に。\wtnp[35]
map_0825#139	ダニエール: サイモン・セズ、上に滑って。\wtnp[35]
map_0825#140	ダニエール: 今度は下に滑って。\wtnp[35]
map_0825#141	ダニエール: サイモン・セズ、右に滑って。\wtnp[35]
map_0825#142	ダニエール: 何も起きない?
map_0825#143	今回はいじめないでおいてあげる、この儀式はやけに作り込まれているようだから。
map_0825#144	ひび割れを避けて考えなきゃいけない部分があるみたいね。
map_0825#145	ダニエール: ……そうね。
map_0825#146	これがこの中で一番ややこしいわ。
map_0825#147	わたくし、少しは意地悪な自分に誇りを持っているけれど、これに関してはあんたをからかったりしないわ。
map_0825#148	サイモン・セズは一旦お休みよ、これは自分のペースで解いていいから。
map_0825#149	説明させて。
map_0825#150	重要なのは、氷のひび割れよ。
map_0825#151	五つすべて割らなきゃいけなくて、それぞれ割るときに滑る方向が決まっているんだけど、
map_0825#152	割る正しい順番は、わたくしたちにはわからないの。
map_0825#153	間違った方向に滑って割ったら、失敗。
map_0825#154	すでに割れた場所を踏んでも、失敗。
map_0825#155	正しい順番は……
map_0825#156	左、右、左、上、右。
map_0825#157	その方向に五回滑って、それぞれ氷を割る。
map_0825#158	もう一度確認したいときや、氷が元に戻るまで時間を潰したいときは、また話しかけて。
map_0825#159	多分、それだけのことよ。
map_0825#160	ダニエール: どうしたの?
map_0825#161	ダニエール: 時間が経てば、また新品同然になるわ。
map_0825#162	ダニエール: 決まった順番で滑って、氷のひび割れを五つ全部割って。
map_0825#163	順番は、左、右、左、上、右。
map_0825#164	間違った方向に滑って割ったら、失敗。
map_0825#165	ダニエール: これで片付いたわね。
map_0825#166	この手の儀式って、本当に細かいことにうるさいのよね……
map_0825#167	それに、この次元は最近できたばかりって言ってたわよね?
map_0825#168	この石の感触からすると、そうは思えないけど――
map_0825#169	まあ、わたくしなんて、人をいじって文句を言うのが好きな、ただの目の見えない女の子でしかないけど。
map_0825#170	ダニエール: さあ、行って。次の部分にはわたくしは必要ないはずよ。
map_0825#171	レジアイス: シュゥゥゥゥゥ？
map_0825#172	サイモン・セズ……
map_0825#173	あたしのこと忘れないで？
map_0825#174	レジスチル: ガリガリガリガリッ――
map_0825#175	ダニエール: 終わったわ。これは問題ないはずよ。
map_0825#176	準備ができたらいつでもどうぞ。
map_0825#177	ダニエール: また戻ってきたの? まあ、責める気はないけれど!
map_0825#178	冷酷な独裁者サイモンが追い出されたことで、新しい可能性の世界が私たちに開かれたんだもの。
map_0825#179	ダニエール: もう一度、あのわくわくするサイモン・セズをやる準備はいい?
map_0825#180	……ねえ、今考えてみたんだけど……
map_0825#181	そもそも、このサイモンって一体誰なの?
map_0825#182	サイモンなんて人、わたくし知らないんだけど、あんたは知ってる?
map_0825#183	今どき、自分の子供に「サイモン」なんて名付ける人、いないと思うわ。
map_0825#184	あれだけ偉そうなところを見ると、無理もないけど。
map_0825#185	なんて道具みたいな人。
map_0825#186	もっといい考えがあるわ。
map_0825#187	今度は「ダニエール・セズ」をやりましょう。
map_0825#188	ルールは全部同じだけど、ゲームは五倍良くなったわ。
map_0825#189	さあ、この強化された体験の準備はいい?
map_0825#190	ダニエール: やりましょう!
map_0825#191	真ん中に立って、ダニエールの素晴らしいダニエール・セズが始まるわよ!
map_0825#192	ダニエール: わかるわ、一度に受け止めるには素晴らしすぎるものね。
map_0825#193	心配しないで、わたくしはここにいるから。
map_0825#194	きちんと準備して、決意を持って臨めば、いつかあんたにもこの素晴らしさの全てに耐えられるようになると信じているわ。
map_0825#195	ダニエール: そして、これで終わり。
map_0825#196	まあ、ダニエール・セズはこれくらいにしておいてあげましょう。
map_0825#197	ダニエール: あら、できたのね!
map_0825#198	あの臭くて古い、名もなきサイモンなんとかの代わりに、わたくしの言うことを聞けるようになったんだから、これくらいにしておいてあげましょう。
map_0825#199	正直、語呂合わせとしてはこっちの方がよくできてるんだけどね……
map_0825#200	まあいいわ! あんた、用事があるんでしょう?
map_0825#201	ダニエール: このゲームはまたいつかやりましょうね。
map_0825#202	どちら向きに回す?
map_0825#203	ダニエール: これで全部ね?
map_0825#204	新しい空間次元に伝説のポケモンとはね……
map_0825#205	これって、DJアークライトのナイトクラブが仕切ってる件よね?
map_0825#206	わたくしにも、それくらいはわかるわ。
map_0825#207	今度、他に何か手伝えることがないか、様子を見に行こうかしら。
map_0825#208	あんたにお礼を言うべきなのかもしれないわね。
map_0825#209	だって、一日中ロビーに座ってるより、こっちの方がずっと面白いもの。
