map_0827#2755	「街の下のくさい水場所にある扉を人間が行って助ける！」
map_0827#2756	サンディ: トレインタウンのいい人たちから、新しい報告が届いたよ！
map_0827#2757	どうやら、その中の一人がテクナイト尾根をハイキング中に、あの新世界の扉の一つを見たんだって！
map_0827#2758	結構高いところにあったから、そこまで行くにはしっかり山道を歩く必要があるかもしれないけど、
map_0827#2759	何か悪いことが起きる前に、誰かが行って確認した方がいいと思うんだ！
map_0827#2760	今回は何が出るのかな……
map_0827#2761	ギラティナ？ レックウザ？ ネクロズマ？！
map_0827#2762	どう思う、\PN？
map_0827#2763	あたしにネクロズマって似合うと思う？
map_0827#2764	あたしの趣味とは全然違うけど、まあいいや！
map_0827#2765	久しぶりにフィールドワークに戻って、それ見つけに行こうかな……
map_0827#2766	リングマスター: ねえ、頼み事があるんだけど……
map_0827#2767	これは伝説ポケモン狩りとは全然関係ないんだけど、誰かに調べてもらおうとしてたことがあってね――
map_0827#2768	最近、バトルパビリオンに不審な人物が出没してるらしいんだ？
map_0827#2769	そこをずっと掃除しては、変な音を立てて、それから消えていくんだよ。
map_0827#2770	その人に一言、話しに行ってもらえないかな？
map_0827#2771	チャンピオンのあなたほど、そこから追い出すのにぴったりな人はいないと思うんだ。
map_0827#2772	リングマスター: ああ、よかった。
map_0827#2773	助かるよ、正直、その件はもうかなり不気味に感じ始めてたから。
map_0827#2774	その人物は、シングルバトルパビリオンの区画で頻繁に目撃されてるよ。
map_0827#2775	頑張ってね！
map_0827#2776	リングマスター: 本物の伝説ポケモンの方が優先だよね……
map_0827#2777	大丈夫、大丈夫！ 代役なら誰かいるはずだから。
map_0827#2778	リングマスター: 最近、バトルパビリオンに不審な人物が出没してるらしいんだ？
map_0827#2779	リングマスター: あはは……？
map_0827#2780	その不審な人物は、変装したミュウツーだったの……？
map_0827#2781	ミュウツーがここで一体何をしてたのよ？！
map_0827#2782	いや、それより――そもそも誰がそいつをバトルパビリオンに入れたわけ？？？
map_0827#2783	それを担当してた係員が、うちのサーカスのピエロの一人だったなんて、思ってもみなかったわ！
map_0827#2784	……まあいいわ、大丈夫、全部大丈夫。
map_0827#2785	さて、これはもう本当にあなたの仕事になっちゃったみたいね。
map_0827#2786	そのミュウツーがここから飛び去っていったのと同じ頃――修理費のことはまだ聞いてないし、聞きたくもないんだけど――新しい反応が出たの。
map_0827#2787	どうやら、別の新世界の扉が出現したみたい。今回はタンザン山の奥深くから。
map_0827#2788	何をすればいいか、わかってるわよね？
map_0827#2789	リングマスター: どうやら、別の新世界の扉が出現したみたい。今回はタンザン山の奥深くから。
map_0827#2790	シークレスト: おやおや、こんにちは！
map_0827#2791	庭仕事の手を少し休めて、あんたたち元気な若者を手伝おうと思ってね。
map_0827#2792	アドリエンヌ、最近すっかり色々大変そうだねえ……
map_0827#2793	おほほ、街全体を運営してればそうもなるだろうさ！
map_0827#2794	わしなんて、自分の庭一つで何年も手一杯だったよ。
map_0827#2795	あの人もいつか、小さく考えることを覚えるだろうがね、
map_0827#2796	それまでは、わしらにできることを見てみようじゃないか、なあ？
map_0827#2797	もうかなり前から、アズリン湖のあたりを伝説のポケモンが飛び回ってるって噂があってな……
map_0827#2798	この「新世界」とやらのことは、わしにはあまりよくわかっとらんが、
map_0827#2799	もう一人が言うには、そのポケモンたちが出てきた扉は、もう閉じてる可能性が高いって伝えるようにってさ。
map_0827#2800	つまり、アノマリーにはならないってことじゃな、
map_0827#2801	らしいよ。
map_0827#2802	まあ、わしに言わせりゃ、伝説のポケモンってだけでいつでも十分アノマリーだと思うがね！
map_0827#2803	もっとも、今はそうでもないかもしれんが、な？
map_0827#2804	とにかく、わしの理解が正しければ、今回は扉じゃなくて、湖のポケモンそのものを探せばいいってことじゃ。
map_0827#2805	報告によると、水面に一体、水中に一体、洞窟に一体いるらしい！
map_0827#2806	頑張るんじゃぞ、小さなチャンピオンよ！
map_0827#2807	シークレスト: もうかなり前から、アズリン湖のあたりを伝説のポケモンが飛び回ってるって噂があってな……
map_0827#2808	シークレスト: ようこそ、チャンピオン！
map_0827#2809	他の者たちは他のアノマリー報告の監視に出とるが、今のところこの一件があるんじゃ。
map_0827#2810	最近の報告によると、ヴァンハネン城が幽霊屋敷になっとるかもしれん！
map_0827#2811	あんた、つい最近そこに派遣されたばかりじゃなかったかね？
map_0827#2812	だが、中から奇妙な音が聞こえたって報告があってな。
map_0827#2813	覗きに行った者は、暗闇の中でかろうじて見えたと誓って言うんじゃ――
map_0827#2814	ツインテールに髪を結んだ、幽霊のような若い少女……
map_0827#2815	だが瞬きした瞬間、その子は消えてしまったと！
map_0827#2816	それでも、また何らかのアノマリーか伝説のポケモンがその廊下に住み着いたっていう匿名の情報が入っとる。
map_0827#2817	蒼白い、幽霊のような姿が廊下を漂って、見た瞬間にほぼ消えてしまうと。
map_0827#2818	アリーナの近くだそうじゃ。
map_0827#2819	調査してくれるかね？
map_0827#2820	シークレスト: これ以上ふさわしい人物はおらんよ！
map_0827#2821	武運を祈っとるぞ、チャンピオン。
map_0827#2822	ヴァンハネンのアリーナへ！
map_0827#2823	ほほほ、どうしたんじゃ？
map_0827#2824	もしや、我らが勇敢なチャンピオンも、幽霊が少し怖いのかな？
map_0827#2825	それは、いつか使えるネタとして取っておかんとな！
map_0827#2826	シークレスト: ヴァンハネン城の幽霊騒ぎの報告が入っとる。
map_0827#2827	アリーナの近く、何らかの姿がこの現実の中でよろめいとるらしい！
map_0827#2828	恐怖心は置いといて、見に行くのがよかろうよ！
map_0827#2829	アーチャー: 我らが最強のエースに、確認だな？
map_0827#2830	アーチャー: またお会いしましたね、\PN。
map_0827#2831	離れていた間、なかなかの冒険をしていたと聞きました。
map_0827#2832	私にも自分の用事がありましたが、あなたもご存知の通り、それでもここで一役買うことが不可欠だと考えています。
map_0827#2833	結局のところ、私たちはここで、できる限りこの地域社会の要求に応え続けています。
map_0827#2834	あなたも、いつも通り、というわけですね。
map_0827#2835	では、始めましょう。
map_0827#2836	クリソリア地方から、森の近くのどこかから大量の蒸気が吹き出しているという報告がいくつか届いています。
map_0827#2837	おそらくまた伝説のポケモンでしょうが、最近は新世界の扉の報告はないので、もしあったとしても、すでに閉じている可能性があります。
map_0827#2838	いつも通り、突入し、片付け、戻る。
map_0827#2839	支援が必要であれば、待機しています。
map_0827#2840	マクスウェル: 確認いるか？
map_0827#2841	マクスウェル: \PN！ また会えたな！
