map_0827#3105	気にしないで。
map_0827#3106	いろいろありすぎ。
map_0827#3107	ちっちゃな14歳の女の子には荷が重いっての。
map_0827#3108	もっとも、14歳って感じは全然しないけど。
map_0827#3109	神様とつるんでると老けるんだよね。
map_0827#3110	もう20歳くらいにはなってるはず。
map_0827#3111	は、アンナからメッセージ?
map_0827#3112	直接言えばいいのに。
map_0827#3113	何て?
map_0827#3114	……あたしが人見知り??
map_0827#3115	……で、あたしがシャンプーにシリーストリングを仕込むって??????
map_0827#3116	いや、その、まあ……
map_0827#3117	別に人付き合いが好きってわけじゃないけど、さすがにそれを人見知りとは言わないでしょ。
map_0827#3118	てか、あたしがシャンプーにシリーストリング仕込むって??
map_0827#3119	そもそも、シリーストリングと油を混ぜないとダメなんだよね。ほとんどは簡単に落ちるけど、最後のちょっとが? うわぁ……その最後のちょっとが髪に住み着くんだから。
map_0827#3120	てか、これってつまり、あの子は何か仕掛けられると思ってるってこと。
map_0827#3121	だから、完璧な作戦があるの。
map_0827#3122	何するかわかる?
map_0827#3123	何もしない。
map_0827#3124	でもそれは、誰も見たことがないくらい騒がしい「何もしない」になるんだから。
map_0827#3125	たまにチラッと視線を送ってやるの。
map_0827#3126	時々ニヤッと笑って、それっぽく見せかける。
map_0827#3127	あの子の物のそばにわざとらしくうろついてやる。「うわ、リンが何か企んでる。何なのか楽しみ!」ってなるでしょ。
map_0827#3128	で、実際は何もない。
map_0827#3129	何週間もびくびくさせといてやるの。
map_0827#3130	で、たぶんそのまま忘れる。
map_0827#3131	でも数か月後にふと思い出して、寝てる間にツインテールを結んで固結びにしてやる。
map_0827#3132	それで思い知らせてやるんだから。
map_0827#3133	バトルパビリオンへようこそ。ここは踊るか、叩きのめされるかの場所です。
map_0827#3134	参加しますか?
map_0827#3135	今日はシングルとダブル、どちらで戦いますか?
map_0827#3136	現在のクエストのバトルパビリオン部分をスキップしますか?
map_0827#3137	申し訳ありませんが、参加できません。参加には異なる3匹のポケモンが必要です。
map_0827#3138	それぞれ違う種族で、違う道具を持っている必要があります。
map_0827#3139	一部の特殊な種族や、タマゴ、メガストーン、Zクリスタル、メイカー系特性も対象外です。
map_0827#3140	参加させる3匹のポケモンを選んでください。
map_0827#3141	申し訳ありませんが、参加できません。参加には異なる4匹のポケモンが必要です。
map_0827#3142	参加させる4匹のポケモンを選んでください。
map_0827#3143	どうぞお進みください。
map_0827#3144	おめでとうございます!
map_0827#3145	ランダムフィールドのボーナスを含めて……
map_0827#3146	さらにダブルバトルのボーナスも……
map_0827#3147	ダブルバトルのボーナスを含めて……
map_0827#3148	\v[62]BPを獲得しました!
map_0827#3149	記録が更新されました。
map_0827#3150	ご参加ありがとうございました。
map_0827#3151	その頑張りに免じて、\v[62]BPを獲得しました!
map_0827#3152	おかえりなさい。こちらへどうぞ。
map_0827#3153	恐れ入りますが、前回チャレンジを終える前にセーブされていませんでした。
map_0827#3154	申し訳ありませんが、チャレンジはキャンセルされました。
