map_0828#37	シェイド: そのような舞台に、恥はない。
map_0828#38	アヤ: 一回勝ったくらいで、あたしを見くびらないでよね!
map_0828#40	アヤ: あんたも――ええと、違う……
map_0828#41	あたしたち、二人とも強くなったと思う。
map_0828#42	セラ: もう一度、やってみましょうか。
map_0828#44	セラ: 怠けてなかったみたいね、安心したわ。
map_0828#45	ノエル: こんにちは、\PN。
map_0828#46	あなたが旅をしている間、僕も色々学んだんだ。
map_0828#48	ノエル: まだ足りない……
map_0828#49	残りも頑張って。
map_0828#50	ラドマス: これを長く待ち望んでいた。
map_0828#51	これほど多くが明らかになった今――どちらの技量がより輝くか、見せてもらおう。
map_0828#53	ラドマス: またしても、お前のチェックメイトのようだな。
map_0828#54	前回と変わらず、実に楽しい対戦だった。
map_0828#55	ルナ: あなたも美しい闇についてよく理解したようですし、その力の一端をお見せしましょう!
map_0828#57	ルナ: 本当に楽しかったですわ。
map_0828#58	またいらしてくださいね!
map_0828#59	今度は、お茶でも用意しておきましょうか。
map_0828#60	サムソン: 今はそんなに見物人がいないのが残念だな。
map_0828#61	拍手が欲しかったんだが。
map_0828#64	サムソン: 一つ頼むから、テラには負けないでくれ。
map_0828#65	シャルロット: またあたしと火遊びする気? 本気なの?
map_0828#67	シャルロット: いい試合するのは久しぶりだった。ありがと、\PN。
map_0828#68	テラ: よ0。
map_0828#69	また欲し1くて戻ってき0わけ?\tts[また欲しくて戻ってきたわけ?]
map_0828#70	離れられな1ってわか0てたし ;)\tts[離れられないってわかってたし ;)]
map_0828#71	じゃ、覚悟しときなよ1、だってあたし\tts[じゃ、覚悟しときなよ、だってあたし]
map_0828#72	ちょ0スマッシュして
map_0828#73	あんたのチ0ムを消し去ってやる!!!!\tts[あんたのチームを消し去ってやる!!!!]
map_0828#74	ガアアアアア!!! おこだぞ!!
map_0828#75	ガアアアアアア! 超おこだぞ!!
map_0828#76	テラ: へへ、楽しかった
map_0828#77	待って、なにそれ、あたしのイメ0ジに合わな1くな1?\tts[待って、なにそれ、あたしのイメージに合わなくない?]
map_0828#78	さあ、やられちゃいな、ウケる笑笑笑\tts[さあ、やられちゃいな、うける笑笑笑]
map_0828#79	シエル: シャルース山の頂に立ったことがおありでも、わたくしはそれよりもっと高く飛べますのよ、ご存じかしら?
map_0828#81	シエル: 素晴らしかったですわ! これからも高みを目指してくださいね!
map_0828#82	アドリエンヌ: やあ、\PN!
map_0828#83	準備はいいかい?
map_0828#84	ワクワクするな!
map_0828#85	ついにリマッチができるとは、それも君が本物のチャンピオンとしてだ!
map_0828#86	君ならきっとやり遂げると、ずっと思っていたよ。
map_0828#87	さあ、手加減はなしだ。素晴らしい戦いにしたいからね!
map_0828#89	アドリエンヌ: 君がここまで来られたのを見て、本当に嬉しいよ!
map_0828#90	今度の目標まで、あと少しだ!
map_0828#91	ティタニア: さて? どんなものか見せてもらうわ。
map_0828#93	ティタニア: 正直に言うわね。
map_0828#94	悪くなかったわ。
map_0828#95	アマリア: ここまで来られたのね!
map_0828#97	アマリア: 水の深さって、一番美しいものよね。
map_0828#98	あら! なんというか……面白かったわ。
map_0828#100	アマリア: またどこかで会えると思うわ、\PN。
map_0828#101	いつもそうなるみたいだし。
map_0828#102	その間、水の中では気をつけてね!
map_0828#103	引きずり込まれるものって、案外たくさんあるから。
map_0828#104	アマリア: ……また、潮とともに去っていくのね……
map_0828#105	残りもきっと大丈夫よ!
map_0828#106	ハーディ: よう、\PN! オレの新しいサウンド、聞いてくれよ!
map_0828#107	これを待ってたんだぜ!
map_0828#109	ハーディ: よっしゃ、最高だったぜ!
map_0828#110	あと一人だけだ、相棒。お前ならやれるって!
map_0828#111	サファイラ: 全力を出してちょうだい、\PN。
map_0828#112	少なくとも今回は、あたしたちの流儀で戦えるもの。
map_0828#115	サファイラ: またやってのけたのね。
map_0828#116	お見事。
map_0828#117	PCは停止している。
map_0828#118	やあ、あたしはキャスボット、このコンピューターの中に隠れてるの
map_0828#119	スーパーボスラッシュを希望する?
map_0828#120	ピコピコ、了解
map_0828#121	まあ、もうそれには挑戦中なんでしょ。よかったじゃない。
