map_0843#1	この部屋、気に入っていただけましたか?
map_0843#2	この地位が空席になっていると分かった後、私が引き継ぐことを許されたのです。
map_0843#3	奇妙なことに、以前この地位にあった者の記録すら、一つも残っていません。
map_0843#4	イライアスでさえ、その者のことを思い出せないのです。
map_0843#5	そしてもちろん、それゆえに、ローラを追い出した彼の策略が、なおのこと卑劣に思えるのです。
map_0843#6	もしかすると、彼はただずっと老いぼれていただけかもしれませんが。
map_0843#7	いずれにせよ、この内装を気に入っていただければ幸いです。
map_0843#8	私が教団でのこの地位に永続的に就くかは分かりませんが、アンナが体調を崩していたので、模様替えを許されたのです。
map_0843#9	フローラ: ……ええと、そうそう、それなんだけど……
map_0843#10	あんた、ゲイなわけ、それともむしタイプトレーナーなわけ?
map_0843#11	どっちかが不正解なんだけど、どれくらいバカにすればいいか知っときたくて。
map_0843#12	ベネット: ベネット・ヴォクラン、闘士を目指す者、そして鱗翅類学者です。お見知りおきを。
map_0843#13	フローラ: ……それ、答えになってないんだけど。
map_0843#14	……なってる?
map_0843#15	それって、ゲイってこと?
map_0843#16	ベネット: つまり、私が研究しているのは――正直、あらゆるむしタイプなのですが――特に、チョウやガのような四枚羽根の幼虫を持つ昆虫です。
map_0843#17	フローラ: なるほど、じゃあ不正解ってことね。
map_0843#18	気持ち悪い。
map_0843#19	素直にゲイだって言えばよかったのに。
map_0843#20	ベネット: それは……心に留めておきましょう?
map_0843#21	前回の対戦とは、立場が逆転したようだな、\PN。
map_0843#22	今度は私の方が、息の合った二人のトレーナーを相手にする番だ。
map_0843#23	だが、君たち二人は問題なく連携できると見ている、すでにローラを倒しているのだからな。
map_0843#24	心のどこかでは、まだ彼女をパートナーにして君たち二人と戦いたかったという気持ちもある。
map_0843#25	フローラ: え待って――あの子があんたのパートナーだったの?
map_0843#26	ベネット: ああ――誤解だな。
map_0843#27	私たちはバトルのパートナーだ。少なくとも今のところ、それ以上のものではない。
map_0843#28	フローラ: ふう、よかった。
map_0843#29	あんたみたいな気持ち悪い奴と、あの子みたいな人がくっついてたら、マジでドン引きだと思ったし。
map_0843#30	ベネット: 私は……
map_0843#31	……もちろん君の意見は尊重したいが、いまだにそう呼ばれることには、いささか愕然としていることを認めよう。
map_0843#32	清潔さもきちんと保っているし、過去には深く恥じている行いもあったが、行動においても思考においても、他者の境界を聞き入れ、尊重することを学ぼうと最善を尽くしてきたつもりだ。
map_0843#33	自分勝手ではあるが、今後の自己改善のために尋ねたい。一体私の何が、いまだに「気持ち悪い」と映るのだろうか?
map_0843#34	フローラ: ああ――むしタイプ以外は普通じゃない? それだけよ。
map_0843#35	うげ。
map_0843#36	ベネット: ……ああ。
map_0843#38	おそらく、バトルを進めた方がいいだろう。そうすれば、君はすぐに私から解放される。
map_0843#39	君の気持ちは承知しているが、それでも手加減はできないということを、理解してもらえるとありがたい。
map_0843#40	フローラ: はいはいはい、どうでもいいから、あんたをぶっ潰してやるわ。
map_0843#41	かかってきなさいよ、むし野郎!
map_0843#42	フローラ: ……\PN。
map_0843#43	こんなとこまで来ておいて、なんでフルの手勢も連れてこないわけ?
map_0843#44	あたしに負けてほしいの?
map_0843#45	(マジで、こんなバカがどうやってチャンピオンになったわけ……)
map_0843#46	いい加減あたしの堪忍袋の緒が切れる前に、戻ってちゃんとしたポケモンを連れてきなさいよ!
map_0843#47	フローラ: ねえ、\PN?
map_0843#48	何やってんの?
map_0843#49	もしかして、「ポケモンを選ぶ」ってことすら忘れてたわけ?!
map_0843#51	フローラ: うわ、むしタイプとほのおタイプ両方使って、それでも負けたわけ!
map_0843#52	この地方、マジで情けないわね!
map_0843#53	ベネット: ……私の手に負える相手ではなかったという可能性、いや、おそらくその通りなのだろう、
map_0843#54	だが、君の評価の正確性のために言っておくが、君を案内しているのはチャンピオンだということを、思い出させておく義務があると感じている……
map_0843#55	フローラ: ねえ、最近すごいの流行ってるって知ってる?
map_0843#56	「黙る」って言うんだけど。
map_0843#57	今度試してみたら?
map_0843#58	もうそれも済んだことだし、こっちには仕事があるから、通してくれ。
map_0843#60	それぞれの取り組みに、幸運を祈っている。
map_0843#61	フローラ: やっと。最初から通してくれればよかったのに。
map_0843#62	ベネット: 彼女の気性を君のせいにするほど、私も愚かではないつもりだ。
map_0843#63	これは、感謝についての教訓として受け止めることにしよう。
map_0843#64	おかげで、ローラのありがたみが、少なからぬ理由でより一層分かった。
map_0843#65	……だが正直、彼女の言葉は、確かに痛かった。
map_0843#66	\PN、私の……あまり品位のない……瞬間を目にしてきた者として、君の意見を聞いてもいいだろうか?
map_0843#67	今でも、私のことを気持ち悪いと思うか?
map_0843#68	ベネット: ……そうか。
map_0843#69	正直に答えてくれてありがとう。
map_0843#70	それを改善する最良の方法について……引き続き考えていくとしよう。
map_0843#71	その間、できる限り君に迷惑をかけないよう努めよう。
map_0843#72	ベネット: ……本当か?
map_0843#73	いくらかの許しを得られたと知って、心が少なからず救われる思いだ。
map_0843#74	だが、それに甘んじるつもりはない。
map_0843#75	これは、彼女の辛辣な言葉の後の、単なる現実確認にすぎない。
map_0843#76	君の優しさと、その視点に感謝する。
map_0843#77	君と一緒にいられるのは、いつでも歓迎だ。
map_0843#78	私が置かれたこの立場に見合う存在になろうとするのは……今も変わらず学びの経験だ。
map_0843#79	このバトルを楽しみにしていた――
map_0843#80	自分の技量を試す機会としてだけでなく、成長する機会としても。
map_0843#81	君が与えてくれた優しさに、甘んじるつもりはない。
map_0843#82	学ぶべきことは、いつでも残っているものだ。
map_0843#83	今日は、それが何なのか見せてもらおう!
map_0843#85	ベネット: 君がいまだ我々のチャンピオンであり、その地位を正当に勝ち取ったのだと、自分に言い聞かせておくのが良いだろう。
map_0843#86	この敗北は、私が今立っているこの役割に見合う者かどうかを、必ずしも反映しているわけではないのかもしれない。
map_0843#87	変わらぬ忍耐と誠意に感謝する。
map_0843#88	君の今後のあらゆる取り組みに、幸運を祈っている、\PN。
map_0843#89	ベネット: 変わらぬ忍耐と誠意に感謝する。
map_0843#90	はい
map_0843#91	いいえ
map_0844#0	タウベ: おお、バトルの時間ですかな?
map_0844#1	タウベ: あなたほどの腕前の方に、歯応えのある挑戦を提供できるかは分かりませんが。
map_0844#2	でも、お互い楽しめたらいいですね!
map_0844#3	位置についてください!
map_0844#4	タウベ: よろしければ、私はダブルバトルの方が好きなのですが。
map_0844#5	私のポケモン――いえ、友達たちが、連携の妙を存分に見せられる一番の方法だと思うのです!
map_0844#6	未来のチャンピオン、幸運を!
map_0844#7	素晴らしい! あなたのポケモンたちの友情を感じますよ!
map_0844#8	タウベ: ふう! なかなかのチームですね、白熱しました。
map_0844#9	仮にポケモンリーグがあったとしても、私には挑戦できないでしょうね――この子たちは、私が初めて出会った6匹のポケモンなんです。
map_0844#10	こんなにいい友達ができてしまったら、他のポケモンとは戦う気になれなくて!
map_0844#11	タカ: すごい……その、負けたとしても、今のはすごかったよ。
map_0844#12	あなたはすごいトレーナーだね!
map_0844#13	タウベ: いやいや。私が特別だとは思っていません――
map_0844#14	ただ、素晴らしいポケモンに恵まれているだけです。
map_0844#15	子供の頃からこの子たちと一緒にいるんです。
map_0844#16	これ以上ないくらい幸せですよ……
map_0844#17	ああ、つい夢中になってしまいましたね! 下に行ってセレビィの様子を見に行きましょう!
map_0844#18	タカ: あの人もペラップを持ってたんだ……
map_0844#19	タカ: 父さんがペラップのタマゴをくれた時、どこかで見つけたんだろうって思ってた。
map_0844#20	もしかして父さんは……
map_0844#21	タカ: いや、何でもない。下に行こう。
map_0844#22	タウベ: それはそれで、まったく構いませんよ。
map_0844#23	無理にとは言いませんが、もちろん気が変わったらここにいますからね。
map_0844#24	あなたのようなトレーナーがいるなら、未来はきっと明るいでしょう。
map_0844#25	正直に言うと、私自身はバトルにあまり向いていなかったんです。
map_0844#26	ジョゼフとは全然違いますからね。
map_0844#27	若いイライアスの方が、私よりよほどバトルの才を見せていますよ!
map_0844#28	イライアス: ずいぶんとご謙遜されていますが、見事な戦いぶりでしたよ、タウベ神父。
map_0844#29	本当に優れたトレーナーでいらっしゃいます。
map_0844#30	特別なのは、私のポケモンたちの方です。
map_0844#31	私はただ、運良くこの子たちと友達になれただけの人間ですよ。
map_0844#32	子供の頃からこの子たちと一緒にいて、これ以上ないくらい幸せなんです。
map_0844#33	イライアス: シリウスとリン……
map_0844#34	イライアス: 私は、彼らが教団を掌握するのを止められなかった。
map_0844#35	そして私のこの失態のせいで……
map_0844#36	高貴なアルカンタラ家の血筋は、途絶えてしまった。
map_0844#37	イライアス: すまない、タウベ。すまない、神父様。
map_0844#38	私がどれほどの失望をもたらす存在になってしまったか、あなた方お二人には、決して知られたくない。
map_0844#39	セレビィが暴れている。自分を制御できていないようだ。
map_0844#40	もっと水をかければ、良くなるだろうか?
map_0844#41	\PNは、暴れるポケモンにそっと3本目の水をかけた。
map_0844#42	びしょ濡れになった時の欠片が暴れ出す!
map_0844#43	時の欠片が暴れ出す!
map_0844#44	ビイイィ~!
map_0844#45	セレビィは、だいぶ元気になったようだ!
map_0844#46	まだ完全に回復してはいないようだが、自分を制御できていて、元気いっぱいだ!
map_0844#47	セレビィ: ビイイィ!
map_0844#48	タカ: いつもすごいね、\PN。
map_0844#49	まさにバトルマシーンだよ。
map_0844#50	タウベ: 本当に、見事なものでした!
map_0844#51	いい勝負をするだけで落ち着かせられるとは、思いもしませんでしたよ!
map_0844#52	タカ: 待って、それが効くって言ったの、あなたじゃないですか!
map_0844#53	タウベ: 確かに、私が言いそうなことですね!
map_0844#54	でも、私、二日も寝ていないもので。
map_0844#55	タカ: ……
map_0844#56	その、えっと、色々手伝ってくれて本当にありがとう、タウベさん。
map_0844#57	だいぶ元気になったし、セレビィが僕らを家に連れて帰ってくれるってことでいいのかな?
map_0844#58	タウベ: そうだと思いますよ。
map_0844#59	もっとも万全ではないので、特に大きな跳躍だと、途中でセレビィが少し休む必要があるかもしれません。
map_0844#60	あなたの時代で、完全に癒す方法を見つけられることを願っています。
map_0844#61	タカ: もう十分、助けてもらったよ。
map_0844#62	生まれたばかりの子から、こんなに長く引き離してしまってごめん。
map_0844#63	タウベ: ご心配なく、あなたたちのような立派な方々を、そして伝説のポケモンを助けられて光栄でしたよ。
map_0844#64	困っている者のために時間を割くこと……
map_0844#65	それこそ、私が息子に育ってほしいと思う男の姿ですから。
map_0844#66	自分でそれができなかったら、どんな手本を示していることになるでしょうか。
map_0844#67	でも、もちろん心配はしていません。
map_0844#68	最高の妻がいますし、周りには正直で、勤勉で、親切な人たちの暮らすこの地方全体がありますから。
map_0844#69	アルセウス様も、息子に微笑んでくださっているでしょう。
map_0844#70	私が望める以上に、はるかに立派な男に育ってくれると、心から信じています。
map_0844#71	なんと、あなた方がどれほど未来から来られたのだとしても、たとえ息子の人生よりも先の時代であっても、きっとその名は生き続けているはずです。
map_0844#72	フェニックスは、空で一番輝く星となり、この地方をより良い未来へと導いてくれるでしょう。
map_0844#73	タカ: 僕は……
map_0844#74	タウベ: いえ、いえ、言わないでください。
map_0844#75	未来を知るのは、私の立場ではありませんから。
map_0844#76	もう行く時間みたいだね、\PN……
map_0844#77	セレビィは元気いっぱいで、出発する準備ができているようだ!
map_0844#78	もう一度、時を旅しますか?
map_0844#79	セレビィがあなたを時の中を運び、周囲の景色が再び薄れていくのを感じる!
map_0844#80	セレビィは少しじれったそうにしているが、あなたを待っていてくれる。
map_0844#81	イライアス: さすがです、見事な戦いぶりでした。
map_0844#82	その戦いの腕前、比類なきものですね。
map_0844#83	タウベ: 本当に、すごかったです!
map_0844#84	イライアス: それはそうでしょう――何しろ、あなたの発案だったのですから、タウベ神父。
map_0844#85	タウベ: ああ、そうでしたね?
map_0844#86	まあ、自分が正しかったと分かって嬉しいですよ!
map_0844#87	イライアス: それは……
map_0844#88	先ほどは、あれほど確信を持って話しておられたのに。
map_0844#89	ご自分の考えに、確かな自信をお持ちだったのでは?
map_0844#90	タウベ: あなたの信頼は、私にとって光栄なことです。
map_0844#91	未来における私の遺産が、その信頼に値するものであることを願います。
map_0844#92	もっとも、息子が生まれたばかりでしてね。
map_0844#93	二日間、眠っていないのです。
map_0844#94	イライアス: それは……
map_0844#95	なるほど。
