map_0850#327	ティタニア: もうやめて。
map_0850#328	ジュリア: それって「ノー」ってこと?
map_0850#329	こんなに色々あった後でも?
map_0850#330	ティタニア: 「ノー」よ。
map_0850#331	誰も本当に死なずに済むように、今ある対立を一旦横に置くくらいはできる。
map_0850#332	それくらいの大人にはなれてる。
map_0850#333	でも対立そのものが変わったわけじゃない。
map_0850#334	もうそれを否定するふりはやめてもいいと思う。
map_0850#335	もっと幸せな結末のためとか、友達でいるためとか言い訳もできるけど、それは作り物にすぎない。
map_0850#336	「その後幸せに暮らしました」なんて、作者が注意を払うのをやめただけの話。
map_0850#337	おとぎ話を卒業するっていうのは、あたしたちの人生は作者と一緒には終わらないって認めること。
map_0850#338	観客が望んだからって、誰もが決着をつけられるわけじゃない。
map_0850#339	その方がいいこともある。
map_0850#340	ジュリア: はいはいオッケー、でもアタシたち残りの分はどうなるの?
map_0850#341	ただ、その、気にかけてた側の人間はどうなるの?
map_0850#342	あなたたち二人のこととか、みんなで分かち合ってきた全部のこととか?
map_0850#343	ティタニア: それはあたしたちの問題じゃない。
map_0850#344	フロリニア: アマリア、あなたもこれでいいのですか?
map_0850#345	アマリア: 正直、誰かに頼らなくていい自分の方が好き。
map_0850#346	嬉しいわけじゃないけど、
map_0850#347	そもそも最初から幸せだったわけでもないし。
map_0850#348	それなら、一番大事な人が自由に生きられる方がいいんじゃない?
map_0850#349	これでいい。
map_0850#350	あの子には前に進んでほしい。
map_0850#351	ジュリア: それ、自分にそう言い聞かせてるだけなんじゃない?
map_0850#352	アマリア: もちろん自分にそう言い聞かせてるだけよ。
map_0850#353	今のあたしに必要な言葉だから。
map_0850#354	一度でも、救う側になって恩返しできたことには感謝してる。
map_0850#355	でもそれだって、ちっぽけな考えでしかない。
map_0850#356	何も変わりはしない。
map_0850#357	それに、うまく終わるって自分に言い聞かせ続けてる物語のために、嘘を生きるのにも疲れた。
map_0850#358	ティタニア: ハッピーエンドを無理に書こうとするより、あたしたち二人とも、もっとふさわしい物語があるって認める方がいい。
map_0850#359	アマリア: それには同意する。
map_0850#360	ジュリア: つまりそれで終わりってこと?
map_0850#361	アタシたち四人が、それだけで終わっちゃうの?
map_0850#362	フロリニア: 二人の関係が終わる、という点では、そうです。
map_0850#363	それが本質的に、わたしたちを除外することを意味するとは思いません。
map_0850#364	ジュリア: そのつもりかどうかは別として……
map_0850#365	だって、みんなで一緒に遊べてた頃が今でも恋しいし!
map_0850#366	学校が最悪な時もあったけど、少なくともいつも友達がそばにいたし!
map_0850#367	それが今じゃ、いろんな厄介ごとの合間にちょっと会えるくらいしか時間がないなんて!
map_0850#368	最悪!
map_0850#369	フロリニア: ……慰めになるかわかりませんが、わたしとしては、慣れ親しんだ仲間ともっと一緒にいられたら、それはありがたいことです。
map_0850#370	ジュリア: 前向きで、素直な気持ちを口にしたね!!!
map_0850#371	フロリニア: ……そういうことは、これまでも何度かありました。
map_0850#372	ジュリア: そうだけど、アタシ、あなたのこと誇りに思う!!!
map_0850#373	ジュリア: よし、それなら決まり! あなたとアタシは一生ベストフレンド!
map_0850#374	だからこれからずっと何でも一緒にやるし、絶対あなたを一人になんてさせない!
map_0850#375	撤回なし!!!
map_0850#376	……これがひどく残念で、迷惑この上ない状況を受け入れているのだと、自覚している部分はあります。
map_0850#377	それでもなお、この状況の中にいられることを嬉しく思っているのだと思います。
map_0850#378	\PN、様々な巡り合わせの中にあったわたしたちを見届け、支えてくださったことに感謝します。
map_0850#379	ここへ来て以来いただいた助けにも、感謝しています。
map_0850#380	ジュリア: マジそれ!
map_0850#381	いちにーさん、\PNサイキョー! \PNが出りゃライバルみんな眠りにつく!
map_0850#382	フロリニア: ……それだと\PNが皆殺しにしているように聞こえます。
map_0850#383	ジュリア: だって韻を踏まなきゃいけなかったんだもん!
map_0850#384	その場で完璧な応援コール考えてみてよ!!!
map_0850#385	……あ、えーと……
map_0850#386	フレーフレー、フレーフレー…… \PNの頑張りが、みんなを救った…かな……?
map_0850#387	ジュリア: ……
map_0850#388	まだ改良の余地ありだね。
map_0850#389	それまでの間、\PNにはまだ他にも狩るべきアノマリーがあるんでしょ。
map_0850#390	アタシたちと一緒に帰る?
map_0850#391	最高の道連れになるよ!
map_0850#392	ジュリア: ~ いちにー、マルマイン! ~
map_0850#393	~ この場をバーンと締めて出発だ ~
map_0850#394	ジュリア: ぶー、残念でしたー~
map_0850#395	また今度、クラブで会おうね、\PN!
map_0853#0	???: ここは、あるべきでないものたちが、数多く集められた場所。
map_0853#1	わたしがいて、
map_0853#2	あなたもいて、
map_0853#3	記憶も、願いも、わたしたちの大切で非現実的なものたちも、みなここにいる。
map_0853#4	あなたの探すものは、まだ見ることができる。でも、それが夢でないとは思わないで。
map_0853#5	本日ここに、エリザベス・コナルを偲び、集いました。
map_0853#6	彼女は、健やかなる時も、死してもなお、光と生命の道しるべとして、そしてなお残る小さな喜びに感謝を惜しまぬようにという教えとして、わたしたちのもとを去っていく……
map_0853#7	彼女はもう応えない。
map_0853#8	母: リジー――
map_0853#9	ごめんなさい――
map_0853#10	本当に、本当にごめんなさい……
map_0853#11	父: ……
map_0853#12	こうやって終わるのか……
map_0853#13	どこかで薬瓶を丸ごと見つけて、一気に飲み下したらしい……
map_0853#14	何かおかしいとは思っていた。
map_0853#15	私に何かできなかったのか……?
map_0853#16	ユーフィ: ……
map_0853#17	何を期待してたんだろう。
map_0853#18	ここは彼女のねじれた世界。
map_0853#19	いなくなっても、ルールは彼女のままだ。
map_0853#20	まだ彼女が糸を引いてる。
map_0853#21	どっちにしても、ここにはいたくない。
map_0853#22	こんな形では。
map_0853#23	あれは――あなたが見たものは、
map_0853#24	嫌な記憶だった。
map_0853#25	でもそれがきっかけで、双子と私は近づいた。
map_0853#26	やがて彼らが厳しい決断を迫られた時、私は喜んで彼らの犠牲になった。
map_0853#27	世界を救う願い――
map_0853#28	そんなもの、不可能だ。
map_0853#29	犠牲なしには無理。
map_0853#30	どのみち、この身体に執着なんてなかった。
map_0853#31	これが私に返ってきたこと自体、バグみたいなものだと思う。
map_0853#32	きっと、リンのゲームの中の残酷な芝居のために返されただけ。
map_0853#33	それは受け入れない。
map_0853#34	戻る。
map_0853#35	眠りに戻る。
map_0853#36	夢に戻る。
map_0853#37	私のことは、夢の中の私として知っているはず。
map_0853#38	失うはずだったものから、思っていた以上のものを得た。
map_0853#39	幽体の守護者――それでも何かを変える力はあるし、性別違和もない……
map_0853#40	それに、正直に言えば――
map_0853#41	人をおちょくるには最高。
map_0853#42	挑戦者たちが初めてジムに入ってきた時の反応、聞かせてあげたいくらい。
map_0853#43	それとも、あの時のあなたもそうだった?
map_0853#44	全部ぼやけて混ざり合う。
map_0853#45	でも、うんざりするほどの繰り返しより、心地よい錯乱の方がまだましでしょ?
map_0853#46	どいて。
map_0853#47	ユーフィ: またいつか会いましょう、
map_0853#48	もしかしたら、笑顔で。
map_0854#0	親友と一緒に犯罪と戦うヒーローの物語の本。
map_0854#1	二人とも男の子で、しかもなぜかキスしそうになるから、母に取り上げられた。
map_0854#2	母: シグムンド、頼みごとをしたはずよ。
map_0854#3	今は遊びに外へ行っちゃだめ。
map_0854#4	シグムンド: 今は外に出ちゃいけないんだ……
map_0854#5	母: シグムンド、あなたなの?
map_0854#6	こっちへ来て、学校の初日がどうだったか聞かせて。
map_0854#7	母: それで、どうだった?
map_0854#8	父: それなりに実りある経験ができたと信じているが?
map_0854#9	シグムンド: はい、それなりに実りがありました、父さん。
map_0854#10	父: 前の、教育機関とも呼べない代物よりは、まともな学習環境であることを願うばかりだ。
map_0854#11	私はお前に、並の習熟以上のものを求めている。
map_0854#12	わかったな?
map_0854#13	シグムンド: はい、父さん。
map_0854#14	母: お姉ちゃんにお茶を持っていってくれない?
map_0854#15	お医者様が、一日二杯飲めば気分が明るくなるはずだって。
map_0854#16	シグムンド: はい、母さん。
map_0854#17	母: あそこのカウンターに置いてあるから。さあ、温かいうちに。
map_0854#18	母: お茶よ、シグムンド。
map_0854#19	カウンターの上。
map_0854#20	早く、冷めないうちに。
map_0854#21	母: シグムンド、こっちはやることがあるの。
map_0854#22	宿題は自分の部屋でやってちょうだい。
map_0854#23	母: お姉ちゃんにお薬を持っていって。
map_0854#24	カウンターの上にあるから。
map_0854#25	これについてあなたが思うところがあるのはわかってる。でも、あなたも私も医療の専門家じゃないでしょ。
map_0854#26	お医者様は、決められた通りに薬を飲み続けるのが、回復への一番の近道だと保証してくれた。
map_0854#27	私たちにできるのは、先生を信じることだけ。
map_0854#28	わかったなら、お薬を持っていってあげて。
map_0854#29	遅くならないうちに、早く。
map_0854#30	母: 新しい学校はどう?
map_0854#31	もう慣れた?
map_0854#32	母: 授業はうまくいってる?
map_0854#33	前の学校で、もう去年全部やったところだけど。
map_0854#34	母: 復習になって悪いことはないでしょ。
map_0854#35	ちゃんとした勉強の習慣を保つのよ!
map_0854#36	将来きっと役に立つから。
map_0854#37	母: お姉ちゃんの邪魔もしないでね。
map_0854#38	今はとても不安定な時期なんだから。
map_0854#39	父: 母さんを無視するな、坊主。
map_0854#40	父: 母さんの頼みがわかりにくかったのか、それとも反抗か?
map_0854#41	お前は姉にお茶を届けるんだ。
map_0854#42	今すぐに。
map_0854#43	父: 何の用だ、坊主。
map_0854#44	やることがあるだろう?
map_0854#45	だらだらしてないで、さっさと片付けろ。
map_0854#46	母: シグムンド?
map_0854#47	それはあなたのものじゃないの。
map_0854#48	こっちへ来なさい。
map_0854#49	お茶を手に入れた!
map_0854#50	お薬を手に入れた!
map_0854#51	母: シグムンド、どこへ行くの?
map_0854#52	聞いてなかったの?
map_0854#53	母: そこはお父さんの書斎よ。
map_0854#54	宿題は自分の部屋でやりなさい。
map_0854#55	シグムンド: あそこにはもう戻らない方がいいな……
map_0854#56	母: シグムンド、お姉ちゃんの邪魔をしないで。
map_0854#57	こっちへ来て、話しましょう。
map_0854#58	母: シグムンド、お茶を忘れないで。
map_0854#59	母: それより、宿題があるんじゃない?
map_0854#60	部屋に戻って始めた方がいいわ。
map_0854#61	終わるまで、あのくだらない本を読んでるところなんて見たくないからね!
map_0854#62	「フィクション」なんて、子供の頭をごちゃごちゃにするだけの、無意味な戯言よ!
map_0854#63	まっすぐな道を歩ませてくれたこと、いつか感謝するようになるから。
map_0854#64	母: 聞こえなかったの?
map_0854#65	お姉ちゃんに構わないで、今すぐ宿題をしに行きなさい!
map_0854#66	薬?
map_0854#67	シグムンド: ……
map_0854#68	母: 考えることすら許さないわよ、シグムンド。
map_0854#69	母: 行きなさい。
