map_0854#586	私は……これをやらなきゃ。
map_0854#587	シャルロット: 十ドル賭けてもいい、あの子初日でやめるよ。
map_0854#588	アンナ: 待って、「あの子」って誰のこと？
map_0854#589	シャルロット: ユーフィに決まってるでしょ。
map_0854#590	アンナ: でもユーフィって男の子みたいだったよ！
map_0854#591	ノエル: 男の子みたいには見えなかったよ。
map_0854#592	シャルロット: シグムンドだって「Ms.」って呼んでたし。
map_0854#593	アンナ: 眼鏡が必要なだけかと思った！
map_0854#594	まさかみんなも眼鏡がいるなんて言わないよね！
map_0854#595	ノエル: アンナ、また変なもの見えてるよ。
map_0854#596	アンナ: 見えてないもん！
map_0854#597	ノストラ、あれ男の子だったよね？
map_0854#598	ユーフィ: ……この場所、好きじゃない。
map_0854#599	孤児院のことだけを言ってるんじゃない。
map_0854#600	ユーフィ: ここのやり方は嫌というほどわかってる。だから、今はっきりさせておくことがある。
map_0854#601	ここで見たことは、ここだけの話。
map_0854#602	わかった？
map_0854#603	ユーフィ: よし。
map_0854#604	ユーフィ: 別に……複雑な話じゃない。
map_0854#605	わざと理解しないふりしてる？
map_0854#606	あんたにこれを見られたくない。
map_0854#607	誰にも……見られたくないの。
map_0854#608	でもあんたはここにいる、
map_0854#609	だってここは本当にひどい場所だから。
map_0854#610	そしてこのジェットコースターに乗り切るまで、抜け出せない気がする。
map_0854#611	覚悟を決めるしかない……
map_0854#612	その戸口は、ただ何もない先へと続いているようだ……
map_0854#614	シグムンド: また来てくれてありがとう。
map_0854#615	ユーフィ: ええ、まあね。
map_0854#616	選べる立場でもないし。
map_0854#617	シグムンド: どうしてそう感じるのですか？
map_0854#618	ユーフィ: 「どうしてそう感じるのか」って、どういう意味？
map_0854#619	くだらない手紙をもらうまで、あの医者は必要なものをくれない。
map_0854#620	そしてあなたはまだそれをくれてない。
map_0854#621	質問の意味がわかりません。
map_0854#622	シグムンド: あなたは無理やりここに連れてこられたわけでも、拘束されているわけでもありません。
map_0854#623	今日もまた、あなた自身が来ることを選んだ。
map_0854#624	でもそれを、自分の選択ではないと、あなたは正当化している。
map_0854#625	ユーフィ: 失礼ながら、あなたが何を言おうとしてるかはわかるし、正直もううんざり。
map_0854#626	本題に入ってもらえる？
map_0854#627	シグムンド: あなたが考える本題とは、何ですか？
map_0854#628	ユーフィ: あの手紙をもらうために、私は何をすればいいの？何を言えばいいの？
map_0854#629	シグムンド: ミトルワードさん……
map_0854#630	ユーフィ: その呼び方やめて。
map_0854#631	シグムンド: そう、そうですね――失礼しました。
map_0854#632	あなたがその手紙と処方箋をできるだけ早く欲しいというのは、よくわかっています。
map_0854#633	ですが、患者が鎮痛剤や抗うつ剤を要求してきたからといって、すぐに与えるのが常に賢明とは限りません。
map_0854#634	まず客観的かつ合理的に状況を見て、それが本当に最善の治療法かどうかを見極める必要があります。
map_0854#635	多くの場合、患者本人がどう思っていようと、そうではないことがあります。
map_0854#636	これがあなたにとって正しいものか、確かめる必要があるのです。
map_0854#637	ユーフィ: 私にはもう、それが正しいってわかってる。
map_0854#638	じゃあそれを証明するには何をすればいいの？
map_0854#639	診察室で発作でも起こせばいい？
map_0854#640	恥ずかしいけど、それならやってあげてもいい。
map_0854#641	それとも満たすべき条件でもあるの？
map_0854#642	このプロセス全体が、そもそも私があなたの考える「男らしさ」に心地よく収まらなきゃいけないっていう前提の上に成り立ってる。
map_0854#643	だから、そのチェックリストを見せてよ、ドクター。
map_0854#644	従わなきゃいけない法律があるのは理解してる。でも、私を助ける気があるの、ないの？
map_0854#646	はっきり教えてください、
map_0854#647	なぜあなたは女性になりたくないのですか？
map_0854#648	ユーフィ: だって私は、もう女性じゃないもの、ドクター。
map_0854#649	その質問自体が誘導的だわ。
map_0854#650	なら私からも聞いてあげる――
map_0854#651	あなたはどうして女性になりたくないの、ドクター？
map_0854#652	シグムンド: あなたは本題からそらそうとしていますね。
map_0854#653	ユーフィ: そして「そらしている」と言うのも、自分から質問を避ける都合のいい方法じゃない？
map_0854#654	シグムンド: これは私のセッションではありません。
map_0854#655	ユーフィ: 本当に？ だってあなた、完全にこれを仕切ってるように見えるけど。
map_0854#656	これが私のためのものだとは、全然思えない。
map_0854#657	この状況を続けたほうが、実際に私の望むものを与えて帰らせるより、あなたにとって得なんでしょ。
map_0854#658	だから、ドクター、あなたが本当に私と向き合う気があるって、何を根拠に信じればいいの？
map_0854#659	一時間ずつ人生を無駄にしてあなたと言い争うために、あと何週間ここに通えばいいの？
map_0854#660	その一方で、他の日々は毎日毎日、私の体が私を間違った道へと引きずり込んでいく。
map_0854#661	あなたが五十年も前の、私みたいな人間を助けるくらいなら死んだほうがマシだと思ってる老人が書いたパンフレットをぱらぱらめくって時間を潰している間も、
map_0854#662	私は今もこの瞬間、どんどん悪くなってる。
