map_0858#177	サンディ: あたし、呪われてる？
map_0858#178	フーパに呪われたの？
map_0858#179	外に一歩でも出るたびに不運に不運が重なるのがあたしの運命なわけ？
map_0858#180	サンディ: まさかあんたまであたしを疑ってるんじゃないでしょうね！
map_0858#181	そりゃ確かに、環境のためなら極端なことしてきたって噂はあるよ――
map_0858#182	それに、確かに、青の秘宝は強力な水源だって言われてて、赤の秘宝と一緒に使えば気候を変えられるって話も――
map_0858#183	それに……確かに、気候の状態はどんどん深刻になってる脅威なのに、誰もどうすればいいかわからないか、助ける気もないみたいだけど――
map_0858#184	だからってあたしが秘宝を盗みに戻ったってことにはならないでしょ！
map_0858#185	まあ、もし誰かが秘宝を盗んだんだとしたら、絶対に地球を助けるために使うべきだと思うけど。
map_0858#186	それはただの事実の話。
map_0858#187	考えてみて？
map_0858#188	サンディ: よし、あんまり……前向きな……アリバイじゃないんだけど、いい？
map_0858#189	事件が起きたとき、あたしはあそこの警官に拘束されてたの！
map_0858#190	あの人がここであたしを捕まえたんだよ――ただお手洗いを探してただけなのに、誓う！
map_0858#191	それでもう手遅れになるまでずっと引き止められてて――
map_0858#192	えっと、つまり、明かりがついた後まで！
map_0858#193	秘宝を取りに行くチャンスなんて、あたしにはなかったってこと！
map_0858#194	サンディ: 聞いてくれてありがとう！
map_0858#195	あたしたちが事務所を水浸しにした、あのイグノシア・クラウドバリーのこと覚えてる？
map_0858#196	実はあの人もこの列車にいてさ、たぶん復讐したいんだと思う！
map_0858#197	あれ以来自宅で仕事するようになったみたいで、あたし、ちょっとあの人の個人的なやり取りを傍受しちゃったかも……
map_0858#198	あの人、秘宝を取り巻きの企業に売りつけたいんだって！
map_0858#199	あのクラウドバリーって女、知ってる？
map_0858#200	この街での彼女の立場を調べてたときにたまたま情報が入ってきたんだけど、彼女が秘宝を狙ってると思う！
map_0858#201	企業向けに売り払うとかなんとか――
map_0858#202	あの人、違法取引の前歴があるし、まさに得意分野じゃない！
map_0858#203	それを売って手に入れたお金で何を買うつもりなのか、想像もつかない！
map_0858#204	あの人が言うことは何も信じちゃダメ！
map_0858#205	サンディ: 助けて！
map_0858#206	ジョン: うぐっ！
map_0858#207	何が望みだ？！
map_0858#208	ジョン: 動機だと？！ 何のための動機だ？！
map_0858#209	赤と青の秘宝を盗んで、それを使ってTeam Meteorをかつての力に戻すなんて、俺に一体どんな動機があるというんだ？！
map_0858#210	ジョン: フン――俺にはアリバイなど必要ない。俺は潔白だからな……
map_0858#211	……いや、白状しよう。秘宝をひと目盗み見るつもりで貯蔵車に突っ走ったかもしれない……
map_0858#212	俺は暗闇の中で襲われた――
map_0858#213	これら全部の箱にな……
map_0858#214	そのうちの一つにつまずいて、ここまでよろめいてきて……
map_0858#215	気を失って、それで明かりがついたときには、隠れているのが賢明だと思ってな……
map_0858#216	……賢明ではなかったが。
map_0858#217	頭を打ったかもしれん……
map_0858#218	ジョン: フン……
map_0858#219	他の奴らはあまり見ていない――何か叫んでいたあの少年を踏んづけた以外はな。
map_0858#220	誓ってもいいが、あの子供はコナル博士の診療所での最悪の患者よりも大きな声で叫んでいたぞ……
map_0858#221	……ユースタス、という名だったか？
map_0858#222	この列車の件について受け取ったメッセージのCCで、そのスクリーンネームを見た気がする。
map_0858#223	確か「ユースタス大王」とかいう名だった。
map_0858#224	なんという小悪魔だ。確かに何かを企んでいたな。
map_0858#225	だが、この列車に乗っている他の著名な乗客の何人かも、俺と同じメッセージを受け取っていたのではと疑っている。
map_0858#226	秘宝が積まれている――盗めるぞ、とあった。
map_0858#227	俺以外にも、そのメッセージの受信者が五人いた。
map_0858#228	明らかに誰かがこれを全部仕組んでいる。だが一体誰なのだ？
map_0858#229	ジョン: ああ、少し休ませてくれ……
map_0858#230	まだ頭が痛む……
map_0858#231	ユースタス: 今すぐこの列車から降ろしてくれなければ、貴様の母親の命に懸けて誓うが、世界の果てまで追いかけてでも訴えてやるからな。
map_0858#232	これは私の権利の侵害だぞ、警官。
map_0858#233	貴様は私を不法に拘束している。そのせいで職を失うことになるだろうな、
map_0858#234	そしてその後、家も――家族も――友人も、
map_0858#235	貴様の知る全て、持つ全てが、私を意に反してここに拘束するという、貴様の愚かで独断的な一つの過ちのせいで、粉々に打ち砕かれることになるだろう。
map_0858#236	さあ、私を通せ、警官。
map_0858#237	ぼ、坊ちゃん、お願いします、誰も列車から降ろすなと命令されてるんです。
map_0858#238	それが私の仕事で、何も不法なことはしていません……
map_0858#239	……ですよね？
map_0858#240	私たちが駅を出発してから、誰一人として列車を降りたり乗ったりしていないと、自信を持って言えます！
map_0858#241	犯人が誰であろうと、まだ乗船中に違いありません！
map_0858#242	……もっとも、試みがなかったわけではないですが。
map_0858#243	明かりが消えた瞬間から、あそこにいる少年がずっと黙らなかったんです。
map_0858#244	まるで何かの狂乱パニックみたいに、ずっと叫び続けていました。
map_0858#245	少なくとも、彼が部屋を出なかったことだけはわかります……
map_0858#246	チーフは前方で騒ぎを調べている。
map_0858#247	報告することがない限り、邪魔をしないように。
map_0858#248	コンダクター: 赤の秘宝は、破壊された機関部に埋もれていた……
map_0858#249	そこにぴったり収まりそうな空洞があるが――どうしてそこに入り込んだのか？
map_0858#250	私はずっとこの部屋にいたが、その空洞は私の視界からは死角だった。
map_0858#251	本当にわからない……
map_0858#252	コンダクター: 何が起きているのかよくわかりませんが、できれば私に何か垂らさないでもらえますか？
map_0858#253	クラウドバリー: 無能どもが！
map_0858#254	簡単な列車すらまともに運転できないなんて！
map_0858#255	どうしたらそんなヘマができるのよ！？
map_0858#256	決められた一直線を進むだけなのに！
map_0858#257	なのに酔っ払いの馬鹿どもはそれすらできない――みんなそうなの？
map_0858#258	口ばっかりの間抜けどもは、階段でつまずいて頭を舗道に叩きつけずに玄関から出ることすらできないんでしょうよ！
map_0858#259	そんな単純な仕事に失敗するなんて、脳に障害があるとしか思えないわね。
map_0858#260	このクラウドバリー様が乗り込んで、あんたたち愚か者にやり方を教えてあげなきゃいけないの？！
map_0858#261	袖まくって、そのピカピカの緑の「発進」ボタンを押してあげようかしら。どうせあんたたち原始人の肉塊には、それすら理解できないみたいだから！
map_0858#262	コンダクター: いやはや、何が起きたのかほとんどわかりません……
map_0858#263	ですが、何かお手伝いできることがあれば、喜んで協力します。
map_0858#264	コンダクター: 現在、1R253廃品置き場のすぐ北にいます。
map_0858#265	厳密には、もうリボーン地方を出ていますが、遠くまでは来ていません。
map_0858#266	この地域はグレータートルマリン砂漠と呼ばれています――砂嵐と何もない荒野です。
map_0858#267	リボーン地方内のトルマリン地域とは違い、この地域を徒歩で移動するのは通常不可能です。
map_0858#268	ここでは距離が長すぎるし、砂嵐も激しすぎます。
map_0858#269	何マイルも何もありません。
map_0858#270	廃品置き場の周辺でどんどん事故が増えているって、いつも聞かされてましたが……
map_0858#271	どうやら私たちもその仲間入りをするみたいですね……
map_0858#272	コンダクター: できる限りのことはしていますし、少なくとも車両の電力は復旧できましたが、機関部はもうダメだと思います。
map_0858#273	完全に立ち往生していて、機関車を丸ごと新しくする以外に修理の方法はないと思われます。
map_0858#274	幸い、通信システムは無事で、救援を無線で呼ぶことができました。
map_0858#275	グランドビュー駅から救援列車が出発しています。
map_0858#276	乗客と乗務員を乗せて、みんなを無事に家まで送り届けます。
map_0858#277	ですが到着するまでは、待つ以外にすることがありません。
map_0858#278	良くも悪くも、それは犯人にとっても同じことのはずです。
map_0858#279	私たちと同じように、犯人もここに閉じ込められているのですから。
map_0858#280	コンダクター: 事件の直前まで完全に操縦に集中していましたが、何が起きたのかほとんどわかりません。
map_0858#281	車両全体が真っ暗になって、奇妙な音を聞きました。
map_0858#282	ポケモンの技のような音でしたが――今まで聞いたことのないものでした……
map_0858#283	反射的にブレーキを踏み込みました――
map_0858#284	というかパニックで叩いたって感じですが、それでよかったです！
map_0858#285	機関部があらゆる不快な音を立て始めた瞬間、列車は止まりました。
map_0858#286	最悪の事態を恐れて後方の踊り場に避難しましたが、ちょうどそのとき金属とガラスの破片がドンという音とともに前方へ飛んでいくのが見えました。
map_0858#287	列車と音の両方が止まった後、すぐに電力を復旧できました。それで部屋は今あなたが見た通りの状態になっていたんです。
map_0858#288	機関部の故障の原因についてもっと何かわかるか、引き続き調べてみます。
map_0858#289	コンダクター: それでは。
map_0858#290	そちらもがんばってください。
map_0858#291	チーフ: なんてこった、グソクムシャもかくやという慌てぶりだ……一体どうしてこんなことに？
map_0858#292	おお、\PN！
map_0858#293	いやはや、心臓が飛び出るほど驚きましたよ……
map_0858#294	秘宝は無事だと言ってください！
map_0858#295	.
map_0858#296	. .
map_0858#297	. . .
map_0858#298	盗まれた？！
map_0858#299	両方とも！？
map_0858#300	すぐそばで見張っていたのに？！？！？！
map_0858#301	どうしてこんなことに……
map_0858#302	あらゆる準備をしたはずなのに……
map_0858#303	それでも！ すぐに捜査を開始しなければ！
map_0858#304	明かりが消えた瞬間、全員に船内にとどまるよう命じたのに！
map_0858#305	コンダクター: それに、ここはトルマリンのすぐ北で、今まさに凶暴な砂嵐が吹き荒れています。
map_0858#306	たとえ徒歩で助けを求めに行こうとしても、ほぼ不可能でしょう。
map_0858#307	チーフ: では犯人はまだ船内にいるはずです！
