map_0866#79	今見たこと、もう忘れてね？
map_0866#80	ホンモノはこの先すぐだから！
map_0866#81	アンナ: \PN、見つけた！
map_0866#82	だんだん状況がつかめてきた気がする！
map_0866#83	少なくとも、ここでは自分を保てるようになってきた……
map_0866#84	でも、自分がどこにいるのかは、まだ分からないままだけど。
map_0866#85	ニューワールドはとても広いのに……どこかからっぽ。
map_0866#86	この果てしない虚無のせいで、なかなか集中できなくて……
map_0866#87	でも……大丈夫！
map_0866#88	仲間もまた見つかったし！
map_0866#89	カインもここにいるんだけど、その……目を覚まさないの。
map_0866#90	きっと……あたしにできることがあるはず……
map_0866#91	でも！
map_0866#92	大丈夫！
map_0866#93	あなたなら手伝ってくれるよね！
map_0866#94	フーパがあなたの近くに開いたポータルの先に、誰かの気配を感じるの！
map_0866#95	あたし……あたし、なんとかしてみせる！
map_0866#96	きっと、なんとかできるはず……
map_0866#97	でも今は……あなたを頼りにしてる！
map_0866#98	\PN、みんなを助けるのを手伝って！
map_0867#0	自動販売機だ。\nどの飲み物にする？\G
map_0867#1	\Gおいしいみずが出てきた！
map_0867#2	\Gおまけ！ もう一本、おいしいみずが出てきた。
map_0867#3	\Gバッグに空きがない。
map_0867#4	\Gお金が足りない。
map_0867#5	\Gサイコソーダが出てきた！
map_0867#6	\Gおまけ！ もう一本、サイコソーダが出てきた。
map_0867#7	\Gミックスオレが出てきた！
map_0867#8	\Gおまけ！ もう一本、ミックスオレが出てきた。
map_0867#9	\G飲み物を買うのはやめた。
map_0867#10	めずらしいモンスターボール、あります！
map_0867#11	この世界でまだ誰も見たことのない獣を捕まえる、またとないチャンスをお見逃しなく！
map_0867#12	「近日公演」の上演予定が、ずらりと張り出されている……
map_0867#13	……そのどれもが、とっくに過ぎ去った日付だ。
map_0867#14	大会のルールが掲示され、参加受付が行われているようだ。
map_0867#15	トーナメント表が掲示された。
map_0867#16	第1回戦：
map_0867#17	第1ブロック――
map_0867#18	ビー VS おじょうさまミラ
map_0867#19	クラリス VS ピエロラルゴ
map_0867#20	\PN VS マクレジー
map_0867#21	やりてトレーナーペドロ VS ジュリア
map_0867#22	第2ブロック――
map_0867#23	おじょうさまジネル VS なぞの参加者
map_0867#24	エンジニアヤン VS エリートトレーナーローレン
map_0867#25	やりてトレーナールロイ VS ブレーク
map_0867#26	ジェントルマンノーマン VS ピエロフラ
map_0867#27	第3ブロック――
map_0867#28	サムソン VS エンジニアモードリン
map_0867#29	まちのごろつきコーグ VS パーシー
map_0867#30	やまおとこオルタン VS ピエロトレル
map_0867#31	ネイチャーガールグレイシー VS キャス
map_0867#32	第4ブロック――
map_0867#33	おじょうさまトレイシー VS バトルガールイセルダ
map_0867#34	ルミ VS ちょうろうモンロー
map_0867#35	ピエロトレル VS セレブレイチー
map_0867#36	アーケードスターフレイラ VS サンティアゴ
map_0867#37	トーナメント表が更新された。
map_0867#38	第2回戦：
map_0867#39	ビー VS クラリス
map_0867#40	\PN VS ジュリア
map_0867#41	なぞの参加者 VS エンジニアヤン
map_0867#42	ブレーク VS ジェントルマンノーマン
map_0867#43	サムソン VS パーシー
map_0867#44	やまおとこオルタン VS キャス
map_0867#45	バトルガールイセルダ VS ルミ
map_0867#46	セレブレイチー VS サンティアゴ
map_0867#47	第3回戦　準々決勝：
map_0867#48	クラリス VS \PN
map_0867#49	なぞの参加者 VS ブレーク
map_0867#50	サムソンのプライド VS キャス
map_0867#51	ルミ VS サンティアゴ
map_0867#52	第4回戦　準決勝：
map_0867#53	\PN VS なぞの参加者
map_0867#54	キャス VS ルミ
map_0867#55	第4回戦　決勝：
map_0867#56	\PN VS キャス
map_0867#57	メロエッタ: メロロ〜
map_0867#58	サーカスだんちょう: なんですって！？
map_0867#59	あの子ったら、バトルホイールの方まで走って行っちゃったの！
map_0867#60	やっぱり、にぎやかなことに参加したかったのかしら……？
map_0867#61	ま、いいわ。もう考えるのやめ。
map_0867#62	長い一日だったけど、いい儲けにはなったし。
map_0867#63	飲み物でも買って、少し休むわ。
map_0867#64	メロエッタのことは、好きにしていいから。
map_0867#65	一応言っとくけど、キャスがグレイシアの件を話したときも、あの子は嬉しそうじゃなかったわよ。
map_0867#66	頑張って、とか何とか。
map_0867#67	サーカスだんちょう: あら、\PN！ 面白いタイミングで来たみたいね！
map_0867#68	って、うちのサーカスはいつだって面白いんだけど！ いつ来てもらったって、はねっかえるような……
map_0867#69	じゃなくて、はらはらするようなライドが……ああもう、いいわ。
map_0867#70	ようやく日常が戻ってきて、しばらくここで暮らす羽目になってた人たちも、もう二度と足を踏み入れたくないって気持ちが少しは薄れてきたところだったのに、
