map_0868#74	それ、どうなってんの。
map_0868#75	もういいわ。どうせ言い訳のしようもないでしょ。
map_0868#76	あんたのやったことは、もう許されることじゃない。
map_0868#77	あとは、あたしがあんたに正義を下すだけ。
map_0868#78	その通り。
map_0868#79	キャス: もういいわ。ここでの用はすんだから。
map_0868#80	あんたがやったことの恥は、心があるべき場所にずっと居座り続けるでしょうね。
map_0868#81	F12キー、壊してないといいけど。
map_0868#82	キャス: それが報いってものよ。
map_0868#83	今度は、精一杯助けてくれたポケモンに唾を吐くの、やめときなさいよね。
map_0868#84	それじゃ悪いけど、あたしはサインをもらいに行くから。
map_0868#85	勝ったらルミのためにもらってくるって、約束したのよ。
map_0868#86	じゃあね。
map_0868#87	キャス: 大げさな前置きはいらないでしょ、さっさと始めましょ。
map_0868#88	よし。
map_0868#89	キャス: 地元のチャンピオンを大会に参加させておいて、みんな他に何を期待してたのかしらね。
map_0868#90	そもそもサインなんて別に欲しくなかったし、ただメロエッタがいいなって思っただけ。
map_0868#91	まあ、どうでもいいけど。
map_0868#92	メロエッタ: ラララ〜
map_0868#93	メロエッタ: リーロ！
map_0868#94	ロレイリラ〜
map_0868#95	ロラリロ〜
map_0868#96	メロエッタ: ロ！
map_0868#97	はい
map_0868#98	いいえ
map_0870#0	キャル: あ、\PN……びっくりしたよ。
map_0870#1	でも、君がここにいるってことは……
map_0870#2	よかった。これ以上心強い援軍はいないね。
map_0870#3	聞いての通り、この山は内側からゆっくり溶けだしてるんだ。
map_0870#4	ちょうど今、犯人らしきものを見たんだけど……
map_0870#5	ヒードランが、この中に出現したみたいだ。
map_0870#6	ついてないよね。
map_0870#7	このままだと、どんどん悪化していく一方だよ……
map_0870#8	時間を無駄にしないようにしよう！
map_0870#9	鍵が結晶に反応した！
map_0870#10	キャル: これだけ損傷してても、このあたりの岩はまだ凍りついたままのところがあるんだ……
map_0870#11	これ以上冷たかったら無理だっただろうけど、こいつは十分に温めておいたから、砕けるはずだよ。
map_0870#12	キャル: ありがとう。
map_0870#13	ここは完全に凍りついている……
map_0870#14	キャル: ヒードランは、あの出口から上に移動したみたいだ……
map_0870#15	キャル: でも、あの溶岩が邪魔で……
map_0870#16	キャル: それに、あの煮えたぎるお湯も……
map_0870#17	どんなポケモンでも、あそこを安全に泳ぎ切るのは無理だと思う。
map_0870#18	キャル: うぅ……どうすればいいんだろう？
map_0870#19	こんなに溶けかけてるところじゃ、僕の炎タイプは全然役に立たないよ。
map_0870#20	？？？: 準備してこなかったのかよ、脳みそ筋肉野郎。
map_0870#21	キャル: ……
map_0870#22	ブレイク: よぉ。
map_0870#23	キャル: ブレイク、今それはやめてくれよ。
map_0870#24	こっちはちょっと大変な最中なんだから。
map_0870#25	ブレイク: だろうな。
map_0870#26	てっきり二人で温泉デートでもしてるのかと思ったぜ。
map_0870#27	落ち着けって、兄弟。
map_0870#28	手伝いに来たんだよ。
map_0870#29	お前は座って、頼れる兄貴に任せておけばいいさ。
map_0870#30	キャル: それで、君に何の得があるんだい？
map_0870#31	ブレイク: ……
map_0870#32	あのな。
map_0870#33	街全体を飢えさせるとか、そういう企みに一枚噛んでたのは、まあ分かってるよ。
map_0870#34	「あれはあんまりカッコよくなかった」なんて言葉じゃ、控えめすぎるってのも分かってる。
map_0870#35	お前みたいに急に心を入れ替えて、利他の境地にでも達しましたなんて言うつもりもない。
map_0870#36	でも、この山が崩れたら、俺たちが育ったあの街もろとも終わりだ。
map_0870#37	あのエコテロリスト集団の下にいたのは事実だけど、連中だって住民を追い出したかっただけで、街を丸ごと崩壊させたかったわけじゃない。
map_0870#38	それでも俺は、あそこを今でも「地元」って呼んでる。もうそう呼ぶ資格なんてないって、毎晩考えずにはいられないけどな。
map_0870#39	だから、罪悪感たっぷりの長ったらしい独白は勘弁してくれないか？
map_0870#40	ブレイク: ……せめて、ここが完全に崩れ落ちるのを止めた後まで、取っといてくれないか？
map_0870#41	こおりタイプが必要なんだろ、俺が持ってる。
map_0870#42	ちょっとの間だけ、いがみ合うのはやめて、このクソ問題を片付けようぜ。
map_0870#43	いいな？
map_0870#44	キャル: 分かったよ。
map_0870#45	\PN、指揮は君に任せるよ。
map_0870#46	僕たちは中央で待機して、必要に応じて部屋を熱くしたり冷やしたりするから、君が進めるように合図してくれ。
map_0870#47	合図さえくれれば大丈夫だから。
map_0870#48	ブレイク: この最高に甘美な協力ってやつを、始めてやるよ……
map_0870#49	それがヒーローってやつの決まりだろ？
map_0870#50	キャル: 調子に乗るなよ。まだ君のことは信用してない。
map_0870#51	ブレイク: つまり……俺は薄氷を踏んでるってわけか？
