map_0872#6	キャル: どうせほのめかしてるんだろうけど、見逃してあげるよ。
map_0872#7	君が嗅いでるのは、たぶん何かの火山ガスだと思う。
map_0872#8	ブレイク: おい、おならするなら外でやれよ。
map_0872#9	キャル: ……
map_0872#10	ブレイク: はいはい、薄氷に、溶岩だまり――分かったよ！
map_0872#11	その殺し屋みたいな目つき、やめてくれよ、兄弟！
map_0872#12	俺が今お前に嫌われてるのは分かってるけどさ、時々からかわずにいられないってのも分かってくれよ。
map_0872#13	別に個人的な悪口のつもりじゃないんだ。
map_0872#14	悪いのはお前じゃなくて、俺の方だって話。
map_0872#15	あと、たまにお前も悪い。
map_0872#16	やべ、また言っちまった。
map_0872#17	キャル: とにかく、続けさせてもらうと、
map_0872#18	昔アメトリンも火山だったって話、どこかで聞いた気がするんだ。
map_0872#19	ずっと休火山だっただけで、ヒードランがそれを目覚めさせたりしたら……
map_0872#20	ブレイク: その先は言わなくていいぞ。
map_0872#21	そんなこと、絶対起こらせねえ。
map_0872#22	さっさとやろうぜ、兄弟。まずはお前からだ！
map_0872#23	キャル: 分かった。
map_0872#24	ブレイク: 俺の番か？
map_0872#25	ブレイク: トドゼルガ、こいつらを凍らせてやろうぜ！
map_0872#26	ブレイク: そりゃクールだ。
map_0872#27	ここを丸ごと燃やしたりしないようにな。
map_0872#28	キャル: 部屋が温まってる間は、氷が溶けて、岩の一部も熱で砕けやすくなるはずだよ。
map_0872#29	ヒードランの力に染まった結晶なら、近くの氷を砕けるようになるかもしれない。
map_0872#30	ただ、水の一部はどのポケモンでも渡れないくらい熱くなるはずだ。
map_0872#31	キャル: 僕が代わろうか？
map_0872#32	キャル: よし。じゃあ下がってて、温度を上げるよ。
map_0872#33	合図をくれればいいから。
map_0872#34	ブレイク: トドゼルガと俺に任せとけ、楽勝だ。
map_0872#35	部屋が冷えてる間、水の一部が凍って氷になるはずだ。
map_0872#36	煮えたぎってた水は凍らずに、泳げるくらいまで冷めるだろう。
map_0872#37	それに、この結晶の一部を割れば、溶岩を渡る通り道が開けるかもな。
map_0872#38	もう分かっただろ？
map_0872#39	ここは完全に凍りついている……
map_0872#40	鍵が結晶に反応した！
map_0872#41	はい
map_0872#42	いいえ
map_0873#0	キャル: これで全部片付いたみたいだね。
map_0873#1	いつも助けてくれてありがとう、\PN。
map_0873#2	ブレイク: うへぇ、お前らっていつもこんな感じなのかよ？
map_0873#3	「ご協力ありがとうございました。この経験がお互いにとって有意義なものであったことを願います、うんぬんかんぬん――」
map_0873#4	なあ兄弟、俺たち今、噴火してる火山と戦って勝ったんだぞ！
map_0873#5	ヤバかったよな！
map_0873#6	キャル: 色々な意味で正確とは言い難いけど……
map_0873#7	まあ、悪くなかったよ。
map_0873#8	ブレイク: 「悪くなかった」、それだけかよ――
map_0873#9	はいはい悪かったな、次は目隠しでズボン脱いで、火山二つ同時に相手にしなきゃな。
map_0873#10	それならせめて、ちょっとくらい笑ってくれるか？
map_0873#11	キャル: 分かった分かった、言いたいことは分かるよ。
map_0873#12	時々、素直に感情を出すのが難しいんだ。
map_0873#13	ブレイク: なんだよ、そのヒッピー禅スクールとやらじゃ教えてくれなかったのか？
map_0873#14	キャル: まだ学ぶことがたくさんあった頃に……
map_0873#15	ブレイク: ああ、あの「センセイ」がらみの話な。
map_0873#16	まあ、元気出せよ。
map_0873#17	これからは俺が先生になってやるよ。
map_0873#18	キャル: 君だって、まだまだ学ぶことがあるだろ。
map_0873#19	ブレイク: 冷てえな！
map_0873#20	でもまあ、その通りだ、
map_0873#21	だからお前も俺の先生ってことでいいぜ。
map_0873#22	学びってそういうもんだろ？
map_0873#23	どっかのポスターで見た気がするしな。
map_0873#24	あのな、「良い奴になろう」ってのは、俺にとってまだ始めたばっかなんだ。
map_0873#25	だから、付き合ってくれよな？
map_0873#26	キャル: ああ。それくらいならできるよ。
map_0873#27	ブレイク: よし、じゃあ停戦だ！
map_0873#28	これは大勝利って呼んでいいよな。
map_0873#29	山が跡形もなく溶けたわけでもないし、俺が溶岩に沈められたわけでもない……
map_0873#30	ただの、正々堂々としたヒーローの仕事ってわけだ。
map_0873#31	まあ、そんな感じ。
map_0873#32	とにかく、この煙で気管支炎ステージ4にならないうちに、俺は退散するぜ。
map_0873#33	そこまで進行するもんかは知らないが、確かめたくもねえしな。
map_0873#34	お前らも来るか？
map_0873#35	キャル: もちろん。
map_0873#36	\PN、乗っていくかい？
map_0873#37	ブレイク: なら、このアイス屋台は吹き飛んだも同然ってことでな。
map_0873#38	んじゃな。
map_0873#39	ブレイク: 好きにしろよ。
map_0873#40	肺が尻から飛び出ても、俺のとこに泣きついてくるなよ。
map_0873#41	ブレイク: うへぇ、ここ、マジで臭いな……
map_0873#42	キャル: この山は今、有毒ガスをどんどん出してるんだ。
map_0873#43	できるだけ、あんまり吸い込まないようにね。
map_0873#44	ブレイク: お前、本当に最悪なタイプ選んだよな。
map_0873#45	キャル: 僕自身、あんまり嬉しくはないよ。
map_0873#46	ブレイク: おいおい、今度は何の地獄だよ！？
map_0873#47	キャル: この山、もう後戻りできないところまで溶け始めてるんだ！
map_0873#48	ブレイク: そうはさせるかよ！
map_0873#49	ブレイク: トドゼルガ、こいつを抑え込め！
map_0873#50	ブレイク: お前らは急いでヒードランを見つけろ、こっちがいつまで持つか分からねえぞ！
map_0873#51	ヒーロー側に寝返ったってのに、ここで全部台無しにされてたまるかよ！
map_0873#52	キャル: どうやら地元の子たちは、あの一撃が気に入らなかったみたいだ……
map_0873#53	チャーレム！
map_0873#54	キャル: 僕たちがついてる――君はこの山を安定させることだけ考えて！
map_0873#55	ブレイク: 言われなくても分かってるさ。
map_0873#56	ここは元々俺たちの地元なんだよ、クソ野郎ども！
map_0873#57	それを燃やそうってのか！？
map_0873#58	そういうのは、もううんざりなんだよ！
map_0873#59	顎を上げて、頭を高く上げてろ――殴られてもひるむな。
map_0873#60	あいつは殴るたびに、そう言ってきた。
map_0873#61	それでお前がそのことでずっと泣いて、めそめそ文句垂れてるガキみたいにしてる間に、俺はひるまなくなった。
map_0873#62	代わりに、自分から殴るようになった。
map_0873#63	それが一番安全なやり方だったんだ。
map_0873#64	でも、もう違う！
map_0873#65	立ち向かって、そのついでに恥ずかしいスピーチだってしてやるさ！
map_0873#66	ついてくるよな、兄弟！？
map_0873#67	キャル: 一緒にいるよ。
map_0873#68	\PN、ヒードランを見つけに行ってくれ！
map_0873#69	近くにいるはずだ！
map_0873#70	ブレイク: で、見つけたら――
map_0873#71	ひるむなよ。
map_0873#72	ヒードラン: ヒィィァァ！
map_0873#73	ホラアッ！
map_0873#74	ヒードラン: フゥラ〜
map_0873#75	はい
map_0873#76	いいえ
map_0874#0	ファーン: 遅かったな。
map_0874#1	まあ、こんなひどい空間に叫んで逃げ出したって、責めやしないけどな。
