map_0877#41	アヤ: \PN、今この部屋の温度変えた……？ あなたなの？
map_0877#42	いい考えがあるの。
map_0877#43	代わりに、もっと熱くする方法がないか探してみて！
map_0877#44	施設全体を過熱させられれば、こいつら全部まとめて一掃できるかもしれない！
map_0877#45	あたしも戻らなきゃ――急いで！
map_0877#46	アヤ: 温度を上げる方法がないか、探してみて！
map_0877#47	できたら、あたしが全部まとめて片付けてみせるから！
map_0877#48	アヤ: やったわ！
map_0877#49	全部、クソほど燃えてる！
map_0877#50	一匹残らずね！
map_0877#51	はっはっは――ざまあみろ、クソ野郎ども！
map_0877#52	うおおおおっ！！
map_0877#53	アヤ: ……よし、一区切りね。
map_0877#54	アヤ: はぁ、シャルロットっていつもこんな気分なわけ？
map_0877#55	タイプ変えた方がいいのかも。
map_0877#56	「緊急時専用アクセス――火災時以外は使用不可」
map_0877#57	「シャッターシステム――モードB」
map_0877#58	「シャッターシステム――モードA」
map_0877#59	起動しますか？
map_0877#60	アイソシャッター、解除完了
map_0877#61	アーク: \PN！ お前の顔、拝めてありがたいぜ！
map_0877#62	しかもドンピシャのタイミングだ。
map_0877#63	こいつらのガラクタ、どこからともなく飛び出してきやがってな。
map_0877#64	一緒に錆びつかせてやらないか？
map_0877#65	アーク: いい仕事だ。
map_0877#66	お前が来てなかったら、ちょっとヤバいことになってたかもな。
map_0877#67	アーク: それに、片方が何か落としていったみたいだな。
map_0877#68	アーク: これが何なのか、お前は分かるか？
map_0877#69	アーク: まあどっちにしろ、お前にやるよ。
map_0877#70	さて、ここまでの経緯だが。
map_0877#71	アトリウムで状況を立て直そうとしてたら、回線がおかしくなり始めてな。
map_0877#72	まばたきしたらここにいて、かかとを鳴らしたらいなくなって。
map_0877#73	混乱の中で何度か行ったり来たりして、結局そのまま流されることにした。
map_0877#74	ここはたぶん、現実世界と重なったニューワールドの区画だ。
map_0877#75	お前が存在に戻る前にも、そういうのが何回かあったが、あんまりいい光景じゃなかったぞ。
map_0877#76	アノマリーを全部片付けりゃ安全になるはずだが、それまではここに閉じ込められてるのは俺だけじゃない。
map_0877#77	シェルターの住民が少し奥に閉じ込められてるのを見たから、先に助けに行ってくる。
map_0877#78	残りの安全は、お前に任せたぞ。
map_0877#79	また連絡できるときに連絡する。それまで待っててくれ。
map_0877#80	「ショックレセプター――停止中」
map_0877#81	表示部の下に、空きスロットがある。
map_0877#82	イナズマカセットを挿入しますか？
