map_0879#31	クラウドバリー: あたしの名前はイグノシア・クラウドバリーだよ、この能なし！
map_0879#32	そのマヌケ面、今すぐそのあんぐり開いた口から消しなさい、さもないとあたしが引っぱたいてやるからね！
map_0879#33	あたしはただ、平和な散歩のつもりで余計な詮索もせず歩いてただけなのに、シークレストのクサい庭に、あのバカでかい光の門が座り込んでるのに気づいたのよ。
map_0879#34	あそこに悪魔崇拝のポータルなんか育ててるって知ってたら、小便と肥やし水であいつの土地に塩をまくのなんて、絶対やめてやらなかったのに！
map_0879#35	無許可の悪魔崇拝ポータルは、明らかな建築基準法違反よ！
map_0879#36	あの臆病者で役立たずの猫かぶり野郎が、またここで騒ぎを起こしてるって、分かってて当然だったわね。
map_0879#37	どうせあたしへの当てつけでやってるんでしょうよ……
map_0879#38	イヴ: あの老人と知り合いなんですか？
map_0879#39	クラウドバリー: ええ、そりゃもう、よーく知ってたわよ！
map_0879#40	昔はね、あのシークレストのじいさんなんて、あたしの言いなりだったんだから。
map_0879#41	他のいろいろなものにも絡みついてたけどね、分かるでしょ〜
map_0879#42	クラウドバリー: それなのに、あいつはあたしの心臓を引きちぎって、その上にクソをしたのよ。
map_0879#43	イヴ: ええ、聞いたことを後悔してます。
map_0879#44	あの、私たち今ちょっと取り込み中でして。
map_0879#45	よろしければ、脇にどいて済ませてもらえませんか？
map_0879#46	クラウドバリー: あら、あんた、それを先に言ってくれればよかったのに。
map_0879#47	だって実際のところ、大いに困るんだからね！
map_0879#48	このクラウドバリー様が、あんたたちの怪しい悪魔魔法をおとなしく見過ごすとでも思ってんなら、ハニー、とんだクソ食らわせてやるからね！
map_0879#49	このおぞましい庭を、そもそも育った忌々しい悪魔の石ころにまで、根こそぎ焼き払ってやる！
map_0879#50	それが終わったら、あんたたちの希望と悪魔召喚の夢の、くすぶる残骸しか残らなくなるまで、この場所全部を焼き尽くしてやる。
map_0879#51	ンンンンンンンンンン……
map_0879#52	イヴ: ……ええと、それで……
map_0879#53	じっくり時間をかけて育てるどころじゃなくなったわね。
map_0879#54	どうやら、この脅威に対処しながら、必要な化合物を育てる方法を見つけなきゃならないみたい。
map_0879#55	フラワーガーデンのフィールド効果は、もう知ってるわよね？
map_0879#56	彼女を倒す方法を見つける必要があるけど、特に成長が最大段階のときにバトルを終わらせなきゃいけない。
map_0879#57	念のため、フィールド効果のデータを渡しておくわ。
map_0879#58	\PNはフィールド効果解析33を手に入れた！
map_0879#59	フラワーガーデンフィールドの情報が閲覧可能になった！
map_0879#60	イヴ: 予想外の障害だけど、また頼らせてもらうしかなさそうね。
