map_0882#30	都会の路地裏なんて、くさくなるだけだし。
map_0882#31	別に、面白いものなんて何もないし。
map_0882#32	誰かが家にいて、それを作らなきゃいけないわけだし。
map_0882#33	しかも、バトルしか興味ない人もいるとか、信じられなくない？？？
map_0882#34	それって、飽きたりしないわけ？？？
map_0882#35	まあ、案外分かってるのかもね。
map_0882#36	とにかく、どういたしまして。
map_0882#37	そろそろ独り言、やめとくわ。
map_0882#38	じゃあね、的な。
map_0882#39	割れたガラスで\PNは痛みを受けた！
map_0882#40	はい
map_0882#41	いいえ
map_0883#0	フロリニア: 挨拶する。
map_0883#1	……ここで会えて、感謝している。
map_0883#2	少し前に、ジュリアから助けを求める連絡があった。
map_0883#3	アマリアとティタニアが、また例のことをやっているらしい。
map_0883#4	もっとも、その「例のこと」の詳細は不明だが。
map_0883#5	ジュリアの報告によれば、この芽吹きの世界を通って二人のもとへたどり着いたそうだ。
map_0883#6	進むとしよう。
map_0883#7	ジュリア: ねえ、\PN！
map_0883#8	エイミーが目を覚ましたから、みんなに呼んでこいって言われたの！
map_0883#9	ターニャが目を覚ましたから、みんなに呼んでこいって言われたの！
map_0883#10	……ってどういう意味か知らないけど！
map_0883#11	アタシ、ここの急流でずっと遊んでてさ――
map_0883#12	知ってた？ あんたの後ろの扉の上にある山から、ちょうどいい角度で飛び降りたら、ここからエイギルの滝までまっすぐ落ちれるんだよ？？？
map_0883#13	失敗して頭ぶつけたの、まだ2回だけだから！
map_0883#14	もう一回やってくるけど、そしたらすぐ行くから、いい？
map_0883#15	オッケー、じゃあね！！！
map_0884#0	シエル: あら、\PN、ちょうどいいところに来ましたわね、
map_0884#1	……と言いたいところですけど、間に合うべき何かがあれば、の話ですわ。
map_0884#2	でも、こういうことって、みんなよく言うものですものね。
map_0884#3	サムソン: メテオはハズレだったな。
map_0884#4	シエル: ええ、まったく。
map_0884#5	ここに呼ばれたのは、チームメテオの名を冠したあの宇宙の岩だという話だったからですわ。
map_0884#6	どうやら、そうではなかったようですけれど。
map_0884#7	サムソン: 「チーム宇宙の岩」の方が、なんかカッコいい気もするけどな……
map_0884#8	シエル: しませんわ。
map_0884#9	テラの話では、本物のメテオはクリスタルに封じられているはずだそうですけれど、ここにはクリスタルのかけらすら見当たりませんわ。
map_0884#10	つまり、これはどこにでもあるような、ありきたりの隕石だと考えるしかありませんわね。
map_0884#11	サムソン: まあ公平に言うと、テラはこれがゴム製のコアルヒーとか、グリセリン不使用のローションとか、他にもいろいろで覆われてるって言ってたけどな。
map_0884#12	シエル: ええ。
map_0884#13	そのあたりのことは全部、聞かなかったことにしますわ、どうも。
map_0884#14	とにかく、まったくもってがっかりですわ。
map_0884#15	サムソン: アゲートでの一件、リンの頭をかち割ってやるのを楽しみにしてたんだけどな。
map_0884#16	シエル: でも、ささやかな仕返しは、また別の日に持ち越しになりそうですわね。
