map_0887#80	タカ: ああ、\PN、なんだ、君か……
map_0887#81	襲われるのかと思ったよ。
map_0887#82	ここに来たのは……
map_0887#83	……手伝おうと思って、かな。
map_0887#84	人生で一度くらいは。
map_0887#85	行動を起こすんだ。
map_0887#86	でも、ここまで寒いとは思ってなかったな。
map_0887#87	これはマフラーだけじゃ足りなさそうだ。
map_0887#88	また一緒に来てくれる？
map_0887#89	トルマリンのときみたいに。
map_0887#90	でも、まあ、今回は死なないように気をつけるよ。
map_0887#91	あれはもう懲り懲りだから。
map_0887#93	僕……なんでここに来たのか、自分でもよく分からないんだ。
map_0887#94	前にも言ったけど、自分にできることをするため、かな。
map_0887#95	これはマフラーだけじゃ足りなさそうだ……
map_0887#96	一緒に来てもらってもいい？
map_0887#97	チャンピオンがそばにいてくれるだけで、自分が何をしてるのか分かってる気になれるんだ。
map_0887#98	この先を見てみよう。
map_0887#99	ゼロ: ……ああ、\PN。
map_0887#100	他のみんなは、捕まえた伝説のポケモンとか、封じたアノマリーとか、そういう話で浮かれてるみたいだけど……
map_0887#101	俺はずっとデスクの後ろにいるのは嫌だって決めたんだ。
map_0887#102	……誰が俺を追わせたんだ？ 助けなんて頼んでないぞ。
map_0887#104	ああ、あのちっちゃいドーブルか……
map_0887#105	俺に助けが必要だと思ったんだろうな。
map_0887#106	そいつが間違ってるって証明したいところだが……
map_0887#107	……まあ、頼む相手は選んだって感じだな。
map_0887#108	いや、俺の方がお前を助けるべきなんだ――逆じゃなくて。
map_0887#109	借りがあるからな。
map_0887#110	ルミを助けてくれたことに対して、だよ。
map_0887#111	邪魔をしたのは……俺の方だったかもしれないけど……
map_0887#112	誰かとあれだけ近くにいれば、多少なりともその人の一部が自分に混ざり込むもんだ。
map_0887#113	距離は置いてるつもりだけど、もし今、あいつやイヴに何かあったら……
map_0887#114	……自分が何者なのか、分からなくなりそうだ。
map_0887#115	と、とにかく、感傷的な話はこのくらいにしとくか。
map_0887#116	やるべきことがあるんだろ、多分。
map_0887#117	ユキノオーが、期待するように空を見つめている。
map_0887#118	ユキノオーの「ゆきふらし」を発動させますか？
