map_0888#180	でも、誰かがあの伝説どもを捕まえに行かなきゃいけないだろ。
map_0888#181	それに、それをやってる間、誰かがお前の背中を守らなきゃな。
map_0888#182	行ってこい。
map_0888#183	タカ: ……これで終わり？
map_0888#184	彼女、本当にいなくなったわけじゃないよね？
map_0888#186	何を言おうとしてたのかも分からないけど、どんどん悪くなってる感じがする……
map_0888#187	それでも、彼女はどこにでもいる可能性がある。
map_0888#188	昔のリンとはまるで別人だけど、あの頃だって、いきなり眠りに落ちたりしてたし……
map_0888#189	使える力に、何か制限があるのかな？
map_0888#190	……まあ、事情はどうあれ、手伝ってくれてありがとう。
map_0888#191	まだ……全部うまくいくって、なかなか思えないんだ。
map_0888#192	実際に見たはずなのに。
map_0888#193	あれが本物だったって、何度も自分に言い聞かせなきゃいけない。
map_0888#194	うなだれ続ける理由なんて、もうないんだって。
map_0888#195	それでも時々、絶望的な気分になる。
map_0888#196	でも、それを自分に言い聞かせられるようになっただけでも、昔の僕にはできなかったことなんだと思う。
map_0888#197	新しい感情って、覚えるのに時間がかかるものなんだね。
map_0888#198	それに、覚えなきゃいけないものが、まだたくさんあるし。
map_0888#199	タカ: 僕がまだそれに取り組んでる間も、そばにいてくれると嬉しいな。
map_0888#200	タカ: ……えっと、その間に、チームを回復させておくよ。
map_0888#201	前に組んだときより、少しはついていけてたらいいんだけど。
map_0888#202	僕、ルナの言ったことから学ぼうとしてたんだ。
map_0888#203	「目に炎が宿ってる方が、あなたはいい顔してるわ」
map_0888#204	正直、自分でも調子がよく感じてた。
map_0888#205	でも、破壊するためだけの炎には、興味がないんだ。
map_0888#206	タカ: 僕は……みんなが楽しめるような炎になりたい。
map_0888#207	座って、手を温めて……
map_0888#208	この寒い世界から、少しだけ休息を。
map_0888#209	君がよければ、その温もりを、君にも分けてあげたいな。
map_0888#210	タカ: ……ああ、じゃあまず、チームを回復させるところから始めるね。
map_0888#211	タカ: 君が打席に立つ番だと思う。
map_0888#212	あの伝説たちは、君のものになる、
map_0888#213	本人たちはまだ、それに気づいてないとしても。
map_0888#214	ゼロ: うわ――マジかよ！？
map_0888#215	タカ: ……あ。
map_0888#216	アンナ: ねえ聞いて！
map_0888#217	他にも見つけたんだ！
map_0888#218	前のとき、その子のこと、すごく気に入ってたんだ。
map_0888#219	今回も同じくらい楽しいといいな～
map_0888#220	待って、前のときって？
map_0888#221	あれ、前っていつのことだったっけ？
map_0888#222	ユーレユのときだったのは分かってるんだけど……
map_0888#223	ただの手品じゃ済まないくらい、みんなに信頼させるの大変だったんだから！
map_0888#224	でも、それがいつのことだったのか、思い出せないんだよね？
map_0888#225	あー、もしかして今回は、それを知っちゃいけないのかも！
map_0888#226	おっと～
map_0888#227	そんな結末、予想できるわけなかったよね！
map_0888#228	でも、何が起きるか分からない方が、ずっと楽しくない？
map_0888#229	そこが本当は大事なところなんじゃない？
map_0888#230	だから、本当は、こっちの方がいいのかもね！
map_0888#231	もう一回、「はじめまして」って言ってみようよ！
map_0888#232	ふふ……
map_0888#233	ふふふ～
map_0888#234	リン: 前の誰が何、って？
map_0888#235	リン: あ、それあたしの出番じゃん！
map_0888#236	で、これ、みんな覚えてるよね？
map_0888#237	マジであの頃、こいつめちゃくちゃ面倒くさかったんだから
map_0888#238	でもさ、そのまま殺しちゃうのはもったいないよね？
map_0888#239	他のみんな、マジで退屈すぎるし。
map_0888#240	まあでも、ここにいるとなんか不運な副作用があるみたいだから、ちょっと……
map_0888#241	……分かるでしょ。
map_0888#242	なんでかは知らんけど
map_0888#243	あたしは平気だし。
map_0888#244	あたしのレベルまで来なよ？？？
map_0888#245	楽しいお泊まり会に人を呼んでみたら、次の瞬間には真っ黒な鬱ドロドロまみれになってるんだから。
map_0888#246	まあ、中学時代みたいなもんか。
map_0888#247	とにかく、直しなよ！！！！
