map_0889#79	ノエル: あなたは、そこにいるだけでよかったのです。
map_0889#80	\PNがこれから向かう場所に、あなたはいたことがあります。
map_0889#81	ファーン: オレが？
map_0889#82	どこにだよ？？
map_0889#83	いつのことだ？？？？
map_0889#84	話について行けてないぞ。
map_0889#85	ノエル: 一つの時計ほど前のことです。
map_0889#86	ファーン: ？？？？？？？？？？？？？
map_0889#87	ノエル: 少し静かにしていてください、集中したいので。
map_0889#88	。
map_0889#89	..
map_0889#90	分かりました。
map_0889#91	ノエル: あの扉が、あなたをアンナのところへ送ります。
map_0889#92	ファーン: ……誰だよ？
map_0889#93	ノエル: 僕の姉です。
map_0889#94	ファーン: 彼女に何かあったのか？
map_0889#95	ノエル: 姉はドリームシックです。
map_0889#96	ファーン: 聞いたことないな、それ……
map_0889#97	ノエル: その性質上、当然でしょうね。
map_0889#98	母も、同じだったんだと思います。
map_0889#99	世界をあまりにも強く変えすぎて、そこからこぼれ落ちてしまったんです。
map_0889#100	そして、一番近しい人たち以外の全員から、忘れられてしまう、
map_0889#101	ついさっきまで、すごくリアルに感じていた夢の中の登場人物みたいに。
map_0889#102	ファーン: でも、彼女はまだそこにいるんだろ。
map_0889#103	ノエル: 少しだけ、ですけどね。
map_0889#104	姉はまだ、リンと戦ってると思い込んでるんです。
map_0889#105	あまりにも長くリンと戦い続けてきたせいで、戦わない方法が分からなくなってしまった。
map_0889#106	それに、ある意味では、実際そうなんです。
map_0889#107	アルセウスにあれほど近づいていることが、姉を蝕んでいます。
map_0889#108	でも、離れることができない。
map_0889#109	姉を、姉自身から救わないといけないんです。
map_0889#110	ファーン: ……分かった、乗った。
map_0889#111	何をすればいい？
map_0889#112	世紀の救出作戦のために、みんなを集めるのか？
map_0889#113	ノエル: あの扉が、あなたをリンのところへ送ります。
map_0889#114	ファーン: くそ、ついに来たか。
map_0889#115	他のリーダーたちも集めて、乗り込んで、あいつを完全に片付ける準備をした方がいいか？
map_0889#116	ノエル: いいえ。
map_0889#117	行く必要があるのは、\PNだけです。
map_0889#118	ファーン: は？
map_0889#119	おいおい、わざわざここまで呼んどいて、オレを戦いに参加させないつもりか？
map_0889#120	ノエル: そうです。必要だったのは、過去のあなた自身の記憶だけなので。
map_0889#121	ファーン: ……なんかカッコ悪いけど、まあいい。
map_0889#122	そんなことでいちいち癇癪起こしたりしないさ。
map_0889#123	ただ、なんで\PNを一人で行かせるのか、それだけ教えてくれ。
map_0889#124	オレがこの仕事に一番向いてる奴じゃないのは分かってるけど、援護は無いよりあった方がいいだろ？
map_0889#125	騒ぎは少ない方がいいんです。
map_0889#126	頑張らなきゃと思うほど、姉が完全に消えてしまう可能性が高くなるんです。
map_0889#127	そのリスクは冒せません。
map_0889#128	姉は、みんなが来ると予想しています。
map_0889#129	みんなのために、何か用意しているんです。
map_0889#130	それだけの抵抗があれば、姉をかえって助長させるだけです。
map_0889#131	\PNだけが行けば、姉は自分自身の期待の重さに耐えられなくなるはずです。
map_0889#132	ファーン: ……気に入らないが、分かった気がする。
map_0889#133	いいだろう。
map_0889#134	\PN、何かまずいことになったら、オレが控えてるからな。
map_0889#135	必要なら、チームを回復させてやるよ。
map_0889#136	ノエル: 幸運を。
map_0889#137	あなたを頼りにしています。
map_0889#138	ノエル: ファーンをここに連れてきてください。
map_0889#139	タンザンからの扉のところに、彼がいるのが見えます。
map_0889#140	ノエル: ギラティナをメテオに連れていってください。
map_0889#141	この近くの洞窟にいたものです。
map_0889#142	ノエル: ギラティナをメテオに連れていき、ファーンをここに連れてきてください。
map_0889#143	ノエル: あの世界から姉を引っ張り出しても、おそらくドリームシックは治りません。
map_0889#144	でも、アルセウスから引き離す必要はあります。
map_0889#145	ここまでひどくなっているのは、リンの間接的な影響のせいです。
map_0889#146	優しく接してあげてください。
map_0889#147	ノエル: ジグムントのところにいた頃は、こんなことになるなんて思ってもいませんでした。
map_0889#148	姉とアンナは、ただの簡単なチェスをしていただけだったのに。
map_0889#149	馬鹿げています。
map_0889#150	もう駒を倒して、盤をしまってしまいたい。
map_0889#152	ヘザー: 下まで送っていく？
map_0889#153	ヘザー: できるだけ早くノエルを探しに突破したんだけど、もういなくなってて。
map_0889#154	ヘザー: ここ、まだ不気味だけど、少なくとも閉じ込められたりはしないみたいね。
map_0889#155	あんまり周りは見て回らなかったんだけどね、あんたが何かしてるだろうと思って。
map_0889#156	とにかく、下まで送っていく？
map_0889#157	ヘザー: 了解！
map_0889#158	乗って、しっかりつかまって、あの時間よ！
map_0889#159	ヘザー: 好きにすれば。あんたの足が痛くなるだけだし。
map_0889#160	イベルタル: スキィィィヴ！！！！
map_0889#161	ターァァル！
map_0889#162	イベルタル: リィー～
map_0889#163	ゼルネアス: ザース～
map_0889#164	アンナ: ちょっと待って、ノエル？？
map_0889#165	そこで何やってるの！？
map_0889#166	そこは弟が行くところじゃないよ！
map_0889#167	ほら、出してあげる。
map_0889#168	リン: え、ちょっと待って
map_0889#169	このアノマリー、汚すぎでしょ！
map_0889#170	こいつ最後に洗ったのいつよ！？
map_0889#171	マジで――中のガラクタ見てよ――
map_0889#172	ほら、振り落としてあげるから――
map_0889#173	ノエル: その必要はありません。
map_0889#174	アンナ: うわ、それにニューワールドの影が全身についてるじゃん！
map_0889#175	ノエル: ただのエネルギーです。
map_0889#176	アンナ: まあ、これはこれでいいのかも。
map_0889#177	その不気味なニューワールドの影の力を使って、\PNを止めてきなよ！
map_0889#178	そうすればあんたは自由になるか、今度こそリンを完全に片付けられるか、どっちかだよ！
map_0889#179	ノエル: ……リンはもういません、アンナ。
map_0889#180	それに、僕のことを心配する理由もありません。
map_0889#181	アンナ: 嘘つかないで、ノエル！ リンはそこにいるじゃん！
map_0889#182	\PNのことだよ！
map_0889#183	馬鹿なこと言わないで！
map_0889#184	ノエル: ……
map_0889#185	見えなくても感じられるものがあるのは知っていますが……
map_0889#186	それは、信じがたいですね。
map_0889#187	アンナ: 自分の弟がだまされてるのを、黙って見てるつもりはないから！
map_0889#188	戦うしかないんだよ！！！
map_0889#189	ノエル: ふむ。
map_0889#190	ノエル: 何ですか？
map_0889#191	リン: 許してあげる！
map_0889#192	いや、待って、感謝すべきなのはあんたの方だから！！
map_0889#193	あのアノマリーの中で、一体何やってたわけ？？？
map_0889#194	あれが今までどこにあったか、分かってんの？
map_0889#195	どこにあったって、おかしくないんだから！！
map_0889#196	クラウドバリーの家の中だって、あり得るんだよ！！！！
map_0889#197	だから、どういたしましてってね。
map_0889#198	だから早く、その気持ち悪いニューワールドの汁を落とすためにも、戦っちゃおうよ、あんたがブチギレて実はみんなのこと嫌いだったとか言い出す前に！！！
map_0889#199	リン: バカ言わないでよ、毎回そうなるんだから！
map_0889#200	早く早く早く、バトルバトルバトル！！！
map_0889#201	そう言うなら。
map_0889#203	ザァーラ～
map_0889#204	ノエル: 他の人に何が起きるかは知っていますが、僕には当てはまりません。
map_0889#205	オーラの中でも、僕は自分を制御できていました。
map_0889#206	でも、そんなことはどうでもいいです。
map_0889#207	終わらせましょう。
map_0889#208	他人が、自分より僕に必要なものを分かってるつもりでいるのに、もううんざりです。
map_0889#209	あなたがいなくなっていた間に、僕はもうゼルネアスに会っていました。
map_0889#210	僕たちは、お互いを理解しています。
map_0889#211	引き剥がされたときも、まだお互いを理解し合っている途中でした。
map_0889#212	それも、その一部にすぎません。
map_0889#213	……でも、あなたはいつも伝説のポケモンを捕まえようとしますよね。
map_0889#214	分かりました、ゼルネアスがあなたと一緒に行きます。
map_0889#215	僕の友達なので、大事にしてあげてください。
map_0889#216	ノエル: まだやることがありますよね？
map_0889#217	待っています。
map_0889#218	ラドマス: ああ――
map_0889#219	ついに紋章か。
map_0889#220	実に骨の折れる登りだった……ずいぶん長く、危うい枝の上に取り残されていたせいも、少なからずあるが。
map_0889#221	文字通りの意味でな――
map_0889#222	ノエルがここにいると聞いて様子を見に来たのだが、結局、あのバリアにほとんど閉じ込められかけてしまってな……
map_0889#223	それを助けてくれたのは、君に感謝すべきということかな？
map_0889#224	すでに多くの借りがあるというのに、これでまた一つ増えたわけだ。
map_0889#225	しかし本当に、どうにか力になろうとするたびに、いつもどこかしらで立ち往生する羽目になるのはなぜなのだろうな。
map_0889#226	まあいい。彼はここにいるのだろう？
map_0889#227	ラドマス: ……ああ。
map_0889#228	ラドマス: それで、その……
map_0889#229	調子はどうだ？
map_0889#230	ノエル: 中途半端な気遣いは、飛ばしてもらって構いません。
map_0889#231	ラドマス: もちろん、そう感じるお前が間違っているとは言えぬが、しかし、これだけは言わせてくれ、
map_0889#232	もし私の気遣いが中途半端に見えるのなら、それはもう半分が、ずっと前に失われてしまったからにすぎない。
map_0889#233	私に残された全てを、お前のためにここに差し出そう。
map_0889#234	ノエル: ……そうですか。
map_0889#235	父さんは、失われた方の半分にしか、興味がないみたいですけど。
map_0889#236	ラドマス: それをどう示せばよいのか、あまりにしばしば分からなくなってしまうことを恥じているが、断言しよう、お前との間にあるこの隔たりは、私がこれまで味わってきたどの悲劇にも劣らぬものだ。
map_0889#237	しかも、それはいまだ続いているという点で、あるいはそれ以上とさえ言えるかもしれない。
map_0889#238	ノエル: はいはい。
map_0889#239	そう言うのは自由ですけど、父さんは最初から、アンナの方が大事だって決めてたみたいですし。
map_0889#240	ラドマス: あの子のことが、心配だったのだ。
map_0889#241	お前たちの母のように、消えてしまうのではないかと恐れていた。
map_0889#242	そして、その恐れは的中してしまった。
map_0889#243	そして、今回もほとんど的中しかけているようだ。
map_0889#244	だが、あれほど心配していたにもかかわらず、私にはそれを防ぐことができなかった。
map_0889#245	私がしたことといえば、お前に、自分は二の次なのだと感じさせてしまっただけだ。
map_0889#246	ノエル: それだけじゃありません。
map_0889#247	僕たちの名前からしてそうです、
map_0889#248	ファンタジアとペインター。
map_0889#249	すごい方と、つまらない方。
map_0889#250	僕は何をすればいいんですか、誰かの家でも塗ればいいんですか？
map_0889#251	父さんには、最初からはっきりお気に入りがいたんです。
map_0889#252	ラドマス: ああ。
map_0889#253	お前がそう感じるのも理解できる、しかし……
map_0889#254	残念ながら、私はそれに強く異を唱えねばならない。
map_0889#255	これがただの言い訳のように聞こえてしまうのではと心配だが、信じてほしい、お前と私とでは、その名前に見出している意味がまるで違うのだ。
map_0889#256	お前は労働者を見ているのだろうが、私が見ていたのは芸術家だった。
map_0889#257	これは十年以上前の、あの頃の私が思い描いていた空想にすぎないが、私はお前たち二人を、切り離せず、征服されることもない存在だと思い描いていた。
map_0889#258	母の姿そのままの夢見る者、ファンタジア、そして、その夢を現実に描き出せる者、ペインター。
map_0889#259	ノエル: 姉の、世話係。
map_0889#260	ラドマス: 今の私は、あの理想を悔いている。
map_0889#261	お前自身が、どんな世界を描きたいと思うか、それを想像しなかったのは、私の未熟さゆえだった。
map_0889#262	そもそも、名前に何の意味があるというのだろうな？
map_0889#263	それが何であれ、その人がどうあらねばならないかを決めるものでは、決してない。
map_0889#264	それでも、私はそれを、そこまで羨むに値しない立場だとは思っていない。
map_0889#265	世界には、夢見る者があふれている。
map_0889#266	夢は供給過多で、需要はない。
map_0889#267	必要なのは、それを現実へと形にする力なのだ。
map_0889#268	人によっては、この白黒の世界のようなものすら、描かれるのを待つキャンバスに見えるのかもしれない。
map_0889#269	……ああ。
map_0889#270	分かりきったことだったのかもしれないな。
map_0889#271	ラドマス: うん？
map_0889#272	ノエル: 色が失われています。
map_0889#273	奪われたのなら、代わりに新しい色を戻せばいいだけです。
map_0889#274	ラドマス: ……なるほど。
map_0889#275	だが、こんな場所で、一体どうやって？
map_0889#276	ノエル: 遅かったですね。
map_0889#277	僕はもう、ゼルネアスに会いました。
map_0889#278	ラドマス: そうなのか？
map_0889#279	ノエル: ゼルネアスは、僕を理解してくれました。
map_0889#280	ラドマス: 私も、話をしてみるべきかもしれないな……
map_0889#281	ノエル: そして、僕もゼルネアスを理解しました。
map_0889#282	ノエル: 命や大地を形作るそのやり方は……
map_0889#283	芸術と何ら変わりません。
map_0889#284	ただの創造です。
map_0889#285	木は緑であるべきです。
map_0889#286	空は青であるべきです。
map_0889#287	僕は何色であるべきなんでしょう？
map_0889#288	そして、それに何の意味があるんでしょう？
map_0889#289	いえ、まったく違うものを作りましょう。
map_0889#290	ラドマス: ああ……
map_0889#291	ノエル: 今なら分かる気がします。
map_0889#292	ラドマス: ……なら、私たちのどちらか一人は分かった、ということだな。
map_0889#293	ノエル: まあ、いいです。
map_0889#294	……猫耳ですか、父さん？
map_0889#295	ラドマス: え――ああ、もちろんだ。
map_0889#296	木に登っていたのだ、それ以外に何を期待していたのだ？
map_0889#297	……それが今、一番注目すべきことなのか？
map_0889#298	ノエル: そうでもないですね。
map_0889#299	アノマリーの中にいたとき、僕は別のものを見ました。
map_0889#300	今なら、そこにたどり着く方法が分かる気がします。
map_0889#301	アンナがニューワールドにたどり着く方法。
map_0889#302	リンがニューワールドにたどり着く方法。
map_0889#303	\PN、準備してください。
map_0889#305	エクリプス: ……
map_0889#306	あ？
map_0889#307	今、いつ？
map_0889#308	あたし、ここにいるはずじゃ、なかった気が……
map_0889#309	あたしの時間は、終わったはずだった。
map_0889#310	それに、今頃はもう、あいつの時間も……
map_0889#311	あそこは、静かだった。
map_0889#312	パニックもない。
map_0889#313	時計と競争することもない。
map_0889#314	罪悪感を埋めるための、うさぎの穴もない。
map_0889#315	治療法を追いかける？
map_0889#316	違う、あたしはただ、逃げてただけ。
map_0889#317	本当に大事に思ってたなら、最初からあいつのそばにいたはず。
map_0889#318	そして今はもう、手遅れ。
map_0889#319	もう、時間を無駄にしすぎた。
map_0889#320	もう、送り返して。
map_0889#322	うっ。
map_0889#323	ここどこ、それと、あたしの飲み物にヤバいもの入れたの誰？
map_0889#324	クズモーみたいな色が見えてる気がするんだけど……
map_0889#325	ラドマス: それには、飲み物など必要あるまい。
map_0889#326	初対面だと思うが、長期休暇の後に世界へ戻ってくるという経験なら、私にも多少心得がある。
map_0889#327	何か力になれることはあるだろうか？
map_0889#328	その後遺症が、疲れ果てるようなものだというのは分かっている。
map_0889#329	エクリプス: あたし、どれくらいいなかったの？
map_0889#330	シリウスは？
map_0889#331	ラドマス: ああ、私の旧友を知っていたのか。
map_0889#332	君に何が起きたのか、推測はできる。
map_0889#333	話すべきことは山ほどあるだろうが、まずは安心してくれ、チームメテオはすでに壊滅し、彼が再び脅威になることはない。
map_0889#334	エクリプス: なら、すぐに父さんのところに行かないと。
map_0889#335	長く離れすぎた。
map_0889#336	もしかしたら、父さんはもう――
map_0889#337	エクリプス: あたし、最悪だった……
map_0889#338	父さんを、一人きりにしてしまった……
map_0889#339	ラドマス: 自分をそう責める必要はない。
