map_0893#60	もう小細工はなしだ……
map_0893#61	もう夢もなしだ……
map_0893#62	僕とバトルしてもらうよ、\PN。
map_0893#63	最後にもう一度、今ここで。
map_0893#64	僕を倒せば、君は現実の世界に戻れる。
map_0893#65	できなければ、この悪夢の中に君を置き去りにする。
map_0893#66	選ぶのは君だ。
map_0893#67	もっとも……いつも通り、選択の余地なんてないんだけどね?
map_0893#68	さあ……最後のダンスといこうじゃないか。
map_0893#69	僕の夢も小細工も脇に置いたところで……君は勝機があると思ってるんだろうね。
map_0893#70	でも、ここはまだ僕の世界なんだよ、\PN。
map_0893#71	……そして君の悪夢だ。
map_0893#72	やはり、僕の仮説は正しかったようだね……
map_0893#73	シヴ: それは……なかなか、興味深かったよ。
map_0893#74	僕が思っていたより、君はこの夢を制御できていたみたいだ。
map_0893#75	君は本当に、異常な存在だね、\PN。
map_0893#76	主の判断を疑いたくなるくらいだよ……
map_0893#77	もし君が、僕たちが探しているトレーナーじゃないとしたら……
map_0893#78	じゃあ、一体誰なんだ?
map_0893#79	いずれにせよ……良いことにも終わりはあるものだ。
map_0893#80	結局のところ、僕は約束を守る男でありたいと思ってる。
map_0893#81	だから、そろそろ君を君の世界に返した方がよさそうだね、\PN。
map_0893#82	今度こそ、確かに言えるよ。もう二度と僕には会わない。
map_0893#83	行く前に、餞別代わりの助言を一つ。
map_0893#84	あの悪夢の中での立ち回りと、僕たちの戦いを見た限り……
map_0893#85	もっと大きな夢を見ることを、恐れちゃいけないよ、\PN。
map_0893#86	だって、大きな夢を見て、誰かが傷ついたことなんてないだろう?
map_0893#87	結局のところ、この世界は君の望む通りに形作れるものなんだ。
map_0893#88	今回ばかりは、本当に君次第だよ。
map_0893#89	でも、とりあえず今は、目を覚ます時間だ……
map_0893#90	本当の闇の主は、そう遠くない先で君を待っている。
map_0893#91	さらばだ、\PN。
map_0893#92	ダークライ: ……
map_0893#93	リ、リ……
map_0893#94	ダークライ: クリィ!!
map_0894#0	やあ、クリム、あいしてるよ
map_0894#1	あんたのマップ最高だし、あんたも最高だよ
map_0894#2	泣きながら、あいしてる
map_0894#3	???: フン……ようやくお目覚めか。
map_0894#4	ずいぶんとゆっくりだったね。
map_0894#5	こんな荒れ果てた夢の片隅に迷い込むとは、よほどの失態があったに違いない。
map_0894#6	???: おいおい、そんなに警戒しないでくれよ。
map_0894#7	君がここにいるのは、僕の意図したことじゃないんだ。
map_0894#8	残念だけど、見たところ、君は僕が探していた人物じゃなさそうだ。
map_0894#9	がっかりだよ。
map_0894#10	実際、君に興味があったなら、もっとずっと前に気づいていたはずだしね。
map_0894#11	まあ、時間の無駄だったな。
map_0894#12	また今日も、空振りか。
map_0894#13	話せて楽しかったよ。
map_0894#14	家に帰る道くらい、簡単に見つけられるだろう。
map_0894#15	せいぜい頑張ってくれ。
map_0894#16	???: おいおい、そんな目で見ないでくれよ。
map_0894#17	君がここに連れてこられたのは僕のせいじゃないし、君を送り返すのも僕の責任じゃない。
map_0894#18	???: おや、エイパム……戻ってきたのか。
map_0894#19	ここでは、みんな時間がかかるみたいだね。
map_0894#20	うん? どうかしたのか?
map_0894#21	ああ、なるほど……また腹が減ったのか。
map_0894#23	はぁ……いいだろう、聞いてくれ……
map_0894#24	僕は公平な男だからね、取引に応じてやろう。
map_0894#25	うちのエイパムは食べ物にうるさくてね、こんな陰気なディストピアを探し回って、その……贅沢な舌を満たしてやる気にはなれないんだ。
map_0894#26	だから、トレーナー……
map_0894#27	僕のエイパムのために、ナナのみを見つけてきてくれ。そうだな……三個くらいでいい。そうしたら、帰り道を教えてやろう。
map_0894#28	悪くない話だろう?
map_0894#29	そうであってほしいね。僕なしじゃ、家に帰れないだろうから。
map_0894#30	もう少し先で待ってるよ。
map_0894#31	正直言うと、トレーナー……君のおかげで考えさせられたよ。
map_0894#32	僕が見たものは、実に奇妙だった。
map_0894#33	君は僕たちが必要としているトレーナーではないけど、少なくとも……好奇心はそそられたよ。
map_0894#34	フン……
map_0894#35	名前はシヴだ。
map_0894#36	君の名前は?
map_0894#37	君の名前は……リン?
map_0894#38	ハッ! リンって、一体どんな名前だよ!
map_0894#39	その場ででっち上げたみたいな名前だな。
map_0894#40	正直、話せば話すほど、君は奇妙になっていくね。
map_0894#41	フン……本当に、君はここにふさわしいのかもしれない。
map_0894#42	とにかく……えっと、リン……
map_0894#43	いいか、君を帰すと言ったし、僕は確かに約束を守る男だ……
map_0894#44	でも、行く前に、君のバトルを実際にこの目で見ておきたい。
map_0894#45	そう難しい話でもないだろう?
map_0894#46	あの三回の戦いを乗り越えてきたんだから……
map_0894#47	この僕くらい、大したことないだろう?
map_0894#48	まあ、選択を聞くまでもないけど……
map_0894#49	どうせ、選ぶ余地なんてないんだからね。
map_0894#50	準備ができたら教えてくれ。始めるとしよう。
map_0894#51	それと、あんまりぐずぐずしないでくれよ……
map_0894#52	ここでのほかのことにも、もう十分時間をかけただろう。
map_0894#53	シヴ: 準備に時間をかけてくれて嬉しいよ、リン。
map_0894#54	でも正直……なんでそんなことしたのか、僕にはわからないけどね。
map_0894#55	何も変わりはしないんだから。
map_0894#56	だって……この夢は君だけのものじゃないんだよ。
map_0894#57	いやはや、驚かされたよ。
map_0894#58	シヴ: まあ……そんなはずじゃなかったんだけどね。
map_0894#59	誰だって、時にはびっくりさせられるものさ……
map_0894#60	僕だってね。
map_0894#61	まあ、いいさ。
map_0894#62	さっきも言った通り、どれだけ準備したところで、何も変わりはしないんだから。
map_0894#63	君には君の小細工があって……僕には僕の\^
map_0894#64	シヴ: まあ、多少は君に不利な方に天秤が傾いていたかもしれないな。
map_0894#65	でも、嘘はついてないだろう?
