map_0895#95	フロリニア: それは論理的に筋が通りません……
map_0895#96	\PNは、彼がこの地方に来たほぼその瞬間から、リンとチームメテオと戦い続けてきました。
map_0895#97	\PNは、彼女がこの地方に来たほぼその瞬間から、リンとチームメテオと戦い続けてきました。
map_0895#98	\PNは、彼らがこの地方に来たほぼその瞬間から、リンとチームメテオと戦い続けてきました。
map_0895#99	アンナ: それがあいつのやり口なんだよ――あいつにとってはただのゲームなんだから!
map_0895#100	障害を作っては、それを壊す楽しみのためにやってるんだよ!
map_0895#101	でも考えてみてよ――ほとんど喋らなくて、ほとんど負けなくて、アルセウスの力に包まれてる、異様に強いトレーナーだよ???
map_0895#102	明らかにリンじゃん!
map_0895#103	気をつけないと、今度こそ本当にあいつがこの世界を終わらせちゃうよ!
map_0895#104	\PNがファーンを石にしたくなかったなんて、どうしてわかるの?
map_0895#105	リンなら、これ全部わざとやった可能性だってあるんだから!
map_0895#106	フロリニア: ……
map_0895#107	アンナ: でも大丈夫! あたしが彼を治せる!
map_0895#108	自分に危険が及んだって、やってみせる!
map_0895#109	フロリニア、それにお兄ちゃんや、\PNが操ろうとしてる他のみんなを信じてる――
map_0895#110	とにかく、リンを止めるためなら何でもやってね!
map_0895#111	覚悟して――ちょっとぐちゃぐちゃになるかも!
map_0895#112	リン: はいはい、もうわかったって。
map_0895#113	まったく、ロボットのはずなのに、随分と漏れるじゃない。
map_0895#114	今頃までに川一本分泣いてないのが不思議なくらいだよ、だってほら――
map_0895#115	リン: ――ザザッ――12番通路の清掃お願いしまーす。
map_0895#116	フロリニア: その……失礼、何ですって?
map_0895#117	リン: そうそう、その調子でお願いしといて。
map_0895#118	もうわかったって言ったでしょ。まあ、あいつは嫌なやつだったけど、あんたの嫌なやつだったわけでしょ、違う?
map_0895#119	フロリニア: その……そう、なのでしょうか?
map_0895#120	リン: チッ。
map_0895#121	その演技じゃ、アカデミー賞は狙えないね。
map_0895#122	あのね、お嬢さん、あんたのせいであたし困っちゃってるんだけど、わかる?
map_0895#123	「いい人になる」ってやつ、みんながずっと言ってるから、あたしも頑張ってみてたんだよね?
map_0895#124	でもさ、あんたにあのラティたちを世話させたこと、ちょっと後悔しかけてるんだけど。
map_0895#125	フロリニア: あなたが……何ですって?
map_0895#126	リン: 気にしないで。
map_0895#127	要するに、あんた自身が言ってたでしょ――石にされた人を治す科学的な方法なんてないって。
map_0895#128	元に戻すには、神様の御業でも必要なくらいだって。
map_0895#129	でも、こんなところに神様なんてそうそう転がってないよね――あ、ちょっと待って
map_0895#130	それ、あたしじゃん!
map_0895#131	だから、あたしがやるべきことは明らかに、彼を元に戻すことでしょ。
map_0895#132	で、みんな知っての通り、あたしはやるべきことを100パーセント、絶対に、条件なしでいつもやるんだから。
map_0895#133	まあでも、ノエルがファーンを使ってあたしをあぶり出そうとしてるんだよね。
map_0895#134	フロリニア: 彼がファーンを……何のために?
map_0895#135	リン: だから、気にしないでって。まあ、時間軸絡みの話だから。
