map_0896#151	ルナが、彼女のジムにも似たようなものがあるって言ってたわ。
map_0896#152	まあ……彼女の谷、だけど。
map_0896#153	なんで彼女だけ、あたしたちみたいに業者に建物を作らせなかったのか、わからないけど……
map_0896#154	本当にそういうのが好きなら、明かりくらい省けたでしょうに。
map_0896#155	まあ、いいけど。
map_0896#156	とりあえず、結晶を一つずつ起動してみましょうか。
map_0896#157	あの鏡だけでも、今なら二つはいけるはずよ。
map_0896#158	セラ: あの光の球を起動したら、二枚目の鏡のパネルが現れたわ。
map_0896#159	まだ続きがありそうね……
map_0896#160	その二枚目の鏡があれば、左下の結晶が使えるようになるはず。
map_0896#161	……でも、光を放つたびに、リセットされちゃうみたい。
map_0896#162	だから、一度に複数の結晶を起動する方法を見つける必要があるかもね。
map_0896#163	あの紫の結晶が、その鍵になるかもしれない。
map_0896#164	他のとは違ってリセットされないし、光が動いている間に起動できるみたい。
map_0896#165	それに、鏡の周りに残る輪郭の形とも、何か関係があるみたい?
map_0896#166	これを全部うまく組み合わせれば、同じ鏡で光を二回反射させられると思う。
map_0896#167	右下の結晶にも届くはずよ。
map_0896#168	どんな効果があるか、確かめてみた方がいいかもね。
map_0896#169	セラ: これでもう一枚、鏡が増えたのね?
map_0896#170	まあ、これでやりやすくなるでしょ。
map_0896#171	結晶を一つ起動するたびに、上のドアが光るのに気づいたわ。
map_0896#172	最後には、四つ全部を同時に光らせる必要があると思う。
map_0896#173	鏡が残していく、あの奇妙な光の跡が鍵なのかもね……
map_0896#174	セラ: うまくいったみたいね。
map_0896#175	こっちの準備もできたわ。
map_0896#176	で、あたしたちはちゃんとお行儀よくするのよね?
map_0896#177	ルナ: 「お行儀よくする」というのは、無限とも言える行動の可能性を内包していると、議論することもできますが……
map_0896#178	けれど、あなたの意図は理解しておりますし、快く尊重いたしますわ。
map_0896#179	わたくしたちの選択もまた、同じように理解し尊重していただける限りは。
map_0896#180	イライアス: ここは、今回の試練から我々それぞれが学んだことを、順に語り直す場面なのでしょうか?
map_0896#182	わたしにいかなる悟りがあろうとも、宣教師のような真似をするのは、わたしの分をわきまえぬ行いだと理解しております。
map_0896#183	たとえ相手のためになると思ってのことであれ、個人の信条を他者に押し付けるのは、まさしく敬意の欠如というものです。
map_0896#184	我が娘の方が、自らのなすべきことを、わたしよりよくわかっているのだと、信じねばなりません。
map_0896#185	たとえ、そう考えるに至ったこと自体が、わたしの過ちの産物であったとしても。
map_0896#186	ルナ: 服従によって責任から逃れる、というあなた様のお言葉は、よく理解しております。
map_0896#187	ですが、わたくしの感情のすべてが、あなた様の責任であると考えるのは、思い上がりというものですわ。
map_0896#188	わたくしたちの中には、ただ純粋に、心から他者を支えたいと願う者もいるのではありませんか?
map_0896#189	イライアス: In somnitas veritas.
map_0896#190	それを否定するようでは、主の見本として、あまりに至らぬ者になってしまいましょう。
map_0896#191	セラ: よかった……
map_0896#192	で、その、「親」ってことについては、あたしたちどうなのかしら?
map_0896#193	もう、なかったことにするのはやめない?
map_0896#194	ルナ: ……
map_0896#195	あなたを、わたくしの父として認めます。
map_0896#196	けれど、家族ではありません。
map_0896#197	おわかりですか?
map_0896#198	イライアス: ……はっきりと。
map_0896#199	ルナ: 結構ですわ。
map_0896#200	ルナ: いつか、それが変わることもあるかもしれません。
map_0896#201	イライアス: そう祈っております。
map_0896#202	時が癒やさぬ傷は、そう多くはございません。
map_0896#203	それでも、時だけでは足りません。
map_0896#204	責任が求められるのです。
map_0896#205	セラ: まあ、全体としては、かなりうまくいったんじゃない!
map_0896#206	アノマリーは片付いたし、あの二人はちゃんと話してるし、誰も死んでない!
map_0896#207	それに、あたしに魔法の鏡の力みたいなのがあるってこともわかったし。
map_0896#208	まあ、たぶん違うでしょうけど。この世界だけの話だと思うわ。
map_0896#209	でも、誰かがそうじゃないって証明するまでは、信じてみてもいいんじゃない。
map_0896#210	というか、なんかいい気分だし。
map_0896#211	アンナ: やっぱり、みんな犯行現場に戻ってくるものなんだね!
map_0896#212	いつかここに戻ってくるだろうって思ってた。
map_0896#213	この場所があんたにとって何を意味するのか、わかったふりなんてできないけど、
map_0896#214	ここで、自分の死を偽装したんでしょ?
map_0896#215	まさにこの場所で。
map_0896#216	そんなに簡単なわけないって、わかってるべきだったな。
map_0896#217	あの頃はずっと、あんたを止めることだけに――この世界を救うことだけに、時間を費やしてた。
map_0896#218	で、実際にやったし!
map_0896#219	まあ、一応。
map_0896#220	でもさ、変な話だけど……
map_0896#221	あんたを止めることに必死すぎて、他に何をしてたか、ほとんど思い出せないんだよね。
map_0896#222	今でさえ、自分が何をしてるのか、時々わからなくなる。
map_0896#223	まばたきするたびに、あんたはどこか別の場所にいる。
map_0896#224	時間はいつも、あたしを置いていく。
map_0896#225	それも、あんたの仕業なの?
map_0896#226	だったら、残された貴重な時間で、あんたを逃がすわけにはいかない!
map_0896#227	ネクロズマに、あたしの全エネルギーを注ぐ!
map_0896#228	何が何でも、絶対にあんたを止めてやる!
map_0896#229	リン: メテオを見つけたね、メテオを見つけたね~
map_0896#230	あの宇宙ゴミの塊、もうどれだけの間、あたしの裏庭代わりだったことか!
map_0896#231	まあ、どれくらいかはわかってるんだけど、
map_0896#232	どっちにしても正確ではあるし!
map_0896#233	てか、ここが前に一緒に遊んだのと全く同じ場所だって、信じられる?
map_0896#234	メテオは一ミリも動いてないよ、誓ってもいい、ファーンが死にますようにってくらい!
map_0896#235	今は少し様子が違って見えるけど、この場所をこうしたこと、自分では気に入ってるんだ!
map_0896#236	無限の力も、悪くないでしょ?
map_0896#237	素敵なものが作れるし!
map_0896#238	現実世界の対応する場所をモデルにまでしたんだよ!
map_0896#239	もっとも、その場所はもう存在しないけどね。
map_0896#240	おっと。
map_0896#241	まあとにかく、あたしの本当の体はとっくにここからいなくなってるけど、それでいいの~
map_0896#242	で、本題に入ろっか。
map_0896#243	考えてたんだけど、こいつはプリズムポケモンでしょ?
map_0896#244	だから、光を使った何かしらの仕掛けが必要だよね。
map_0896#245	もし――ちゃんと聞いてよ――
map_0896#246	にじ。
map_0896#247	リン: どう思う、最高、それとも最高?
map_0896#248	リン: 最高。
map_0896#249	だから、楽しいバトルになるかもって思ったんだ。
map_0896#250	……でも、なんかちょっと面倒でもあるんだよね。
map_0896#251	どうしよっかな、にじバトルする気分か、それとも退屈な結晶の洞窟のままでいくか?
map_0896#252	リン: よっしゃ、にじだ!!!
map_0896#253	ネクロズマが「ゲイの権利」って言ってた
map_0896#254	まあ、実際に言ったのはあたしだけど、ネクロズマにはそれを背負ってもらわなきゃ。
map_0896#255	これだけであたし、どこかの政府よりマシってことになるよね!
map_0896#256	とにかく、にじレイブパーティーバトル、いくよ!!!
map_0896#257	リン: うーん、やっぱその気分じゃないや。
map_0896#258	ここまで来たんだから、さっさとぶちのめそっか。
map_0896#259	ネクロズマ: クロォ――
map_0896#260	ザァム……
map_0896#261	ネクロズマ: クロン!!
map_0896#262	別のセーブファイルで、シタエ・プリズマの鏡パズル攻略済みのデータが検出されました。
map_0896#263	このファイルでもシタエ・プリズマの鏡パズルをスキップしますか?
map_0896#264	最高
map_0896#265	にじ
map_0896#266	結晶の洞窟
map_0897#0	リン: さて! よくもあたしの「秘密のアジト」を見つけたもんだね。
map_0897#1	みんな、さぞかし自分たちのこと誇らしいんでしょ?
map_0897#2	でも、それもすぐ終わるよ!
map_0897#3	あんたと友達全員まとめて、吹き飛ばして……
map_0897#4	……ふっとばして……
map_0897#5	あれ、待って、みんなどこ?
map_0897#6	これって、サプライズパーティーの逆みたいなもの?
map_0897#7	リン: ずっと待たせてくれたけど、今度こそ、これで全部終わ……
map_0897#8	え、まだあんただけ?
map_0897#9	まあ……きっと他のみんなも向かってるところだよ!
map_0897#10	あたしは悪役なんだから! みんなあたしを止めなきゃいけないんだよ!
map_0897#11	だよね?
map_0897#12	……だよね?????
map_0897#13	リン: ……結局、あんただけなんだね。
map_0897#14	やれやれ。
map_0897#15	大きな、壮大な最終決戦のために、あたし全部用意してたのに!
map_0897#16	友情の軍勢 対 大悪党!
map_0897#17	覚えてる??? 大きなパーティーになるはずだったんだよ????
map_0897#18	軽食まで用意してたのに!!!
map_0897#19	リン: 念のためにね??
map_0897#20	あたしが長々と独白してる間、みんなそれ飲みながら聞いてくれればよかったのに!
map_0897#21	あの独白、すごく自信あったんだから!!!
map_0897#22	一日かけて考えたんだよ……
map_0897#23	何、みんなあたしのことがそんなに怖いわけ??
map_0897#24	自分たちだけじゃ、あたしに立ち向かえないの?
map_0897#25	まあ……
map_0897#26	まあいいや。
map_0897#27	あんたはまだいるみたいだけど。
map_0897#28	さあ、大きな最終決戦とやら、やろっか。
map_0897#29	もう、どうでもいいけどさ。
map_0897#30	ノエル: \PN、あなたを引き戻した方がいいですか?
map_0897#31	ノエル: わかりました、少し待ってください。
map_0897#32	シグムンド: 子供よ、私は君に、避難所を提供しよう。
map_0897#33	その言葉に怯む必要はない――「避難所」というものは、単なる収容施設だと、あまりにも誤解されがちだからだ。
map_0897#34	語源をたどれば――ギリシャ語の「アシュロン」、意味は「避難」。それはさらに「アシュロス」から来ている――「暴力や害から中にいる者を守る、安全な場所」。
map_0897#35	君の両親が与えられなかったものを、私が与えよう。
map_0897#36	ここでは、君に危害が及ぶことはない、子供よ。
map_0897#37	シャルロット: また閉じ込められてるんだ?
map_0897#38	今度は何やったの?
map_0897#39	一生に一度くらい、耐えがたいほど迷惑な存在にならないでいることを、考えたことある?
map_0897#40	まあ、ないよね。
map_0897#41	今夜はあたしたち二人ともここにいるかもしれないけど、あたしがあんたに仲良くするなんて期待しないでよ。
map_0897#42	前回の後じゃ、なおさら。
map_0897#43	自分で墓穴を掘りたくなかったなら、最初から掘らなきゃよかったのに。
