map_0897#237	リン: まあ……
map_0897#238	あたしと、デウス・エクス・わんこがいる限り
map_0897#239	好きなだけ続けられるんだから!
map_0897#240	ただ確実にしなきゃいけないのは
map_0897#241	何も起きないようにってことだけ……
map_0897#242	あの子に……
map_0897#243	カラァ~
map_0897#244	リン: ちょ、待って、そんなはずじゃ……
map_0897#245	あたし、今何しちゃったの?
map_0897#246	待って、子犬、ちょっと待って――
map_0897#247	怪我してないよね?
map_0897#248	そんなつもりじゃ――
map_0897#249	リン: あ……
map_0897#250	あんたも、もう終わりなんだ。
map_0897#251	……まずい。
map_0898#0	アンナ: バタフライ効果って知ってる?
map_0898#1	蝶の羽ばたきが、地球の反対側でハリケーンを引き起こすとかいう、あれ……
map_0898#2	その中で一番最悪なことって、何だと思う?
map_0898#3	それが、絶対に止まらないってこと。
map_0898#4	ある一瞬の、一匹の小さな虫の羽が、それを引き起こしたって話すのも想像するのも簡単だけど……
map_0898#5	でも、一匹の虫だけじゃない――一瞬だけでもない……
map_0898#6	あたしがしゃべり始めてからのこの一瞬だけでも、何億――ううん、何十億もの瞬間的な決断が下されてて、そのどれもが、数えきれないほどのやり方で歴史を変えられたかもしれないんだよ……
map_0898#7	だから教えてよ……
map_0898#8	どうして、
map_0898#9	この果てしなく広がる、数えきれない時間軸のどれをとっても……
map_0898#10	……あんたは相変わらず、湯気の立った毒入りゴミの山なわけ?
map_0898#11	明らかに、あたしが自分の手で片をつけなきゃいけないみたいね。
map_0898#12	踊ってよ?
map_0898#13	音楽には、正面から向き合うものでしょ。
map_0898#14	アンナ: ちょっと、感謝の気持ちを実践してみる時間にしよっかな!
map_0898#15	習慣にすると、幸福感や態度が良くなるんだって!
map_0898#16	よし、いくよ……
map_0898#17	あたしはすごく感謝してる、……
map_0898#18	……あんた以外のみんなが、あんたみたいじゃないことに!
map_0898#19	普通の子供たちって、新しい自転車をもらうとか、おやつの時間とか、お泊まり会とか、そういう小さなことを楽しみにしてるでしょ?
map_0898#20	だいたい、みんな楽しませてもらいたいだけなんだよ。
map_0898#21	で、たぶんあんたも、あんたなりの気持ち悪い遠回しなやり方で、同じことをしてるんでしょ。
map_0898#22	でも、あんたが本当に欲しいものって何なの、リン???
map_0898#23	世界の終わり――新しい世界の始まり?
map_0898#24	そういうくだらないこと全部???
map_0898#25	あんたの最終目標って一体何なの???
map_0898#26	教えてよ!!!
map_0898#27	アンナ: 考えてみれば……
map_0898#28	……あたしは一体何が欲しかったんだろう?
map_0898#29	友達や家族と過ごす時間について考える余裕なんて、全然なかった。
map_0898#30	あんたと戦うのに忙しすぎて。
map_0898#31	……それが、あんたの望みだったの?
map_0898#32	誰かに構ってほしかっただけなんでしょ?
map_0898#33	……でも、あたしはどうなるの?
map_0898#34	ノエル: \PN、あなたを引き戻した方がいいですか?
map_0898#35	ノエル: わかりました、少し待ってください。
map_0898#36	シグムンド: 子供たちよ、私は君たちに、避難所を提供しよう。
map_0898#37	エリザベス: 受け入れなきゃいけない申し出、ね。
map_0898#38	シグムンド: だが、避難所とは一体何なのか?
map_0898#39	それはあまりにもしばしば、単なる収容施設だと誤解される――社会の苦しみの中に留まるにふさわしくない者たちが、代わりに掃き捨てられる、汚らわしい場所だと。
map_0898#40	エリザベス: そうであってほしいと、彼は願ってるだけ。
map_0898#41	シグムンド: だが、それは全く事実ではない。
map_0898#42	語源をたどれば――ギリシャ語の「アシュロン」、意味は「避難」。それはさらに「アシュロス」から来ている――「暴力や害から中にいる者を守る、安全な場所」。
map_0898#43	エリザベス: 自分でもわかってない言葉を使って、わかってるふりをしてるだけ。
map_0898#44	シグムンド: 安心しなさい、子供たちよ、ここでは君たちに危害が及ぶことはない。
map_0898#45	エリザベス: 彼が「危害」だと認識しないもの、ってだけ。
map_0898#46	あなたたちは安全じゃない。
map_0898#47	シグムンド: もっとも、そのすすり泣きの中で、私の言葉を理解できるとも思えないがね。
map_0898#48	フン。
map_0898#49	エリザベス: お願い、逃げて。
map_0898#50	シグムンド: そのうちわかる、恐れるものは何もない。
map_0898#51	エリザベス: 逃げて!
map_0898#52	シャルロット: ノストラ、取り返してきたよ。
map_0898#53	ケーキの生地みたいな匂いがしたらごめん。
map_0898#54	理由を当てても何ももらえないけどね。
map_0898#55	できるだけ洗ってあげようとしたんだけど、リンがようやく暴れるのをやめた頃には、もうオーブンに半分入ってたから。
map_0898#56	何を「フロスティング」に使うつもりだったか、わかる?
map_0898#57	マスタード。
map_0898#58	まあ、それはもう問題なくなったけど。
map_0898#59	次に同じことを考える前に、看護助手たちがまた買い足さないといけないだろうね。
map_0898#60	リンは今、自分についたのを洗い流してる最中。
map_0898#61	数日はシャワーを避けた方がいいかもね。
map_0898#62	ラドマス: あの子たちは安全だ。
map_0898#63	あいつらからは安全だ。
map_0898#64	私からも安全だ。
map_0898#65	これが一番いいんだろう、私の星よ?
map_0898#66	あの子たちはいい人生を送るだろう。
map_0898#67	他の子供たちに囲まれて、幸せに育つだろう。
map_0898#68	専門家の手に委ねられているのだから。
map_0898#69	あの子たちは幸せになるだろう。
map_0898#70	そして私は……
map_0898#71	それについて振り返る時間だけは、いくらでもあるようだ。
map_0898#72	この世のすべての時間が……
map_0898#73	一体何のために、なのだろうな。
map_0898#74	ルナ: 実の両親が、わたくしを受け入れてくれることなど、ないでしょうから。
map_0898#75	でも、それも素敵なことなのではありませんこと?
map_0898#76	この世界のあまりに多くのことが、わたくしたちのために決められてしまいます――
map_0898#77	名前も、体も、一緒に暮らす人々も。
map_0898#78	あまりに多くのことが、そんな恣意的な根拠のまま、神聖なものとして扱われているのです。
map_0898#79	あなたは本当は、誰なのでしょうか?
map_0898#80	そのうちのどれだけが、あなたのために決められたものなのでしょう?
map_0898#81	少なくともわたくしは、自分の選択を他人に決められる人間でいることには、不満でございます。
map_0898#82	結局のところ、これはわたくしの人生ですから。
map_0898#83	あとは、そのための余地を心に持ってくださる方を見つけるだけです。
map_0898#84	で、ちょうどいい方をご存じだと?
map_0898#85	ローラ: アンナ、一緒にどう?
map_0898#86	今日はアートセラピーを担当してるの。
map_0898#87	弟くんが何を描くか決めるの、手伝ってあげたら?
map_0898#88	シャルロットはもうすぐ終わると思うわ。
map_0898#89	自分をロックバンドの――ボーカルとして描いてるみたい?
map_0898#90	あら、デスメタル……
map_0898#91	失礼しました……
map_0898#92	まあ、その、あなたにとって癒やしになってるなら……
map_0898#93	で、リンは何を描いたの?
map_0898#94	あなたの絵の話をしてたんだけど――
map_0898#95	リ、リン、自分の紙に描いてね!
map_0898#96	あ、ロンダの肖像画に何したの?!
map_0898#97	それ、お母さんを描いたものだったのに!
map_0898#98	それって――?!
map_0898#99	リン、ごめんなさい、これはドクターに報告しなきゃ。
map_0898#100	は、放して――いたっ!
map_0898#101	サファイラ: 却下。
map_0898#103	だって、あたしは「不安定な生活環境」を作り出すらしいから。
map_0898#104	まるでこの場所が、どんな時だってクソみたいなカオスの豚小屋じゃないみたいに言うよね。
map_0898#105	で、その半分は、ただあの子のせいで――
map_0898#106	あの人は、ローラのために世界中のどんなことでもしてやる実の姉より、積極的にローラをいじめるようなやつをそばに置いておく方がいいらしいの。
map_0898#107	で、法制度全体が、くだらない紙切れのせいで、あの人の味方をしてるってわけ。
map_0898#108	まったく、クソみたいな冗談よね。
map_0898#109	???: そして、その小さな流れ星が世界から永遠に消えてしまったとしても、それがどうしたか知ってる?
map_0898#110	その後もずっと幸せに生きたの、
