map_0900#373	何て言うか、お前がいるだけで、オレが一番になれない気がしてたんだ。
map_0900#374	世界一明るいろうそくのつもりが、工業用の電球の隣に置かれたみたいな気分だったぜ。
map_0900#375	で、今がこれだ。
map_0900#376	お前が10年も消えちまって、今やオレはリボーンで二番目に強いトレーナーだ。
map_0900#377	リーグの評判を考えりゃ、世界でも二番目かもな。
map_0900#378	シェリーに完全に負けてるって分かってても、お前の時とは違う気分だったんだよな。
map_0900#379	それなのに?
map_0900#380	何か空っぽで、足りないもんがある感じがしてた。
map_0900#382	お前が戻ってきて嬉しいぜ。
map_0900#383	ハーディ: 正直、お前ら二人が最近さ、
map_0900#384	つるんでんの気に入らねえんだよな?
map_0900#385	ハーディ: おっ、ちょうどいい、この悪夢から救ってくれる連れが来たぜ。
map_0900#386	\PN、イライアス。よう。
map_0900#387	\PN、タカ。よう。
map_0900#388	二人とも戻ってきて何よりだ。
map_0900#389	ティタニア: おかえり。
map_0900#390	ファーン: よう。
map_0900#391	タカ: あの、えっと……
map_0900#392	ティタニア: ちゃんと喋りな。
map_0900#393	靴なんか見てないでさ。
map_0900#394	もう十分な時間が経ったんだから、根性の一つも身についてるはずだろ。
map_0900#395	タカ: それは……
map_0900#396	ティタニア: ハッ、相変わらず緊張しすぎ。
map_0900#397	あたしにとっちゃ10年経ってるけど、あんたらにとっちゃ何、
map_0900#398	消えてから1日も経ってないんだろ?
map_0900#399	古い癖が抜けるには時間がかかるもんさ。
map_0900#400	そのうち慣れるって。ちょっとからかっただけ。
map_0900#401	タカ: ……ありがとう。
map_0900#402	たぶん?
map_0900#403	それと……昔、浄水施設でのことも改めてありがとう。
map_0900#404	あの時は言うこと聞かなかったけど、僕……
map_0900#405	本当に僕のことを気にかけてくれてたんだよね。
map_0900#406	……あの頃はもっと怖かったけど。
map_0900#407	ファーン: 今でも十分怖えよ、パーティーに刺し殺し要員のギルガルドを連れてきてないだけで。
map_0900#408	変わったのはあいつだけじゃねえけどな。
map_0900#409	他に何か気付かねえか?
map_0900#410	ハーディ: またこれかよ……
map_0900#411	タカ: えっと、みんな髪型変わった?
map_0900#412	ファーン: ああ、しかもオレ様ら最高にキマってるだろ。
map_0900#413	でもオレが言ってたのはロックスター様のことだぜ。
map_0900#414	もう「イケてる」つもりの作り声で喋らなくなったんだ。
map_0900#415	ほら、あれだよ、「イケてるぜ、相棒」みたいなこと言ってたの覚えてるだろ?
map_0900#416	ハーディ: もう何度も言ってるけどな。
map_0900#417	オレはそんな喋り方してなかったぜ。
map_0900#418	ティタニア: ファーン、その話は前にもしたろ。
map_0900#419	あんたはもう立派なリボーンリーグの一員なんだから。
map_0900#420	ちゃんとした振る舞いをしなきゃ。
map_0900#421	この地方で一番有名なミュージシャンの下手な物真似なんて、みっともないよ。
map_0900#422	ハーディ: ……
map_0900#423	ティタニア: んん。
map_0900#424	今度は本気でやんな。
map_0900#425	ちゃんとした物真似をするんだよ。
map_0900#426	短いセンテンスで。
map_0900#427	チルな感じで。
map_0900#428	考えすぎるなよ、相棒。
map_0900#429	流れに身を任せろよな?
map_0900#430	音楽を感じて、ロックしようぜ。
map_0900#431	ダジャレの一つや二つ、思いっきりぶちかましてやれよ、なあ?
map_0900#432	ハーディ: これがどれだけ嫌か、言葉じゃ言い表せねえ。
map_0900#433	タカ: ……みんな仲良さそうで良かった。
map_0900#434	ファーンがリーグの立派な一員になったって?
map_0900#435	ジムリーダーにでもなったの?
map_0900#436	ハーディ: それだったらまだマシだぜ。
map_0900#437	どういうわけか、オレの目の前にいるのは、この地方の四天王の半分だ。
map_0900#438	タカ: え、すごい、えっと……
map_0900#439	おめでとう。
map_0900#440	いや、二人とも戦いですごいところ見てきたし……
map_0900#441	……うん……
map_0900#442	ファーン: ハーディはオレ様らに追い越されて未だにふてくされてんだよな。
map_0900#443	本物のロックスターになったんだから満足しろって話だけどな。
map_0900#444	ティタニア: 本当に成功してりゃ、成功してるふりする必要もないってことか?
map_0900#445	ハーディ: お前らが褒めてる時でも、なんか嫌味に聞こえるんだよな。
map_0900#446	本当に二人のこと嬉しく思ってたんだぜ。
map_0900#447	ちゃんと頑張ってたもんな。
map_0900#448	姉貴はずっとバトルで恐ろしかったし。
map_0900#449	ファーンは、まあ、人に好かれる方法を身につけるまで時間かかったけどな。
map_0900#450	オレが「ふてくされてる」のはさ、
map_0900#451	二人が同じ仕事に就いて、つるむようになったってところだぜ。
