map_0900#724	それに、目立つのが大好きな騒がしい男が、政治の才能を発揮するなんてね。
map_0900#725	そんな結末、一体誰が予想できたって言うのよ?
map_0900#726	カイン: おいおい、オレはこうなったこと自体、結構驚きだと思ってるぜ。
map_0900#727	アヤ: あんたが仕事できるのは別に驚きじゃないわよ。
map_0900#728	ストレス溜まっても逃げ出さずにちゃんと続けてることの方が驚きなの。
map_0900#729	カイン: 冷てえな……
map_0900#730	タカ: あ、えっと、それは……
map_0900#731	カイン: 気にすんな、こいつは愛情込めてからかってるだけだからよ。
map_0900#732	アヤ: まあ、こいつはそこそこいい兄貴だし、たまには優しくしてやってもいいかなって。
map_0900#733	タカ: そっか、良かった。
map_0900#734	とにかく、二人とも会えて本当に良かったよ……
map_0900#735	すごくうまくいってるみたいで嬉しい。
map_0900#736	カイン: お前も十年後にはきっと似たような感じで、自分に合ったことやってるはずだぜ。
map_0900#737	忘れんな、ビグルスワースを見習えってことだ。
map_0900#738	朝起きて鏡を見て、そこに映る自分が気に入らなかったとしても?
map_0900#739	自分を好きになるのは一日じゃできねえけど、
map_0900#740	もし自分をゴミだと思うなら、
map_0900#741	せめてゴミ「箱」になれよ。
map_0900#742	それを続けりゃ、鏡に映る自分を好きになれるさ、みんながお前を好きなようにな。
map_0900#743	アヤ: あたし作詞で食ってるけど、それでもカインの考える台詞はダサすぎると思うわ。
map_0900#744	でも間違ってはいないわね、タカ、あんたは結構イケてるわよ。
map_0900#746	アヤ: ねえ\PN、イライアスも。
map_0900#747	イライアス: お二人ともこんにちは。
map_0900#748	とてもうまくいっているようですね。
map_0900#749	イライアス: 音楽を作った本人がこれほど情熱的なら、
map_0900#750	それが最終的な作品にも表れているに違いありません。
map_0900#751	このダストダスはバトルの仕方を知らなかった、ということですか?
map_0900#752	一つも技を知らないポケモンに出会ったことは、私には記憶にありませんが……
map_0900#753	カイン: いやいや、そういう意味じゃなくて、モンスターボールを使うってことだよ。
map_0900#754	イライアス: なるほど、そういう……?
map_0900#755	それで、この……喋るポケモンを選挙に出馬させたと?
map_0900#756	カイン: 聞いてくれよ、ビグルスは最高のやつなんだ、会えば分かるぜ。
map_0900#757	アヤ: ……とにかく、こんなくだらないことにまで、カインは全ての時間と労力を注ぎ込むわけ。
map_0900#758	イライアス: 申し訳ありませんが、私は……
map_0900#759	このポケモンが実際に区長選挙で勝利したと、そうおっしゃるのですか?
map_0900#760	さぞ見事なスローガンだったのでしょうね、実に興味があります。
map_0900#761	イライアス: 確かに……
map_0900#762	覚えやすいですね。
map_0900#763	イライアス: 人生における多くの素晴らしいことは、ほんの偶然から始まるものです。
map_0900#764	おそらく、良いことすべてが。
map_0900#765	偶然とは我が主の意志にほかならない、そうではありませんか?
map_0900#766	お二人とも、まさに自分に一番合った道を見つけられたようですね。
map_0900#767	イライアス: ……
map_0900#768	イライアス: ああ、なるほど、これがよく聞く「兄妹漫才」というものですか……
map_0900#769	まあ、お二人がそれほど仲がよろしいのは嬉しいことです、家族は大切ですから。
map_0900#770	私にわずかに残された家族とも、いつか同じように感じられればと願っています……
map_0900#771	でも彼は間違ってないよ。
map_0900#772	正しい努力を重ねれば、きっと正しい結果が出るはずだ。
map_0900#773	それでは失礼するよ、あなたの時代でもきっとうまくやれると思う。
map_0900#774	アヤ: またね、調子はどう?
map_0900#775	久しぶりにみんなの様子を見られて嬉しい?
map_0900#776	あんたにとってはかなり現実離れした感じでしょうね。
map_0900#777	あんたの時代に戻って、あたしたちがどうなるか知った上でみんなを見たら、もっと変な感じになるんだろうけど。
map_0900#778	まあ、どうなるかもしれない、って程度だけど。
