map_0900#1077	お茶でもいかが?
map_0900#1078	タカ: あ、じゃあ僕も、いいかな?
map_0900#1079	ルナ: もちろんよ。
map_0900#1080	父さん、お客様に飲み物をカフェから持ってきてくださる?
map_0900#1081	タカ: 迷惑じゃなければ、実は少し喉が渇いてて……
map_0900#1082	ルナ: 全然迷惑じゃないわ、お茶ならたっぷりあるもの。
map_0900#1083	父さん、カフェまで走ってきてもらえる?
map_0900#1084	イライアス: もちろんだ、すぐ戻る。
map_0900#1085	タカ: ……ねえ、聞かなきゃ気が済まないんだけど。
map_0900#1086	その猫耳、すごく似合ってるね。
map_0900#1087	でもなんでイライアスさんが――
map_0900#1088	ルナ: ああ、本気で関係を修復するつもりなら、
map_0900#1089	ちゃんとした父親らしく振る舞う努力をしてもらわなきゃって伝えたの。
map_0900#1090	……親子はお揃いの格好をするものだって言ったかもしれないわね。
map_0900#1091	タカ: ……昔よりずっと悪戯っぽくなったね。
map_0900#1092	ルナ: 十年って、あの人の歳になれば永遠みたいなものよ。
map_0900#1093	仕えるべきだと思っていた人たち全員を失って、あの人は色んな迷いを抱えたの。
map_0900#1094	最初は、あの人の歩み寄りに興味なんてなかった。
map_0900#1095	……でもシェリーは優しすぎるくらいで、あの人が本気だと思ったら、あたしに話しかけてきたの。
map_0900#1096	それであの人と過ごす時間が増えたのよ。
map_0900#1097	でもからかいたくなるのも仕方ないでしょ?
map_0900#1098	最初にお揃いだからって猫耳を付けさせた時、あの人すごく喜んでたし……
map_0900#1099	まあ、今じゃあたしたちの恒例行事ね。
map_0900#1100	タカ: 二人が仲直りできて良かった。
map_0900#1101	十年って本当に長い時間だね。
map_0900#1102	シェリーがいい影響を与えたって話も、色んな人から聞いたし……
map_0900#1103	イライアス: 確かに。
map_0900#1104	イライアス: シェリーはよくやってくれている。
map_0900#1105	だが彼女一人の手柄というわけにもいくまい、優秀な四天王に支えられているのだからな。
map_0900#1106	ああ、失念していた――
map_0900#1107	お茶は切れていたよ、残念ながら。
