map_0901#847	会えて嬉しいよ!
map_0901#848	クリム: どうも、また来てくれたんだね! 開発ルームの残りも楽しんでもらえてるといいな!
map_0901#849	もちろん、あなたの冒険もね!
map_0901#850	もう少し話したい?
map_0901#851	……それともバトルしに戻ってきた?
map_0901#852	何をしてあげようか?
map_0901#853	クリム: あ、もう少し話していきたいんだ?
map_0901#854	先に言っておくけど、こういうの、話を振られない限り何を言えばいいか全然分からないタイプなんだよね。
map_0901#855	でも誘われたら喋りすぎるくらい喋っちゃうけど!
map_0901#856	何について話す? \ch[62,-1,リボーン,ゲームでの活動,自分のこと,やっぱりいいや!]
map_0901#857	クリム: あ、リボーンについて話したいんだ?
map_0901#858	オーケー! 覚悟してね。
map_0901#859	2020年の12月頭くらいにチームに加わったの、アメに聞いたのがきっかけで、
map_0901#860	「ねえ、スターライトもリリースしたことだし、リボーンの手伝いしない?」って。
map_0901#861	そしたら「もちろん! 来て来て」って言ってくれて。
map_0901#862	もう舞い上がっちゃった。もともとこのゲームがすごく好きだったの――緻密な物語ってものにめちゃくちゃ弱いタイプだから。
map_0901#863	キャラクターも、物語も、マップも、音楽も、世界観も、全部が純粋な多幸感の塊だった。
map_0901#864	ちょっと宣伝タイム: スターライト・ディバイドもチェックしてみてね! ひいき目なしで本当に。
map_0901#865	もう今の段階でたくさんの愛情が注ぎ込まれてるし、まだデモ版なんだから!
map_0901#866	さて、いつもの感傷的な語りに戻るけど、
map_0901#867	七、八年くらいプレイしてきたゲームに実際関わるようになったのは、正直かなり浮足立った。
map_0901#868	正直、今でも多少そうかも!
map_0901#869	それにおまけで、素敵な人たちにもたくさん出会えた!
map_0901#870	一番仲のいい友達の何人かは、今この部屋に一緒にいたり、このゲームを通して出会った人だったりして、それには一生感謝し続けると思う。
map_0901#871	コミュニティも、そこにいる人たちも、みんな……
map_0901#872	ちょっとクサいこと言うようだけど、リボーンはたぶん――間違いなく――あたしの人生を変えたと思う。
map_0901#873	スターライトに参加する前、ちょっとしんどい時期にいて、スターライトもリボーンも、その両方が本当にあたしを助けてくれた。
map_0901#874	本当に環境を変える必要があって――リボーンはそれができる出口をくれたの。
map_0901#875	「ああ、いつも何か開発関連のことやってる人でしょ?」みたいに見られてる気がすることもある。
map_0901#876	あるいは「え、今何個ファンゲームに関わってるの?」とか。
map_0901#877	「ねえ、もう4日連続でAsepriteに向かってるけど、大丈夫?」とか。
map_0901#878	まあ、その通りなんだけど!
map_0901#879	でも本当に、これに取り組んでるだけで純粋な喜びをたくさんもらえるの。
map_0901#880	そしてこうして、全部の終わりにたどり着いたわけだけど、
map_0901#881	感傷的だって言われてもいいけど、これを書きながら何度か泣いちゃったのは事実。
map_0901#882	このコミュニティも、このゲームも、友達みんなも心から大好きだし、みんながずっと付き合ってくれたことに感謝してる。
map_0901#883	ちょっと自分に浸っちゃうけど、大好きなリボーンのキャラの台詞を引用させてもらうと、
map_0901#884	「なんて幸せな結末に転がり込んだんだろう」
map_0901#885	クリム: ……ふう、長かったね。ごめんね! でも最後まで聞いてくれてありがとう。
map_0901#886	あたしと同じくらいこのゲームを楽しんでもらえたら嬉しいな~
map_0901#887	他に何か話したいことある?
map_0901#888	クリム: あ、このゲームで自分が何をしてるか気になるんだ? もちろん!
map_0901#889	順番に読んでくれてるなら、前にも言ったけど、スターライトのデモ版の後にリボーンに引き入れられたんだよね。
map_0901#890	元々スターライトではちっちゃなドット絵担当で――キャラクターのフィールドスプライトだけやってたの。
map_0901#891	アメにリボーンの話を持ちかけた時は、「あ、じゃあドット絵で協力できるよ!」って言ったんだ。
map_0901#892	「あ、それとマップ作りも学んでみたいと思ってて」って。
map_0901#893	そしたら……そこからどんどん膨らんでいったって感じ。
map_0901#894	正直、今となっては何がどの順番で起きたか思い出せないくらい――
map_0901#895	最初のプロジェクトの一つは、アメがあたしとサム(あそこにいるスメアギルだよ!)に、ミックス&マッチのキャラクター背面スプライトについて頼んできた時のこと。
map_0901#896	すごく興奮しちゃって、結局一週間もかからずに20枚以上の背面スプライトを作り上げたと思う。
map_0901#897	それぞれのキャラにぴったりだと思えるポーズを考えるの、すごく楽しかった! 古い背面スプライトもいくつか作り直したの。
map_0901#898	今のところ、エピソード18の時点で既にあったものを除けば、
map_0901#899	色んなキャラの背面スプライトの大半は、あたしが作ったと思う?
map_0901#900	ドット絵はここでの仕事のかなり大きな部分を占めてる、一番慣れてる分野だからってのが大きいけど、色んなカテゴリーにも手を出したよ!
map_0901#901	次のセクションでは、あなたがそのクエストを完了してる場合にだけ触れるようにするね、まだ見てないものをネタバレしたくないから!
map_0901#902	だからまた後で見に来て、挨拶してね!
map_0901#903	まずセレビィから始めると――
map_0901#904	タウベ、エレナ、シェリー、それとセレビィ関連の色んなマップは、本当に初めての一人での大きなプロジェクトだった。
map_0901#905	この三人は全員、構想から設計、ドット絵まで全部あたしが手がけたの、仕上がりにはすごく誇りを持ってる!
map_0901#906	ダークライだと、パルス催眠術師とバクーダも、デザインとドット絵の両方があたしのもの、クエストのマップもね!
map_0901#907	あの二体はみんなが待ち望んでたパルス戦だって知ってるから……
map_0901#908	期待に応えられてたらいいな!
map_0901#909	……こうして、全部の終わりに立ってみると……
map_0901#910	手がけた色んなクエストにはそれぞれ色んな要素があって、全部リストアップしようとしたら何年もかかっちゃうと思う。
map_0901#911	ネオテリック島、ジーナのデザインとドット絵、パルスアルセウスとパルスソルロックのフィールドキャラも!
map_0901#912	アポフィルどうくつと3番道路の洞窟網はマップを作り直したよ!
map_0901#913	それにゲーム中で見かけるポケモンセンター、全部!
map_0901#914	あ、シェイミと三邪神のクエストもあたしがやったよ! この二つは特に誇りに思ってて、みんなにも楽しんでもらえてたらいいな!
map_0901#915	アンナの「夢病み」スプライトもお気に入り――ゼロからスケッチして仕上げたの、すごく誇りに思ってる!
map_0901#916	楽しくて盛り上がるラストバトルになってたらいいな!
map_0901#917	最後までついてきてくれてありがとう!
map_0901#918	クリム: ……オーケー、条件分岐から戻ってきたね?
map_0901#919	基本的に、あたしは色んなところに手を出してきた。
map_0901#920	ポケモンのバトラースプライトの大部分を作り直して――主に第6世代と第7世代だけど――たくさんのNPCバトルスプライトも整理し直した――主要キャラも何人かね!
map_0901#921	技のアニメーションも少し作ったよ、Z技も一つ含めて――サイコファングがあたしにとって初めてのアニメーションだった!
map_0901#922	終盤にはセリフ書きにも足を突っ込んで――ナイトクラブと四天王のセリフを少し手伝ったし、他にもあちこちの細かい会話文も書いたの。
map_0901#923	チーム構築の一部やイベント制作、パズルデザインも少しやったよ!
map_0901#924	要するに、あたしって何でも屋ってやつなのかも?
map_0901#925	または、隠し玉ってやつ!
map_0901#926	うふふ。
map_0901#927	少なくとも、自分ではそう思うようにしてる!
map_0901#928	それで言えば――
map_0901#929	この一年、10秒でもあたしのそばにいたことがある人なら分かると思うけど、あたしはエースについて黙っていることが物理的に不可能なの。
map_0901#930	ゲーム内であたしにとって一番大切なものの一つで、本当に大好きなキャラなの。
map_0901#931	もしこれをE19より前のセーブから読んでて、まだエースに会ってないなら……おっと!!
map_0901#932	もう一回ゲームをプレイし直してね!!!
map_0901#933	他の何人かのキャラと同じで、デザインからドット絵まであたしが手がけて、本当に誇りに思ってる。
map_0901#934	このカテゴリーだけでもう20回くらい言ってる気がするけど、みんなにもあたしと同じくらい、ゲーム内でのエースの存在を楽しんでもらえたら嬉しいな!
map_0901#935	クリム: ……オーケー! えっと。
map_0901#936	いっぱい喋っちゃった!
map_0901#937	正直、こうやって全部書き出すとちょっと滑稽な感じもするけど、こんなに色んなことに挑戦させてもらえたのは、本当に自分にとって大きな意味があるの。
map_0901#938	こんなにたくさんの新しいことに挑戦できて、自分は本当に運が良かったと思う。
map_0901#939	アメには本当に感謝してる、こんなに色んなことを任せて信頼してくれたことだけじゃなくて、そもそもそのチャンスをくれたこと自体に。
map_0901#940	アメとキャスは、私生活でも開発でもすごく支えになってくれて、居心地のいい範囲から一歩外に出ることを手伝ってくれた――しくじった時も辛抱強く付き合ってくれた!
map_0901#941	このゲームのためにやったことについては、これで大体話せたと思う!
map_0901#942	でも、もし「全部」の完全なリストが欲しいなら……
map_0901#943	いつでも声かけてね!
map_0901#944	クリム: オーケー、さっき、こういうのに何を言えばいいか分からないって言ったばかりだけど……
map_0901#945	自分自身について語るのが「本当に」分からないの。
map_0901#946	せめて、ちゃんと自己紹介させて。
map_0901#947	えっと……どうも!
map_0901#948	クリムです!
map_0901#949	これを書いてる時点で、大学最後の学期にいて、20代前半なの。
map_0901#950	サーバーであたしを見かけたことがあるなら、こう呼ばれてる方がピンと来るかも――
map_0901#951	「猫の絵文字を5割の割合で使う人」
