map_0901#1197	まずは豆知識から:
map_0901#1198	イカルって名乗り始める前は、別のハンドルネームを使ってたんだ、もう13年以上前の話だけど。分かってる、これ単体だとそんなに面白い豆知識じゃないけど……
map_0901#1199	ねえ、水曜日にグランドホールのトレーナーと戦ったことある?
map_0901#1200	特に、地獄のネイティオとメガクチートを連れてるあの人?
map_0901#1201	「お前はボクが何者か知らない」とか意味深なこと言ってくる人。サイキック・シルヴァ? そう、それがボク。まあ、正確には「だった」だけど。
map_0901#1202	でも待って、まるで戦争のフラッシュバックみたいな怒りで、あなたの初恋の相手の初キスを奪ったとか、そういう非難を始める前に言っておくと、
map_0901#1203	あのチームはボクが作ったわけじゃなくて、ただゲーム内のどこかに存在してほしかった好きなものを詰め込んだだけ。ごめん、でも悪びれてはないよ!
map_0901#1204	それはさておき: 中学時代の一番古いインターネット体験は、Serebiiのフォーラムで、本当にひどいポケモンのファンフィクションを書いてたことなんだ。
map_0901#1205	願わくば、
map_0901#1206	もう二度と日の目を見ないでほしい。分かる人には分かるし、分からない人には、分からない方が幸せだよ。
map_0901#1207	で、さっき言った通り、これは中学時代の話。フォーラムには何人か友達がいたけど、大抵は長く続かなかった、まあそりゃそうだよね。
map_0901#1208	でも一人だけ、実際に会ったこともある子がいて――正直「長く続いた」って表現も彼には合わないな、むしろ……
map_0901#1209	……10年くらい経ってから、突然リボーンに、まさかの場所からひょっこり現れたって感じ?
map_0901#1210	それだけでもすごく不思議な感じがする、ボクは「タイミングが全て」っていう言葉を信条にしてて、選択がどうこうとかもうさっき言ったけど、
map_0901#1211	当時とはまったく違う人間になってるっていう、その変わりようがすごいんだ。それほど親しかったわけでもないのに、
map_0901#1212	もしこれを読んでたら、あなたのことだよ、友よ。二人ともここまで来られて良かった。
map_0901#1213	それで、次はMarrilandのフォーラム。もうちょっと自分を出すようになって、ファンフィクションはあまり(っていうか全然)書かなくなった。対戦ポケモンにも少し手を出した。
map_0901#1214	これは第4世代の頃で、「めちゃくちゃ強い」使いすぎポケモンにあまり神経質じゃなくなり始めた頃だった。
map_0901#1215	(それで結構良かったよ、だって……*メモ確認*……つるぎのまいでんこうせっかザングースなんかにこだわって、他の面白いものをたくさん見逃してたんだから。)
map_0901#1216	2007年7月のとある運命の午後、「wi-fiバトル」のサブフォーラムをスクロールしてて、返信を選んだそのスレッドが、すべての始まりだった。
map_0901#1217	スレ主は……ええと、彼女の言葉をどう言えばいいかな……
map_0901#1218	「いくつかの性別と、たくさんの人生経験」を経て、今はオータムって呼ばれてる人。
map_0901#1219	そう、ここから一マス離れた、あの緑色の人だよ。あの位置取りはすごく意図的なの。
map_0901#1220	ニンテンドーDSのwi-fiを使って本当に仲良くなったんだ、彼女はネットの見知らぬ人と友達になってることをお母さんに隠さなきゃいけなかったのに。
map_0901#1221	まあ、それも当然だよね。
map_0901#1222	そのうち彼女がボクを、友達用の自分のフォーラムに招待してくれて、参加した時、驚くことにアクティブなメンバーは二(2)人だけだった。
map_0901#1223	そこでいつも一緒にいて、色々くだらない話題で好きなことをやってた、ほぼ二人だけの場所だったから。
map_0901#1224	彼女はどんどん人を招待していって、バトルしたりロールプレイしたり絵を描いたり、カードゲームで遊んだり、色んなことをする楽しい小さなグループになった。
map_0901#1225	彼女が招待した人の中に、友達のウルフィーがいてね、ボクをよく知ってる人なら、それがどれだけ重要なことか分かるはず。
map_0901#1226	知らないなら、彼女が最高の存在だってことだけ知っておいて。過去のボクなら「自分には彼女はもったいない」なんて言いそうだけど、それは間違いだったな、
map_0901#1227	それでも、その価値がある人間になれるように精一杯頑張ってるつもり。
map_0901#1228	この二人こそがボクの人生でただ一人(いや、二人?)一番大切な人たちだって言っても大げさじゃないし、二人がいなかったら今のボクはいない。
map_0901#1229	二人とも心から大好きだし、色々あった中でずっとそばにいてくれて嬉しい。こんな最高の友達、他に望めないよ。
map_0901#1230	……ふう。ごめん、まさかこんなに語られるとは思ってなかったよね。
map_0901#1231	でも聞いてくれてありがとう。
map_0901#1232	他に何か話したい?
map_0901#1233	リボーン初期の話ね? もちろん。
map_0901#1234	ボクがこのコミュニティに入ったのが、完全に事故だったって信じられる?
map_0901#1235	いや、「勘違い」って言った方が正しいかな。
map_0901#1236	実は、オータムとボクはアニメ「家庭教師ヒットマンREBORN!」のファンで、NetBattleからPokemon Onlineに乗り換えた時、
map_0901#1237	ずっと昔、2010年に、
map_0901#1238	「Reborn Server」って名前のサーバーを見つけて、あんまり深く考えなかったんだ。
map_0901#1239	「うおおおお、リボーンだ」って言って、即参加。
map_0901#1240	あの年、一番良い間違いだったよ。
map_0901#1241	ボクらが入った頃には既にリーグはあったけど、サーバーは今と比べたらまだほんの赤ちゃんみたいなものだった。
map_0901#1242	すぐに、お遊びで結構怪しいチームで登録したんだ。最初のバトルは実は結構重要な出来事だったのを覚えてる。
map_0901#1243	ボクにとってじゃなくて、ハーディにとってね。ティタニアが新しく発表されたばかりで、彼は次のバトルに勝ったら、次に彼女に挑むって言ってたんだ。
map_0901#1244	「ほら」って言いながら、いつもの調子で、岩タイプがあの最強の鋼タイプに対しても通用するって証明しようとしてた。
map_0901#1245	そしてボクは、それがうまくいくと思っちゃった不運なやつで、結構弱いチームで、思いっきり岩に潰された。
map_0901#1246	へへ。
map_0901#1247	それでもっといいチームを作ってコーリーと戦って、彼が前の相手とは対照的だって言うのは控えめすぎる表現だった。性格も難易度もね。
map_0901#1248	次はキャル、ボコボコにされた、それからハーディにリベンジして勝って、キャルにもリベンジして勝った。
map_0901#1249	次はフロリニア。彼女には本当に長いこと打ちのめされたよ。彼女とのバトルは666番目のログだったんだ、豆知識ね。最終的にヘザーと戦ったんだけど、
map_0901#1250	ちなみに当時は入場口のリーダーで、
map_0901#1251	一発で勝てたんだ。それで、聞いて、それができたのはボクだけだった。彼女がこのゲームで四天王の一員になってるのは偶然じゃないと思う。
map_0901#1252	その後すぐ彼女のランクは急上昇して、まずは、トレーナーカードのバッジと他のバッジの間の空白がすごく変な感じになってた。
map_0901#1253	そして彼女が強くなった後、もう二度と戦わなくていいって分かった時の安堵感といったら、ははは。
map_0901#1254	リーダーたちとはかなり頻繁にやり取りしたし、人によって話す量も違ったな。
map_0901#1255	ダントツで一番好きだったグループは、他でもないOTSのメンバー、ティタニア、フロリニア、アマリア、ジュリアだった。
map_0901#1256	輝いてはいない鎧をまとった騎士みたいな評判をちょっと築いちゃったんだけど、理由は察してほしい。
map_0901#1257	ティタニアやアマリアとのやり取りは、リーグ全体の噂の的だったよ。
map_0901#1258	それからエルがいた。
map_0901#1259	もう二度と彼と戦わなくていいのが嬉しい、とだけ言っておくよ。ボクのチームは「りゅうのまい」を積んだカイリューが勝ち筋だったのに、毎回裏目に出たんだ。
map_0901#1260	もうメタモンなんて見たくもない、ははは。
map_0901#1261	でもXリーグでは彼にお返ししてやったよ。ダークライにタラプのみを持たせてアルセウスを何とか耐えて、眠らせたんだ。
map_0901#1262	すっかりのめり込んで、最高に楽しかった。リーグをクリアした二番目の人間になれたんだ!
map_0901#1263	チャンピオンロードの霊探しクエストはやった? やったなら、どこかでボクのチームを見たはずだよ。
map_0901#1264	今知ってることを踏まえて後悔してるかって聞かれたら……いや、絶対してない。ボク自身のキャラクターも、どのリーダーにも劣らないくらい成長したと思ってるから。
map_0901#1265	最近はだいぶ落ち着いたと思うけど、必要な時にいつでも出てこられる、心の奥にちょっとしたティタニアが常にくつろいでるんだ。
map_0901#1266	……そんなに出番はないけどね。
map_0901#1267	とにかく、リーグは間違いなくボクの体験の中でも一番の見どころだったと思う。この思い出巡りの小旅行、楽しんでもらえてたらいいな。
map_0901#1268	このゲームへの関わりね? もちろん。
map_0901#1269	まあ、自己紹介の時に言った通り、他の人でも絶対できるような、小さくて地味な作業を大体担当してる。
map_0901#1270	彼らとボクの違いは、ボクはそこまで多くのことができないから、本当にすごいことは彼らに任せた方がいいってこと。
map_0901#1271	正直に言うと、このイベントは、ゲーム全体でボクがやった唯一のイベント制作なんだ。
map_0901#1272	まあ、新しい街とクリソリア泉に隠しアイテムを撒くのを数えるなら別だけど。あれはただイベントをコピペしただけだけどね。
