map_0901#1547	この部屋にいる大半の人と比べたら、ボクとリボーンの付き合いはかなり短いんだ。
map_0901#1548	2017年くらいに、友達がこのゲームについてツイートしてるのを見て知ったの。
map_0901#1549	彼がスイートキスキャンディーショップの店内の写真を投稿してて、それをポケモンセンターだと勘違いして、絶対このゲームをプレイしなきゃって即決めちゃった。
map_0901#1550	もちろん、実際にプレイし始めてみたら……まあ、ジュリアにボコボコにされすぎて、ゲームを置いて存在すら忘れちゃった、とだけ言っておくね。
map_0901#1551	数年間ね。
map_0901#1552	2019年2月に、もう一度挑戦してみようと決めて――そんなに上達したわけじゃなかったけど――少なくとも前より辛抱強くなってた。
map_0901#1553	結局、このゲームに完全に恋しちゃったんだ。キャラクターも、音楽も、この世界も……
map_0901#1554	それがボクをすごく幸せにしてくれたし、今もそうし続けてくれてる。
map_0901#1555	実は、リボーンのおかげで、文章を書く情熱が再燃したの。
map_0901#1556	それ以上に、このコミュニティに恋しちゃった!
map_0901#1557	何人かのすごい友達もできて、その一部は今この部屋に一緒にいるし、彼らを何にも代えられないと思ってる。
map_0901#1558	2020年の終わり頃、アメにメッセージを送って、最後の細々した作業で何か手伝えることはないか聞いたの。
map_0901#1559	しばらくして、ナイトクラブ関連で手伝いが欲しいってことになって、それで今ここにいるってわけ!
map_0901#1560	バトルパビリオンで戦えるトレーナーたち、あの小さなセリフは全部ボクの担当だったよ!
map_0901#1561	クラブの中でくつろいでる時のキャラクターたちの雑談も少し書いたの――まだ挨拶してないなら、みんなに声かけてみて!
map_0901#1562	このゲームとこのコミュニティはボクにとってすごく大きな意味があって、みんなの優しさと素晴らしさにはずっと感謝し続けると思う。
map_0901#1563	アジー: あ! オーケー、えっと、どうも!
map_0901#1564	アジーです。
map_0901#1565	カナダ人の女の子で、これが公開される頃には、20代後半になってるかな。
map_0901#1566	リボーン(と他の色んなファンゲーム、ポケモン全般)以外だと、音楽もやってて、動物好きで、物語を語るのも好き。
map_0901#1567	物語ってものにすごく情熱を持ってるの、その形はどんなものであれ。物語がどうやって人々を結びつけたり、癒やしたり、喜びやカタルシスをもたらしたりするか……
map_0901#1568	間違いなく、一番よく考えるテーマの一つだね。
map_0901#1569	アジー: オーケー!
map_0901#1570	うわあ!
map_0901#1571	アジー: 楽しかった!
map_0901#1572	はい、お時間のお礼にBPをどうぞ!
map_0901#1573	これで所持BPは\v[593]になったよ!
map_0901#1574	アジー: 大丈夫、次はきっとうまくいくよ!
map_0901#1575	カイラ: にゃーお?
map_0901#1576	得体の知れない力に突き動かされて、カイラを撫でたい衝動に駆られた。
map_0901#1577	撫でてみる?
map_0901#1578	カイラが威嚇して攻撃してきた!
map_0901#1579	《怒った猫の鳴き声》
map_0901#1580	禁断ゾーン(商標)を避けながら、カイラを撫でた。
map_0901#1581	手から血が出ている。
map_0901#1582	カイラは満足そうだ。
map_0901#1583	このゾロアは同じ動きを何度も繰り返し、時々ポーズを決めている。
map_0901#1584	トレーナーのアニメーション参考資料作りを手伝っているのかもしれない。
map_0901#1585	はい
map_0901#1586	いいえ
map_0901#1587	きれいなミズ - $200
map_0901#1588	サイダー - $300
map_0901#1589	ミックスジュース - $350
map_0901#1590	キャンセル
map_0901#1591	ファイ
map_0901#1592	アメ
map_0901#1593	話す
map_0901#1594	戦う
map_0901#1595	話す
map_0901#1596	何してるの
map_0901#1597	どうやってリボーンに関わるようになったの
map_0901#1598	チーム名
map_0901#1599	やめとく
map_0901#1600	開発チーム
map_0901#1601	アニメーションチーム
map_0901#1602	時間
map_0901#1603	空間
map_0901#1604	おとぎ話
map_0901#1605	スターライト
map_0901#1606	あなたのこと
map_0901#1608	他のみんな
map_0901#1609	やっぱりいいや
map_0901#1610	聞く
map_0901#1611	今はいいや
map_0901#1612	バトル
map_0901#1613	キャンセル(暴言)
map_0901#1614	インターンなの?
map_0901#1615	この世界の出身じゃないの?
map_0901#1616	リボーンの意味。
map_0901#1617	もっと
map_0901#1618	好きなポケモンは?
map_0901#1619	リボーンで好きな場所は?
map_0901#1620	特にない
map_0901#1621	あなたは誰?
map_0901#1622	何をしてるの?
map_0901#1623	リボーンはあなたにとって何?
map_0901#1624	何かアドバイスは?
map_0901#1625	シングル
map_0901#1626	ダブル
map_0901#1628	とにかくバトルしよう!
map_0901#1629	やめとく。
map_0902#0	リン: ……うう。
map_0902#1	リン: あんたって本当に……あたしと同じね。
map_0902#2	リン: 華々しく散るはずが、これじゃあね……
map_0902#3	リン: いたたたた
map_0902#4	無理……
map_0902#6	これは……
map_0902#7	まあいいか。
map_0902#8	リン: あっちいけの声
map_0902#9	見て分かんない、あたし死にかけてんの
map_0902#10	静かに死なせてよ
map_0902#11	リン: あら
map_0902#12	どうも
map_0902#13	乱入してごめんね……
map_0902#14	あたし今ちょっと……その……
map_0902#15	ボロボロなんだよね……
map_0902#16	リン: ねえ
map_0902#17	だめ
map_0902#18	何やってんの
map_0902#19	リン: あんたの……岩みたいなやつに唾でも吐いてやるんだから!
map_0902#20	マジだから!
map_0902#21	あたしって性格悪い上に厄介な――
map_0902#22	――な……
map_0902#23	リン: ねえ、なんかちょっと気分マシになった。
map_0902#24	あんた結構いいね。
map_0902#25	リン: ……マシュマロいる?
