22f_bt_speeches#0	そっか。まあ、ありがとうね。
22f_bt_speeches#1	よう! 寄るかもって言っただろ?
22f_bt_speeches#2	準備できてなかったのは、こっちの方だったか!
22f_bt_speeches#3	ちょっといいかしら。気になっちゃって……その服。
22f_bt_speeches#4	*あなたにかみつく* 負けていればかまれずにすんだ。ここに学ぶべき教訓などない。この先の道は、また私のあごの中へ戻るだけだ。
22f_bt_speeches#5	ーーガッサ。ピッ、ピッ!
22f_bt_speeches#6	ーーガッサーーーー! エラー! エラー!
22f_bt_speeches#7	……やあ。それじゃ、始めようか。
22f_bt_speeches#8	……やあ。また会えてうれしいよ。
22f_bt_speeches#9	……あれ。勝っちゃった。やるじゃん、あたし。
22f_bt_speeches#10	……やった!
22f_bt_speeches#11	……やっぱり、こういうのはもう年かもしれんな。
22f_bt_speeches#12	……いい勝負だった。ありがとう。
22f_bt_speeches#13	……ほらね、間違ってなかったでしょ!
22f_bt_speeches#14	バトルとは実に精巧なパズルだ。そう思わないかい?
22f_bt_speeches#15	ほろ苦い夢だ。このバトルのようにね。
22f_bt_speeches#16	いいバトルだった。君は腕が立つな!
22f_bt_speeches#17	完璧な演技だ!
22f_bt_speeches#18	さっさと勝って、家に帰るとしよう。
22f_bt_speeches#19	危なげない勝利だな。
22f_bt_speeches#20	精いっぱいやった上での敗北なら、恥じることはない。
22f_bt_speeches#21	勝利ってのは、なかなかいい贈り物だね!
22f_bt_speeches#22	そしてーー勝者が決まった! 素晴らしきチャンピオンだ!
22f_bt_speeches#23	そしてまたも、粋なピエロ、インドラの勝利だ!
22f_bt_speeches#24	うわあ! 水が冷たすぎた!
22f_bt_speeches#25	ああ、いい感じ。バトルで体が温まったよ!
22f_bt_speeches#26	というか、バトルって私の仕事のうちなのかな……
22f_bt_speeches#27	あんたに勝てば、ファーンもやっとあたしに気づいてくれるはず!
22f_bt_speeches#28	年の功が先、ってね!
22f_bt_speeches#29	ああ、この手鏡、大好き!
22f_bt_speeches#30	おお、若いの! よろしくな、若きトレーナーよ!
22f_bt_speeches#31	ああ、なんてこった。
22f_bt_speeches#32	ああ、もういいや。
22f_bt_speeches#33	ああ、その程度のことだったのか……
22f_bt_speeches#34	まあいい。それなりに楽しめた。
22f_bt_speeches#35	もう少し時間さえあれば……
