22f_bt_speeches#120	星の導きが間違っていたとでもいうのか?
22f_bt_speeches#121	これもすべて定められていたことなのか?
22f_bt_speeches#122	まさか君は... 真実を知っているのか?
22f_bt_speeches#123	完勝だ。
22f_bt_speeches#124	かわいくて強いなんて... あとで電話くれない?
22f_bt_speeches#125	さあ、深呼吸して。
22f_bt_speeches#126	敗北を味わうことになるとは...
22f_bt_speeches#127	敗北... 記録した。
22f_bt_speeches#128	退屈しないどころか! ちょっと刺激が強すぎたかも!
22f_bt_speeches#129	やっぱり君じゃないみたいだ。
22f_bt_speeches#130	音楽の才能もバトルの腕も抜群? あたし、完璧すぎない?
22f_bt_speeches#131	わたし、うまくできたかな?
22f_bt_speeches#132	マジで勝ったのか? クソ最高じゃねえか!
22f_bt_speeches#133	言ったでしょう? この子たちは本当にすばらしいの!
22f_bt_speeches#134	そんなに早く勝たなくても... はあ、掃除に戻らなきゃ。
22f_bt_speeches#135	バナナが正式な計量単位だって知ってた?
22f_bt_speeches#136	もしかして「あくび」を使った?
22f_bt_speeches#137	信じてくれなかったか。まあいいさ。
22f_bt_speeches#138	勝てなかったが、いいバトルだったよ。
22f_bt_speeches#139	オレって威圧感ある? 正直に言ってくれ。
22f_bt_speeches#140	ポケモン用のスパはどこにあるか知ってるかい?
22f_bt_speeches#141	化石ポケモンは好き?
22f_bt_speeches#142	理由は聞かないでくれ。
22f_bt_speeches#143	ポケモンがいて当たり前だなんて思うなよ!
22f_bt_speeches#144	気を落とさないで。君にもいいところが1つはあるから。
22f_bt_speeches#145	引き波にさらわれるなよ!
22f_bt_speeches#146	勝ちに慣れて油断するなよ。
22f_bt_speeches#147	そんな目で見るな! オレだって今どきなんだぞ!
22f_bt_speeches#148	気にしないでください、掃除に来ただけなので...
22f_bt_speeches#149	そう落ち込むな。私の予言は外れたことがないんだ!
22f_bt_speeches#150	悪く思わないでくれ。
22f_bt_speeches#151	オレをだませると思うなよ!
22f_bt_speeches#152	気にすることはないさ。
22f_bt_speeches#153	安心しろ、オレに負けるのは恥じゃない。
22f_bt_speeches#154	心配するな、そのうち強くなるさ。
22f_bt_speeches#155	そんな目で見るんじゃない! どうせジジイだと思ってるんだろう! いいことを教えてやる!
22f_bt_speeches#156	終わり! 次!
22f_bt_speeches#157	うおお! オレのリフにはついてこれないだろ!
22f_bt_speeches#158	楽勝。
22f_bt_speeches#159	きゃー! 勝利のお祝いにおそろいのバッグを買わなきゃ!
22f_bt_speeches#160	まあ、ベストな出来じゃなかったけど楽しかった。
22f_bt_speeches#161	まあな。バトルは得意じゃないって言ってただろ。
22f_bt_speeches#162	はあ。あのなまけもののチャズを見に行くか...
22f_bt_speeches#163	いざ、勝負!
22f_bt_speeches#164	アゲハント、存分に味わうがいい...
22f_bt_speeches#165	負けたぐらいでこの良い天気は台無しにならないさ!
22f_bt_speeches#166	負けてもわたくしは優雅ですわ!
22f_bt_speeches#167	ここなら負けるのも悪くないな!
22f_bt_speeches#168	負けることだって成長につながる!
22f_bt_speeches#169	街が良くなってきた今でも、この辺で強いポケモンを見つけるのは大変だ。
22f_bt_speeches#170	この程度じゃ気分は沈まないね!
22f_bt_speeches#171	負けはしたが、また君と戦えて楽しかったよ。
22f_bt_speeches#172	ポケモンはどの子も大切なんだ!
22f_bt_speeches#173	たまには番狂わせも起きるものさ。
22f_bt_speeches#174	上出来だ。
22f_bt_speeches#175	よろしい... 一歩前進だな。
22f_bt_speeches#176	すみません、男子トイレはどっちですか? このホテル、ちょっと分かりにくくて!
22f_bt_speeches#177	栄光のために、いくぜベイビー!
22f_bt_speeches#178	かかってこい! 手加減は無用だ!
22f_bt_speeches#179	秋がいちばん好きな季節なんだ。
22f_bt_speeches#180	秋がいちばん好きだけど、あたしは一年中サイコーよ!
22f_bt_speeches#181	運命は語り、君はよく聞き届けた。
22f_bt_speeches#182	オレの燃える信念を受けてみろ!
22f_bt_speeches#183	やっと眠れる...
22f_bt_speeches#184	ついに、運命の再会だ!
22f_bt_speeches#185	やっとだ。
22f_bt_speeches#186	クビになった上に負けるなんて... ううっ!
22f_bt_speeches#187	婚約できて、その上あなたにも勝てるなんて、今日はもう最高の日だわ!
22f_bt_speeches#188	愛の翼に乗って飛びなさい、いとしい子。
22f_bt_speeches#189	全能にして偉大なるバパブイのために!
22f_bt_speeches#190	化石ポケモンは最高! いちばん好きなのはアバゴーラ!
22f_bt_speeches#191	みんな、よくやった!
22f_bt_speeches#192	心の底から、ありがとう。
22f_bt_speeches#193	やあ。君のうわさはよく聞いてるよ。君とポケモンのきずなをぜひ見せてほしいな。
22f_bt_speeches#194	すみません、どいてください。
22f_bt_speeches#195	嵐のようなバトルを覚悟しろ!
22f_bt_speeches#196	負ける覚悟はできてる?
22f_bt_speeches#197	覚悟しな。遊びに来たんじゃないんだ。
22f_bt_speeches#198	もっと強くなれ! また挑んでくる前に、それだけは頼む。
22f_bt_speeches#199	全力でこい!
22f_bt_speeches#200	ベストを尽くせ!
22f_bt_speeches#201	勝ち誇るのはカッコよくないぞ!
22f_bt_speeches#202	ちきしょう、おまえマジで強えな!
22f_bt_speeches#203	よし、よし。
22f_bt_speeches#204	よろしい、ありがとう。
22f_bt_speeches#205	美しくて、バトルも神がかってる!
22f_bt_speeches#206	いただき!
22f_bt_speeches#207	腕を落とさないようにしないとな...
22f_bt_speeches#208	地べたに沈めてやった! どうだ、見直したか?!
22f_bt_speeches#209	ぶつぶつ...
22f_bt_speeches#210	あんまり良くなかったみたいだな。
22f_bt_speeches#211	運命の風は私に吹いてくれなかったようだ。
22f_bt_speeches#212	結局、教わる必要なんてなかったみたいだね。
22f_bt_speeches#213	はっ! 気をそらしてやった!
22f_bt_speeches#214	はは! これであいつに大きな貸しができたぞ!
22f_bt_speeches#215	こうなる気はしてたよ。
22f_bt_speeches#216	へへ! 子どもに負けちゃったね!
22f_bt_speeches#217	ふん、これが君の力か...
22f_bt_speeches#218	ふん、勝ち目はないぞ。
22f_bt_speeches#219	はは! それで全部か?
22f_bt_speeches#220	はは! グレーテルに負けるってのも悪くないだろ?
