22f_bt_speeches#240	へへっ。
22f_bt_speeches#241	へへっ。これは楽しくなりそうだ。
22f_bt_speeches#242	へへっ...
22f_bt_speeches#243	へへ... 見事な戦いぶりだったな。思わず逮捕したくなるくらいだ。
22f_bt_speeches#244	へへっ、これを見てよ。
22f_bt_speeches#245	やあ! ミックスオレはいかが?
22f_bt_speeches#246	こんにちは、愛してるよ!
22f_bt_speeches#247	もしもし? ああ、どうも、お電話ありがとうございます...
22f_bt_speeches#248	来た、これが一世一代のチャンスだ!
22f_bt_speeches#249	行くぜ恐れずまっしぐら! 闘志があふれて止まらない!
22f_bt_speeches#250	はいどうぞ! うちのルージュラから「てんしのキッス」を-- って、どこへ行くの!?
22f_bt_speeches#251	みんなー、リボーン地方から生放送だよ! これから有名なリボーンナイトクラブでバトル! 応援よろしく!
22f_bt_speeches#252	やあ、どうも!
22f_bt_speeches#253	ねえ! 我らが救世主グラードン様の話、聞いたことある?
22f_bt_speeches#254	やあ! 何か新しいものはないかと思って来てみたんだ。なかなかいいね!
22f_bt_speeches#255	やった! 今週初めての勝ちだ!
22f_bt_speeches#256	なあ! 急流を泳いだことってあるか?
22f_bt_speeches#257	ちょっと! ここで笑うところじゃないでしょ!
22f_bt_speeches#258	やった、勝った!
22f_bt_speeches#259	なあ、君... うちのガーディを見なかったか?
22f_bt_speeches#260	見てよ、このイケてるパーティを!
22f_bt_speeches#261	見て、この新しいポケナビ! 最新モデルなんだ!
22f_bt_speeches#262	ねえ、このクッキー味見してくれない? レシピを間違えた気がするの...
22f_bt_speeches#263	なあ、おれのバンドに入らないか?
22f_bt_speeches#264	ねえ、ちょっとヒマある? おれの詩を聞くヒマは!
22f_bt_speeches#265	ねえ、ハーディの演奏を聞いた? あたし大ファンなんだ!
22f_bt_speeches#266	ねえ、「バシャーモ仮面」の最新号は読んだ?
22f_bt_speeches#267	おいおい! ほしいのは快勝、惨敗じゃない!
22f_bt_speeches#268	ねえ、うちのママに会っても、ここにいたって言わないでね?
22f_bt_speeches#269	なあ坊主、ミカコーヒーの支店ってここにもあるのか?
22f_bt_speeches#270	よう、坊主。ここの面倒を見てるのは君かい?
22f_bt_speeches#271	やあ、みんな! ハルおにいさんの こどもの時間、特別編へようこそ!
22f_bt_speeches#272	いやあ、最高だったよ!
22f_bt_speeches#273	いやあ、最高だった! 誰か録画してないかな? 宣伝用の映像に使えるかも...
22f_bt_speeches#274	いやあ、自分の番組よりも楽しかったよ!
22f_bt_speeches#275	なあ、ここの食事ってどんな感じだ?
22f_bt_speeches#276	おい、なんだその浮かない顔は?
22f_bt_speeches#277	ねえ、この辺でサイコソーダが買えるところ知らない?
22f_bt_speeches#278	なあ、君もそのうち入ることを考えてみたらどうだ。
22f_bt_speeches#279	ちょっと、水がかかったじゃない!
22f_bt_speeches#280	ねえ、すごかったよ! 視聴者のみんなに一言もらえる?
22f_bt_speeches#281	そこの君! 勝負しろ!
22f_bt_speeches#282	やるな、君。今度いっしょに釣りに行こうぜ!
22f_bt_speeches#283	ねえ、大丈夫?
22f_bt_speeches#284	よう。過去は水に流そう。いいバトルをしようじゃないか。
22f_bt_speeches#285	よう、相棒! いや... 今は相棒じゃないけどな。まあ楽しくやろうぜ?
22f_bt_speeches#286	ふむ。やはりここへ来たのは正解だったな。
22f_bt_speeches#287	ふむ、君のスタイルはまだ磨きが足りないようだ。
22f_bt_speeches#288	うーん。ここは社会科見学にいい場所だと思う?
22f_bt_speeches#289	うーん... ここは主人公に運命の出会いを、といったところかな?
22f_bt_speeches#290	うーん... 勉強しようか、昼寝しようか...
22f_bt_speeches#291	ふん。たまには まるで無能というわけでもなかったようだな。
22f_bt_speeches#292	ふん。無能ばかり寄こすのはやめてほしいものだ。
22f_bt_speeches#293	ふん。コイキングのほうがまだ戦い方も頭の出来もましだったぞ。
22f_bt_speeches#294	動かないで! この瞬間を写真に残さなきゃ!
22f_bt_speeches#295	まったく、どうしてもっとおしゃれにできないのかしら?
