22f_bt_speeches#360	バトルでも音楽でも、本物の達人にはかなわないか…
22f_bt_speeches#361	優勝候補と言われるだけのことはあるな…
22f_bt_speeches#362	昨夜、変な夢を見たんだ…
22f_bt_speeches#363	掃除は嫌いだけど、バトルは悪くないね。
22f_bt_speeches#364	自分が間違ってるのって、嫌なんだよな…
22f_bt_speeches#365	勝てそうな予感がする!
22f_bt_speeches#366	ついに一人暮らしを始めたんだ! やったね!
22f_bt_speeches#367	久しぶりの挑戦者だ、これは楽しくなりそうだぜ!
22f_bt_speeches#368	もう一週間も寝てないんだ…
22f_bt_speeches#369	本日はこれにて閉会と宣言する。
22f_bt_speeches#370	本日ここに開会を宣言する。
22f_bt_speeches#371	君はこれにて閉店と宣言する。
22f_bt_speeches#372	めざましビンタをお見舞いしてやったぞ!
22f_bt_speeches#373	虫みたいにしつこくしてなかったかな!
22f_bt_speeches#374	この勝利、誰か配信してくれてるといいな!
22f_bt_speeches#375	君を叩き潰しても、傷つかないでほしいものだ!
22f_bt_speeches#376	私のこと、覚えていてほしいな!
22f_bt_speeches#377	なんで一番強い段位のベルトが、一番地味なんだろう!
22f_bt_speeches#378	ボクね、ピエロ学校を卒業したばかりなんだ!
22f_bt_speeches#379	毎日、きっちり時を刻んでいるよ!
22f_bt_speeches#380	新しい制服が要るって、ボスに何度も言ってるんだけどな…
22f_bt_speeches#381	お前の企み、お見通しだぜ!
22f_bt_speeches#382	どこかで会ったことがあるような…
22f_bt_speeches#383	お前の秘密、もう分かったぞ!
22f_bt_speeches#384	このバトルで多くを学びました。ありがとうございます。
22f_bt_speeches#385	負けた?! お前に?
22f_bt_speeches#386	ニャースが大好き! どんなニャースも大好き!
22f_bt_speeches#387	ハイキングは好きだけど、虫だけは我慢できない…
22f_bt_speeches#388	サーフィン大好き!
22f_bt_speeches#389	勝利を釣り上げてやった、楽勝さ!
22f_bt_speeches#390	ポケモンのキーホルダーを作ってるんだ。君が勝ったら、特注のキーホルダーをタダであげるよ!
22f_bt_speeches#391	私は弱々しく見えるかもしれませんが…
22f_bt_speeches#392	俺はただの大工だが、あんたには勝てると分かってるぜ!
22f_bt_speeches#393	マグマ団は解散したかもしれねえが、俺がまだ熱い男だってことは見せてやるぜ!
22f_bt_speeches#394	しくじった…
22f_bt_speeches#395	有名人に会っちゃった!
22f_bt_speeches#396	森が恋しいな。
22f_bt_speeches#397	大切な相棒がくつろげる場所を見つけないと!
22f_bt_speeches#398	もっと強くならないと…
22f_bt_speeches#399	私の勘違いだったようだ。
22f_bt_speeches#400	バトルがしたい、それも今すぐに!
22f_bt_speeches#401	いつも通り、舞台は私のものだったね!
22f_bt_speeches#402	バトルは夜にやるのが好きなんだ…
22f_bt_speeches#403	本当に抜け出そうと頑張ったのに!
22f_bt_speeches#404	我が勝利だ! 貴様のような悪党に負けるものか!
22f_bt_speeches#405	デパートで緑のを見たけど、ネットでは赤いのも見かけたんだよね…
22f_bt_speeches#406	この勝利、夢で見たんだ!
22f_bt_speeches#407	なるほど。
22f_bt_speeches#408	そうか… 私には無理か… 強い意志を持つ者には、かなわない。
22f_bt_speeches#409	私はバトルの道を極めんとする者だ。
22f_bt_speeches#410	大切な相棒たちの力を、お見せしましょう!
22f_bt_speeches#411	バトルなんかに時間を割くんじゃなかった。
22f_bt_speeches#412	寄り道なんてするんじゃなかった。
22f_bt_speeches#413	まだお前は信用できねえな!
22f_bt_speeches#414	それでも私は諦めない…
22f_bt_speeches#415	勝利を盗んでやったぜ!
22f_bt_speeches#416	この場所で勝利を盗んでやった!
22f_bt_speeches#417	初挑戦でチャンピオンに勝とうなんて、期待しすぎだったか。
22f_bt_speeches#418	君の期待には、それだけの根拠があったってことか…
22f_bt_speeches#419	分かった気がする! ありがとう!
22f_bt_speeches#420	何か学べた気がする!
22f_bt_speeches#421	ちょっと泳いでくるかな…
22f_bt_speeches#422	さっき、いい匂いがすると思ったんだ。
22f_bt_speeches#423	ここ、ウォーターパークだと思ってた!
22f_bt_speeches#424	言っただろ、俺が一番だって!
22f_bt_speeches#425	言っただろ、意志の力ずくだって!
22f_bt_speeches#426	どのバトルからも、何か学ぼうとしてるんだ!
22f_bt_speeches#427	今なら分かる。
22f_bt_speeches#428	この子たちは、僕のどの冒険でも最後のチームに入ってたんだ!
22f_bt_speeches#429	大きくなったらアシレーヌになりたい!
22f_bt_speeches#430	今は悲しみの歌を歌いたい気分…
22f_bt_speeches#431	街の復興のためにしてくれたこと、お礼の手紙を送りたかったんだ!
22f_bt_speeches#432	どうせ退屈してたところだしな…
22f_bt_speeches#433	私が間違ってた! 間違ってたよ!
22f_bt_speeches#434	鍛え続ける! 戦い続ける!
22f_bt_speeches#435	君のことは決して忘れない!
22f_bt_speeches#436	勝つまで決して諦めない!
22f_bt_speeches#437	頂点に君臨してやる!
22f_bt_speeches#438	全部まとめて抱きしめられたらいいのに…
22f_bt_speeches#439	マグマ団のあのバカと間違えるのは、もうやめてほしいよ!
22f_bt_speeches#440	最近の若い者がどうバトルするのか、見てみたくてな。
22f_bt_speeches#441	一度、無料旅行を当てて行ったよ。いい所だった。
22f_bt_speeches#442	次はそう簡単に釣られないぞ!
22f_bt_speeches#443	優勝候補だからって、手加減はしないぞ!
22f_bt_speeches#444	勝った。やった。さて、仕事に戻るか。
22f_bt_speeches#445	勝った? 本当に、本当に?
22f_bt_speeches#446	制服にサインしてくれないかな…
22f_bt_speeches#447	私はとても不思議な、魔法にかかった女の子になるの!
22f_bt_speeches#448	釣りをしてる方がましだ…
22f_bt_speeches#449	いつか頂点に立つ! 見てろよ!
22f_bt_speeches#450	サーフボードに八つ当たりしてやる!
22f_bt_speeches#451	いつかは攻略してみせる…
22f_bt_speeches#452	何があっても任務は果たす!
22f_bt_speeches#453	次は負けないぞ!
22f_bt_speeches#454	じゃあ、この廊下の先を見てくるよ!
22f_bt_speeches#455	じゃあ、自分で探しに行くよ…
22f_bt_speeches#456	もう二度と先生を疑わない!
22f_bt_speeches#457	裏路地で待ってるぜ!
22f_bt_speeches#458	追い返してやる、この惨めなクズが!
22f_bt_speeches#459	俺の闘志を見せてやる!
22f_bt_speeches#460	金で買える最高のポケモンを見せてやろう!
22f_bt_speeches#461	次は違う組み合わせでいくぞ!
22f_bt_speeches#462	こてんぱんにしてやる!
22f_bt_speeches#463	私はブルー〜 ダバディ、ダバダー…
22f_bt_speeches#464	またやな感じ〜! だいもんじだけにね…
22f_bt_speeches#465	ヴィクトリアの一番のファンなんだ!
22f_bt_speeches#466	趣味でコーディネーターをやっててね。君のポケモンのアピールを見せてくれ!
22f_bt_speeches#467	ちょっとお腹すいた… みずのいし持ってない?
22f_bt_speeches#468	ちょっと行き詰まっててね。このバトルで何か思いつくといいんだけど!
22f_bt_speeches#469	バスケットボールもモンスターボールも得意なんだ!
22f_bt_speeches#470	いつだって元気いっぱいさ!
22f_bt_speeches#471	私は芸術の天才だ!
22f_bt_speeches#472	水泳もバトルもクラスで一番なんだ!
22f_bt_speeches#473	退屈だ。楽しませてくれよ!
22f_bt_speeches#474	ワクワクして羽音が止まらない! 待ちきれなくて、そわそわしちゃう!
22f_bt_speeches#475	君を倒す運命なんだ!
22f_bt_speeches#476	もう手加減はやめだ!
22f_bt_speeches#477	まちがいフェアリー、私の勝ちだね!
22f_bt_speeches#478	バラバラになりそう…
22f_bt_speeches#479	信じられないくらい速いぞ!
