22f_bt_speeches#480	自由だー!
22f_bt_speeches#481	この靴がうれしくてたまらないの!
22f_bt_speeches#482	勉強になるなあ!
22f_bt_speeches#483	生徒たちを連れてくるのにいい場所を探してるんだ!
22f_bt_speeches#484	ぼくはどちらかというと機械いじり派だけど、たまには息抜きもしたくてね。
22f_bt_speeches#485	あたしはただの女の子じゃないんだから!
22f_bt_speeches#486	ふだんはジムトレーナーだけど、今日は休みなんだ。
22f_bt_speeches#487	いつもうまくバランスを取れるわけじゃなくてね...
22f_bt_speeches#488	年寄りじゃない! 経験ゆたかなベテランだ!
22f_bt_speeches#489	このバイト、自分に合ってたのかな...
22f_bt_speeches#490	最高の気分だ!
22f_bt_speeches#491	ノリにノってるぜ!
22f_bt_speeches#492	のどがカラカラだ!
22f_bt_speeches#493	バトルのある世界に生まれてよかった!
22f_bt_speeches#494	頭にくる! 今朝クビになったんだ!
22f_bt_speeches#495	頂上はまだまだ遠いけど、きっとたどり着いてみせる!
22f_bt_speeches#496	ぼく、強いでしょ?
22f_bt_speeches#497	本当は今、勉強してるはずなんだけど...
22f_bt_speeches#498	背、高いよね? 大人に見えると思う?
22f_bt_speeches#499	偉大なる騎士フランカだぞ! なぜ負けるのだ?
22f_bt_speeches#500	あたしがいちばんかわいいトレーナーよ!
22f_bt_speeches#501	仕事をやめてミュージシャンになろうと思ってるんだ。
22f_bt_speeches#502	疲れたけど、いい気分だ!
22f_bt_speeches#503	ポケモンの応急手当を勉強中なんだ。きみのポケモンを診せてよ。
22f_bt_speeches#504	ライフセーバーを目指して訓練中なんだ。バトルしながら練習してもいい?
22f_bt_speeches#505	あいつらの歴史について本を書こうとしてるんだ...
22f_bt_speeches#506	フラベベを育ててるんだけど- え、それってくさタイプじゃないってどういうこと?
22f_bt_speeches#507	これでわたしは忘れられない存在ね!
22f_bt_speeches#508	昇進がかかっててね。練習相手になってもらえないかな?
22f_bt_speeches#509	言っとくけどな、オレとバトルするのはみんないやがるんだぜ!
22f_bt_speeches#510	言っておくけど、負けないからね!
22f_bt_speeches#511	本を書いてるんだ! いいひらめきをくれよ。
22f_bt_speeches#512	昔から根っからの旅人でね。
22f_bt_speeches#513	昔からバトルが大好きだったんだ...
22f_bt_speeches#514	何週間もいい相手を探してたんだ!
22f_bt_speeches#515	リボーンでいちばんのトレッキングコースを探してるんだ。あちこち回ってるんだろ? おすすめはある?
22f_bt_speeches#516	最新の発明品に取り組んでるんだ!
22f_bt_speeches#517	これのために彼氏のポケモンを借りてきたの!
22f_bt_speeches#518	日課のめい想を終えたところだ。ひとつバトルでもどうかな?
22f_bt_speeches#519	知ってることは全部お母さんに教わったの!
22f_bt_speeches#520	あんなオーラは見たことがない!
22f_bt_speeches#521	頂上にたどり着いたぞ!
22f_bt_speeches#522	まだまだ学ぶことが多いな。
22f_bt_speeches#523	今日は出た試合、全部勝ってるんだ!
22f_bt_speeches#524	ぼ、ぼく、本当に勝ったの?
22f_bt_speeches#525	わ、わたしにはそんな度胸ない!
22f_bt_speeches#526	て、照明に気を取られてたんだ!
22f_bt_speeches#527	オラガ カッタラ ハグ シテクレル?
22f_bt_speeches#528	勝てなくても、せめて知識は深められる。
22f_bt_speeches#529	ここで勝ちまくれば、昇進できるかもしれない!
22f_bt_speeches#530	たくさん勝てば、お母さんもそんなに心配しないかも...
22f_bt_speeches#531	あたしが勝ったら、てんしのキッスをあげる!
