22f_bt_speeches#600	みんなで楽しいバトルの歌を歌おう!
22f_bt_speeches#601	このパーティー、乱入させてもらうぜ!
22f_bt_speeches#602	みずでっぽう合戦といこう!
22f_bt_speeches#603	手短にいこう。電車の時間があるんだ。
22f_bt_speeches#604	パーティーはまだまだこれからだ!
22f_bt_speeches#605	最高のショーにしよう。サーカスの宣伝にもなるかもしれないしね!
22f_bt_speeches#606	いいバトルで、のんびりいこうじゃないか。
22f_bt_speeches#607	どんなお宝が待っているか、確かめようじゃないか!
22f_bt_speeches#608	どっちのわざが上か、確かめようぜ!
22f_bt_speeches#609	えーと……アズリン島の長い散歩と、ダンスが好きで……え、バトル? もちろん、バトルも好きよ!
22f_bt_speeches#610	人生はお祭りさ!
22f_bt_speeches#611	人生はお祭り。そしてオレは今、一等賞をとったところさ!
22f_bt_speeches#612	青天の霹靂のごとく――さあ、キミとポケモンバトルの時間だ。
22f_bt_speeches#613	ってゆーか、なんで街にはボーマンダとかサザンドラとかいないわけ?
22f_bt_speeches#614	今のオレを見てくれよ!
22f_bt_speeches#615	みんな、あんなに楽しそうだったでしょ!
22f_bt_speeches#616	見て! 虫だ!
22f_bt_speeches#617	今回はうまく逃げ切れなかったな。おかげでオレの進歩も虫の息だ。
22f_bt_speeches#618	こいつは大物を釣り上げたようだな!
22f_bt_speeches#619	もう少し座禅を組む必要がありそうだ。
22f_bt_speeches#620	それにしても、負けるのはいつまでたっても慣れないな!
22f_bt_speeches#621	ぼ、ボクのポケモンが噛みつくぞ!
22f_bt_speeches#622	ぼ、ボクのハードディスクが! クラッシュした!
22f_bt_speeches#623	メガニウム夫人はあなたをじっと見つめ、それから小さくうなずいて認めてくれた。
22f_bt_speeches#624	メガニウム夫人が、あなたをじっと見据えている。
22f_bt_speeches#625	メガニウム夫人が、誇らしげに頭を振ってみせた。
22f_bt_speeches#626	スクラップブック用だから、映りのいい角度で撮ってよね!
22f_bt_speeches#627	坑道には近づくんじゃないぞ!
22f_bt_speeches#628	いやあ、キミが同じクラスじゃなくてよかったよ……
22f_bt_speeches#629	いやー、今日はいい天気だな。
22f_bt_speeches#630	うわー、バトルの数がすごいな……
22f_bt_speeches#631	いやー、これぞ人生だね!
22f_bt_speeches#632	ったく、なんでそう場をしらけさせるんだよ?
22f_bt_speeches#633	まいったな。悪気はないけど、たまにはキミに勝てて気分がいいのは認めるよ。
22f_bt_speeches#634	第17戦、敗北。
22f_bt_speeches#635	ここで買えるかもしれないな……
22f_bt_speeches#636	バトラーとして新しい道を歩めるかもしれないな……
22f_bt_speeches#637	次はチャンピオンロードに挑んでみようかな……
22f_bt_speeches#638	今夜はザ・スパイスで自分にごほうびだな。
22f_bt_speeches#639	これで、あいつも話を聞いてくれるかな!
22f_bt_speeches#640	じゃあ、おやつでも買いに行こうかな……
22f_bt_speeches#641	ここのトレーナー、ちょっと強すぎるんじゃないか……
22f_bt_speeches#642	二人の言うことにも一理あったのかもな。母さん、父さん、まぬけ呼ばわりしてごめん!
22f_bt_speeches#643	このナイトクラブは、栄光を求めて争う者たちの、むなしく終わりのない踊りを表しているのかもしれないな。
22f_bt_speeches#644	もしかしたら……ようやく成長できたのかも。ありがとう。
22f_bt_speeches#645	オレとポケモンは、ずっと厳しい特訓をしてきたんだ!
22f_bt_speeches#646	わたしのすてきなポケモンたちに会って!
22f_bt_speeches#647	通してくれてメルシー。
22f_bt_speeches#648	ママはあたしがいつも勉強してると思ってるけど、そんなのつまんないよ!
22f_bt_speeches#649	どうせ、ぼくよりは多いんだろうな……
22f_bt_speeches#650	実にすばらしい!
22f_bt_speeches#651	母さん?
22f_bt_speeches#652	オレのむしポケモンは、どんな凶暴なやつだって倒せるぜ!
22f_bt_speeches#653	わたしとポケモンは、完璧にシンクロしてるの!
22f_bt_speeches#654	ぼくとポケモンは、最高のドリームチームさ!
22f_bt_speeches#655	わたしのポケモンは、みな完璧にしつけられている。
22f_bt_speeches#656	ぼくのポケモンだって、じゅうぶん強いんだからな!
22f_bt_speeches#657	それでも、わたしのポケモンは人生の光よ!
22f_bt_speeches#658	うちのポケモンはよくやった。いい子たちだ。女の子も、な。
22f_bt_speeches#659	わたしが愛してるのをポケモンたちは分かってる。だからこんなに強いのよ!
22f_bt_speeches#660	それでも、うちのポケモンはよくやったよ!
22f_bt_speeches#661	ぼくのポケモンが、本当の手ごわさを見せてやる!
22f_bt_speeches#662	わたしのバトルの腕前は、笑い事じゃないわよ!
22f_bt_speeches#663	わたしのバトルは、実に見事だろう。
22f_bt_speeches#664	わしのバトルの腕は、上等なワインのように熟成しておるのじゃ!
22f_bt_speeches#665	兄さんでもぼくには勝てなかった。キミは勝てる?
22f_bt_speeches#666	計算が間違っていたのか……
22f_bt_speeches#667	かわいい子たち、それでもあなたたちが一番よ!
22f_bt_speeches#668	わたしの敗北は、予測より47秒早かった……
22f_bt_speeches#669	今日、初めての負けだ……
22f_bt_speeches#670	わたしの直感が言ってる。あなた、かなり強いわね!
22f_bt_speeches#671	わたしの人生は、葬られた希望の完全な墓場だわ!
22f_bt_speeches#672	わたしの鏡が! 傷をつけたわね!
22f_bt_speeches#673	母さんの教えのおかげだ!
22f_bt_speeches#674	オレの音楽は決して死なない!
22f_bt_speeches#675	鼻がむずむずする……
