22f_bt_speeches#720	誰にもオレは止められない!
22f_bt_speeches#721	偉大なるバパブイを止められるものなど無い!
22f_bt_speeches#722	これでうちの子たちに新しいおもちゃを買ってあげられる!
22f_bt_speeches#723	なんだか、いじけちゃうな…
22f_bt_speeches#724	ますますストレスがたまった!
22f_bt_speeches#725	もう、だめかも…
22f_bt_speeches#726	これじゃ、彼に気づいてもらえないじゃない!
22f_bt_speeches#727	トレインタウン流のバトル、見せてやろうか?
22f_bt_speeches#728	それじゃ失礼! ある人をデートに誘いに行かないと!
22f_bt_speeches#729	勝ったんだから、もっと電池のもつポケナビをもらえないかな?
22f_bt_speeches#730	この人のいいジイさんのバトル、見ておきな!
22f_bt_speeches#731	さて、何か学べたかい?
22f_bt_speeches#732	さあ、よく見ていろ。
22f_bt_speeches#733	んなー。どうせ最初から分の悪い勝負だったし。
22f_bt_speeches#734	OTS? いやいや、ミオシティ釣り研究所のことだよ!
22f_bt_speeches#735	そりゃ有利な条件なら勝てるさ。今度は目の見えない状態でバトルしてみな。どっちが上のトレーナーか分かるから。
22f_bt_speeches#736	やあ! ボクはクリム! ここに来られてワクワクしてる、楽しくやろう!
22f_bt_speeches#737	お、やったな。いいバトルだったぜ、坊主。
22f_bt_speeches#738	お、これはこれは、オレのお気に入りのパシリじゃないか!
22f_bt_speeches#739	わあ、その髪すてき!
22f_bt_speeches#740	お、ちわっす。軽く一戦どうです?
22f_bt_speeches#741	お、やあ! ひさしぶり!
22f_bt_speeches#742	やあ~、ピカチュウを見せに来たの?
22f_bt_speeches#743	まあ、あなたのポケモン、すごくかわいい!
22f_bt_speeches#744	あ。原因はオレの方かも。
22f_bt_speeches#745	おや? これはまったく予想外ですね…
22f_bt_speeches#746	きゃー! あたし、あなたの一番のファンなの!
22f_bt_speeches#747	うっそー、ほんとに?
22f_bt_speeches#748	よう、あんた!
22f_bt_speeches#749	はいはい、分かったよ!
22f_bt_speeches#750	はいはい、分かったってば、勉強しますよ。
22f_bt_speeches#751	よし、決めた。ここで勝てたら、アマリアをデートに誘う!
22f_bt_speeches#752	まあ、ちょっとよそ見してたかもな。
22f_bt_speeches#753	はいはい、出ていきますよ!
22f_bt_speeches#754	よし。ぼくならやれる。
22f_bt_speeches#755	やっぱりやめとくよ。君だと他のみんなの声がかき消されちゃう…
22f_bt_speeches#756	おお、チャンピオンが相手か。こりゃ本気を出さないとな。
22f_bt_speeches#757	おお、強そうだね!
22f_bt_speeches#758	それとも、このマタタビでキマってるだけかも、にゃ? アタシはここのダンサーなの。さっさと負けて仕事に戻るはずだったのに! これじゃ勝ち進むしかないじゃない!
22f_bt_speeches#759	我らのバトルは伝説となるだろう!
22f_bt_speeches#760	オレたちの作戦が最高だったってことだ!
22f_bt_speeches#761	我々の真の目的…知りたいか?
22f_bt_speeches#762	慢心は禁物だ。
22f_bt_speeches#763	人は目標への道を自分で切り開ける。そこへたどり着くために戦う覚悟はあるか?
22f_bt_speeches#764	わたくしがこの場所に品格というものを与えて差し上げましょうか。
22f_bt_speeches#765	もう少しここに居てもいいかもしれませんね。
22f_bt_speeches#766	少し言うのが早すぎたようですね。
22f_bt_speeches#767	お姫様じゃないかもしれないけど、あたしだって十分強いんだから!
22f_bt_speeches#768	お前こそが頂点に立つ者なのかもしれん…
22f_bt_speeches#769	ぼくに言わせりゃ、ひこうタイプはここに出場禁止にすべきだよ!
22f_bt_speeches#770	ふう。
22f_bt_speeches#771	笑わないでください!
22f_bt_speeches#772	大声を出さないでください…
22f_bt_speeches#773	偉大なるバパブイよ、わが魂にお慈悲を。
22f_bt_speeches#774	わたしを楽しませてください。
22f_bt_speeches#775	ポケモンは、やさしいトレーナーが大好きなんです。
22f_bt_speeches#776	大切で、こわれやすいの!
22f_bt_speeches#777	世紀の一戦の幕開けだ!
22f_bt_speeches#778	楽しませてやるから覚悟しな!
22f_bt_speeches#779	度肝を抜かれる準備はいい?
22f_bt_speeches#780	だいたい思ったとおりだったな、でも楽しかった!
22f_bt_speeches#781	ふん。運がよかっただけだろ。
22f_bt_speeches#782	静かに、静かに…当たりが来るまで待つんだ。
22f_bt_speeches#783	その目つき、やめてよ!
22f_bt_speeches#784	準備はいい? よし!
22f_bt_speeches#785	赤、夜明けを迎えようとする世界。
22f_bt_speeches#786	もっと安全で、もっと楽しい!
22f_bt_speeches#787	やっぱりメブキジカは秋のすがたが一番きれいだよね!
22f_bt_speeches#788	ねえ…このあと、一緒に夕日を見に行かない?
22f_bt_speeches#789	なあ…あんまり顔色がよくないぞ。
22f_bt_speeches#790	なあ…オレのこと、知らないよな?
22f_bt_speeches#791	ほら、言ったとおりだろ? 第5世代には勝てないんだよ!
22f_bt_speeches#792	本物のエスパーってやつを見せてやる!
22f_bt_speeches#793	地球を愛したらどうなるか分かった? ちゃんと愛し返してくれるの!
22f_bt_speeches#794	見ろ! オコリザル並みに怒ってるだろ!
22f_bt_speeches#795	ほらな? オレには誰も勝てないって言っただろ!
22f_bt_speeches#796	ほら! ハピナスみたいにごきげんでしょ!
22f_bt_speeches#797	な? 今日のオレはノリに乗ってるんだ!
22f_bt_speeches#798	な? 今日のあんたはノリに乗ってるんだよ!
22f_bt_speeches#799	見たか? 見たかよ! オレはまだやれるんだ!
22f_bt_speeches#800	ていうか、まじで大丈夫?
22f_bt_speeches#801	ほんと、なんでここ、こんなに冷えるの?
22f_bt_speeches#802	このことは絶対、彼女に知られたくない…
22f_bt_speeches#803	くそっ! 待て、カット! カットだ!
22f_bt_speeches#804	人生から何を学んできたか見せてみろ、若造。
22f_bt_speeches#805	この役への情熱を見せてみろ!
22f_bt_speeches#806	このバトルで、お前の本心を見せてみろ!
22f_bt_speeches#807	ドーブルがメモ帳を差し出し、ページをめくる。そこには「どーぶる さいこうの とれーなー。にんげんも わるくない ばとらー」と書かれている。
22f_bt_speeches#808	ドーブルがメモ帳を差し出し、あわてて走り書きする。「にんげんの かちみたい。いい しょうぶ だった」
22f_bt_speeches#809	ドーブルが「にんげん この しょうぶ かてない」と書かれた札をかかげている。
22f_bt_speeches#810	じゃあな
22f_bt_speeches#811	盗みに忍び込んだら、バトルでボコボコ…今日はついてないぜ!
22f_bt_speeches#812	それでオレが座ってたらさ、エネコにバーベキューソースがかかってて…
22f_bt_speeches#813	えっと、スピードスターの威力が60だから、それを計算に入れて…待って、まだ準備できてない!
22f_bt_speeches#814	お見事! あなたのこと、全力で応援しますよ!
22f_bt_speeches#815	ベリルワードに配属されてた頃より、ずっといいな!
22f_bt_speeches#816	これが本物のバトルってやつか!
