22f_bt_speeches#960	きれいだったでしょ?
22f_bt_speeches#961	すごかったでしょ?
22f_bt_speeches#962	のんびりできたでしょ?
22f_bt_speeches#963	わたしのバトルを見ていてね。もっと優雅になりたいの。
22f_bt_speeches#964	大波に気をつけな!
22f_bt_speeches#965	なに見てんだ? 水だけにな!
22f_bt_speeches#966	もう敵同士ではないが、わたしを甘く見るという間違いはおかすなよ。
22f_bt_speeches#967	こっぱみじんにしてやったぜ!
22f_bt_speeches#968	やったー!
22f_bt_speeches#969	完ぺきに戦ったのに、それでも負けるのか?
22f_bt_speeches#970	ぼくたちは夢をかなえたんだ!
22f_bt_speeches#971	またいつか戦おうね!
22f_bt_speeches#972	話がある。君のふるまいは騎士道精神のかけらもないぞ!
22f_bt_speeches#973	ぼくたちは最高のコンビだ!
22f_bt_speeches#974	楽しいバトルの歌、しめくくりだよ!
22f_bt_speeches#975	バトルは得意じゃないけど、こんなにきれいなポケモン、見たことないでしょ!
22f_bt_speeches#976	短いバトルだから、思いっきり楽しもうね!
22f_bt_speeches#977	お見事!
22f_bt_speeches#978	本当に、お見事だったよ!
22f_bt_speeches#979	いい勝負だった。ありがとう。
22f_bt_speeches#980	じゃあ、あいつのことも倒してほしいな。
22f_bt_speeches#981	よし、燃えてきたぜ!
22f_bt_speeches#982	さて、仕事にもどるか。
22f_bt_speeches#983	どう、虫の居どころが悪くなった?
22f_bt_speeches#984	やあ、そこの美人さん!
22f_bt_speeches#985	まあ、なんだかんだ楽しかったよ!
22f_bt_speeches#986	そうだな、まず負けたってことが...
22f_bt_speeches#987	ふん、もう教えてあげないもんね!
22f_bt_speeches#988	まあ、ひどいじゃない!
22f_bt_speeches#989	忘れられない負けになったな...
22f_bt_speeches#990	まあ、ぼくのポケモンにボコボコにされる前は元気だったよ...
22f_bt_speeches#991	さて、夫を探しに行かなきゃ...
22f_bt_speeches#992	おやおや。あたしが君に勝てる見こみ、どのくらいだと思う?
22f_bt_speeches#993	かわいかったでしょ?
22f_bt_speeches#994	え、バトル? なんでぼくとバトルするの? ただの看護助手だよ!
22f_bt_speeches#995	いい発見だ! これは胸にしまっておこう。
22f_bt_speeches#996	何が敗因だったんだろう?
22f_bt_speeches#997	恥ずかしいまねはするなって、前に言ったよね?
22f_bt_speeches#998	かわいくないってどういうこと!? 見る目がないのね!
22f_bt_speeches#999	ここがホテルじゃないってどういうことだ!?
22f_bt_speeches#1000	この変なにおいは何なんだ?
22f_bt_speeches#1001	あんた、どういうトレーナーなんだ!?
22f_bt_speeches#1002	どこの馬の骨を入れてるんだ、ここは?
22f_bt_speeches#1003	自分が特別だとでも思ってるの?
22f_bt_speeches#1004	はぁ!? ふざけんな、クソみてえなでたらめだろ!
22f_bt_speeches#1005	だから言っただろ?
22f_bt_speeches#1006	なんだよ、その目は?
22f_bt_speeches#1007	どうした? もう浜に打ち上げられた気分か?
22f_bt_speeches#1008	なんだ、君が地方の救世主? がっかりする戦いぶりだな。
22f_bt_speeches#1009	は? なんでおれが負けるんだ? イカサマだろ、絶対そうだ!
22f_bt_speeches#1010	は? 責任者を呼びなさいよ!
22f_bt_speeches#1011	は? まぐれだろ。
22f_bt_speeches#1012	え? 君こそかっこいいよ!
22f_bt_speeches#1013	なっ!? そんな!
22f_bt_speeches#1014	ひとつの章が終われば、次の章が始まる。君が書いてきた物語を見せてくれ!
22f_bt_speeches#1015	圧倒的に有利なとき、人は相手より自分が上だと見せつけたくて、あえて少し危ない橋を渡ることがある。
22f_bt_speeches#1016	木はどこ? 水は?
22f_bt_speeches#1017	君とはどこかで会ったっけ?
22f_bt_speeches#1018	そのパーティ、どこで手に入れたんだ!?
22f_bt_speeches#1019	ポケモンに買ってあげるマフラー、何色がいいと思う?
22f_bt_speeches#1020	なんでそんな目でこっちを見るの?
22f_bt_speeches#1021	どうしていいカフェが見つからないんだ?
22f_bt_speeches#1022	チャンピオンにそっくりなのに、なんでそんなに弱いんだ?
22f_bt_speeches#1023	やあ、かわいこちゃん。ちょっと楽しまない?
22f_bt_speeches#1024	ここ、なんでこんなに暑いんだ?
22f_bt_speeches#1025	なんでそんなに意地悪するの?
