22f_bt_speeches#1080	いい勝負だったよ!
22f_bt_speeches#1081	いい勝負だった。感謝するよ。
22f_bt_speeches#1082	準備はいい? さあ、いくよ!
22f_bt_speeches#1083	あたしに勝てると思ってるの? プルメリはあたしのいとこなんだからね!
22f_bt_speeches#1084	よくぞ挑んできたね!
22f_bt_speeches#1085	見抜かれてたか...
22f_bt_speeches#1086	なかなかのトレーナーのようだ。つぶすのは気が引けるな。
22f_bt_speeches#1087	強いうえに優しいんだね!
22f_bt_speeches#1088	さあ、行きなよ!
22f_bt_speeches#1089	野生から学ぶべきだね!
22f_bt_speeches#1090	年上を敬うことを覚えなさい!
22f_bt_speeches#1091	もっと勉強したほうがいいよ。
22f_bt_speeches#1092	もう少し大きな声で話してみなよ!
22f_bt_speeches#1093	もっと準備しておくべきだったな!
22f_bt_speeches#1094	きみの意志は伝わった。でもオレの方が強かった!
22f_bt_speeches#1095	全力でオレのポケモンにぶつかってきたな!
22f_bt_speeches#1096	きみは三振だ!
22f_bt_speeches#1097	オレに勝てると思ってるのか?
22f_bt_speeches#1098	自分が特別だとでも?
22f_bt_speeches#1099	代わりに素早いとびげりでも食らいたいのか!?
22f_bt_speeches#1100	なぜオレがマグマ団に入ったか知りたいか?
22f_bt_speeches#1101	やりすぎだよ...
22f_bt_speeches#1102	きみはもっと笑える冗談だったな!
22f_bt_speeches#1103	まぶしかったわよ、ダーリン!
22f_bt_speeches#1104	きみでは全く歯が立たなかったな。
22f_bt_speeches#1105	すごく強かった! サインもらえる?
22f_bt_speeches#1106	警告はしたぞ!
22f_bt_speeches#1107	きみが勝つはずじゃなかったのに!
22f_bt_speeches#1108	全滅だな!
22f_bt_speeches#1109	リボーンじゅう探したって、あたしよりかわいいトレーナーはいないよ!
22f_bt_speeches#1110	ジャンプ大会に人生をささげてると、思わぬことにも役立つものさ!
22f_bt_speeches#1111	きみも勝利への踏み台のひとつにすぎない!
22f_bt_speeches#1112	大丈夫。そのうち潔い負け方も覚えるさ。
22f_bt_speeches#1113	夢にまで出てきちゃうからね!
22f_bt_speeches#1114	きみは本物のロックスターだ!
22f_bt_speeches#1115	きみとのバトルは楽しくなりそうだ。
22f_bt_speeches#1116	きみって本当に興味深い!
22f_bt_speeches#1117	目の前にいるのは今年の卒業生代表だぞ!
22f_bt_speeches#1118	胸が高鳴っちゃう!
22f_bt_speeches#1119	きみはもう十分すぎるほど仕上がってるね!
22f_bt_speeches#1120	今はもう大したことないな!
22f_bt_speeches#1121	きみ、国際警察の人じゃないよね?
22f_bt_speeches#1122	きみは唯一無二だね!
22f_bt_speeches#1123	でも、なかなかやるね! いいフォームだ!
22f_bt_speeches#1124	きみ、なかなか目を引くね!
22f_bt_speeches#1125	本当にイライラさせるやつだな!
22f_bt_speeches#1126	もう安全だよ... 何もきみを傷つけない...
22f_bt_speeches#1127	ひどいよ!!
22f_bt_speeches#1128	きみって本当に毒だね!
22f_bt_speeches#1129	きみは並みじゃないね!
22f_bt_speeches#1130	まだそっちが速いの? そんなことって...?
22f_bt_speeches#1131	見かけよりずっと強いんだな...
22f_bt_speeches#1132	あそこのトレーナーたちより、ずっと強いのは確かだね...
22f_bt_speeches#1133	本物の芸術家はきみの方だ!
22f_bt_speeches#1134	たしかに素質があるようだね...
22f_bt_speeches#1135	出会ったころより随分成長したね。でも今日はここまでだ。
22f_bt_speeches#1136	やりすぎだ!
22f_bt_speeches#1137	オレには全然かなわないな!
22f_bt_speeches#1138	次はもっと頑張らないとね!
22f_bt_speeches#1139	きみはとがった所が多すぎる...
22f_bt_speeches#1140	今この瞬間を、持てるすべてで楽しまなきゃ。
22f_bt_speeches#1141	きみ? 違う違う! ポケモンに話しかけてたんだよ!
22f_bt_speeches#1142	きみのポケモンに気を取られたの! かわいすぎるんだもん!
22f_bt_speeches#1143	オーラもきみ自身も、まだまだ青いね!
22f_bt_speeches#1144	でも、きみのバトルの方がずっと見事だよ!
22f_bt_speeches#1145	バトルのスタイルにも見覚えがあるね!
22f_bt_speeches#1146	きみの闘志は並大抵のものじゃないね!
22f_bt_speeches#1147	きみの視線は落ち着かないな...
22f_bt_speeches#1148	きみの手持ちもなかなかイケてるね!
22f_bt_speeches#1149	秘密はいつまでも隠しておけないよ...
22f_bt_speeches#1150	でも、きみのは... だめだね。
22f_bt_speeches#1151	どうも。キャスだ。バトろ。
22f_bt_speeches#1152	もう終わり? よかった。
22f_bt_speeches#1153	へえ。ちょっと楽しかったかも。
