13b_bt_trainer_names#160	ケイル
13b_bt_trainer_names#161	キャメロン
13b_bt_trainer_names#162	カレン
13b_bt_trainer_names#163	カーリー
13b_bt_trainer_names#164	キャシー
13b_bt_trainer_names#165	ケイ
13b_bt_trainer_names#166	ケイデン
13b_bt_trainer_names#167	ケリー
13b_bt_trainer_names#168	ケルシー
13b_bt_trainer_names#169	ケンドラ
13b_bt_trainer_names#170	キーオン
13b_bt_trainer_names#171	キム
13b_bt_trainer_names#172	カーク
13b_bt_trainer_names#173	ナイト
13b_bt_trainer_names#174	クリステン
13b_bt_trainer_names#175	クスルダー
13b_bt_trainer_names#176	キュウ
13b_bt_trainer_names#177	ラマー
13b_bt_trainer_names#178	ローレン
13b_bt_trainer_names#179	ローソン
13b_bt_trainer_names#180	レイトン
13b_bt_trainer_names#181	レオン
13b_bt_trainer_names#182	レスリー
13b_bt_trainer_names#183	ルイス
13b_bt_trainer_names#184	レキシー
13b_bt_trainer_names#185	リアム
13b_bt_trainer_names#186	リアンドラ
13b_bt_trainer_names#187	リリー
13b_bt_trainer_names#188	リンディ
13b_bt_trainer_names#189	リズベス
13b_bt_trainer_names#190	ローガン
13b_bt_trainer_names#191	ルア
13b_bt_trainer_names#192	ルカ
13b_bt_trainer_names#193	ルーシー
13b_bt_trainer_names#194	ルーカン
13b_bt_trainer_names#195	ラックス
13b_bt_trainer_names#196	リン
13b_bt_trainer_names#197	マック
13b_bt_trainer_names#198	マドックス
13b_bt_trainer_names#199	マイコ
13b_bt_trainer_names#200	マリク
13b_bt_trainer_names#201	マロリー
13b_bt_trainer_names#202	マルク・マリー
13b_bt_trainer_names#203	マルコ
13b_bt_trainer_names#204	マーシー
13b_bt_trainer_names#205	マリサ
13b_bt_trainer_names#206	マーヴ
13b_bt_trainer_names#207	マーヴィン
13b_bt_trainer_names#208	マテオ
13b_bt_trainer_names#209	モーラ
13b_bt_trainer_names#210	メーガン
13b_bt_trainer_names#211	メーガン
13b_bt_trainer_names#212	メリフ
13b_bt_trainer_names#213	メロディ
13b_bt_trainer_names#214	ミラー
13b_bt_trainer_names#215	ミミ
13b_bt_trainer_names#216	ミランダ
13b_bt_trainer_names#217	ミリアム
13b_bt_trainer_names#218	モリー
13b_bt_trainer_names#219	モンロー
13b_bt_trainer_names#220	ナディア
13b_bt_trainer_names#221	ナリア
13b_bt_trainer_names#222	ナッシュ
13b_bt_trainer_names#223	ナタリア
13b_bt_trainer_names#224	ネリシー
13b_bt_trainer_names#225	ネルソン
13b_bt_trainer_names#226	ネスター
13b_bt_trainer_names#227	ゴック
13b_bt_trainer_names#228	ニッキー
13b_bt_trainer_names#229	ニコ
13b_bt_trainer_names#230	ニック
13b_bt_trainer_names#231	ノートン
13b_bt_trainer_names#232	オブリガス
13b_bt_trainer_names#233	オリバー
13b_bt_trainer_names#234	オスカー
13b_bt_trainer_names#235	ペイジ
13b_bt_trainer_names#236	パメラ
13b_bt_trainer_names#237	パーク
13b_bt_trainer_names#238	ペイソン
13b_bt_trainer_names#239	ペドロ
13b_bt_trainer_names#240	ピーター
13b_bt_trainer_names#241	ペイトン
13b_bt_trainer_names#242	パイパー
13b_bt_trainer_names#243	ピュロス
13b_bt_trainer_names#244	クイントン
13b_bt_trainer_names#245	ラファエル
13b_bt_trainer_names#246	ラモン
13b_bt_trainer_names#247	ラウル
13b_bt_trainer_names#248	レイヴン
13b_bt_trainer_names#249	レイモンド
13b_bt_trainer_names#250	レイナ
13b_bt_trainer_names#251	リーナ
13b_bt_trainer_names#252	リース
13b_bt_trainer_names#253	レクシー
13b_bt_trainer_names#254	ロー
13b_bt_trainer_names#255	ロベルト
13b_bt_trainer_names#256	ロランド
13b_bt_trainer_names#257	ロッシ
13b_bt_trainer_names#258	ルーベン
13b_bt_trainer_names#259	ルース
13b_bt_trainer_names#260	ライリー
13b_bt_trainer_names#261	サルマ
13b_bt_trainer_names#262	サミール
13b_bt_trainer_names#263	サミー
13b_bt_trainer_names#264	サッサカス
13b_bt_trainer_names#265	セルフィ
13b_bt_trainer_names#266	セイオン
13b_bt_trainer_names#267	シャナイア
13b_bt_trainer_names#268	シェイ
13b_bt_trainer_names#269	シロ
13b_bt_trainer_names#270	シズカ
13b_bt_trainer_names#271	スクラブ
13b_bt_trainer_names#272	スカイラー
13b_bt_trainer_names#273	ソフィア
13b_bt_trainer_names#274	ソル
13b_bt_trainer_names#275	ステイシー
13b_bt_trainer_names#276	スタンリー
13b_bt_trainer_names#277	ステラ
13b_bt_trainer_names#278	ストレイ
13b_bt_trainer_names#279	スチュアート
13b_bt_trainer_names#280	ティージェー
13b_bt_trainer_names#281	タラニス
13b_bt_trainer_names#282	テス
13b_bt_trainer_names#283	テオ
13b_bt_trainer_names#284	トーマス
13b_bt_trainer_names#285	ティム
13b_bt_trainer_names#286	トビー
13b_bt_trainer_names#287	トッド
13b_bt_trainer_names#288	トーレ
13b_bt_trainer_names#289	トレントン
13b_bt_trainer_names#290	トレヴォン
13b_bt_trainer_names#291	トリストン
13b_bt_trainer_names#292	タイラー
13b_bt_trainer_names#293	ユリシーズ
13b_bt_trainer_names#294	ヴァレリア
13b_bt_trainer_names#295	ヴェノ
13b_bt_trainer_names#296	ヴィクター
13b_bt_trainer_names#297	ヴィンス
13b_bt_trainer_names#298	ワーナー
13b_bt_trainer_names#299	ウェストリー
13b_bt_trainer_names#300	ウェストン
13b_bt_trainer_names#301	ゼス
13b_bt_trainer_names#302	ヤロウ
13b_bt_trainer_names#303	ヤズミン
13b_bt_trainer_names#304	ユリ
13b_bt_trainer_names#305	ゾーイ
13b_bt_trainer_names#306	ザッカリー
13b_bt_trainer_names#307	ザキ
13b_bt_trainer_names#308	ゾーイ
