22d_field_messages#0	!始開ルトバ
22d_field_messages#1	……そして 集中!
22d_field_messages#2	……そして 全力の 集中!
22d_field_messages#3	……そして 完全な 集中!
22d_field_messages#4	……しかし こうげきは たちまち 消された!
22d_field_messages#5	……しかし ふみしめる 地面が なかった!
22d_field_messages#6	……つみ重なった!
22d_field_messages#7	……まきびしは 水に しずんで 消えた!
22d_field_messages#8	.0P pl$ nerf!-//
22d_field_messages#9	1せ!んと3 か//////いし1
22d_field_messages#10	{1}に 星が 落ちてきた!
22d_field_messages#11	星が 落ちてきた!
22d_field_messages#12	コウゲキ シーケンス カイシ
22d_field_messages#13	コウゲキ シーケンス コウシン
22d_field_messages#14	失望と 不機嫌に さらば
22d_field_messages#15	すべての 光が 飲みこまれた!
22d_field_messages#16	はなやかな 空中の しめくくり!
22d_field_messages#17	そして あなたには おまけを!
22d_field_messages#18	なんという 登場だ!
22d_field_messages#19	灰と 砂が フィールドを おおっている
22d_field_messages#20	こうげきに 灰が まざった!
22d_field_messages#21	グワアアアアッ!
22d_field_messages#22	下がれ けがれた けものよ!
22d_field_messages#23	ベネディクトゥス サンクトゥス スピリトゥス……
22d_field_messages#24	まぶしい!
22d_field_messages#25	ブクブク……
22d_field_messages#26	バチッ!
22d_field_messages#27	腐食性の きりが フィールドを 包んだ!
22d_field_messages#28	闇が 集まってくる……
22d_field_messages#29	アンパッサン!
22d_field_messages#30	めでたし めでたし!
22d_field_messages#31	正義の ために!
22d_field_messages#32	闇から 星くずから
22d_field_messages#33	深き 底から!
22d_field_messages#34	神の 加護を!
22d_field_messages#35	くもの糸と 木々が こうげきを 強めた!
22d_field_messages#36	竜を 討ちたければ……
22d_field_messages#37	無限の 力が こうげきを 強めた!
22d_field_messages#38	ジェット気流に のった!
22d_field_messages#39	伝説の 力が こうげきを 加速させた!
22d_field_messages#40	月の 力が こうげきを かけめぐった!
22d_field_messages#41	機械の うなりが 響いている
22d_field_messages#42	鏡よ 鏡 この地の 鏡よ
22d_field_messages#43	きりが フィールドを 包んだ
22d_field_messages#44	ただいまより 開演!
22d_field_messages#45	むかし むかし……
22d_field_messages#46	序盤の 定跡が 決まった
22d_field_messages#47	ぶちかました!
22d_field_messages#48	システム オンライン
22d_field_messages#49	フィールドに たねが ちらばっている
22d_field_messages#50	星の光が フィールドを 満たしている
22d_field_messages#51	星の光が こうげきを 極限まで 高めた!
22d_field_messages#52	星の光が こうげきを かけめぐった!
22d_field_messages#53	目に しみる!
22d_field_messages#54	いい波が きた!
22d_field_messages#55	エレキフィールドが こうげきを 強めた!
22d_field_messages#56	グラスフィールドが こうげきを 強めた!
22d_field_messages#57	ミストフィールドが こうげきを 弱めた!
22d_field_messages#58	サイコフィールドが こうげきを 強めた!
22d_field_messages#59	酸が 花を とかした!
22d_field_messages#60	星の 力が こうげきを 高めた!
22d_field_messages#61	星の うずが こうげきを 加速させた!
22d_field_messages#62	こうげきに 電気が 満ちた!
22d_field_messages#63	こうげきは ぬかるみに 吸いこまれた……
22d_field_messages#64	こうげきが 花々に むらがった!
22d_field_messages#65	こうげきが 花畑に むらがった!
22d_field_messages#66	こうげきが 電気を おびた!
22d_field_messages#67	こうげきの 威力が 上がった!
22d_field_messages#68	こうげきが 流れに のった!
22d_field_messages#69	こうげきが フィールドから 力を 吸い取った!
22d_field_messages#70	こうげきは 清められた……
22d_field_messages#71	こうげきが 虹の 力を おびた!
22d_field_messages#72	こうげきが 超高温に なった!
22d_field_messages#73	バトルが 水面に もどった!
22d_field_messages#74	バトルが 深みに しずんだ!
22d_field_messages#75	バトルが 水中に 引きこまれた!
22d_field_messages#76	刃が 見事に 決まった!
22d_field_messages#77	炎が こうげきを 強めた!
22d_field_messages#78	炎が こうげきを 弱めた……
22d_field_messages#79	さきほこる 花が こうげきを 強めた!
