22d_field_messages#160	魔法の 力が こうげきを 強めた!
22d_field_messages#161	ミラーアリーナが 砕けた!
22d_field_messages#162	鏡が こうげきを 強めた!
22d_field_messages#163	きりが こうげきを 弱めた……
22d_field_messages#164	きりが 吹き飛ばされた!
22d_field_messages#165	きりが 腐食された!
22d_field_messages#166	きりの 力が こうげきを 強めた!
22d_field_messages#167	山が こうげきを 強めた!
22d_field_messages#168	濁った 水が こうげきを 強めた!
22d_field_messages#169	近くの 花に 火が ついた!
22d_field_messages#170	夜空が こうげきを 高めた!
22d_field_messages#171	大空が こうげきを 強めた!
22d_field_messages#172	毒が 近くの 濁った 水を おかした!
22d_field_messages#173	毒が こうげきを 強めた!
22d_field_messages#174	よごれた フィールドが 浄化された!
22d_field_messages#175	よごれた きりが 浄化された!
22d_field_messages#176	サイコパワーが こうげきを 強めた!
22d_field_messages#177	じしんが 氷を 割り 下の 水が 現れた!
22d_field_messages#178	虹が こうげきに 力を あたえた!
22d_field_messages#179	虹が こうげきを 弱めた……
22d_field_messages#180	虹が 吸い取られた!
22d_field_messages#181	反射した 光が 目を くらませた!
22d_field_messages#182	岩が こうげきを 強めた!
22d_field_messages#183	砂が こうげきを 強めた!
22d_field_messages#184	山の 雪が 白く 輝いている……
22d_field_messages#185	雪が 溶けて なくなった!
22d_field_messages#186	雪が こうげきを 強めた!
22d_field_messages#187	雪山が こうげきを 強めた!
22d_field_messages#188	相手は 切りたおされた!
22d_field_messages#189	固い 地面が なく くっつけなかった……
22d_field_messages#190	咲きほこる 花が こうげきを 高めた!
22d_field_messages#191	腐食性の きりに 火が ついた!
22d_field_messages#192	腐食性の きりが 地面に たまった!
22d_field_messages#193	毒の 水が こうげきを 伝えた!
22d_field_messages#194	毒の 水が 凍りついた!
22d_field_messages#195	毒の 水が こうげきを 強めた!
22d_field_messages#196	定まらぬ 大地が こうげきを 拡散させた……
22d_field_messages#197	花の 濃い 香りが こうげきを 高めた!
22d_field_messages#198	荒れ地が つるの ために やってくれた!
22d_field_messages#199	荒れ地が 見ている……
22d_field_messages#200	荒れ地が こうげきに 加わった!
22d_field_messages#201	こうげきに 荒れ地が 加えられた!
22d_field_messages#202	水が こうげきを 伝えた!
22d_field_messages#203	水が こうげきを 押し流した……
22d_field_messages#204	水が 凍りついた!
22d_field_messages#205	水が よごれている……
22d_field_messages#206	水が ほのおを 消した!
22d_field_messages#207	水が こうげきを 強めた!
22d_field_messages#208	水が こうげきを 超伝導させた!
22d_field_messages#209	水面は おだやかだ
22d_field_messages#210	天気が 宇宙へと 消えていった……
22d_field_messages#211	風が フィールドから 力を 得た!
22d_field_messages#212	風が ほのおを 消した!
22d_field_messages#213	世界が 再生された!
22d_field_messages#214	世界の 物質が 作りなおされた!
22d_field_messages#215	次々と わき出てくる!
22d_field_messages#216	ドラゴンの 試練!!!
22d_field_messages#217	真実の 愛が こんなに 痛いとは!
22d_field_messages#218	これは 何の しるしだろう?
22d_field_messages#219	なんと 優雅な!
22d_field_messages#220	ゆらゆら ぐにゃぐにゃ……
22d_field_messages#221	ヨーデレイヒーフー~
22d_field_messages#222	マネー マネー マネー マネー マネー このやろう
22d_field_messages#223	{1}は 光を あまり 吸収できなかった……
22d_field_messages#224	{1}は 切りたおされた!
22d_field_messages#225	{1}は ほのおの 中へ 突き落とされた!
22d_field_messages#226	{1}は 溶岩の 中へ 突き落とされた!
22d_field_messages#227	{1}は 虚無に のみこまれた!
22d_field_messages#228	{1}は 山の 中腹まで 投げ落とされた!
