22b_field_notes#275	一部のわざ <icon=fieldDown> <c=red>x0.25</c> . . .
22b_field_notes#276	一部のわざ <icon=fieldDown> <c=red>x0.5</c> . . .
22b_field_notes#277	一部のわざ <icon=fieldPlus,tts="are additionally"> <icon=fieldUp> <c=green>x1.5</c> 条件つき . . .
22b_field_notes#278	一部のわざ <icon=fieldPlus,tts="gain an"> 追加タイプ . . .
22b_field_notes#279	一部のわざ <icon=fieldPlus,tts="gain the"> <icon=typeELECTRIC> . . .
22b_field_notes#280	一部のわざ <icon=fieldPlus,tts="gain the"> <icon=typeFIRE> . . .
22b_field_notes#281	一部のわざ <icon=fieldPlus,tts="gain the"> <icon=typePOISON> . . .
22b_field_notes#282	一部のわざ <icon=fieldPlus,tts="gain the"> <icon=typeROCK> . . .
22b_field_notes#283	一部のわざ <icon=fieldPlus,tts="gain the"> <icon=typeWATER> . . .
22b_field_notes#284	一部のわざ <icon=fieldPlus> とくこう<c=green>上昇</c> . . .
22b_field_notes#285	一部のわざ <icon=fieldPlus> 能力<c=green>上昇</c> . . .
22b_field_notes#286	一部のわざ <icon=fieldPlus> ねむり<c=green>回復</c>
22b_field_notes#287	一部のわざ <icon=fieldUp,tts="boosted"> . . .
22b_field_notes#288	一部のわざ <icon=fieldUp> <c=green>x1.2</c> . . .
22b_field_notes#289	一部のわざ <icon=fieldUp> <c=green>x1.3</c> . . .
22b_field_notes#290	一部のわざ <icon=fieldUp> <c=green>x1.5</c> . . .
22b_field_notes#291	一部のわざ <icon=fieldUp> <c=green>x1.5</c> さらに . . .
22b_field_notes#292	一部のわざ <icon=fieldUp> <c=green>x2</c> . . .
22b_field_notes#293	一部のわざ <icon=fieldUp> <c=green>x2</c> 条件つき . . .
22b_field_notes#294	一部のわざは <c=orange>灰</c>を 巻き上げる . . .
22b_field_notes#295	一部のどうぐ めいちゅう<c=green>上昇</c> . . .
22b_field_notes#296	一部のどうぐ かいひ<c=green>上昇</c> . . .
22b_field_notes#297	一部のわざ すばやさ<c=green>上昇</c> 条件つき . . .
22b_field_notes#298	一部のわざ <icon=fieldChange,tts="become"> <c=orange>チェスこうげき</c>
22b_field_notes#299	一部のわざ <icon=fieldChange,tts="become"> <c=orange>ハイストライカーわざ</c>
22b_field_notes#300	一部のわざ <icon=fieldPlus,tts="inflict a"> <icon=fieldAllStat> . . .
22b_field_notes#301	一部のわざが <c=orange>蒸気</c>を 発生 . . .
22b_field_notes#302	一部のわざの めいちゅう <icon=fieldChange> <c=green>100</c> . . .
22b_field_notes#303	一部のわざの めいちゅう <icon=fieldChange> <c=green>85</c>
22b_field_notes#304	一部のわざの 効果 <icon=fieldChange> <c=green>8</c> ターン
22b_field_notes#305	一部の能力変化わざの 効果 <icon=fieldUp,tts="boosted"> <c=green>+1</c> . . .
22b_field_notes#306	ノーてんき 徐々に ランダムな能力<c=green>上昇</c>
22b_field_notes#307	腐食わざ <icon=fieldPlus,tts="additionally inflict a"> <icon=fieldAllStat>
22b_field_notes#308	腐食ダメージ <icon=fieldUp> <c=green>x1.5</c>
22b_field_notes#309	コスモパワーの 効果 <icon=fieldUp,tts="boosted">
22b_field_notes#310	きゅうしょ率 <icon=fieldUp,tts="increased"> 条件つき . . .
22b_field_notes#311	きゅうしょ率 <icon=fieldUp,tts="increased"> 条件つき . . .
22b_field_notes#312	いあいぎり <icon=fieldUp> <c=green>x1.5</c>
22b_field_notes#313	いあいぎり <icon=fieldUp> <c=green>x2</c> 対 <icon=typeGRASS>
22b_field_notes#314	いあいぎり、シザークロス <c=red>-1</c> <c=orange>ステージ</c>
22b_field_notes#315	おどりこ すばやさと とくこう<c=green>上昇</c> . . .
