22b_field_notes#515	うちおとす <icon=fieldPlus,tts="gains the"> <icon=typePOISON>
22b_field_notes#516	えんまくの 効果 <icon=fieldUp,tts="boosted">
22b_field_notes#517	えんまくの 効果 <icon=fieldUp,tts="boosted"> <c=green>+1</c>
22b_field_notes#518	ソニックブームの ダメージ <icon=fieldChange> <c=green>140</c>
22b_field_notes#519	ソウルハート <icon=fieldPlus> <c=green>とくぼう上昇</c>
22b_field_notes#520	音のわざ <icon=fieldUp> <c=green>x1.5</c>
22b_field_notes#521	特殊の <icon=typeBUG> こうげき <icon=fieldUp> <c=green>x1.5</c>
22b_field_notes#522	特殊の <icon=typeDARK> こうげき <icon=fieldDown> <c=red>x0.5</c>
22b_field_notes#523	特殊の <icon=typeFAIRY> こうげき <icon=fieldUp> <c=green>x1.5</c>
22b_field_notes#524	特殊の <icon=typeNORMAL> こうげき <icon=fieldPlus,tts="gain"> <icon=typeQMARKS> . . .
22b_field_notes#525	特殊の <icon=typeNORMAL> こうげき <icon=fieldUp> <c=green>x1.5</c>
22b_field_notes#526	特殊こうげきの <c=orange>計算</c>は . . .
22b_field_notes#527	すばやさ <icon=fieldDown> <c=red>x0.5</c> ただし <icon=typeWATER> か . . .
22b_field_notes#528	すばやさ <icon=fieldDown> <c=red>x0.75</c> ただし <icon=typeWATER> か . . .
22b_field_notes#529	すばやさ <icon=fieldDown> <c=red>x0.75</c> 地上のとき
22b_field_notes#530	まきびし/どくびしを <c=red>消す</c>
22b_field_notes#531	はきだす <icon=fieldUp> <c=green>x2</c>
22b_field_notes#532	はねる <icon=fieldPlus> <c=green>めいちゅう低下</c>
22b_field_notes#533	ラジアルエッジストームが <c=red>消す</c> . . .
22b_field_notes#534	スポットライト <c=green>こうげき/とくこう上昇</c> . . .
22b_field_notes#535	バトルスイッチが <c=orange>能力を変える</c> . . .
22b_field_notes#536	せいでんきの 発動率 <icon=fieldUp> <c=green>x2</c>
22b_field_notes#537	ステルスロック <icon=fieldPlus,tts="gains an"> 追加タイプ . . .
22b_field_notes#538	ステルスロックの ダメージ <icon=fieldUp> <c=green>x2</c>
22b_field_notes#539	はがねつかい <icon=fieldPlus,tts="additionally works with the"> <icon=typeELECTRIC>
22b_field_notes#540	はがねつかいの 威力上昇 <icon=fieldChange> <c=green>x2</c>
22b_field_notes#541	あくしゅうの 発動率 <icon=fieldUp> <c=green>x2</c>
22b_field_notes#542	ねばねばネットの 効果 <icon=fieldUp> <c=green>x2</c>
22b_field_notes#543	かいりき <icon=fieldChange> <icon=typeFIGHTING>/<icon=typePSYCHIC>
22b_field_notes#544	ちからをすいとるの 回復 <icon=fieldUp> <c=green>30 %</c>
22b_field_notes#545	晴れと あられが <c=green>8</c> ターン続く
22b_field_notes#546	晴れと すなあらしが <c=green>8</c> ターン続く
22b_field_notes#547	晴れが <c=green>8</c> ターン続く
22b_field_notes#548	のみこむ <icon=fieldUp> <c=green>x2</c> <icon=fieldPlus> <c=green>状態異常回復</c> 最大時
22b_field_notes#549	むしのしらせの 効果 <icon=fieldUp,tts="boosted"> . . .
22b_field_notes#550	あまいかおり <c=red>ぼうぎょ・とくぼう低下</c>
22b_field_notes#551	あまいかおり <icon=fieldPlus> <c=green>防御を下げる</c>
22b_field_notes#552	あまいかおりの 効果 <icon=fieldUp,tts="boosted"> . . .
22b_field_notes#553	こうごうせい/あさのひざし <icon=fieldChange,tts="recovery changes to"> <c=red>25 % HP</c>
22b_field_notes#554	おいかぜ <icon=fieldPlus,tts="additionally kicks up"> 強い風
22b_field_notes#555	おいかぜが <c=green>6</c> ターン続く
22b_field_notes#556	テクニシャンが 威力 <c=green>80</c> まで適用
22b_field_notes#557	フラフラダンス <icon=fieldPlus> <c=green>ぼうぎょ低下</c>
22b_field_notes#558	テレキネシス <icon=fieldPlus> <icon=fieldDown> ぼうぎょ/とくぼう . . .
22b_field_notes#559	テレパシー <c=green>すばやさ上昇</c> <c=green>x2</c>
22b_field_notes#560	タイプ相性が <c=orange>反転する</c>
22b_field_notes#561	タイプ相性が <c=orange>変化する</c> . . .
22b_field_notes#562	かみなりは <c=green>必ず命中</c>
22b_field_notes#563	どくびしは <c=red>吸収されない</c>
22b_field_notes#564	どくどくの めいちゅう <icon=fieldChange> <c=green>100</c>
22b_field_notes#565	トリックルームが <c=green>8</c> ターン続く
22b_field_notes#566	タイプわざ <icon=fieldChange,tts="are"> つねに 物理 . . .
22b_field_notes#567	タイプわざ <icon=fieldChange,tts="are"> つねに 特殊 . . .
22b_field_notes#568	しょうりのほしの ダメージ <icon=fieldUp> <c=green>x1.5</c>
22b_field_notes#569	ちくでんが 少しずつ <c=green>HP回復</c>
22b_field_notes#570	みずがため <icon=fieldPlus> <c=green>とくぼう上昇</c>
22b_field_notes#571	みずのベール <icon=fieldPlus> <c=green>状態異常回復</c>
22b_field_notes#572	天気が 強化を <c=red>止める</c> . . .
22b_field_notes#573	うずしお <icon=fieldPlus> 相手をこんらん
22b_field_notes#574	うずしおの ダメージ <icon=fieldChange> <c=green>1/6 HP</c>
22b_field_notes#575	ワイルドボルト <icon=fieldChange,tts="has"> <c=green>反動なし</c>
22b_field_notes#576	おにびの めいちゅう <icon=fieldChange> <c=green>100</c>
22b_field_notes#577	ねがいごとの 回復 <icon=fieldChange> <c=green> 75 % HP</c>
22b_field_notes#578	ねがいごとの 回復 <icon=fieldChange> <c=green>75 % HP</c>
22b_field_notes#579	ミラクルスキンが つねに <c=green>発動</c>
22b_field_notes#580	でんじほうの めいちゅう <icon=fieldChange> <c=green>80</c>
