22b_field_notes#755	じゅうでん、かいでんぱ
22b_field_notes#756	ブレイジングソウルビート、めざめるパワー、グランドフォース、だくりゅう、かいりき、なみのり、サウザンウェーブ
22b_field_notes#757	クリアスモッグ、うちおとす、スモッグ、サウザンアロー
22b_field_notes#758	クリアスモッグ、スモッグ
22b_field_notes#759	とぐろをまく、せいちょう
22b_field_notes#760	へんしょく、イリュージョン、マジックミラー、すながくれ、ゆきがくれ、ちどりあしは 場に 出た とき 回避率が 上がる。
22b_field_notes#761	消費された 設置わざは ターン終わりに もどり もとの 側に 特別な 効果を あたえる:
ステルスロックは 通常の 2倍の いわタイプ相性ダメージを あたえる。
まきびしは 地上のポケモンに 最大HPの33%の ダメージ。
どくびしは どく・はがね以外の 地上のポケモンに 最大HPの12.5%の ダメージを あたえ どく状態にする。
ねばねばネットは ポケモンの すばやさを 大きく 下げる。
22b_field_notes#762	ワールズエンドフォール、きりばらい、かぜおこし、ぼうふう、スーパーアクアトルネード、だくりゅう、わだつみのシンフォニア、かまいたち、すなじごく、ヘドロウェーブ、うたかたのアリア、ファイナルダイブクラッシュ、なみのり、おいかぜ、たつまき、みずのちかい、みずあそび、しおふき、ふきとばし
22b_field_notes#763	ワールズエンドフォール、ガリョウテンセイ、うちおとす、ライジングランドオーバー、サウザンアロー
22b_field_notes#764	ワールズエンドフォール、うちおとす、ライジングランドオーバー、サウザンアロー
22b_field_notes#765	コスモパワー、フラッシュ
22b_field_notes#766	コスモパワー、ヨガのポーズ
22b_field_notes#767	トリックガードと フラワーガードは 使い手の ぼうぎょと とくぼうを 上げる。
22b_field_notes#768	かわらずのいしを もたない ポケモンの ひっくりかえすで 3ターン 発生
22b_field_notes#769	いあいぎり、せいなるつるぎ、しんぴのつるぎ、きりさく
22b_field_notes#770	ダメージ倍率は 決まった くり返しの 順で x0.5から x2の あいだに なる。
22b_field_notes#771	ダメージ倍率は x0.5から x3の あいだで 決まる。
22b_field_notes#772	あくのはどう、むげんあんやへのいざない、ナイトバースト、シャドーボール
22b_field_notes#773	あくのはどう、ナイトバースト、つじぎり、シャドーボール、シャドーボーン、シャドークロー、シャドーダイブ、シャドーパンチ、かげうち
22b_field_notes#774	あくのはどう、ナイトバースト、シャドーボール
22b_field_notes#775	マジカルシャイン、ラスターカノン、ギアソーサー、ジャイロボール、スーパーアクアトルネード、マグネットボム、だくりゅう、なみのり
22b_field_notes#776	ぼうぎょしれい、せいちょう
22b_field_notes#777	きりばらい、ふんか、だいばくはつ、ほのおのちかい、はじけるほのお、かぜおこし、ねっぷう、ぼうふう、やきつくす、ダイナミックフルフレイム、ふんえん、ビックリヘッド、かまいたち、かえんだん、じばく、ファイナルダイブクラッシュ、おいかぜ、たつまき、ふきとばし
22b_field_notes#778	きりばらい、かぜおこし、ぼうふう、かまいたち、ファイナルダイブクラッシュ、おいかぜ、たつまき、ふきとばし
22b_field_notes#779	ダイビング、スーパーアクアトルネード、だくりゅう、なみのり、うずしお
22b_field_notes#780	かげぶんしん、フラッシュ
22b_field_notes#781	りゅうのまい、おたけび
22b_field_notes#782	りゅうのまい、ちょうのまい、つるぎのまい、フェザーダンス
22b_field_notes#783	ドラゴンわざは つねに 等倍ダメージ。
むしわざは どくタイプに 効果抜群。
こおりわざは ほのおタイプに 等倍。
ゴーストわざは エスパータイプに 当たらない。
どくわざは むしタイプに 効果抜群。
22b_field_notes#784	ドレインキッス、てんしのキッス
22b_field_notes#785	かんそうはだ、ちょすい
22b_field_notes#786	ステルスロックの ダメージは 上のわざと 同じ くり返しの 順で 追加タイプを 得る。
22b_field_notes#787	ほうし、どくのトゲ、あくしゅう
22b_field_notes#788	かわらずのいしを もたないとき エレキメイカー、エレキフィールド(5ターン)、ライトニングサーフライド、プラズマシャワー、プラズマフィスト(3ターン)で 発生
22b_field_notes#789	あめや みずあそびの 効果が ないとき ふんか、ほのおのちかい、はじけるほのお、ねっぷう、やきつくす、ダイナミックフルフレイム、ふんえん、ビックリヘッド、かえんだんを 使ったとき
22b_field_notes#790	だいばくはつ、ぼうふう、スーパーアクアトルネード、だくりゅう、じばく、うちおとす、なみのり、サウザンアロー
22b_field_notes#791	だいばくはつ、ぼうふう、だくりゅう、じばく、うちおとす、なみのり、サウザンアロー
22b_field_notes#792	だいばくはつ、ビックリヘッド、じばく
22b_field_notes#793	ようせいのかぜ、ぎんいろのかぜ
22b_field_notes#794	ほのお、みず、くさ、でんき、こおり、エスパー、ドラゴン。
22b_field_notes#795	ラスターカノン、ギアソーサー、ジャイロボール、マグネットボム
22b_field_notes#796	ラスターカノン、ギアソーサー、ジャイロボール、マグネットボム、だくりゅう、なみのり
22b_field_notes#797	フラッシュ、きんぞくおん
22b_field_notes#798	フルールカノン、はなふぶき、はなびらのまいは 段階(3,4)で 威力(x1.2,x1.5)に なる。
22b_field_notes#799	フラワーギフト、むしのしらせ
22b_field_notes#800	フラワーガードは とくぼうも 上げ さらに 使い手の ぼうぎょと とくぼうを 上げる。
22b_field_notes#801	フラワーベールは 自分と 味方の くさタイプへの ダメージを つねに 25% 減らす。
22b_field_notes#802	遠い 過去の 記憶と まだ 見ぬ 未来の 幻から……
22b_field_notes#803	くさのけがわ、リーフガード、しんりょく、むしのしらせ
22b_field_notes#804	くさわざの 威力は 段階(2,3,4,5)で (x1.1,x1.3,x1.5,x2)に なる。
22b_field_notes#805	グラスメイカー、グラスフィールド(5ターン)、森林・花畑フィールド以外での ブルームシャインエクストラ(3ターン)
22b_field_notes#806	じゅうりょく、マジックルーム、トリックルーム、ワンダールーム
22b_field_notes#807	ダストシュート、オクタンほう、ヘドロこうげき、ヘドロばくだん、ヘドロウェーブ
22b_field_notes#808	しゅうかく、リーフガード
