22c_system_texts#0	アメ: それじゃ、{2}ポケモンの{1}でいいのね?
22c_system_texts#1	文章の量に合わせてテキストボックスの高さを変える。
22c_system_texts#2	あはは……いいんです! 次はそのタイトル、わたしがいただきますから!
22c_system_texts#3	このパスワードパックのパスワードはすべて有効になっている。すべて無効にしますか?
22c_system_texts#4	フレームを間引いて、ターボ速度をリフレッシュレート以上に上げる。
22c_system_texts#5	本当に終了しますか?
22c_system_texts#6	\\Randomizer Data\\\c[0]のデータを上書きしますか?
データは永久に失われ \(とても長い間!) \c[0]他のセーブデータにも \影響するかもしれない!
22c_system_texts#7	音を両耳で鳴らすか、片方だけで鳴らすか。
22c_system_texts#8	えぇー、ほかのエリートフォーは全員なぎ倒したのに?
22c_system_texts#9	えぇ〜、もうオレとはおしまいなのぉ?
22c_system_texts#10	ちぇっ。
22c_system_texts#11	しゃんとして本気の顔を見せろよ! オレはここまで来たんだ、全力以外は認めねえぞ!
22c_system_texts#12	手持ちのポケモンはまとめてうごかせない。
22c_system_texts#13	ポケモンを持っている間はまとめてうごかせない。
22c_system_texts#14	挑戦者と戦うフィールドを選んでください。
22c_system_texts#15	行き先を選んでください...
22c_system_texts#16	ポケモンを手に入れたとき、ニックネームをつけるか聞くかどうか。
22c_system_texts#17	複数選択を解除
22c_system_texts#18	サーバーに接続中...
(C / Enter / スペースキーを押す)
22c_system_texts#19	接続に成功した。
22c_system_texts#20	ホログラムを見続けますか?
22c_system_texts#21	Discord連携の設定。オンにするとゲームの情報をDiscordに表示する。
22c_system_texts#22	動くタイルと昼夜の色調を無効にして処理落ちを防ぐ。反映には再読み込みが必要。
22c_system_texts#23	光過敏の人のために、戦闘アニメと画面の点滅・振動を無効にする。
22c_system_texts#24	サーバーとの接続が切れた。
22c_system_texts#25	ワンダートレードで来たポケモンのニックネームをそのままにしますか?
22c_system_texts#26	ダブル
22c_system_texts#27	タマゴのみ
22c_system_texts#28	テキストスキップが始まるまでに少し待つ。
22c_system_texts#29	自転車となみのりの音楽を鳴らす
22c_system_texts#30	設定を保存して終了する。
22c_system_texts#31	またいつか来る。自分を鍛えることに、終わりはないからな。
22c_system_texts#32	ターボモード中のゲーム速度の倍率。高い値にはフレームスキップが必要。
22c_system_texts#33	イベントを更新するには中に入ること。
22c_system_texts#34	よし。誇っていい戦いぶりだったわ。
22c_system_texts#35	ハッ! 今回はまあまあだったな。だが調子に乗るなよ!
22c_system_texts#36	ハッ。納得だ。いい戦いだった。
22c_system_texts#37	また会ったね、チャンピオン。戦ったばかりだけど……ちょっと違うことを試してみたいんだ。
22c_system_texts#38	こんにちは、チャンピオン! リーグのための定期検査に来ました……つまり、構えてください!
22c_system_texts#39	ねぇ! 一度は負けたけど、あれから退屈しちゃって。第2回・離陸のお時間、覚悟しなさいよ!
22c_system_texts#40	ねぇ、ここでわたしに会うなんて思わなかったでしょ! 遅れを取り戻さなきゃいけないから、全力でいくよ!
22c_system_texts#41	あの、体に気をつけてくださいね? わたしが勝つ前に負けられたら困りますから!
22c_system_texts#42	ねぇ、ここを暖めるのに手を貸そうかと思って。どう、模様替えしない?
22c_system_texts#43	やっほ〜チャンピオン、退屈してるんじゃないかと思ってさぁ!
22c_system_texts#44	安全性と互換性のために個人情報を隠す。
22c_system_texts#45	また来てもいいよね? 次は覚悟しといてよ!
22c_system_texts#46	ついにここまで来ました! あなたにも、兄さんにも、みんなにも……わたしがどれだけ強くなれたか、証明してみせます!
22c_system_texts#47	ちゃんとやれてるみたいだね。またそのうち顔を出すかも。
22c_system_texts#48	姉さんのところに寄るとき、また来るわ。気を抜かないで。
22c_system_texts#49	またな。トップに立つ男は、そう長くは沈まねえんだよ。
22c_system_texts#50	ここまで来られて、すごくうれしい!
22c_system_texts#51	検索にタマゴを含めますか?
22c_system_texts#52	バージョンが正しくない。
22c_system_texts#53	自分の立ち位置がはっきり分かるのは気持ちがいいね。時間を取ってくれてありがとう。
22c_system_texts#54	こうなるのは避けられなかったんでしょうね。あなたが鈍っていないか、確かめさせてもらうわ。
22c_system_texts#55	こうして自分たちのやり方で戦えるのはいいですね! ずっと昔と同じように、でしょう?
22c_system_texts#56	未来が確かな手にゆだねられていると分かって安心したよ。君と共にその一部でいられるのが楽しみだ〜
22c_system_texts#57	お前がここにいるのは不思議な気分だ。俺がここにいるのもな。それで、やるか?
22c_system_texts#58	セーブデータをゲームのEXEと同じフォルダに保存する。
22c_system_texts#59	ログイン中...
(C / Enter / スペースキーを押す)
22c_system_texts#60	ログインがタイムアウトした。
22c_system_texts#61	ログインに成功した!
22c_system_texts#62	まとめてにがす
22c_system_texts#63	複数選択を移動
22c_system_texts#64	来週の天気: ふぶき
22c_system_texts#65	来週の天気: 冷え込み
22c_system_texts#66	来週の天気: 日照り
22c_system_texts#67	来週の天気: にわか雨
22c_system_texts#68	来週の天気: 変わりやすい
22c_system_texts#69	来週の天気: 雨がち
22c_system_texts#70	タマゴを除く
22c_system_texts#71	パソコンに空きがない
22c_system_texts#72	パソコンに空きがない。
22c_system_texts#73	悪くないわ。これで納得しておく。
22c_system_texts#74	注意: 以前ランダマイザーで遊んでいたことを検出した。古いランダマイザーのデータはもう使えない。
22c_system_texts#75	さあ、チャンピオン! ここは君の城、チャンピオンの間だ! リボーンのチャンピオンの真髄を見せてくれ!
22c_system_texts#76	はいはぁ〜い、またそのうち寄らせてもらうよぉ。オレがいなくて寂しがりすぎないでね?
22c_system_texts#77	外でしか使えない。
22c_system_texts#78	相手プレイヤーの接続が切れた。
22c_system_texts#79	戦う相手のチームを選んでください。
