22c_system_texts#80	セーブのたびに上書き前のファイルを残し、あとから復元できるようにする。
22c_system_texts#81	登録が完了しました!
22c_system_texts#82	ときどき休憩を取りましょう!
22c_system_texts#83	セーブに失敗した。
22c_system_texts#84	ゲームをセーブした!
22c_system_texts#85	天気の種類を選ぶ
22c_system_texts#86	ホント、もうアタシを最後に置けばいいのに。まあいいや、いい勝負だった! でも次はアタシのものだからね!!!
22c_system_texts#87	サーバーがオフラインか、インターネット接続に問題があります。
22c_system_texts#88	戦闘中のカーソルの初期位置を設定する。
22c_system_texts#89	アンリアルタイムの進む速さを設定する。
22c_system_texts#90	戦闘中にアニメを表示する。
22c_system_texts#91	現在の時刻を示すゲーム内の時計を表示する。
22c_system_texts#92	フィールド効果で威力が上下するわざを枠で囲んで示す。
22c_system_texts#93	シングル
22c_system_texts#94	バトルをスキップしますか?
22c_system_texts#95	なるほど、これが実力の差というわけですか。
22c_system_texts#96	このパスワードパックの一部はすでに適用されています。まとめてすべて適用します。
22c_system_texts#97	問題が発生しました。どちらかが待つのではなく、お互いに申し込んでしまった可能性があります。
22c_system_texts#98	驚いた?
22c_system_texts#99	「どうぐ禁止」のパスワードが有効なので、バトルで道具は使えません。
22c_system_texts#100	今はストーリーの都合でできない。
22c_system_texts#101	入力したメールアドレスはすでに登録に使われています。1つのメールアドレスにつきアカウントは1つだけです。
22c_system_texts#102	ランダマイザーのファイルの生成が完了しました。
22c_system_texts#103	これからランダマイザーのファイルを生成します。
22c_system_texts#104	残しておくバックアップの最大数。(101で無制限)
22c_system_texts#105	入力したパスワードが違います。
22c_system_texts#106	入力したパスワードが一致しません。もう一度入力してください。
22c_system_texts#107	サーバーが満員です。しばらくしてからもう一度お試しください。
22c_system_texts#108	交換相手は別のゲームをプレイしています。
22c_system_texts#109	交換相手は別のバージョンのゲームをプレイしています。
22c_system_texts#110	相手が交換を中断しました。
22c_system_texts#111	入力したユーザー名は存在しません。
22c_system_texts#112	そのユーザー名はすでに使われています。別のユーザー名を入力してください。
22c_system_texts#113	入力したユーザー名が一致しません。もう一度入力してください。
22c_system_texts#114	天気を設定した。
22c_system_texts#115	ここには十分な空きがない。
22c_system_texts#116	それだよ! チャンピオンは今日も王座を守り抜いたね!
22c_system_texts#117	このポケモンは道具を持っている。外しますか?
22c_system_texts#118	このアカウントは利用停止されています。
22c_system_texts#119	このアカウントはすでにログインしています。
22c_system_texts#120	正直に言うと、オフィスを抜け出す口実がほしかっただけなんです。また来てもいいですよね?
22c_system_texts#121	パソコンの時計ではなくゲーム内の時間を使う。
22c_system_texts#122	さて、気晴らしはここまで。あたしは仕事に戻るわ。
22c_system_texts#123	何を探しますか?
22c_system_texts#124	{1}にはどのチームを使わせますか?
22c_system_texts#125	どのすがたを表示しますか?
22c_system_texts#126	どちらの性別を表示しますか?
22c_system_texts#127	{1}のどのチームと戦いますか?
22c_system_texts#128	どのスプライトを表示しますか?
22c_system_texts#129	ゲームをもう一度ランダマイズしますか?
22c_system_texts#130	セットを切り替えますか?
22c_system_texts#131	アンリアルタイムはオプションで有効にしたり調整したりできます。
22c_system_texts#132	ひでんマシンのわざを覚えたポケモンはパソコンに戻せない。
22c_system_texts#133	自分自身とは対戦できません。
22c_system_texts#134	自分自身とは交換できません。
22c_system_texts#135	コインを1枚も見つけていない! 本当にやめますか?
22c_system_texts#136	バトルに負けた。
22c_system_texts#137	手持ちの1番目のポケモンが使える状態でなければならない。
22c_system_texts#138	それでもオンライン機能は使えません。ランダマイズせずに続けますか?
22c_system_texts#139	バトルに勝った。
22c_system_texts#140	このIPアドレスは利用停止されています。
22c_system_texts#141	相手が断ったか、応答しませんでした。
22c_system_texts#142	バージョンが古いです。最新のバージョンをダウンロードしてください。
22c_system_texts#143	\se[]{1} {2}%\wtnp[0]
22c_system_texts#144	{1}から{2}までは空だ。
22c_system_texts#145	{1}から{2}までを並べ替えた。
