map_0039#49		UNCROSSING THE TIMELINES...
map_0039#51		FATE HAS DECIDED.
map_0039#52		Custom starters cannot be obtained on randomized saves.
map_0039#53		Sorry for the inconvenience!
map_0039#54		-(NOT-SO) RANDOM STARTER SERVICE-
map_0039#55		Commit to a partner of your choosing?
map_0039#56		Would you like to get a random starter instead?
map_0039#57		(This will only pick randomly from the 21 typically- available starters.)
map_0039#58		Would you like to re-enable custom starter selection?
map_0039#59		ADRIENN: Is everyone all set?
map_0039#60		Wonderful.
map_0039#61		Remember, each of you is tasked with looking out for one another.
map_0039#62		It's vital to take a personal interest in others.
map_0039#63		Should the going get tough, you always have each other to lean on.
map_0039#64		...But enough of that.
map_0039#65		If you head back downstairs, Victoria will take care of the rest for you.
map_0039#66		Best of luck.
map_0039#67		ADRIENN: And that's that.
map_0039#68		ADRIENN: The Crescit region, huh?
map_0039#69		Can't say I've heard of that before,
map_0039#70		But then, I suppose there's still so much I've missed.
map_0039#71		Thank you again for coming today.
map_0039#72		I think it does the new Trainers quite well to meet their Champion.
map_0039#73		...And I find it much easier to deal with the whole caboodle when you're around.
map_0039#74		You are a backbone of strength for both of us, the region and me personally.
map_0039#75		And I appreciate you all encouraging me to learn when to take a moment and slow down.
map_0039#76		Would you permit me one now?
map_0039#77		With all the day's chaos, I feel I could use a moment to breathe.
map_0039#78		I'll catch up with you this evening.
map_0039#79		ADRIENN: I suppose I still haven't sorted through all these books that were left up here.
map_0039#80		She had an interesting collection.
map_0039#81		ADRIENN: ...Oh, I remember reading this one as a child.
map_0039#82		ADRIENN: ...Ah.
map_0039#83		I suppose that was my signature, wasn't it?
map_0039#84		ADRIENN: Here, of all places, though?
map_0039#85		ADRIENN: Well, let's start from the beginning.
map_0039#86		That must be Vulpix, the Fox Pokémon!
map_0039#87		It's an Alolan variety.
map_0039#88		It's a special variety.
map_0039#89		It's a Kantonian variety.
map_0039#90		It's a normal variety.
map_0039#91		That must be Porygon, the Virtual Pokémon!
map_0039#92		What an impressively woke choice.
map_0039#93		The odious political agenda will be proud of you.
map_0039#94		Yes
map_0039#95		No
map_0040#0		Oy, this is my house. Git out!
map_0040#1	Bob	I guess it is public property.
map_0040#2		Y'know, sometimes I do hafta share this place. There's this small-like Pokémon that sometimes comes down here when it's a-rainin'.
map_0040#3		PANSEAR: P-pan...
map_0040#4		Pansear seems to be afraid of the rain... It's too scared to move.
map_0040#5		Do you want to rescue the Pansear?
map_0040#6		There was no room for Pansear...
map_0040#7		PANSEAR: P-Pan... sear...
map_0040#8		PANPOUR: Pan~~
map_0040#9		Panpour seems to be enjoying watching the rain.
map_0040#10		It seems to want to play!
map_0040#11		TEDDIURSA: Ursa!
map_0040#12		Teddiursa fled!
map_0040#13		Yes
map_0040#14		No
map_0042#0		ESPURR: Esp... ... ... ...
map_0042#1		Espurr looks completely traumatized. 
map_0042#2		Espurr smells the PokéSnax! Espurr snapped back to reality!
map_0042#3		Do you want to take Espurr with you?
map_0042#4		There was no room for Espurr.
map_0042#5		ESPURR: ...
map_0042#6		It seems to have gone into shock and won't respond.
map_0042#7		MINCCINO: Min...
map_0042#8		Minccino looks scared.
map_0042#9		Minccino smells the PokéSnax! Minccino snapped back to reality!
map_0042#10		Do you want to take Minccino with you?
map_0042#11		There was no room for Minccino.
map_0042#12		MINCCINO: ...
map_0042#13		SWINUB: Swin...
map_0042#14		Swinub is curled up into a ball.
map_0042#15		Swinub smells the PokéSnax! It came to!
map_0042#16		Do you want to take Swinub with you?
map_0042#17		There was no room for Swinub.
map_0042#18		SWINUB: ...
map_0042#19		It doesn't seem to want to respond...
map_0042#20		ARON: Ronron...
map_0042#21		Aron is meekly looking at the floor.
map_0042#22		Aron smells the PokéSnax! It looks up excitedly!
map_0042#23		Do you want to take Aron with you?
