map_0071#69	Ringo	...Oh shit.
map_0071#70		You're going to kill us all, aren't you.
map_0071#71		Get out of my sight.
map_0071#72	Janis	Go.
map_0071#73		I said get out!
map_0071#74		Intruders? What would you need here?
map_0071#75	Grant	Tsk. Get out of our faces.
map_0071#76		You're on thin ice, you know?
map_0071#77		Got you!
map_0071#78	Antoine	I got nothin'.
map_0071#79		Get outta here.
map_0071#80		Team Meteor will prevail!
map_0071#81	Demian	Even if we lose here, Team Meteor will still rise above.
map_0071#82		You should stop getting in our way while we're still feeling merciful.
map_0071#83		Don't take another step.
map_0071#84	Winter	Hmph. They've had enough time anyway.
map_0071#85		You're toast if the boss gets you.
map_0071#86		I spy with my little eye... intruders!
map_0071#87	Michaela	Well, well, you can go on right ahead!
map_0071#88		What are you waiting for, hm?
map_0071#89		The door has been sealed shut from inside.
map_0071#90		The door is locked shut.
map_0071#91		The exit is sealed shut.
map_0071#92		FERN: Just where do you think you're going?
map_0071#93		I told you not to slow me down.
map_0071#94		But if you've gotta go do something, go right ahead! I'll just wait here.
map_0071#95		???: So, the esteemed guests of honor have arrived!
map_0071#96		???: I know they say you should knock before you enter, but I don't think they quite meant for you to knock the entire door in!
map_0071#97		Kind of you to announce your calling though--
map_0071#98		Not that it was entirely necessary when we already got a tip that the police had found just this place--
map_0071#99		But kind nonetheless!
map_0071#100		Gives us ample time to drop a few bippity-bop-bop-bop buttons aaaand...
map_0071#101		Boop!
map_0071#102		???: Data was released to the wild.
map_0071#103		Bye-bye data!
map_0071#104		The name's Ace, by the way!
map_0071#105		First rate agent, statistician, systemic admin, master magician--
map_0071#106		And professional dead end to meandering little vagrants like yourselves!
map_0071#107		In the first place, you should know that I'm more steamed than a sauna that we have to go around dumping all this carefully-collected information!
map_0071#108		I mean, sure, it'll be on the network. 
map_0071#109		Who doesn't use cloud storage these days?
map_0071#110		But still, it FEELS bad!
map_0071#111		How could you do this to me?
map_0071#112		And there's so much to go through and delete!
map_0071#113		These file transfers say it's two hours remaining!
map_0071#114		Wait, two minutes!
