map_0764#189		Get your ass back out there and bring me a new Egg!
map_0764#190		What's that? A Totodile Egg, eh?
map_0764#191		You must REALLY like Mudkips.
map_0764#192		Because you already gave me one of these, you idiot.
map_0764#193		Bring me a new Egg.
map_0764#194		And no, I do not like Mudkips. Thanks for not asking. 
map_0764#195		Well, I see you like Mudkips.
map_0764#196		Whatever. This works.
map_0764#197		Is that a Piplup Egg you have?
map_0764#198		Because if it is, you better walk back out of that door, and bring me something new before I have Akane attack you.
map_0764#199		And before you ask who Akane is, she happens to be my Arcanine. 
map_0764#200		So get your ass moving. She loves a chase.
map_0764#201		That looks like a Piplup Egg. 
map_0764#202		I actually have a friend back in Hoenn who loves Piplups.
map_0764#203		Oh, might that happen to be ANOTHER Oshawott Egg you've arrived with?
map_0764#204		It's too bad you've already given me one. 
map_0764#205		Perhaps I can play soccer with the Egg.
map_0764#206		So unless you want that, take it away and bring me something new.
map_0764#207		I see you have Oshawott Egg. Ick.
map_0764#208		I hate Water-types, but whatever...
map_0764#209		You know, I see you have another Froakie Egg with you.
map_0764#210		I'll let it slide this time, since Froakie is one of the few Water-types I can actually tolerate.
map_0764#211		But please go out and bring me something different. 
map_0764#212		Might that be a Froakie Egg I see? Cool.
map_0764#213		Froakie is one of the only Water-types I actually like.
map_0764#214		Oh, for the love of Arceus... 
map_0764#215		Did you really bring another Popplio Egg?
map_0764#216		You're doing this just to spite me...
map_0764#217		Get the fuck out of here with it and bring me something else before I get seriously mad. 
map_0764#218		Good fucking lord... Is that a Popplio Egg?
map_0764#219		I hate this damn thing... 
map_0764#220		Ame is lucky she liked them or I'd try to exterminate them.
map_0764#221		A Fire-type? Awesome.
map_0764#222		Oh, you brought another Charmander?
map_0764#223		As much as I wish I could take it, I cant.
map_0764#224		You better find that little guy a home, too. 
map_0764#225		And go bring me a different Egg.
map_0764#226		Amazing, is that a Charmander Egg?
map_0764#227		Awesome. I'm sure this little guy will get picked quick. 
map_0764#228		Who doesn't like lizards that can breathe fire? 
map_0764#229		I see you have another Cyndaquil Egg.
map_0764#230		As cute as he is, I can't accept another one. 
map_0764#231		Either keep him or find him a good home.
map_0764#232		Is that a Cyndaquil Egg?
map_0764#233		Cyndaquil is a cute little thing. 
map_0764#234		I'd keep it myself if it wasn't for this job I've been given.
map_0764#235		Oh! Is that another Torchic Egg?!
map_0764#236		Oooooh, I so wish I could keep it... Maybe I should...
map_0764#237		B-but... I think Ame would frown upon me if I tried too...
map_0764#238		Please, please, please... find that cute little thing a home...
map_0764#239		Otherwise I WILL incinerate you.
map_0764#240		Got it?
map_0764#241		Good.
map_0764#242		Oh! Oh, oh, oh! That's a Torchic Egg!
map_0764#243		Torchic are the best! 
map_0764#244		I wish I could bring out Valkyrie here. She loves to take care of Torchic Eggs.
map_0764#245		She's a good Blaziken.
map_0764#246		Oh, I take it that's another Chimchar Egg?
map_0764#247		I can't accept it. You turned one in already.
map_0764#248		Go bring me a different Egg.
map_0764#249		A Chimchar Egg? It's okay, I guess.
map_0764#250		I see you've brought another Tepig Egg.
map_0764#251		You already gave me a Tepig Egg, so I cannot accept it. 
map_0764#252		Please go out and get me something else.
map_0764#253		That's a... Tepig Egg? Right?
map_0764#254		It's okay, I guess. I don't really like pigs.
map_0764#255		You brought me another Fennekin Egg?
map_0764#256		I'd keep it if I could, but I can't. 
map_0764#257		Please go out and bring me something else. 
map_0764#258		And find that fox a home, eh? 
map_0764#259		That's a cute Egg. It's a Fennekin yeah?
map_0764#260		Fun, this is one we needed.
map_0764#261		Oh, another Litten Egg?
map_0764#262		As fun and cute as they are, I can't keep it.
map_0764#263		I'd advise going back out and finding me a new Egg instead.
map_0764#264		That's an Egg I've never seen before.
map_0764#265		I'm going to assume it's a Litten? Cool.
map_0764#266		Actually, hold on a moment.
map_0764#267		Seems with this Egg you've completed a set of three.
map_0764#268		This means both that I'm closer to getting out of this room, and that you've earned a reward, I guess.
map_0764#269		Here.
map_0764#270		Enjoy.
map_0764#271		Actually, hold it. 
map_0764#272		Do you realize what this Egg signifies?
map_0764#273		I don't think you do.
map_0764#274		It means not only will we be replenished on starters to hand out to the new people...
map_0764#275		But that this is the last Egg we needed.
map_0764#276		So not only do I finally get to be reassigned to a different task...
map_0764#277		But you also earn your final rewards.
map_0764#278		Seriously, \PN, thank you for helping me help Ame.
map_0764#279		Even if she's not here anymore...
map_0764#280		Take these. You won't be disappointed.
map_0764#281		It was... nice meeting you.
map_0764#282		You do good work. 
map_0764#283		Perhaps we'll meet again someday.
map_0764#284		I'll get it processed and into good hands.
map_0764#285		Check back in awhile for an updated list.
map_0764#286		And seriously... uhh... Thanks.
map_0764#287		What? You're still here? 
map_0764#289		I'm just finishing up some things. 
map_0764#290		Shouldn't you be out helping someone else or saving the world or some shit? 
map_0764#291		There's only drawings across a few pages.
map_0764#292		A list of Pokémon that Kanaya needs Eggs for is written in the notebook.
map_0764#293		There are several sections.
map_0764#294		Bulbasaur // TURNED IN
map_0764#295		Bulbasaur
map_0764#296		Chikorita // TURNED IN
map_0764#297		Chikorita
map_0764#298		Treecko // TURNED IN
map_0764#299		Treecko
map_0764#300		Turtwig // TURNED IN
map_0764#301		Turtwig
map_0764#302		Snivy // TURNED IN
map_0764#303		Snivy
map_0764#304		Chespin // TURNED IN
map_0764#305		Chespin
map_0764#306		Rowlet // TURNED IN
map_0764#307		Rowlet
map_0764#308		Squirtle // TURNED IN
map_0764#309		Squirtle
map_0764#310		Totodile // TURNED IN
map_0764#311		Totodile
map_0764#312		Mudkip // TURNED IN
map_0764#313		Mudkip
map_0764#314		Piplup // TURNED IN
map_0764#315		Piplup
map_0764#316		Oshawott // TURNED IN
map_0764#317		Oshawott
map_0764#318		Froakie // TURNED IN
map_0764#319		Froakie
map_0764#320		Popplio // TURNED IN
map_0764#321		Popplio
map_0764#322		Charmander // TURNED IN
map_0764#323		Charmander
map_0764#324		Cyndaquil // TURNED IN
map_0764#325		Cyndaquil
map_0764#326		Torchic // TURNED IN
map_0764#327		Torchic
map_0764#328		Chimchar // TURNED IN
map_0764#329		Chimchar
map_0764#330		Tepig // TURNED IN
map_0764#331		Tepig
map_0764#332		Fennekin // TURNED IN
map_0764#333		Fennekin
map_0764#334		Litten // TURNED IN
map_0764#335		Litten
map_0764#336		SANDY: All right, you made it!
map_0764#337		I had to hide in a shipping crate to get through... How about you?
map_0764#338		Eh, they just let you in?
map_0764#339		Hm... Well, hiding in the shipping crate was pretty fun, so I'm not upset!
map_0764#340		Now let's see what we can do...
map_0764#341		SANDY: Just a bunch of legal policies here...
map_0764#342		SANDY: Transaction records...
map_0764#343		SANDY: All these papers are signed or addressed "Ignosia Craudburry"...
map_0764#344		I guess that's the corporate ambassador?
map_0764#345		Well...
map_0764#346		SANDY: Oh well.
map_0764#347		SANDY: Hm hm hm hm hm~
map_0764#348		From the sound of it, these pipes are full of running water...
map_0764#349		That's perfect!
map_0764#350		We'll just bash them in, flood the office, and destroy all the paperwork here!
map_0764#351		That should free up the city to do what's right instead of what the companies want!
map_0764#352		Does that sound like a great idea, or does that sound like a great idea?
map_0764#353		SANDY: All right!
map_0764#354		Let's have one for the money!
map_0764#355		Two for Pokémon!
map_0764#356		Three to get ready!
map_0764#357		And four to get gone!
map_0764#358		SANDY: Well, I think that about settles it!
map_0764#359		The city should be free from corporate tyranny to protect the Pokémon and environment now!
map_0764#360		Let's get out of here before anyone notices!
map_0764#361		ADRIENN: ...
map_0764#362		SANDY: ...
map_0764#363		ADRIENN: ......
map_0764#364		SANDY: ......
map_0764#365		ADRIENN: .........
map_0764#366		SANDY: .........
