map_0901#1197		Fun fact for the class first: 
map_0901#1198		Before I started going by Ikaru, I had a different alias, well over like, 13 years ago now. And I know, that's not a very fun fact by itself, but...
map_0901#1199		Say, have you ever fought the Grand Hall trainers on a Wednesday?
map_0901#1200		Specifically, the one with the Xatu and (Mega-)Mawile from hell?
map_0901#1201		The one who says some cryptic "you don't know who I am" stuff? Psychic Silva? Yeah, that's me. Or, well, it WAS me. 
map_0901#1202		But hold on, before you start accusing me of stealing your childhood crush's first kiss or something out of some war-flashback-esque anger, 
map_0901#1203		I didn't make those teams, it was just stuff I liked that needed to be seen in-game... somewhere. Sorry, not sorry!
map_0901#1204		That aside: my earliest internet days in middle school were spent on the Serebii forums, writing a really bad Pokemon fanfiction, which,
map_0901#1205		Hopefully,
map_0901#1206		Will never see the light of day again. If you know, you know, and if you don't, well, it's better that way.
map_0901#1207		So like I said, this was in middle school. I had a few friends on the forums, kind of, but not many of them stuck around long term because of course not.
map_0901#1208		There was one, though, that I knew irl too, and- well, actually, "stuck around" isn't a good phrase for him either, more like he...
map_0901#1209		... suddenly reappeared in Reborn, out of thin air in the left field like 10 years later?
map_0901#1210		And that by itself is wild to me, like, I live by the phrase "timing is everything" and all our choices yada yada I said that already,
map_0901#1211		But the degree to which we were completely different people than we were back then is staggering. We weren't even THAT close, but,
map_0901#1212		If you happen to be reading this, shoutout to you, friend. I'm glad we both made it this far. 
map_0901#1213		So, next came the Marriland forums. I put myself out there a bit more, and wrote less (read: wrote no) fanfiction. I dabbled a little in competitive Pokemon.
map_0901#1214		This was 4th gen, and I was just starting to be less uptight about "super broken" overused Pokemon.
map_0901#1215		(And, like, good for me because I was missing out on so many cool things in favor of... *checks notes* ...  Swords Dance Quick Attack Zangoose.)
map_0901#1216		On a fateful July afternoon in 2007, I was scrolling the "wi-fi battles" subforum and the thread I chose to respond to was the start of everything.
map_0901#1217		The thread starter was someone who... Ah, what were her words...
map_0901#1218		"A few genders and plenty of life lived" later, is now known as Autumn.
map_0901#1219		The green one a single tile away from here, yeah.  That placement is very intentional.
map_0901#1220		We became real good friends using our Nintendo DS wi-fi, even when she had to hide the fact that she was friends with strangers online from her mom.
map_0901#1221		And, like, fair. 
map_0901#1222		Eventually she invited me to her own forum for her friends, which, when I joined, had a staggering two (2) active members. 
map_0901#1223		We hung out there all the time, doing whatever we wanted with whatever nonsense topics and stuff because it was pretty much just the two of us.
map_0901#1224		She invited more and more people and we had a fun little group that did battling, roleplaying, art, children's card games, you name it.
map_0901#1225		One of the people she invited was her friend Wolfie, and if you know me well enough, you already know the significance there.
map_0901#1226		If you don't, just know that she's a blessing. A past version of me might argue that I don't deserve her, and that past version of me is wrong,
map_0901#1227		Though I do my best to be worth it all the same.
map_0901#1228		It is no small exaggeration to say that those two are the single (uh, double?) most important people in my life and I would not be where I am now without them.
map_0901#1229		I love them both dearly and I'm glad that they've stuck around through everything. I couldn't ask for better friends. 
map_0901#1230		...Whew. Sorry, I'm sure you weren't expecting all of that.
map_0901#1231		Thanks for listening, though.
map_0901#1232		Want to talk about anything else?
map_0901#1233		My early Reborn experience, huh? Sure.
map_0901#1234		Would you believe me joining this community was entirely an accident?
map_0901#1235		Ah, well, maybe a better term is "misunderstanding."
map_0901#1236		You see, Autumn and I are fans of the anime "Katekyo Hitman Reborn!" and when we first made the switch from NetBattle to Pokemon Online,
map_0901#1237		All the way back in 2010,
map_0901#1238		We saw a server that was named "Reborn Server" and we didn't think too hard about it.
map_0901#1239		"YOOOOOO it's Reborn" we said, joining instantly.
map_0901#1240		Best mistake we made that year.
map_0901#1241		The League was already a thing when we joined, though the server was still a tiny baby compared to what we have now.
map_0901#1242		I signed up pretty instantly for funsies with a team that was... questionable. I remember my first battle was actually pretty significant.
map_0901#1243		Not for me though, for Hardy. Titania was newly revealed and he said that if he won his next battle, he would go challenge her next.
map_0901#1244		"Yanno," as he does, trying to prove Rock-types can still hold up to the all-powerful Steel-type.
map_0901#1245		And I was the unlucky sucker that thought shit was sweet, with a pretty weak team, and got Rocked. 
map_0901#1246		Heh.
map_0901#1247		Then I made a better team and fought Corey, and to say he was a stark contrast to my last opponent is an understatement. Both in character and difficulty.
map_0901#1248		Cal was next, and I got slapped, then I rematched Hardy and won. Rematched Cal and won.
map_0901#1249		Next was Florinia. And boy did she beat me up for a long while. A battle between us was the 666th log, fun fact. Eventually I fought Heather instead,
map_0901#1250		Who, by the way, was an entry leader at the time,
map_0901#1251		And won first try. And let me tell you, I was the ONLY one who did. The fact that she's part of the Elite Four in this game is not coincidence.
map_0901#1252		Her rank shot up real shortly after that, and first of all, my trainer card looked real funny with all the empty space between her badge and the rest.
map_0901#1253		And man, the relief I felt knowing I didn't have to fight her again after she stepped it up, haha.
map_0901#1254		I interacted with the leaders pretty often, and some had more to say than others.
map_0901#1255		By far my favorite group was none other than the OTS gang; Titania, Florinia, Amaria, and Julia.
map_0901#1256		I built up a bit of a reputation as a knight in not-so- shining armor, no points for guessing why.
map_0901#1257		The interactions I had with Titania and Amaria were like, the talk of the whole league.
map_0901#1258		And then there was El.
