22f_bt_speeches#720		Nothing can hold me down!
22f_bt_speeches#721		Nothing can stop the greatness of Bapabui!
22f_bt_speeches#722		Now I can buy my darlings new toys!
22f_bt_speeches#723		Now I'm bitter...
22f_bt_speeches#724		Now I'm even more stressed!
22f_bt_speeches#725		Now I'm not okay...
22f_bt_speeches#726		Now how is he going to notice me?!
22f_bt_speeches#727		Now how's about I show you how we battle over in Train Town?
22f_bt_speeches#728		Now if you'll excuse me, I have a certain someone to go ask on a date!
22f_bt_speeches#729		Now that I win, can I get a Pokenav with a better battery?
22f_bt_speeches#730		Now watch how a sweet ol' fella like me battles!
22f_bt_speeches#731		Now, did you learn anything?
22f_bt_speeches#732		Now, watch carefully.
22f_bt_speeches#733		Nyeh. The odds were stacked against me anyway.
22f_bt_speeches#734		OTS? No, no. I meant Canalave Fishing Institute!
22f_bt_speeches#735		Of course you won, when you had the advantage. Next time try battling without being able to see, and then we'll see who's the better Trainer.
22f_bt_speeches#736		Oh hey! I'm Crim! I'm so excited to be here, let's have some fun!
22f_bt_speeches#737		Oh hey, I did it. Good battle, kid. 
22f_bt_speeches#738		Oh hey, if it isn't my favorite gofer!
22f_bt_speeches#739		Oh, I love your hair!
22f_bt_speeches#740		Oh, h'llo. Fancy a friendly match?
22f_bt_speeches#741		Oh, hey! Long time no see!
22f_bt_speeches#742		Oh, hiya~ Here to show me your Pikachu?
22f_bt_speeches#743		Oh, your Pokemon are so adorable!
22f_bt_speeches#744		Oh. Maybe it's me.
22f_bt_speeches#745		Oh? This is quite unexpected...
22f_bt_speeches#746		Ohmigosh! I'm your number one fan! 
22f_bt_speeches#747		Ohmigosh, are you for real?
22f_bt_speeches#748		Oi, mate!
22f_bt_speeches#749		Okay, I get it!
22f_bt_speeches#750		Okay, fiiiine, I'll study.
22f_bt_speeches#751		Okay, it's settled. If I win here, I'll ask Amaria out!
22f_bt_speeches#752		Okay, maybe I did get a little distracted.
22f_bt_speeches#753		Okay, okay, I'm leaving!
22f_bt_speeches#754		Okay. I can do this.
22f_bt_speeches#755		On second thought, you might drown the others out...
22f_bt_speeches#756		Oooh, I'm up against the Champion huh? Guess I better bring my A game.
22f_bt_speeches#757		Oooh, you look tough!
22f_bt_speeches#758		Or maybe I’m just high from all this catnip, nya? I’m a dancer here. I needed to lose quick and then get back to my job, dammit! Now I have to advance!
22f_bt_speeches#759		Our battle shall be legendary!
22f_bt_speeches#760		Our strategy was the best!
22f_bt_speeches#761		Our true purpose... wouldn't you like to know?
22f_bt_speeches#762		Overconfidence is never advised. 
22f_bt_speeches#763		People are capable of creating a path towards their goal. Are you ready to fight in order to reach it?
22f_bt_speeches#764		Perhaps I can lend some class to this place.
22f_bt_speeches#765		Perhaps I could stick around a while after all.
22f_bt_speeches#766		Perhaps I spoke too soon.
22f_bt_speeches#767		Perhaps I'm no princess, but I'm still plenty strong!
22f_bt_speeches#768		Perhaps you will be the master...
22f_bt_speeches#769		Personally, I don't think Flying-types should even be allowed in here!
22f_bt_speeches#770		Phew. 
22f_bt_speeches#771		Please don't laugh at me!
22f_bt_speeches#772		Please don't shout at me...
22f_bt_speeches#773		Please have mercy on my soul, great Bapabui.
22f_bt_speeches#774		Please impress me. 
22f_bt_speeches#775		Pokemon love kind Trainers.
22f_bt_speeches#776		Precious and fragile!
22f_bt_speeches#777		Prepare for the battle of the century!
22f_bt_speeches#778		Prepare to be entertained!
22f_bt_speeches#779		Prepare to be wowed.
22f_bt_speeches#780		Pretty much what I figured, but it was fun!
22f_bt_speeches#781		Psh. You got lucky. 
22f_bt_speeches#782		Quiet, quiet... wait for the bite.
22f_bt_speeches#783		Quit with that look!
22f_bt_speeches#784		Ready? Okay!
22f_bt_speeches#785		Red, a world about to dawn.
22f_bt_speeches#786		Safer and more fun!
22f_bt_speeches#787		Sawsbuck look their best in the fall, after all!
22f_bt_speeches#788		Say... How about we go watch the sunset together after this?
22f_bt_speeches#789		Say... You're not looking so hot.
22f_bt_speeches#790		Say... you don't recognize me, right?
22f_bt_speeches#791		See what I told you? You can't beat Gen 5!
22f_bt_speeches#792		See what a real Psychic looks like!
22f_bt_speeches#793		See what happens when you love the planet? It loves you back!
22f_bt_speeches#794		See! I'm as furious as a Primeape!
22f_bt_speeches#795		See? I told you nobody could beat me!
22f_bt_speeches#796		See? I'm as happy as a Blissey!
22f_bt_speeches#797		See? It's 'cause I'm on fire today!
22f_bt_speeches#798		See? It's 'cause you're on fire today!
22f_bt_speeches#799		See? SEE? I'VE STILL GOT IT!
22f_bt_speeches#800		Seriously though, are you okay?
22f_bt_speeches#801		Seriously, why's it so icy in here?
22f_bt_speeches#802		She better never find out about this...
22f_bt_speeches#803		Shit! Wait, cut! Cut! 
22f_bt_speeches#804		Show me what life has taught you, youngster.
22f_bt_speeches#805		Show me your passion for this role!
22f_bt_speeches#806		Show me your true intentions with this battle!
22f_bt_speeches#807		Smeargle holds out a notepad and flips a page to where he's written 'smeargle best trainer. human good battler too though.
22f_bt_speeches#808		Smeargle holds out a notepad and hastily scribbles, 'guess human did win. good battle.'
