22d_field_messages#160		The magical energy strengthened the attack!
22d_field_messages#161		The mirror arena shattered!
22d_field_messages#162		The mirrors strengthened the attack!
22d_field_messages#163		The mist softened the attack...
22d_field_messages#164		The mist was blown away!
22d_field_messages#165		The mist was corroded!
22d_field_messages#166		The mist's energy strengthened the attack!
22d_field_messages#167		The mountain strengthened the attack!
22d_field_messages#168		The murk strengthened the attack!
22d_field_messages#169		The nearby flowers caught flame!
22d_field_messages#170		The night sky boosted the attack!
22d_field_messages#171		The open air strengthened the attack!
22d_field_messages#172		The poison infected the nearby murk!
22d_field_messages#173		The poison strengthened the attack!
22d_field_messages#174		The polluted field was purified!
22d_field_messages#175		The polluted mist was purified!
22d_field_messages#176		The psychic energy strengthened the attack!
22d_field_messages#177		The quake broke up the ice and revealed the water beneath!
22d_field_messages#178		The rainbow energized the attack!
22d_field_messages#179		The rainbow softened the attack...
22d_field_messages#180		The rainbow was consumed!
22d_field_messages#181		The reflected light was blinding!
22d_field_messages#182		The rocks strengthened the attack!
22d_field_messages#183		The sand strengthened the atttack!
22d_field_messages#184		The snow glows white on the mountain...
22d_field_messages#185		The snow melted away!
22d_field_messages#186		The snow strengthened the attack!
22d_field_messages#187		The snowy mountain strengthened the attack!
22d_field_messages#188		The target was cut down to size!
22d_field_messages#189		The terrain had no solid ground to attach...
22d_field_messages#190		The thriving flowers boosted the attack!
22d_field_messages#191		The toxic mist caught flame!
22d_field_messages#192		The toxic mist collected on the ground!
22d_field_messages#193		The toxic water conducted the attack!
22d_field_messages#194		The toxic water froze over!
22d_field_messages#195		The toxic water strengthened the attack!
22d_field_messages#196		The unformed land diffused the attack...
22d_field_messages#197		The vibrant aroma scent of flowers boosted the attack!
22d_field_messages#198		The waste did it for the vine!
22d_field_messages#199		The waste is watching...
22d_field_messages#200		The waste joined the attack!
22d_field_messages#201		The waste was added to the attack!
22d_field_messages#202		The water conducted the attack!
22d_field_messages#203		The water deluged the attack...
22d_field_messages#204		The water froze over!
22d_field_messages#205		The water is tainted...
22d_field_messages#206		The water snuffed out the flame!
22d_field_messages#207		The water strengthened the attack!
22d_field_messages#208		The water super-conducted the attack!
22d_field_messages#209		The water's surface is calm.
22d_field_messages#210		The weather drifted off into space...
22d_field_messages#211		The wind picked up strength from the field!
22d_field_messages#212		The wind snuffed out the flame!
22d_field_messages#213		The world was regenerated!
22d_field_messages#214		The world's matter reformed!
22d_field_messages#215		They're coming out of the woodwork!
22d_field_messages#216		Trial of the Dragon!!!
22d_field_messages#217		True love never hurt so badly!
22d_field_messages#218		What does it mean?
22d_field_messages#219		What grace!
22d_field_messages#220		Wibble-wibble wobble-wobb...
22d_field_messages#221		Yodelayheehoo~
22d_field_messages#222		money money money money money mothafucka
22d_field_messages#223		{1} couldn't consume much light...
22d_field_messages#224		{1} was cut down to size!
22d_field_messages#225		{1} was knocked into the flames!
22d_field_messages#226		{1} was knocked into the lava!
22d_field_messages#227		{1} was swallowed up by the void!
22d_field_messages#228		{1} was thrown partway down the mountain!
